date,open,high,low,close,adjusted_close,volume
2010-01-04,8.21,8.56,8.21,8.56,2.14,1492236
2010-01-05,8.52,8.79,8.46,8.69,2.1725,1715984
2010-01-06,8.71,9.11,8.64,8.95,2.2375,4190960
2010-01-07,9.02,9.34,8.91,9.21,2.3025,1504348
2010-01-08,9.2,9.3,8.9701,9.04,2.26,698104
2010-01-11,9.12,9.24,8.939,9.01,2.2525,818380
2010-01-12,8.97,9.46,8.9,9.46,2.365,1553400
2010-01-13,9.47,9.58,9.018,9.22,2.305,1313612
2010-01-14,9.23,9.36,9.19,9.22,2.305,739840
2010-01-15,9.49,9.89,9.28,9.7,2.425,11244528
2010-01-19,9.65,10.2,9.65,10.07,2.5175,2956044
2010-01-20,10.03,10.19,9.92,10.01,2.5025,1725340
2010-01-21,10.04,10.04,9.46,9.75,2.4375,1936896
2010-01-22,9.69,9.71,9.21,9.36,2.34,1914480
2010-01-25,9.46,9.54,9.11,9.37,2.3425,1669836
2010-01-26,9.31,9.5,9.24,9.27,2.3175,1785108
2010-01-27,9.23,9.6,9.21,9.55,2.3875,2777560
2010-01-28,9.54,9.54,9.08,9.24,2.31,1748572
2010-01-29,9.3,9.58,9.05,9.06,2.265,3249608
2010-02-01,9.19,9.37,9.1,9.36,2.34,1282100
2010-02-02,9.34,9.49,9.24,9.34,2.335,1320092
2010-02-03,9.27,9.425,9.1,9.24,2.31,550164
2010-02-04,9.14,9.21,8.94,8.99,2.2475,1687680
2010-02-05,9.06,9.06,8.78,8.99,2.2475,1872500
2010-02-08,9.05,9.09,8.85,8.86,2.215,558992
2010-02-09,9.0,9.055,8.72,8.83,2.2075,994336
2010-02-10,8.81,9.22,8.66,9.22,2.305,956824
2010-02-11,9.24,9.49,9.01,9.46,2.365,880948
2010-02-12,9.33,9.68,9.25,9.65,2.4125,1068612
2010-02-16,9.75,9.86,9.54,9.73,2.4325,721772
2010-02-17,9.79,9.85,9.61,9.75,2.4375,596788
2010-02-18,9.75,9.8,9.43,9.78,2.445,665632
2010-02-19,9.78,9.78,9.34,9.36,2.34,1726140
2010-02-22,9.36,9.5,9.21,9.43,2.3575,543860
2010-02-23,9.44,9.48,9.13,9.27,2.3175,781336
2010-02-24,9.27,9.38,9.11,9.26,2.315,816716
2010-02-25,9.11,9.12,8.91,9.11,2.2775,823040
2010-02-26,9.13,9.13,8.9,9.04,2.26,814572
2010-03-01,9.04,9.21,9.0,9.21,2.3025,873540
2010-03-02,9.25,9.5,9.23,9.42,2.355,1199136
2010-03-03,9.47,9.47,9.25,9.27,2.3175,796776
2010-03-04,9.3,9.3,9.05,9.09,2.2725,539952
2010-03-05,9.18,9.48,9.18,9.48,2.37,623616
2010-03-08,9.45,9.7825,9.45,9.67,2.4175,870156
2010-03-09,9.7,10.0,9.57,9.685,2.4213,1595400
2010-03-10,9.72,10.25,9.61,10.24,2.56,2009888
2010-03-11,10.2,10.32,10.0,10.11,2.5275,1498976
2010-03-12,10.19,10.19,9.61,9.8,2.45,1055600
2010-03-15,9.73,9.86,9.44,9.77,2.4425,1254836
2010-03-16,9.78,9.82,9.35,9.53,2.3825,1080756
2010-03-17,9.58,9.75,9.52,9.63,2.4075,695596
2010-03-18,9.56,9.75,9.51,9.73,2.4325,819276
2010-03-19,9.79,10.0,9.61,9.85,2.4625,1413756
2010-03-22,9.79,10.4,9.68,10.32,2.58,1288456
2010-03-23,10.39,10.84,10.3,10.82,2.705,2268536
2010-03-24,10.8,10.95,10.52,10.56,2.64,1158064
2010-03-25,10.61,10.72,10.12,10.13,2.5325,1410784
2010-03-26,10.15,10.28,9.8,9.83,2.4575,1588972
2010-03-29,9.89,10.15,9.88,9.97,2.4925,685800
2010-03-30,9.99,10.18,9.78,9.85,2.4625,946680
2010-03-31,9.79,9.93,9.72,9.74,2.435,2082644
2010-04-01,9.78,9.98,9.7,9.93,2.4825,937016
2010-04-05,9.93,10.25,9.84,10.01,2.5025,1264356
2010-04-06,9.94,10.1,9.84,9.87,2.4675,653900
2010-04-07,9.9,10.01,9.36,9.56,2.39,1848656
2010-04-08,9.56,9.58,9.41,9.51,2.3775,1370296
2010-04-09,9.5,9.93,9.46,9.92,2.48,1491660
2010-04-12,9.93,10.21,9.93,10.11,2.5275,911580
2010-04-13,10.11,10.47,10.05,10.42,2.605,1063916
2010-04-14,10.5,10.81,10.5,10.8,2.7,1392128
2010-04-15,10.82,11.0,10.81,10.99,2.7475,865136
2010-04-16,10.99,11.0,10.7,10.86,2.715,1115092
2010-04-19,10.85,10.88,10.52,10.68,2.67,493256
2010-04-20,10.75,10.97,10.6575,10.96,2.74,738652
2010-04-21,10.98,10.98,10.57,10.97,2.7425,778444
2010-04-22,10.85,11.1,10.75,11.01,2.7525,1145832
2010-04-23,11.07,11.2,10.39,10.57,2.6425,1586560
2010-04-26,10.55,10.7,10.35,10.57,2.6425,803028
2010-04-27,10.55,10.85,10.55,10.77,2.6925,1545776
2010-04-28,10.85,10.96,10.72,10.95,2.7375,716260
2010-04-29,11.0,11.37,10.93,11.31,2.8275,1271868
2010-04-30,11.31,11.38,10.82,10.95,2.7375,2954908
2010-05-03,10.95,11.39,10.93,11.35,2.8375,1260668
2010-05-04,11.19,11.19,10.74,10.87,2.7175,1164180
2010-05-05,10.65,10.9,10.3,10.52,2.63,1068412
2010-05-06,10.3,10.33,9.71,9.88,2.47,2814840
2010-05-07,9.88,10.16,9.15,9.27,2.3175,2571300
2010-05-10,9.85,9.8525,9.4,9.52,2.38,1651124
2010-05-11,9.41,10.22,9.28,10.07,2.5175,1286756
2010-05-12,10.13,10.71,10.13,10.67,2.6675,923208
2010-05-13,10.7,11.26,10.7,10.92,2.73,812240
2010-05-14,10.82,11.01,10.69,10.95,2.7375,950608
2010-05-17,10.96,11.16,10.59,10.97,2.7425,970732
2010-05-18,11.13,11.2,10.62,10.68,2.67,630996
2010-05-19,10.71,11.16,10.71,10.93,2.7325,1735508
2010-05-20,10.67,10.83,10.13,10.22,2.555,2100908
2010-05-21,10.02,10.35,9.73,10.32,2.58,2049552
2010-05-24,10.28,10.28,9.92,9.95,2.4875,834740
2010-05-25,9.67,10.1325,9.54,10.09,2.5225,1240036
2010-05-26,10.12,10.56,9.9,9.95,2.4875,1233784
2010-05-27,10.22,10.43,9.97,10.39,2.5975,810948
2010-05-28,10.33,10.6,10.09,10.53,2.6325,888272
