date,open,high,low,close,adjusted_close,volume
2010-01-04,17.99,18.23,17.89,18.15,17.8241,3850000
2010-01-05,18.31,18.87,18.23,18.66,18.3249,6630000
2010-01-06,18.61,18.65,18.06,18.18,17.8536,5050000
2010-01-07,17.91,18.07,17.78,18.04,17.7161,5440000
2010-01-08,18.18,18.45,18.03,18.4,18.0696,4060000
2010-01-11,18.47,18.7,18.13,18.27,17.9419,6140000
2010-01-12,16.74,17.14,16.56,16.85,16.5474,31920000
2010-01-13,16.85,17.22,16.73,17.17,16.8617,14350000
2010-01-14,17.1,17.34,16.98,17.18,16.8715,9110000
2010-01-15,17.21,17.29,16.95,17.03,16.7242,9530000
2010-01-19,16.9,17.22,16.88,17.17,16.8617,7650000
2010-01-20,16.99,17.24,16.62,17.21,16.901,8090000
2010-01-21,17.29,17.57,17.13,17.38,17.0679,12840000
2010-01-22,17.25,17.3,16.7,16.77,16.4689,8720000
2010-01-25,16.9,17.17,16.66,16.83,16.5278,7700000
2010-01-26,16.75,16.96,16.66,16.74,16.4394,6190000
2010-01-27,16.65,17.22,16.65,17.13,16.8224,10950000
2010-01-28,17.11,17.3,16.42,16.77,16.4689,12770000
2010-01-29,16.91,17.09,16.26,16.28,15.9877,7560000
2010-02-01,16.52,16.74,16.32,16.74,16.4394,6580000
2010-02-02,16.73,17.13,16.57,17.07,16.7635,8120000
2010-02-03,16.92,17.32,16.79,17.27,16.9599,6420000
2010-02-04,17.18,17.18,16.82,16.98,16.6751,7190000
2010-02-05,16.85,17.33,16.83,17.26,16.9501,10280000
2010-02-08,17.38,17.86,17.01,17.49,17.1759,16170000
2010-02-09,16.04,16.28,15.7,15.96,15.6734,47400000
2010-02-10,16.04,16.12,15.75,15.94,15.6538,13680000
2010-02-11,15.87,16.2,15.85,16.12,15.8305,8690000
2010-02-12,16.0,16.27,15.92,16.06,15.7716,8430000
2010-02-16,16.14,16.5,16.03,16.31,16.0171,7440000
2010-02-17,16.45,16.66,16.38,16.63,16.3314,9100000
2010-02-18,16.51,16.81,16.5,16.59,16.2921,5230000
2010-02-19,16.54,16.87,16.49,16.75,16.4492,8940000
2010-02-22,16.79,16.95,16.33,16.59,16.2921,7470000
2010-02-23,16.59,16.68,16.22,16.31,16.0171,5670000
2010-02-24,16.41,16.58,16.33,16.52,16.2234,3760000
2010-02-25,16.26,16.58,16.22,16.56,16.2626,6470000
2010-02-26,16.41,16.69,16.38,16.58,16.2823,5750000
2010-03-01,16.63,16.91,16.63,16.87,16.5671,5880000
2010-03-02,16.93,17.05,16.69,16.74,16.4394,5980000
2010-03-03,16.82,16.95,16.76,16.81,16.5082,3320000
