date,open,high,low,close,adjusted_close,volume
2010-01-04,99.35,100.44,99.24,100.38,38.2204,4109932
2010-01-05,99.01,100.0,97.79,99.15,37.7521,4449868
2010-01-06,98.84,99.69,97.67,99.48,37.8778,3650214
2010-01-07,98.89,99.05,97.44,98.55,37.5237,4496644
2010-01-08,97.73,99.29,96.29,99.05,37.714,5911260
2010-01-11,99.58,99.81,97.02,98.14,37.3675,3030656
2010-01-12,95.76,97.1,95.16,95.42,36.3319,4477002
2010-01-13,95.18,98.16,94.05,97.76,37.2739,4303598
2010-01-14,97.675,98.71,97.45,98.0,37.3654,3175628
2010-01-15,98.0,98.89,96.69,96.87,36.9345,5931034
2010-01-19,96.32,97.59,96.07,97.35,37.1176,4412176
2010-01-20,95.82,96.53,95.25,96.33,36.7286,4049566
2010-01-21,96.57,97.57,95.3,96.59,36.8278,6386350
2010-01-22,96.27,97.19,93.77,94.05,35.8593,5838070
2010-01-25,94.86,96.14,94.62,94.97,36.2101,2796360
2010-01-26,93.96,95.07,92.44,93.14,35.5124,3936664
2010-01-27,92.23,93.82,90.1,92.39,35.2264,6554224
2010-01-28,93.01,93.34,89.57,91.51,34.8909,5443144
2010-01-29,91.77,94.03,89.37,90.42,34.4753,6351454
2010-02-01,91.26,95.66,91.25,95.55,36.4313,4457488
2010-02-02,95.84,97.22,94.26,97.03,36.9955,3776038
2010-02-03,96.16,98.2195,96.06,97.2,37.0604,4281042
2010-02-04,95.77,96.04,92.78,92.9,35.4209,4853100
2010-02-05,92.9,93.38,90.02,92.86,35.4056,5978508
2010-02-08,92.54,93.75,90.89,91.58,34.9176,4260554
2010-02-09,93.03,95.3,92.38,94.54,36.0462,5327734
2010-02-10,90.63,90.99,86.78,88.24,33.6441,15979508
2010-02-11,87.92,91.15,87.77,91.06,34.7193,7156354
2010-02-12,89.48,91.24,88.6,90.98,34.6888,5836968
2010-02-16,92.65,93.87,92.27,92.82,35.3904,5396328
2010-02-17,93.1,93.27,92.19,92.86,35.4056,4310490
2010-02-18,92.42,94.82,92.105,94.34,35.9699,4983536
2010-02-19,93.87,95.04,92.99,94.64,36.0843,3841086
2010-02-22,95.22,95.22,91.8,92.11,35.1196,3793306
2010-02-23,91.4,91.95,89.6,89.91,34.2808,4299838
2010-02-24,91.41,92.98,90.82,92.68,35.337,5405310
2010-02-25,90.66,93.33,89.95,93.22,35.5429,3998730
