date,open,high,low,close,adjusted_close,volume
2010-01-04,106.52,109.62,106.51,109.56,84.567,576269
2010-01-05,109.59,109.59,108.38,108.54,83.7797,681901
2010-01-06,108.95,110.57,108.22,109.53,84.5438,1397513
2010-01-07,109.25,110.3542,106.6387,107.29,82.8148,797106
2010-01-08,106.8,107.28,105.9,106.77,82.4135,432345
2010-01-11,106.97,108.15,106.7,107.65,83.0927,568336
2010-01-12,106.6,107.65,102.96,103.29,79.7273,948016
2010-01-13,102.25,104.36,102.25,103.08,79.5652,704086
2010-01-14,103.32,104.77,103.32,104.12,80.368,954664
2010-01-15,104.38,104.484,101.55,102.11,78.8165,814524
2010-01-19,101.87,104.16,101.6,103.93,80.2213,616341
2010-01-20,102.85,104.03,101.97,103.45,79.8508,411497
2010-01-21,103.19,106.26,103.12,103.37,79.7891,788684
2010-01-22,103.2,104.26,98.67,99.02,76.4314,1259348
2010-01-25,99.76,101.1,99.1001,100.09,77.2573,550432
2010-01-26,99.4,100.19,98.77,99.46,76.771,657814
2010-01-27,98.9,99.58,97.82,99.25,76.6089,713498
2010-01-28,99.17,99.17,95.86,97.76,75.4588,380007
2010-01-29,98.12,99.71,96.0,96.23,74.2779,714975
2010-02-01,96.69,97.82,95.3,95.85,73.9845,1243919
2010-02-02,95.91,97.24,94.68,96.58,74.548,1431059
2010-02-03,96.52,97.29,95.28,96.0,74.1003,736981
2010-02-04,95.33,95.75,92.55,92.72,71.5686,997644
2010-02-05,92.88,93.12,90.49,92.99,71.777,876940
2010-02-08,92.99,93.38,91.76,91.76,70.8276,633296
2010-02-09,92.97,93.6,91.58,93.01,71.7924,994831
2010-02-10,92.73,94.31,92.4,93.01,71.7924,1240278
2010-02-11,93.23,95.73,91.17,95.23,73.506,2107805
2010-02-12,94.51,95.92,93.2,95.89,74.0154,934569
2010-02-16,95.98,96.11,94.68,95.76,73.9151,753330
2010-02-17,95.83,96.25,94.86,96.18,74.2393,502495
2010-02-18,95.42,96.53,94.32,95.03,73.3516,559924
2010-02-19,94.58,95.46,94.5,95.01,73.3362,491941
2010-02-22,94.84,94.98,93.72,94.51,72.9502,535307
2010-02-23,94.1,94.81,93.13,93.23,71.9622,827090
2010-02-24,93.72,94.9,93.34,94.83,73.1972,554400
2010-02-25,93.82,94.39,92.7008,94.33,72.8113,862394
2010-02-26,94.56,94.56,93.59,94.47,72.9193,641967
2010-03-01,94.99,97.91,94.48,97.8,75.4897,836601
2010-03-02,97.86,99.07,97.45,98.21,75.8062,609718
2010-03-03,98.18,98.77,96.98,97.13,74.9725,612291
2010-03-04,97.08,99.0,96.97,98.75,76.223,504961
2010-03-05,98.98,103.19,98.37,102.74,79.3028,1460009
2010-03-08,103.08,104.23,102.4,102.62,79.2102,841725
2010-03-09,102.56,102.81,101.5,102.3,78.9632,519315
2010-03-10,102.03,103.51,101.39,103.06,79.5498,785863
2010-03-11,102.72,104.44,102.41,104.44,80.615,552668
