date,open,high,low,close,adjusted_close,volume
2010-01-04,34.06,34.53,33.23,33.4,17.9336,3299404
2010-01-05,33.32,33.49,32.91,33.27,17.8638,4545384
2010-01-06,33.27,33.65,33.27,33.46,17.9658,3409701
2010-01-07,33.29,34.18,33.18,33.78,18.1376,3637100
2010-01-08,33.65,33.87,33.09,33.35,17.9068,2325843
2010-01-11,33.57,33.85,33.14,33.25,17.8531,2320577
2010-01-12,32.98,33.29,32.52,32.77,17.5953,2684583
2010-01-13,32.93,33.89,32.88,33.81,18.1538,3127960
2010-01-14,33.52,33.86,33.35,33.75,18.1215,1810750
2010-01-15,33.57,33.67,33.26,33.37,17.9175,2485544
2010-01-19,33.8,34.46,33.46,34.42,18.4813,2516908
2010-01-20,34.12,34.12,33.64,33.77,18.1323,2940975
2010-01-21,33.79,34.2293,32.88,32.93,17.6813,4540480
2010-01-22,32.96,33.39,31.81,31.93,17.1443,4798264
2010-01-25,32.27,32.39,31.48,31.92,17.1389,3559338
2010-01-26,31.79,32.37,31.49,31.86,17.1067,2341159
2010-01-27,31.78,32.49,31.4,32.44,17.4182,3021004
2010-01-28,32.64,32.67,31.89,32.28,17.3322,2205254
2010-01-29,32.39,32.71,31.78,32.05,17.2088,3315428
2010-02-01,32.32,32.85,32.25,32.77,17.5953,2506236
2010-02-02,32.76,33.35,32.43,33.35,17.9068,3170703
2010-02-03,33.14,33.14,32.28,32.37,17.3806,2428945
2010-02-04,33.99,34.72,32.69,32.72,17.5685,7454034
2010-02-05,32.9,33.32,32.05,32.97,17.7027,4660933
2010-02-08,32.94,33.23,32.37,32.44,17.4182,3304241
2010-02-09,32.84,32.96,32.12,32.4,17.3967,3456669
2010-02-10,32.36,32.84,31.82,32.26,17.3215,3014836
2010-02-11,32.1,32.78,31.88,32.76,17.59,2615252
2010-02-12,32.45,33.26,32.19,33.2,17.8262,3192787
2010-02-16,33.8,34.45,33.56,34.39,18.4652,3112978
2010-02-17,34.44,34.67,34.3,34.6,18.5779,2615034
2010-02-18,34.39,35.26,34.37,35.07,18.8303,3128849
2010-02-19,34.88,35.59,34.7,35.46,19.0397,3696103
2010-02-22,35.5,36.23,35.21,35.92,19.2867,4216875
2010-02-23,35.97,35.97,35.48,35.7,19.1686,4729613
2010-02-24,35.84,36.11,35.48,36.11,19.3887,3002967
2010-02-25,35.67,36.25,35.34,36.24,19.4585,2843313
2010-02-26,36.21,36.5,36.01,36.08,19.3726,3645715
2010-03-01,36.45,36.45,35.98,36.1,19.3833,2461410
2010-03-02,36.22,36.36,35.93,36.12,19.3941,2008974
2010-03-03,36.2,36.2,35.74,35.84,19.2437,2456550
2010-03-04,35.94,36.19,35.79,36.08,19.3726,2356289
2010-03-05,36.27,37.31,36.03,37.27,20.0115,3557359
2010-03-08,37.25,37.71,37.15,37.62,20.1995,2450179
2010-03-09,37.35,38.63,37.31,38.3,20.5646,5593887
2010-03-10,38.41,38.49,37.9,38.41,20.6237,3577606
2010-03-11,38.01,38.15,37.61,38.14,20.6605,2076081
2010-03-12,38.3,38.5,37.8,38.07,20.6226,2517790
2010-03-15,37.97,38.27,37.49,38.11,20.6442,2118043
2010-03-16,38.38,39.48,38.2,39.37,21.3268,3139351
2010-03-17,39.57,39.98,39.29,39.91,21.6193,2725514
2010-03-18,39.91,40.43,39.61,39.64,21.473,3333678
2010-03-19,39.64,39.83,39.09,39.31,21.2943,4076723
2010-03-22,39.09,39.76,38.95,39.65,21.4785,2609263
2010-03-23,39.5,39.62,39.02,39.54,21.4189,2192966
2010-03-24,39.11,39.7,39.05,39.37,21.3268,4154232
2010-03-25,39.57,40.19,39.45,39.5,21.3972,4088870
2010-03-26,39.68,39.84,39.08,39.35,21.3159,2853689
2010-03-29,39.54,39.56,39.11,39.36,21.3214,2162821
2010-03-30,39.38,39.76,39.11,39.49,21.3918,2619537
2010-03-31,39.14,39.59,39.0,39.15,21.2076,2559313
2010-04-01,39.47,39.47,38.84,39.13,21.1968,2454996
2010-04-05,39.26,40.26,39.21,40.23,21.7926,3486188
2010-04-06,40.07,41.6002,39.96,41.56,22.5131,3894702
2010-04-07,41.41,41.61,40.46,40.63,22.0093,3551616
2010-04-08,40.33,40.62,40.18,40.56,21.9714,3425583
2010-04-09,40.71,41.96,40.69,41.95,22.7244,3562408
2010-04-12,41.91,42.16,41.71,41.97,22.7352,2788571
2010-04-13,41.96,43.17,41.9,43.03,23.3094,3347013
2010-04-14,43.38,43.38,42.8,43.09,23.3419,2726651
2010-04-15,42.98,43.17,41.93,42.04,22.7731,3183494
2010-04-16,41.75,42.17,40.96,41.11,22.2693,4143351
2010-04-19,40.77,41.52,40.54,41.15,22.291,2764235
2010-04-20,41.36,42.01,41.0,42.01,22.7569,1986532
2010-04-21,41.97,43.53,41.85,42.94,23.2607,3602543
2010-04-22,42.5,43.85,42.25,43.75,23.6994,3168890
2010-04-23,43.85,44.65,43.46,44.6,24.1599,3677256
2010-04-26,45.13,45.67,44.86,45.26,24.5174,3190323
2010-04-27,44.94,45.38,43.68,43.7,23.6723,3516997
2010-04-28,44.17,44.42,43.76,43.92,23.7915,3129335
2010-04-29,44.51,47.38,44.26,47.16,25.5466,5231664
2010-04-30,45.63,47.08,45.1301,45.27,24.5228,4711431
2010-05-03,45.64,48.0,45.64,47.52,25.7416,4186630
2010-05-04,46.98,47.56,46.5,47.01,25.4654,3873048
2010-05-05,46.7,47.35,45.92,46.27,25.0645,3228741
2010-05-06,45.99,47.45,41.5,44.33,24.0136,6128751
2010-05-07,44.33,45.52,42.8,43.43,23.5261,4620819
2010-05-10,45.88,47.12,45.36,47.0,25.46,4667332
2010-05-11,46.28,47.93,45.95,47.33,25.6387,3829822
2010-05-12,47.46,48.455,47.27,48.1,26.0558,3339857
2010-05-13,48.01,48.32,46.92,47.01,25.4654,2891127
2010-05-14,46.43,46.74,45.0,45.62,24.7124,3804666
2010-05-17,45.71,46.53,44.48,45.91,24.8695,3228202
2010-05-18,46.82,46.87,44.43,44.59,24.1545,3735117
2010-05-19,44.29,45.43,43.19,44.5,24.1057,3753731
2010-05-20,43.2,43.9,42.2,42.28,22.9031,5757254
2010-05-21,41.39,44.01,41.27,43.96,23.8132,5660660
2010-05-24,44.04,44.07,42.54,42.61,23.0819,3225332
2010-05-25,41.44,43.44,40.9,43.4,23.5098,4319514
2010-05-26,44.08,44.64,43.12,43.37,23.4936,4133735
2010-05-27,44.29,45.83,43.85,45.75,24.7828,3851721
2010-05-28,45.61,46.04,44.99,45.13,24.447,3608266
2010-06-01,44.63,45.39,44.2,44.33,24.0136,3497501
2010-06-02,44.75,44.78,43.7,44.51,24.1111,5248732
2010-06-03,44.54,45.04,43.94,44.31,24.0028,3332282
2010-06-04,42.97,43.83,41.0,41.23,22.3343,5339739
2010-06-07,41.55,42.04,40.77,40.86,22.1339,4264748
2010-06-08,41.05,41.97,39.79,41.82,22.654,4228497
2010-06-09,42.25,43.38,41.59,41.81,22.6485,4334403
2010-06-10,42.47,44.26,42.29,44.2,23.9432,3536210
2010-06-11,43.6,44.61,43.38,44.55,24.1328,2146597
2010-06-14,44.97,45.47,44.72,45.22,24.4957,3884839
2010-06-15,45.52,46.48,45.11,46.43,25.1512,2938375
2010-06-16,45.66,46.22,45.57,45.85,25.0191,2532564
