date,open,high,low,close,adjusted_close,volume
2010-01-04,64.21,65.14,63.88,64.32,21.3693,2347600
2010-01-05,64.45,64.45,63.23,63.94,21.2431,2946600
2010-01-06,63.55,64.01,63.08,63.66,21.1501,4188000
2010-01-07,63.37,64.64,63.23,64.6,21.4624,2993000
2010-01-08,64.21,66.09,63.93,66.05,21.9441,2767800
2010-01-11,66.12,69.3,66.12,69.07,22.9474,5802400
2010-01-12,68.46,69.55,67.97,68.19,22.6551,3668000
2010-01-13,68.26,69.0,67.73,68.89,22.8876,3168800
2010-01-14,68.64,69.39,68.5,69.01,22.9275,2061600
2010-01-15,69.03,69.12,67.69,67.75,22.5089,3069600
2010-01-19,68.07,70.15,68.07,69.8,23.19,4371000
2010-01-20,68.77,69.06,67.73,68.39,22.7215,2905400
2010-01-21,68.14,68.79,66.48,66.74,22.1733,3435400
2010-01-22,66.63,67.12,65.68,65.88,21.8876,3770800
2010-01-25,67.93,68.0,64.49,64.58,21.4557,8600000
2010-01-26,64.86,65.24,63.58,64.13,21.3062,4987800
2010-01-27,64.12,64.46,61.91,63.32,21.0371,6130600
2010-01-28,63.71,63.71,62.0,62.53,20.7746,3246200
2010-01-29,62.8,63.18,61.09,61.24,20.346,4108200
2010-02-01,61.64,64.45,61.48,64.37,21.3859,5801000
2010-02-02,64.2,65.22,64.08,65.15,21.6451,3712200
2010-02-03,64.96,65.74,64.62,64.77,21.5188,2241000
2010-02-04,63.68,63.68,61.81,61.92,20.732,3923600
2010-02-05,61.8,62.45,60.83,62.0,20.7588,4306800
2010-02-08,62.21,63.2,61.65,61.98,20.7521,4362000
2010-02-09,62.75,64.41,62.13,63.86,21.3816,5204800
2010-02-10,63.93,64.23,62.91,63.53,21.2711,2352800
2010-02-11,63.48,64.91,63.0,64.84,21.7097,2612800
2010-02-12,63.96,65.22,63.27,65.02,21.7699,3581800
2010-02-16,65.82,66.77,64.94,66.64,22.3124,3749800
2010-02-17,66.86,67.42,66.13,67.04,22.4463,3524400
2010-02-18,66.98,67.82,66.89,67.61,22.6371,2185400
2010-02-19,67.47,68.02,67.14,67.72,22.674,3417800
2010-02-22,68.07,68.07,67.21,67.43,22.5769,2425000
2010-02-23,67.31,67.72,66.12,66.37,22.222,2576600
2010-02-24,66.43,67.04,66.22,66.81,22.3693,2153800
2010-02-25,65.43,67.04,64.58,66.95,22.4161,4099600
2010-02-26,67.8,69.3,67.13,68.12,22.8079,4776200
2010-03-01,68.14,70.0,68.09,70.0,23.4373,3980800
2010-03-02,70.45,70.69,69.81,70.02,23.444,2890000
2010-03-03,71.85,72.58,71.0,71.54,23.953,4761000
