date,open,high,low,close,adjusted_close,volume
2010-01-04,82.1,82.73,81.755,82.15,44.2608,1049373
2010-01-05,82.28,82.3,80.36,80.84,43.555,1157078
2010-01-06,80.79,81.34,80.42,81.25,43.7759,1011891
2010-01-07,80.96,81.03,80.25,80.28,43.2533,1250772
2010-01-08,80.38,80.57,79.22,79.51,42.8384,1652735
2010-01-11,79.98,81.53,79.75,81.05,43.6681,2014041
2010-01-12,81.77,82.12,81.2,81.72,44.0291,1786328
2010-01-13,81.71,83.01,81.66,82.88,44.6541,1104108
2010-01-14,82.87,83.09,82.15,82.8,44.611,965907
2010-01-15,82.55,82.62,80.93,81.85,44.0992,1919867
2010-01-19,81.9,82.19,80.87,82.16,44.2662,884005
2010-01-20,81.95,81.95,80.06,81.06,43.6735,1263443
2010-01-21,81.58,82.73,79.3,79.75,42.9677,2483978
2010-01-22,79.74,79.81,78.48,78.54,42.3158,1455604
2010-01-25,79.2,79.24,77.76,78.73,42.4182,1175998
2010-01-26,78.59,79.55,78.1,79.31,42.7307,1297845
2010-01-27,79.3,79.3,77.72,78.72,42.4128,1032056
2010-01-28,78.85,79.03,77.08,77.1,41.54,1630793
2010-01-29,77.49,77.82,76.23,76.31,41.1143,2528760
2010-02-01,76.62,77.43,75.9,77.23,41.61,1392235
2010-02-02,77.29,79.73,76.61,78.78,42.4451,1713220
2010-02-03,79.0,79.93,78.78,79.74,42.9623,1634303
2010-02-04,79.08,80.18,77.04,77.11,41.5454,2353065
2010-02-05,76.97,77.21,75.52,77.09,41.5346,1891289
2010-02-08,77.05,77.35,76.22,76.29,41.1036,1008360
2010-02-09,75.91,76.94,75.54,76.26,41.4953,2135820
2010-02-10,77.71,77.71,75.95,76.67,41.7184,1956017
2010-02-11,76.73,77.77,75.98,77.55,42.1973,2168859
2010-02-12,76.52,77.23,76.3,77.14,41.9742,1645384
2010-02-16,77.77,79.0,77.55,78.99,42.9808,1063315
2010-02-17,79.44,79.52,77.84,78.26,42.5836,2060112
2010-02-18,78.09,78.75,77.7,78.04,42.4639,1476933
2010-02-19,77.99,78.82,77.39,78.75,42.8502,1773971
2010-02-22,79.18,79.18,77.61,77.72,42.2898,1089141
2010-02-23,77.69,77.89,76.9,77.4,42.1156,1167548
2010-02-24,77.44,77.44,75.69,76.73,41.7511,1416679
2010-02-25,76.37,76.56,75.25,76.52,41.6368,1231947
2010-02-26,76.42,76.76,75.87,75.97,41.3375,1452613
2010-03-01,76.07,78.15,75.97,77.77,42.317,1348078
2010-03-02,78.13,78.72,78.13,78.45,42.687,1842155
2010-03-03,78.45,78.645,77.65,77.83,42.3496,1181364
2010-03-04,77.73,78.28,77.27,78.24,42.5727,1117981
2010-03-05,78.28,79.64,77.9901,79.45,43.2311,1482548
2010-03-08,79.47,79.69,79.28,79.55,43.2855,1080036
2010-03-09,79.34,79.58,78.9,79.17,43.0787,1254148
2010-03-10,79.02,79.57,78.89,79.52,43.2692,1006062
2010-03-11,79.29,79.8,78.94,79.8,43.4215,756725
2010-03-12,79.87,79.87,78.14,78.25,42.5781,717858
2010-03-15,78.36,78.92,77.91,78.81,42.8829,739212
2010-03-16,78.95,80.38,78.42,80.26,43.6718,995654
2010-03-17,80.31,80.65,79.77,80.58,43.846,1291390
2010-03-18,80.37,80.44,79.42,80.37,43.7317,1553795
2010-03-19,80.34,80.91,80.12,80.69,43.9058,1925009
2010-03-22,80.4,80.87,79.85,79.91,43.4814,1132941
2010-03-23,80.02,80.53,79.74,80.07,43.5685,959907
2010-03-24,80.0,80.0,79.15,79.2,43.0951,813124
2010-03-25,79.39,79.89,78.5,79.39,43.1985,1953614
2010-03-26,79.35,80.48,79.13,80.28,43.6827,1349586
2010-03-29,80.6,81.75,80.56,81.61,44.4064,949559
2010-03-30,81.47,82.115,81.24,82.05,44.6458,964340
2010-03-31,81.56,81.86,80.76,81.35,44.2649,892293
2010-04-01,81.76,82.655,81.63,82.32,44.7928,785595
2010-04-05,82.34,82.34,80.08,81.61,44.4064,2747503
2010-04-06,81.39,84.33,80.93,84.07,45.745,2208823
2010-04-07,83.78,83.92,81.72,82.1,44.673,2368803
2010-04-08,81.94,82.25,81.43,81.97,44.6023,1339500
2010-04-09,81.94,82.37,81.08,82.26,44.7601,873901
2010-04-12,82.59,82.85,82.03,82.21,44.7329,778076
2010-04-13,82.11,82.11,81.14,81.66,44.4336,1300219
2010-04-14,81.78,82.24,81.01,81.38,44.2813,1500214
2010-04-15,81.49,81.62,80.68,81.06,44.1071,1306648
2010-04-16,81.0,81.24,79.89,80.19,43.6338,1365979
2010-04-19,80.01,80.62,79.71,80.55,43.8296,1128076
2010-04-20,80.91,81.7,80.74,81.7,44.4554,983899
2010-04-21,81.59,82.19,81.51,82.0,44.6186,1465599
2010-04-22,81.65,82.21,81.11,82.08,44.6622,1407584
2010-04-23,81.81,82.29,81.38,82.28,44.771,945621
2010-04-26,82.25,82.56,81.7,81.73,44.4717,971539
2010-04-27,81.17,82.14,80.18,80.36,43.7263,1059583
2010-04-28,80.86,81.07,79.71,79.95,43.5032,1972764
2010-04-29,80.22,81.15,79.66,80.55,43.8296,954727
2010-04-30,80.69,81.88,80.25,81.29,44.2323,1422271
2010-05-03,81.54,81.96,81.1,81.57,44.3847,1158338
2010-05-04,81.0,81.085,79.26,79.64,43.3345,1053422
2010-05-05,79.22,79.99,78.59,79.19,43.0896,1147349
2010-05-06,79.08,79.33,72.6,76.6,41.6803,2530377
2010-05-07,76.6,76.95,74.79,75.79,41.2396,2776941
2010-05-10,77.5,77.5,75.87,76.66,42.1748,2072453
2010-05-11,76.09,78.56,75.78,77.63,42.7085,1608587
2010-05-12,77.48,79.26,77.48,78.97,43.4457,1484205
2010-05-13,78.66,79.78,77.82,78.67,43.2807,1609536
2010-05-14,78.21,78.67,77.15,77.42,42.593,1518834
2010-05-17,77.57,77.78,76.64,77.47,42.6205,1530562
2010-05-18,77.6,78.1,76.82,76.95,42.3344,1456008
2010-05-19,76.81,77.29,76.37,76.8,42.2519,1259807
2010-05-20,75.4,76.38,74.55,74.74,41.1186,1369318
2010-05-21,74.0,75.05,72.93,74.6,41.0415,2050245
2010-05-24,74.19,75.14,73.645,73.8,40.6014,1341736
