date,open,high,low,close,adjusted_close,volume
2015-04-16,31.0,35.74,28.22,30.0,30.0,19763330
2015-04-17,29.77,30.3,26.51,27.58,27.58,3965469
2015-04-20,28.77,28.9,24.87,24.9,24.9,3076216
2015-04-21,24.97,26.04,24.56,25.75,25.75,2185407
2015-04-22,26.0,26.24,24.95,25.12,25.12,1442915
2015-04-23,24.93,25.74,24.08,25.62,25.62,1299238
2015-04-24,25.55,25.7,25.0,25.58,25.58,532833
2015-04-27,25.7,26.47,25.21,25.9,25.9,731504
2015-04-28,25.75,25.9,24.18,24.49,24.49,954977
2015-04-29,24.49,24.9686,22.32,22.42,22.42,1674691
2015-04-30,22.66,23.1799,21.82,22.24,22.24,1221650
2015-05-01,22.25,23.0,21.27,21.75,21.75,687379
2015-05-04,21.75,23.285,21.75,23.24,23.24,648635
2015-05-05,23.22,24.32,21.9,24.15,24.15,1065845
2015-05-06,24.15,25.4196,23.032,23.4,23.4,1290653
2015-05-07,23.4,24.42,22.715,23.69,23.69,616890
2015-05-08,23.93,24.1,22.5,22.71,22.71,784007
2015-05-11,20.71,21.49,20.02,20.85,20.85,2115351
2015-05-12,21.23,21.45,20.3601,20.57,20.57,1140278
2015-05-13,20.5,20.78,19.5,19.83,19.83,1536009
2015-05-14,19.83,20.75,19.6153,20.6,20.6,1044166
2015-05-15,20.56,20.8199,19.51,20.05,20.05,1177791
2015-05-18,19.51,20.75,19.15,20.56,20.56,1211067
2015-05-19,20.56,21.31,19.66,21.0,21.0,2015138
2015-05-20,16.9,17.32,15.7,17.2,17.2,11105200
2015-05-21,17.37,17.69,16.91,17.51,17.51,2319080
2015-05-22,17.82,18.15,17.0,17.17,17.17,2012076
2015-05-26,16.59,17.3,16.1801,17.09,17.09,1798475
2015-05-27,17.02,17.63,16.85,17.06,17.06,878589
2015-05-28,16.95,17.1,16.72,17.04,17.04,489191
2015-05-29,17.0,17.1,16.5,16.76,16.76,940363
2015-06-01,16.76,16.77,16.0,16.05,16.05,858370
2015-06-02,15.98,16.1,15.73,15.86,15.86,763034
2015-06-03,15.7,15.8747,14.96,15.32,15.32,1432977
2015-06-04,15.25,15.63,15.0,15.07,15.07,807976
2015-06-05,15.15,15.2799,14.64,15.03,15.03,712415
2015-06-08,14.95,15.13,14.68,14.86,14.86,503307
2015-06-09,15.11,16.25,15.01,15.99,15.99,2273800
2015-06-10,16.05,18.42,16.01,16.78,16.78,3384287
2015-06-11,17.08,17.6831,16.75,16.86,16.86,1418064
2015-06-12,16.75,17.14,16.32,16.64,16.64,747291
2015-06-15,16.2,17.1,16.14,16.32,16.32,1088417
2015-06-16,16.51,16.89,16.2,16.29,16.29,767566
2015-06-17,16.3,16.49,15.65,15.77,15.77,1427871
2015-06-18,15.77,15.87,14.9,15.33,15.33,1386563
2015-06-19,15.26,15.39,14.3,14.31,14.31,2590318
2015-06-22,14.38,14.72,13.78,14.42,14.42,1537430
2015-06-23,14.45,14.8,14.1301,14.34,14.34,916859
2015-06-24,14.33,14.59,14.17,14.39,14.39,842452
2015-06-25,14.43,14.96,14.2,14.9,14.9,874884
2015-06-26,14.28,14.57,13.95,14.25,14.25,4215946
2015-06-29,14.0,14.31,13.91,14.23,14.23,1251403
2015-06-30,14.3,14.4238,13.95,14.05,14.05,1509222
2015-07-01,14.13,14.48,13.96,14.01,14.01,1764880
2015-07-02,14.0,14.24,12.81,13.27,13.27,1977538
2015-07-06,13.46,13.46,12.8,13.4,13.4,1435040
2015-07-07,13.51,13.53,13.0001,13.32,13.32,1030716
