date,open,high,low,close,adjusted_close,volume
2010-01-04,35.09,35.18,34.84,35.08,29.2904,1062400
2010-01-05,34.99,35.34,34.87,35.32,29.4908,1393500
2010-01-06,35.17,35.35,34.43,34.5,28.8061,2028700
2010-01-07,34.4,34.53,34.01,34.29,28.6308,1186400
2010-01-08,34.29,35.08,34.29,34.65,28.9313,3329500
2010-01-11,34.61,35.12,34.44,34.79,29.0482,2296600
2010-01-12,34.5,34.72,34.36,34.49,28.7978,2665100
2010-01-13,34.6,34.89,34.24,34.81,29.0649,1905700
2010-01-14,34.66,34.88,34.5,34.71,28.9814,1332100
2010-01-15,34.84,34.89,34.12,34.47,28.7811,2866500
2010-01-19,34.41,34.7,34.28,34.46,28.7727,1681200
2010-01-20,34.32,34.44,33.77,34.36,28.6892,2029900
2010-01-21,35.43,36.45,34.47,35.36,29.5242,5102700
2010-01-22,35.41,35.41,34.53,34.58,28.8729,3292700
2010-01-25,34.72,34.74,34.07,34.67,28.948,2309700
2010-01-26,34.43,34.84,34.23,34.55,28.8479,2050900
2010-01-27,34.37,34.76,34.11,34.71,28.9814,1558100
2010-01-28,34.75,34.75,34.13,34.3,28.6391,2253200
2010-01-29,34.5,34.93,34.05,34.1,28.4721,2097000
2010-02-01,34.1,34.65,33.97,34.46,28.7727,2564600
2010-02-02,34.43,34.92,34.06,34.8,29.0566,2531700
2010-02-03,34.03,34.16,33.35,33.97,28.3636,5831300
2010-02-04,33.79,33.98,33.42,33.42,27.9043,2623400
2010-02-05,33.5,33.87,32.44,33.03,27.5787,3252900
2010-02-08,32.96,33.31,32.7,32.96,27.5203,1499000
2010-02-09,33.24,33.98,33.21,33.46,27.9377,2847900
2010-02-10,33.36,33.42,32.8,33.1,27.6372,1503900
2010-02-11,32.98,33.37,32.82,32.95,27.5119,2463700
2010-02-12,32.5,32.91,32.36,32.87,27.4451,2626400
2010-02-16,33.76,34.12,33.31,33.92,28.3218,2557400
2010-02-17,34.14,34.29,33.9,34.19,28.5473,1172800
2010-02-18,34.22,34.27,33.74,33.94,28.3385,1473600
2010-02-19,33.76,34.38,33.76,34.32,28.6558,2177600
