date,open,high,low,close,adjusted_close,volume
2010-01-04,42.02,42.37,41.69,42.03,7.3126,6863792
2010-01-05,41.92,42.95,41.75,42.9,7.4639,5797416
2010-01-06,44.19,46.48,44.01,45.73,7.9563,20658764
2010-01-07,45.33,46.885,44.68,46.51,8.092,12490148
2010-01-08,46.91,47.16,46.0576,46.98,8.1738,6632240
2010-01-11,46.96,46.98,45.75,46.06,8.0137,7969656
2010-01-12,45.75,46.28,45.55,46.05,8.012,5054656
2010-01-13,46.2,46.93,45.88,46.69,8.1233,5321888
2010-01-14,46.44,47.28,46.03,46.3,8.0555,5339012
2010-01-15,45.5,46.8,45.42,45.86,7.9789,6596784
2010-01-19,43.53,46.48,43.35,44.82,7.798,18768740
2010-01-20,44.55,44.64,43.11,44.26,7.7005,7822600
2010-01-21,44.27,44.66,43.46,43.51,7.5701,6307840
2010-01-22,43.6,43.95,42.35,42.55,7.403,4772484
2010-01-25,42.8,42.84,42.03,42.64,7.4187,4234728
2010-01-26,42.53,42.63,42.06,42.15,7.3334,4562984
2010-01-27,41.91,42.36,41.75,42.25,7.3508,4357348
2010-01-28,42.45,42.45,41.01,41.49,7.2186,5966536
2010-01-29,41.62,42.51,41.45,41.48,7.2169,5722840
2010-02-01,41.59,42.02,41.39,41.53,7.2256,5688240
2010-02-02,41.73,43.05,41.64,42.95,7.4726,7949976
2010-02-03,42.76,43.205,42.67,43.02,7.4848,4773004
2010-02-04,42.78,42.89,42.03,42.14,7.3317,6236740
2010-02-05,42.33,42.68,41.34,41.99,7.3056,7738440
2010-02-08,41.97,42.0,41.13,41.21,7.1699,6295924
2010-02-09,41.78,42.6,41.56,42.34,7.3665,5452820
2010-02-10,42.06,42.6,41.37,41.53,7.2921,4502648
2010-02-11,41.3,42.17,40.97,42.14,7.3992,3525612
2010-02-12,41.75,42.0622,41.44,41.83,7.3448,4262344
2010-02-16,42.2,43.01,42.01,42.98,7.5467,4319012
2010-02-17,43.06,43.34,42.59,43.12,7.5713,3232872
2010-02-18,43.21,43.66,43.14,43.64,7.6626,3139248
2010-02-19,43.37,44.08,43.34,43.87,7.703,3436892
2010-02-22,44.0,44.28,43.77,44.06,7.7363,3370892
2010-02-23,44.08,44.35,43.78,43.93,7.7135,4558160
2010-02-24,44.23,44.43,43.87,44.18,7.7574,2672912
2010-02-25,43.38,44.43,43.31,44.37,7.7908,4361224
2010-02-26,44.36,44.64,44.01,44.37,7.7908,5261472
2010-03-01,44.4,45.0,44.19,44.92,7.8874,6517400
2010-03-02,45.0,45.24,44.64,44.82,7.8698,4657072
2010-03-03,45.04,45.53,44.95,45.02,7.9049,4640944
2010-03-04,45.24,45.42,44.87,45.09,7.9172,4554252
2010-03-05,45.17,45.78,45.13,45.7,8.0243,5605144
2010-03-08,45.58,45.81,45.2,45.45,7.9804,3582220
2010-03-09,45.46,45.65,45.08,45.29,7.9523,4378756
2010-03-10,45.17,45.58,45.1,45.27,7.9488,3648248
2010-03-11,45.05,45.23,44.71,45.22,7.94,3856012
2010-03-12,45.31,45.36,44.86,45.27,7.9488,3005388
2010-03-15,45.31,45.935,45.14,45.88,8.0559,3916660
2010-03-16,45.81,46.38,45.593,46.35,8.1384,4368736
2010-03-17,46.45,47.47,46.25,47.44,8.3298,4766156
2010-03-18,46.92,47.655,46.92,47.34,8.3123,3428448
