date,open,high,low,close,adjusted_close,volume
2010-01-04,82.61,83.6,82.55,83.46,30.8434,18085248
2010-01-05,83.51,84.5,83.13,83.96,31.0282,17314760
2010-01-06,84.86,87.98,84.77,87.31,32.2662,30693700
2010-01-07,86.53,86.8,85.01,85.64,31.649,19504914
2010-01-08,85.94,88.2,84.81,88.1,32.5581,21313060
2010-01-11,89.97,90.55,87.08,88.09,32.5545,30931040
2010-01-12,86.44,86.61,83.47,84.77,31.3275,34168738
2010-01-13,85.3,86.41,83.06,86.15,31.8898,24561020
2010-01-14,86.39,86.7,84.51,85.08,31.4937,18690694
2010-01-15,85.0,85.65,83.97,84.3,31.205,25939860
2010-01-19,84.72,84.79,83.4,84.6,31.316,22957360
2010-01-20,83.14,84.07,81.2,83.52,30.9163,34635122
2010-01-21,82.81,82.9,76.0,76.28,28.2363,68718868
2010-01-22,73.84,77.44,72.55,74.23,27.4774,60624000
2010-01-25,75.23,76.09,74.32,74.6,27.6144,32663320
2010-01-26,73.47,73.99,71.57,71.99,26.6482,43120122
2010-01-27,71.27,72.36,68.8,71.25,26.3743,48950622
2010-01-28,72.59,72.76,67.8,68.82,25.4748,63514398
2010-01-29,69.85,71.28,66.2,66.69,24.6864,51178602
2010-02-01,68.13,71.64,68.05,71.59,26.5002,48838360
2010-02-02,73.26,73.65,71.18,72.51,26.8407,51279340
2010-02-03,71.72,73.19,69.65,70.46,26.0819,46258160
2010-02-04,68.51,68.99,66.5,66.74,24.7049,53759980
2010-02-05,66.74,70.29,66.03,70.23,25.9968,74929132
2010-02-08,70.77,71.99,68.91,69.2,25.6155,47861140
2010-02-09,71.13,72.95,70.79,71.58,26.4965,50452122
2010-02-10,71.22,71.79,69.16,71.03,26.2929,38632460
2010-02-11,71.68,74.73,70.92,74.17,27.4552,45868122
2010-02-12,72.41,73.84,71.51,73.68,27.2738,43072422
2010-02-16,75.62,76.07,74.85,75.94,28.1104,34526140
2010-02-17,76.33,76.64,73.89,75.12,27.8069,32810500
2010-02-18,74.62,76.79,74.57,76.6,28.3547,37814122
2010-02-19,76.0,77.88,75.85,77.16,28.562,30231660
2010-02-22,77.52,77.7,76.16,76.24,28.2215,24431380
2010-02-23,75.65,76.15,73.07,73.64,27.259,35792262
2010-02-24,73.58,74.4352,71.91,72.68,26.9037,34098040
2010-02-25,70.65,74.24,70.37,74.07,27.4182,42680000
