date,open,high,low,close,adjusted_close,volume
2010-01-04,46.62,46.92,46.41,46.77,24.2434,1840831
2010-01-05,46.65,46.84,45.665,46.25,23.9738,2922236
2010-01-06,46.3,46.849,46.02,46.75,24.233,3426293
2010-01-07,46.57,46.74,45.98,46.05,23.8702,2327620
2010-01-08,45.95,46.09,45.53,45.81,23.7458,2286820
2010-01-11,46.08,46.8,45.97,46.61,24.1604,2026998
2010-01-12,46.96,46.96,46.37,46.68,24.1967,2687355
2010-01-13,46.67,47.09,46.39,46.95,24.3367,1555993
2010-01-14,46.84,46.95,46.55,46.87,24.2952,2144129
2010-01-15,46.84,46.84,45.9,46.69,24.2019,2244146
2010-01-19,46.58,47.06,46.38,47.03,24.3781,1640647
2010-01-20,46.88,46.88,45.9,46.37,24.036,2068468
2010-01-21,46.2,46.51,45.02,45.14,23.3985,2435962
2010-01-22,45.13,45.13,44.11,44.13,22.8749,2450661
2010-01-25,44.69,44.78,44.1,44.39,23.0097,1892638
2010-01-26,44.34,44.87,44.11,44.61,23.1237,2277733
2010-01-27,44.44,44.44,43.54,44.22,22.9216,2259851
2010-01-28,44.28,44.46,43.54,43.66,22.6313,1445543
2010-01-29,43.79,44.16,43.54,43.62,22.6106,1906897
2010-02-01,43.09,43.94,42.89,43.75,22.6779,1842242
2010-02-02,43.7,44.14,43.15,44.1,22.8594,2309205
2010-02-03,43.57,43.57,42.76,42.86,22.4972,1537840
2010-02-04,42.71,42.99,41.86,41.92,22.0038,2545921
2010-02-05,41.83,42.13,40.99,41.55,21.8096,2330595
2010-02-08,41.8,41.8,40.99,40.99,21.5156,1343476
2010-02-09,41.29,42.3,41.28,41.74,21.9093,2909409
2010-02-10,41.7,41.72,41.14,41.46,21.7623,1713675
2010-02-11,39.35,39.86,38.71,39.59,20.7808,15876880
2010-02-12,39.65,39.72,38.665,39.19,20.5708,9142419
2010-02-16,39.4,39.89,38.91,39.21,20.5813,5027559
2010-02-17,39.5,39.5,38.47,38.57,20.2454,4534865
2010-02-18,38.62,38.88,38.41,38.8,20.3661,4062514
2010-02-19,38.65,39.87,38.6,39.7,20.8385,3364747
2010-02-22,39.94,40.0,39.61,39.74,20.8595,3966554
2010-02-23,39.71,39.71,39.08,39.21,20.5813,2895252
2010-02-24,39.23,39.41,38.77,39.12,20.5341,2784630
2010-02-25,38.77,39.16,38.4,39.07,20.5078,3306280
2010-02-26,39.08,39.1795,38.59,38.65,20.2874,2972566
2010-03-01,38.79,39.26,38.75,39.07,20.5078,2871616
2010-03-02,39.29,39.38,39.07,39.32,20.639,3457579
2010-03-03,39.45,39.45,38.75,38.92,20.4291,3349712
2010-03-04,38.92,39.05,38.55,38.92,20.4291,2272898
2010-03-05,39.17,39.61,38.87,39.61,20.7913,2636570
2010-03-08,39.69,39.69,39.35,39.51,20.7388,2363481
2010-03-09,39.55,39.55,39.17,39.46,20.7125,2698203
2010-03-10,39.46,39.86,39.35,39.76,20.87,2953947
2010-03-11,39.76,39.85,39.59,39.73,20.8543,2897423
