date,open,high,low,close,adjusted_close,volume
2010-01-04,21.38,21.77,21.38,21.65,21.3705,304098
2010-01-05,21.55,21.605,21.45,21.46,21.183,205469
2010-01-06,21.45,21.68,21.43,21.53,21.2521,208965
2010-01-07,21.5,21.61,21.49,21.55,21.2718,182823
2010-01-08,21.55,21.66,21.44,21.51,21.2323,240541
2010-01-11,21.6,21.72,21.46,21.52,21.2422,131161
2010-01-12,21.4,21.61,21.36,21.54,21.2619,368410
2010-01-13,21.55,22.11,21.41,21.91,21.6272,321153
2010-01-14,21.89,22.13,21.82,22.0,21.716,143749
2010-01-15,22.13,22.18,21.68,22.06,21.7752,351357
2010-01-19,21.99,22.77,21.99,22.76,22.4662,397321
2010-01-20,22.58,22.69,22.11,22.61,22.3181,494017
2010-01-21,22.59,22.93,22.03,22.04,21.7555,317068
2010-01-22,22.07,22.53,21.69,21.89,21.6074,227684
2010-01-25,22.05,22.4,21.96,22.35,22.0615,376238
2010-01-26,22.35,23.195,22.2,22.92,22.6241,792236
2010-01-27,22.93,23.19,22.226,22.69,22.3971,391377
2010-01-28,22.7,22.7,21.86,22.21,21.9233,335580
2010-01-29,22.37,22.65,21.93,21.93,21.6469,442917
2010-02-01,22.2,22.2,21.61,22.01,21.7259,278667
2010-02-02,22.0,22.17,21.6,21.77,21.489,201599
2010-02-03,21.63,22.05,21.5,21.53,21.2521,217262
2010-02-04,21.51,21.53,20.55,20.62,20.3538,359093
2010-02-05,20.59,20.62,19.82,20.47,20.2057,455211
2010-02-08,20.32,20.32,19.54,19.95,19.6925,477974
2010-02-09,20.23,21.07,20.05,20.86,20.5907,328351
2010-02-10,20.81,20.954,20.59,20.74,20.4723,255658
2010-02-11,20.62,21.03,20.49,21.01,20.7388,258102
2010-02-12,20.8,21.14,20.74,21.06,20.7881,209189
2010-02-16,21.19,21.46,20.85,21.46,21.183,145173
2010-02-17,21.5,21.86,21.4,21.8,21.5387,179835
2010-02-18,21.98,22.42,21.89,22.41,22.1413,212829
2010-02-19,22.42,22.91,22.33,22.73,22.4575,241505
2010-02-22,22.68,22.96,22.68,22.88,22.6057,310222
2010-02-23,22.79,22.97,22.58,22.6,22.3291,102227
2010-02-24,22.62,23.224,22.62,23.02,22.744,161119
2010-02-25,22.64,23.02,22.49,22.96,22.6847,95013
2010-02-26,23.05,23.05,22.65,22.96,22.6847,268636
2010-03-01,23.24,23.9,23.24,23.83,23.5443,369428
2010-03-02,23.85,23.88,23.59,23.8,23.5147,288124
2010-03-03,23.94,23.95,23.55,23.67,23.3862,154044
2010-03-04,23.62,23.94,23.61,23.65,23.3665,216071
2010-03-05,23.86,24.5,23.77,24.45,24.1569,238904
2010-03-08,24.35,24.5,24.06,24.1,23.8111,240552
2010-03-09,23.91,24.68,23.84,24.57,24.2754,391727
2010-03-10,24.51,24.79,24.26,24.71,24.4138,225498
2010-03-11,24.47,25.27,24.37,25.25,24.9473,221175
2010-03-12,25.24,25.57,24.99,25.47,25.1647,459459
2010-03-15,25.52,25.54,25.13,25.25,24.9473,329074
2010-03-16,25.05,25.72,24.92,25.61,25.303,352359
2010-03-17,25.75,26.27,25.73,26.04,25.7278,330730
2010-03-18,25.95,26.207,25.63,25.66,25.3524,238173
2010-03-19,25.79,25.99,25.34,25.46,25.1548,451950
2010-03-22,25.34,26.57,25.34,26.46,26.1428,260624
2010-03-23,26.44,26.61,26.15,26.48,26.1625,231635
2010-03-24,26.28,26.82,26.28,26.57,26.2515,220471
2010-03-25,26.63,27.0,26.29,26.35,26.0341,229936
2010-03-26,26.33,26.51,25.74,25.77,25.4611,282809
2010-03-29,25.93,26.02,25.39,25.5,25.1943,336772
2010-03-30,25.6,26.05,25.5,25.68,25.3721,345132
2010-03-31,25.67,26.23,25.33,25.34,25.0362,326497
2010-04-01,25.47,25.78,24.98,25.48,25.1745,310284
