date,open,high,low,close,adjusted_close,volume
2019-03-12,38.0,38.0,38.0,38.0,35.1556,10000
2019-03-13,39.0,39.9,38.7,39.75,36.7747,20477359
2019-03-14,39.75,41.4,39.75,40.65,37.6073,6248563
2019-03-15,41.38,41.87,41.24,41.7,38.5787,7107258
2019-03-18,41.95,41.95,41.05,41.7,38.5787,4020942
2019-03-19,41.55,41.7,39.84,40.34,37.3205,10118470
2019-03-20,40.49,40.81,38.24,38.62,35.7292,15683240
2019-03-21,39.0,40.07,38.75,40.02,37.0244,12751730
2019-03-22,39.93,39.99,37.69,38.72,35.8218,10897990
2019-03-25,38.89,38.96,37.39,37.44,34.6376,9338926
2019-03-26,37.65,38.28,37.51,37.54,34.7301,6287100
2019-03-27,37.52,37.91,36.76,36.92,34.1565,5578118
2019-03-28,36.85,37.15,36.34,36.4,33.6754,5326238
2019-03-29,36.55,36.91,36.15,36.71,33.9622,5895347
2019-04-01,36.91,37.15,36.71,36.85,34.0917,5311201
2019-04-02,36.96,37.18,35.9,36.28,33.5644,6704831
2019-04-03,36.37,36.56,35.9,36.08,33.3794,8393708
2019-04-04,36.2,36.8,36.01,36.76,34.0085,4908406
2019-04-05,36.79,37.85,36.69,37.68,34.8596,7344894
2019-04-08,37.6,37.68,37.265,37.47,34.6653,3393260
2019-04-09,37.42,37.65,37.17,37.31,34.5173,5725894
2019-04-10,37.33,37.53,36.36,36.48,33.7494,4828362
2019-04-11,36.57,37.16,35.99,37.09,34.3138,4791432
2019-04-12,37.15,37.62,36.47,37.53,34.7208,6368477
2019-04-15,37.46,37.57,36.99,37.53,34.7208,3927062
2019-04-16,37.67,37.85,37.47,37.75,34.9244,5721982
2019-04-17,37.87,38.85,37.76,38.84,35.9328,7603795
2019-04-18,38.91,39.0,38.43,38.44,35.5627,4737418
2019-04-22,38.36,38.44,37.62,37.7,34.8781,7675316
2019-04-23,37.79,38.39,37.63,38.08,35.2297,6328827
2019-04-24,37.95,38.31,37.805,37.96,35.1186,5323550
2019-04-25,37.98,38.2,37.54,38.15,35.2944,5309675
2019-04-26,38.08,38.53,37.9,38.48,35.5997,5297417
2019-04-29,38.54,39.525,38.31,39.2,36.2658,6885177
2019-04-30,39.19,39.33,38.47,38.99,36.0715,5044352
2019-05-01,39.12,39.49,38.66,39.4,36.4509,5149829
2019-05-02,39.23,39.47,37.08,37.28,34.4895,11495860
2019-05-03,37.41,37.75,37.12,37.47,34.6653,4809763
2019-05-06,37.17,37.99,36.96,37.92,35.0816,4801609
2019-05-07,37.58,37.81,37.12,37.26,34.471,6053297
2019-05-08,37.34,37.7,36.855,37.42,34.6191,8635285
2019-05-09,38.5,39.25,37.51,38.5,35.6182,15210150
2019-05-10,38.64,38.75,37.44,38.53,35.646,6742528
2019-05-13,37.77,38.68,37.73,37.97,35.1279,5604035
2019-05-14,38.05,38.52,37.8723,37.89,35.0539,6198619
2019-05-15,37.7,37.97,37.57,37.71,34.8874,2975433
2019-05-16,37.91,38.08,36.7,36.74,33.99,8705008
2019-05-17,36.56,37.59,36.55,37.32,34.744,5507954
2019-05-20,37.18,37.64,37.0,37.14,34.5765,3670004
2019-05-21,37.26,38.0,37.1,37.69,35.0885,4668608
2019-05-22,37.66,37.76,37.055,37.12,34.5579,3431178
2019-05-23,36.82,37.08,36.63,36.91,34.3623,4431862
2019-05-24,37.05,37.205,36.85,36.92,34.3717,2878988
2019-05-28,36.97,37.34,36.505,36.64,34.111,4380381
2019-05-29,36.5,36.65,35.79,35.79,33.3197,3691294
2019-05-30,35.88,36.155,35.15,35.22,32.789,4730387
2019-05-31,34.97,35.27,34.7,35.23,32.7983,6706125
2019-06-03,35.05,35.3,33.78,34.24,31.8766,7665044
2019-06-04,34.52,35.25,34.15,34.48,32.1001,8058934
2019-06-05,34.62,34.98,34.28,34.36,31.9884,6240649
2019-06-06,34.66,34.66,33.98,34.12,31.7649,5288296
2019-06-07,34.18,34.44,34.0,34.01,31.6625,4226794
2019-06-10,34.05,34.4,33.9,34.03,31.6811,5620499
2019-06-11,34.23,34.41,34.01,34.18,31.8208,3166916
2019-06-12,34.2,35.1,34.16,35.05,32.6307,4426934
2019-06-13,35.17,35.5,34.963,35.29,32.8542,4384777
2019-06-14,35.24,35.5,34.93,35.24,32.8076,4362353
2019-06-17,35.42,36.325,35.34,36.13,33.6362,7195391
2019-06-18,36.45,37.05,36.08,36.19,33.692,4938850
2019-06-19,36.26,36.42,35.6775,35.99,33.5058,4790143
2019-06-20,36.38,36.475,35.56,35.58,33.1241,5916524
2019-06-21,35.61,37.295,35.31,36.18,33.6827,11402190
2019-06-24,36.01,36.07,35.605,35.8,33.329,5280111
2019-06-25,35.78,35.86,35.14,35.34,32.9007,7204375
2019-06-26,35.79,36.1,35.33,35.47,33.0217,4297292
2019-06-27,35.53,36.33,35.2,35.99,33.5058,5083896
2019-06-28,35.98,36.76,35.81,36.64,34.111,10930140
2019-07-01,36.46,36.99,35.74,35.92,33.4407,6407228
2019-07-02,36.01,36.62,35.92,36.59,34.0644,3599546
2019-07-03,36.6,36.82,36.27,36.35,33.841,3160332
2019-07-05,36.24,36.8,36.075,36.6,34.0737,1981977
2019-07-08,36.53,36.675,36.08,36.13,33.6362,1644620
2019-07-09,36.03,36.27,35.82,36.02,33.5338,2379561
2019-07-10,36.19,36.43,36.075,36.14,33.6455,2400697
2019-07-11,36.17,36.35,35.85,36.29,33.7851,2986996
2019-07-12,36.46,37.04,36.1,36.96,34.4089,2755739
2019-07-15,37.03,37.16,36.64,37.01,34.4554,2861593
2019-07-16,36.93,37.11,36.63,36.69,34.1575,2721520
2019-07-17,36.73,36.76,36.11,36.17,33.6734,5739883
2019-07-18,36.17,36.72,35.96,36.55,34.0272,5313845
2019-07-19,36.7,36.74,36.14,36.43,33.9155,4402023
2019-07-22,36.51,36.61,36.06,36.1,33.6083,7865704
2019-07-23,36.19,36.39,35.84,36.22,33.72,5573558
2019-07-24,36.13,36.86,36.13,36.6,34.0737,5980591
2019-07-25,36.63,37.34,36.63,37.17,34.6044,3251722
2019-07-26,37.29,37.8,37.08,37.21,34.6416,2669100
2019-07-29,37.16,37.57,37.07,37.51,34.9209,2130637
2019-07-30,37.35,37.98,37.32,37.82,35.2095,2971835
2019-07-31,37.67,37.6918,36.81,37.32,34.744,5280629
2019-08-01,37.25,37.49,36.725,36.89,34.3437,3280662
2019-08-02,36.73,36.96,36.33,36.63,34.1017,2419011
2019-08-05,36.47,36.56,35.77,36.05,33.5617,4517227
2019-08-06,36.16,36.6,35.93,36.45,33.9341,3366690
2019-08-07,35.89,37.15,35.8,37.04,34.4834,4657381
2019-08-08,37.22,37.25,35.0,35.13,32.7052,9539872
2019-08-09,35.11,35.65,34.98,35.4,32.9566,4234434
2019-08-12,35.04,35.32,34.7,34.95,32.5376,4172864
2019-08-13,34.84,35.59,34.8,35.06,32.64,2940835
2019-08-14,34.7,34.75,33.38,33.69,31.3646,7489849
2019-08-15,33.88,34.09,32.725,32.75,30.4895,7043951
2019-08-16,33.0,33.3,32.67,32.99,30.7129,3256831
2019-08-19,33.32,34.025,33.29,33.87,31.5322,3915125
2019-08-20,33.83,34.05,33.52,33.59,31.2715,2810834
2019-08-21,33.64,33.725,33.01,33.41,31.1039,3050409
2019-08-22,33.38,33.54,32.95,33.05,30.7688,3725374
2019-08-23,32.93,33.085,31.63,31.75,29.5585,3868329
2019-08-26,31.84,32.14,31.58,32.08,29.8657,3235649
2019-08-27,32.22,32.38,31.92,31.93,29.7261,3449444
2019-08-28,32.05,32.28,31.62,31.79,29.5957,3567237
2019-08-29,32.0,33.125,31.88,32.74,30.4802,3687745
2019-08-30,33.72,33.72,32.79,33.17,30.8805,2926088
2019-09-03,32.66,33.11,32.54,32.77,30.7237,2092384
2019-09-04,32.99,33.61,32.9,33.56,31.4644,2282398
2019-09-05,33.64,34.405,33.56,34.25,32.1113,3946927
2019-09-06,34.32,34.74,34.06,34.23,32.0926,2514623
2019-09-09,33.39,34.34,33.39,34.3,32.1582,2659833
2019-09-10,33.85,34.72,33.85,34.3,32.1582,3198116
2019-09-11,34.28,34.43,33.8,34.0,31.8769,3287051
2019-09-12,34.19,34.19,33.67,33.79,31.68,4290524
2019-09-13,33.96,34.21,33.51,33.83,31.7176,4606058
2019-09-16,33.68,33.83,33.47,33.6,31.5019,2175629
2019-09-17,33.59,33.59,32.79,32.86,30.8081,6702742
2019-09-18,32.88,32.96,32.13,32.64,30.6019,5597093
2019-09-19,32.48,32.78,31.96,32.04,30.0393,4925050
2019-09-20,31.99,32.425,31.72,32.27,30.255,8191229
2019-09-23,32.37,32.49,31.995,32.27,30.255,3488279
2019-09-24,32.28,32.445,31.475,31.59,29.6174,5844940
2019-09-25,31.61,32.18,31.56,32.01,30.0112,4390022
2019-09-26,32.18,32.19,31.39,31.45,29.4862,5965705
2019-09-27,31.65,31.72,31.15,31.44,29.4768,4267095
2019-09-30,31.63,31.87,31.35,31.535,29.5659,3168442
2019-10-01,31.73,32.07,31.2,31.24,29.2893,2703381
2019-10-02,31.17,31.29,30.365,30.42,28.5205,4879846
2019-10-03,30.34,30.55,29.705,30.46,28.558,7187910
2019-10-04,30.6,30.81,30.37,30.57,28.6611,2858374
2019-10-07,30.75,31.14,30.58,30.6,28.6892,4868461
2019-10-08,30.27,30.28,29.695,30.055,28.1783,3832717
2019-10-09,30.36,30.45,29.96,30.23,28.3423,3538928
2019-10-10,30.24,30.55,30.05,30.52,28.6142,3497847
2019-10-11,30.99,31.755,30.76,31.46,29.4955,4444553
2019-10-14,31.27,31.43,31.04,31.39,29.4299,2998509
2019-10-15,31.33,31.805,31.15,31.7,29.7206,3758858
2019-10-16,31.61,32.01,31.545,31.99,29.9924,4385645
2019-10-17,32.1,32.14,31.54,31.98,29.9831,9074193
2019-10-18,32.04,32.57,31.96,32.21,30.1987,8890480
2019-10-21,32.36,32.81,32.2,32.74,30.6956,5163326
2019-10-22,32.73,33.565,32.55,33.45,31.3613,5526827
2019-10-23,33.33,33.67,33.15,33.24,31.1644,7091867
2019-10-24,33.18,33.39,31.79,32.3,30.2831,9058087
2019-10-25,32.39,32.775,32.32,32.41,30.3862,5450286
2019-10-28,32.54,33.41,32.41,32.99,30.93,8672677
2019-10-29,32.82,33.04,32.55,32.84,30.7894,3558558
2019-10-30,32.66,32.85,32.0,32.08,30.0768,4364431
2019-10-31,32.0,32.08,31.67,32.04,30.0393,5063534
2019-11-01,32.17,32.54,31.96,32.39,30.3675,3813529
2019-11-04,32.5,32.6,32.29,32.55,30.5175,2611960
2019-11-05,32.58,33.08,32.525,32.835,30.7847,3198689
2019-11-06,32.84,33.18,32.3,33.1,31.0331,5681566
2019-11-07,33.95,34.97,33.37,34.94,32.7582,9056842
2019-11-08,35.0,35.23,34.59,35.14,32.9458,4979803
2019-11-11,34.95,35.07,34.59,34.99,32.8051,3280165
2019-11-12,35.07,35.105,34.45,34.485,32.3317,3906077
2019-11-13,34.37,34.72,34.19,34.26,32.1207,4559697
2019-11-14,34.14,34.51,33.99,34.22,32.0832,4022379
2019-11-15,34.39,34.68,33.93,34.27,32.1301,4517722
2019-11-18,34.31,35.25,34.21,35.19,32.9926,5690353
2019-11-19,35.22,36.325,35.22,36.26,33.9958,6334172
2019-11-20,35.66,36.41,35.66,35.89,33.6489,4320510
2019-11-21,35.93,36.35,35.56,35.7,33.4708,2861622
2019-11-22,35.77,36.04,35.505,35.66,33.4333,4408152
2019-11-25,35.7,35.86,35.35,35.68,33.452,4908094
2019-11-26,35.67,36.095,35.55,35.93,33.6864,3086318
2019-11-27,36.06,36.19,35.675,35.78,33.5458,2455892
2019-11-29,35.81,36.0,35.37,35.76,33.527,1704919
2019-12-02,35.75,36.02,35.55,35.6,33.377,2599436
2019-12-03,35.41,35.525,34.71,35.19,32.9926,4207502
2019-12-04,35.53,35.69,34.99,35.5,33.2833,3768434
2019-12-05,35.65,35.77,35.23,35.5,33.2833,2921919
2019-12-06,35.71,35.91,35.35,35.42,33.2083,1733518
2019-12-09,35.5,36.015,35.35,35.62,33.3958,2849287
2019-12-10,35.51,36.01,35.24,35.81,33.5739,5996830
2019-12-11,35.75,36.595,35.75,36.16,33.9021,5668715
2019-12-12,36.32,36.94,36.1086,36.85,34.549,5796430
2019-12-13,36.73,36.99,36.505,36.77,34.474,5970920
2019-12-16,36.95,37.16,36.7021,36.81,34.5115,4273548
2019-12-17,36.71,37.26,36.435,37.16,34.8396,4143125
2019-12-18,37.19,37.33,36.89,36.93,34.624,3392546
2019-12-19,36.76,37.17,36.76,37.0,34.6896,2629295
2019-12-20,37.29,37.29,36.72,37.17,34.849,6211696
2019-12-23,37.17,37.625,37.04,37.455,35.1162,3712114
2019-12-24,37.44,37.6,37.25,37.3,34.9709,1940663
2019-12-26,37.26,37.67,37.26,37.57,35.224,3699187
2019-12-27,37.65,37.72,37.215,37.41,35.074,1969014
2019-12-30,37.42,37.56,36.99,37.08,34.7646,3039584
2019-12-31,36.94,37.175,36.76,37.07,34.7552,2315456
2020-01-02,37.41,37.47,36.575,37.07,34.7552,4500697
2020-01-03,36.69,36.98,36.62,36.665,34.3755,4035801
2020-01-06,36.66,36.765,36.36,36.57,34.2865,2434614
2020-01-07,36.56,37.225,36.4,37.07,34.7552,3253951
2020-01-08,37.13,37.51,37.04,37.11,34.7927,3709661
2020-01-09,37.18,37.365,36.815,37.18,34.8584,3621876
2020-01-10,37.12,37.24,36.64,36.72,34.4271,2663984
2020-01-13,36.72,37.15,36.47,36.99,34.6802,2674387
2020-01-14,36.79,37.51,36.76,37.26,34.9334,4530938
2020-01-15,37.36,37.6,37.17,37.48,35.1396,6165154
2020-01-16,37.71,39.14,37.62,39.11,36.6679,7362807
2020-01-17,39.28,39.735,39.16,39.34,36.8835,4785892
2020-01-21,39.0,39.38,38.84,39.1,36.6585,4104818
2020-01-22,39.15,39.31,38.855,39.08,36.6397,3920952
2020-01-23,38.77,39.02,37.34,37.49,35.149,5845476
2020-01-24,37.3,37.46,36.18,36.61,34.324,9289663
2020-01-27,36.44,37.015,36.19,36.88,34.5771,9909349
2020-01-28,37.35,37.43,36.75,37.14,34.8209,3268085
2020-01-29,36.95,37.22,36.425,36.58,34.2958,2596049
2020-01-30,36.17,37.07,36.05,37.03,34.7177,2956940
2020-01-31,37.0,37.2,36.47,37.08,34.7646,5283881
2020-02-03,37.3,37.99,37.11,37.59,35.2428,3371357
2020-02-04,37.96,38.31,37.75,38.03,35.6553,3330975
2020-02-05,38.54,38.98,38.12,38.67,36.2553,6334956
2020-02-06,39.1,39.42,36.73,37.11,34.7927,9336502
2020-02-07,36.98,37.07,36.48,37.0,34.6896,3634298
2020-02-10,36.87,37.41,36.72,37.3,34.9709,3212900
2020-02-11,37.23,37.4394,36.66,37.13,34.8115,2550303
2020-02-12,37.33,37.7,37.23,37.67,35.3178,3303320
2020-02-13,37.53,38.275,37.46,38.0,35.6272,2034790
2020-02-14,38.08,38.11,37.48,37.8,35.4397,2349557
2020-02-18,37.76,37.99,37.45,37.78,35.4209,2065392
2020-02-19,37.93,38.28,37.6,38.03,35.6553,1839277
2020-02-20,37.7,37.9,36.33,37.03,34.7177,5305658
2020-02-21,36.71,37.6,35.75,35.99,33.7427,5024178
2020-02-24,35.65,35.65,34.48,34.69,32.5239,5577610
2020-02-25,34.81,35.0,33.0245,33.21,31.1363,5241255
2020-02-26,33.56,33.77,32.4,32.79,30.7425,5632557
2020-02-27,32.23,32.89,31.33,31.34,29.383,7440242
2020-02-28,30.25,31.68,30.16,30.74,28.8205,7567114
2020-03-02,30.73,32.14,30.35,32.11,30.105,7503770
2020-03-03,31.42,32.63,30.66,30.99,29.2645,4869495
2020-03-04,31.32,31.57,30.42,30.93,29.2078,4338437
2020-03-05,30.16,30.39,29.18,29.44,27.8008,5392186
2020-03-06,28.25,29.09,28.16,28.84,27.2342,8403629
2020-03-09,26.93,27.99,25.04,27.48,25.9499,6989032
2020-03-10,28.27,29.26,27.0,29.11,27.4892,4608524
2020-03-11,28.21,28.66,27.52,27.78,26.2332,5405485
2020-03-12,26.76,27.1,24.87,26.22,24.7601,7766051
2020-03-13,27.56,28.64,24.6,26.15,24.694,6759921
2020-03-16,23.81,24.97,23.1229,24.01,22.6731,9605841
2020-03-17,24.37,25.58,22.92,25.14,23.7402,7751245
2020-03-18,23.72,24.7,21.84,22.34,21.0961,7119280
2020-03-19,22.29,23.9,20.78,22.82,21.5494,6085350
2020-03-20,23.17,23.6,20.85,20.99,19.8213,8498759
2020-03-23,21.13,21.34,19.81,20.2,19.0753,8091687
2020-03-24,21.12,22.35,20.55,22.29,21.0489,6343607
2020-03-25,22.36,25.42,21.98,24.14,22.7959,7525641
2020-03-26,24.2,25.55,24.15,24.97,23.5797,5185752
2020-03-27,24.16,24.26,22.33,22.51,21.2567,6134517
2020-03-30,22.3,24.47,22.0,24.31,22.9564,5909893
2020-03-31,24.69,24.82,23.45,23.63,22.3143,5594115
2020-04-01,22.67,22.78,21.95,22.34,21.0961,4556222
2020-04-02,22.49,23.5,22.005,22.67,21.4078,4944613
2020-04-03,22.51,22.73,21.81,22.3,21.0584,4296097
2020-04-06,23.42,25.2588,23.32,25.06,23.6647,4426910
2020-04-07,26.21,27.11,25.39,25.49,24.0707,4559902
2020-04-08,25.94,26.57,25.51,26.3,24.8356,4832544
2020-04-09,26.54,27.08,25.6,25.99,24.5429,5180201
2020-04-13,25.83,26.11,24.94,25.99,24.5429,3468523
2020-04-14,26.34,26.66,25.91,26.51,25.034,2735373
2020-04-15,25.77,25.87,24.96,25.7,24.2691,2454591
2020-04-16,25.64,25.9464,24.85,25.54,24.118,2594548
2020-04-17,26.195,26.955,25.97,26.875,25.3786,4006891
2020-04-20,26.17,26.78,25.98,26.06,24.609,2551547
2020-04-21,25.38,25.9,25.15,25.54,24.118,3155352
2020-04-22,26.05,26.39,24.71,24.77,23.3908,3965395
2020-04-23,24.88,25.435,23.92,24.86,23.4758,4201873
2020-04-24,24.9,25.01,24.36,24.835,23.4522,4955128
2020-04-27,25.21,26.68,25.01,26.39,24.9206,3912929
2020-04-28,26.99,28.06,26.71,27.14,25.6289,5663360
2020-04-29,28.02,28.62,27.955,28.37,26.7904,5137945
2020-04-30,27.56,27.88,25.4,25.87,24.4296,6059669
2020-05-01,25.43,25.82,24.975,25.43,24.0141,2782776
2020-05-04,25.32,25.42,24.5564,24.995,23.6033,4232568
2020-05-05,25.04,25.36,23.89,24.1,22.7581,4870397
2020-05-06,24.3,25.005,23.57,24.81,23.4286,5374479
2020-05-07,26.46,27.08,25.21,25.25,23.8441,8124990
2020-05-08,25.97,26.3,25.63,26.0,24.5523,6613743
2020-05-11,25.54,26.06,25.04,25.67,24.2407,4509096
2020-05-12,25.81,26.08,25.175,25.355,23.9433,3936099
2020-05-13,25.22,25.22,23.735,24.52,23.1548,4540491
2020-05-14,24.12,25.83,23.77,25.77,24.3352,4823678
2020-05-15,25.52,26.19,25.235,26.06,24.609,3136021
2020-05-18,26.99,27.635,26.625,27.47,25.9405,4533347
2020-05-19,27.49,28.13,27.0,27.57,26.0349,4340348
2020-05-20,27.88,28.43,27.63,27.81,26.2616,3226805
2020-05-21,27.61,28.065,27.56,27.62,26.0821,2945545
2020-05-22,27.53,27.965,27.47,27.8,26.2521,2656920
2020-05-26,28.74,29.25,28.48,29.03,27.4136,4499733
2020-05-27,29.68,30.16,29.04,29.65,27.9991,5280622
2020-05-28,29.61,29.94,28.86,28.93,27.3192,3400395
