date,open,high,low,close,adjusted_close,volume
2010-01-04,68.06,68.35,66.47,67.03,41.5756,662400
2010-01-05,66.57,67.03,65.48,66.95,41.526,778800
2010-01-06,67.0,67.56,66.12,66.77,41.4143,578300
2010-01-07,66.55,67.49,65.88,66.75,41.4019,689700
2010-01-08,66.59,66.75,65.49,66.33,41.1414,770900
2010-01-11,66.9,67.22,66.65,67.16,41.6562,373900
2010-01-12,66.68,67.0,65.31,66.01,40.9429,763400
2010-01-13,66.31,67.53,66.14,67.32,41.7555,737000
2010-01-14,67.29,67.47,66.59,67.05,41.588,522800
2010-01-15,66.94,67.7,66.38,67.59,41.9229,916500
2010-01-19,67.55,69.6,67.27,69.26,42.9588,943600
2010-01-20,68.56,68.81,68.09,68.36,42.4005,665900
2010-01-21,68.45,68.92,66.83,66.98,41.5446,810300
2010-01-22,66.86,67.8,65.33,65.5,40.6266,730100
2010-01-25,66.09,66.22,64.47,65.63,40.7072,597100
2010-01-26,65.36,66.49,65.06,65.37,40.546,452600
2010-01-27,65.07,65.62,64.2,65.07,40.3599,660600
2010-01-28,65.21,65.26,63.68,64.54,40.0312,537800
2010-01-29,64.92,65.4,64.24,64.38,39.9319,653900
2010-02-01,64.83,65.96,64.63,65.88,40.8623,680600
2010-02-02,66.21,67.94,65.59,67.81,42.0594,1016300
2010-02-03,67.49,67.81,66.29,66.75,41.4019,451500
2010-02-04,66.19,66.42,63.62,63.73,39.5288,1122200
2010-02-05,63.88,65.21,63.36,65.02,40.3289,612600
2010-02-08,65.05,65.44,63.42,63.58,39.4357,659000
2010-02-09,64.49,64.49,62.43,63.1,39.138,1325900
2010-02-10,63.0,64.04,61.93,63.07,39.1194,604700
2010-02-11,62.79,64.01,62.43,63.74,39.535,740900
2010-02-12,62.89,64.58,62.68,64.46,39.9815,601500
2010-02-16,65.03,66.4,64.94,66.22,41.0732,547300
2010-02-17,66.43,67.14,66.21,67.13,41.6376,600000
2010-02-18,67.26,68.11,66.66,68.08,42.2269,659400
2010-02-19,67.96,68.96,67.57,68.49,42.4812,567500
2010-02-22,68.73,68.98,68.22,68.58,42.537,543100
2010-02-23,68.41,68.73,68.07,68.27,42.3447,1038800
2010-02-24,68.27,68.78,68.19,68.62,42.5618,554500
2010-02-25,67.58,69.15,67.34,69.05,42.8285,410900
2010-02-26,69.09,69.63,68.52,68.96,42.7727,596000
2010-03-01,69.15,69.58,68.65,69.57,43.151,378500
2010-03-02,69.64,70.03,69.39,69.96,43.3929,390500
2010-03-03,70.08,70.08,69.48,69.78,43.2813,544400
2010-03-04,69.84,70.05,69.57,69.91,43.3619,319500
2010-03-05,70.28,71.57,69.65,71.45,44.3171,1113800
2010-03-08,71.37,72.37,71.05,72.21,44.7885,434000
2010-03-09,71.96,72.54,71.59,71.81,44.5404,1127300
2010-03-10,71.67,72.22,71.4,71.87,44.5776,501300
2010-03-11,71.47,71.89,71.21,71.78,44.5218,559800
2010-03-12,71.96,72.37,71.75,72.36,44.8815,400400
2010-03-15,71.75,72.14,71.29,71.6,44.8189,598800
2010-03-16,71.85,73.2,71.56,73.09,45.7516,631200
2010-03-17,73.43,74.0,73.04,73.67,46.1147,805000
2010-03-18,73.66,73.77,73.23,73.5,46.0083,646300
2010-03-19,72.78,73.57,72.63,72.78,45.5576,682600
2010-03-22,72.3,73.88,72.15,73.55,46.0396,434400
2010-03-23,73.68,73.73,72.85,73.56,46.0458,407900
2010-03-24,73.15,74.31,73.15,73.82,46.2086,443300
2010-03-25,74.27,75.64,74.02,74.11,46.3901,740100
2010-03-26,74.56,74.85,73.2,73.43,45.9645,408000
2010-03-29,73.68,73.68,72.93,73.6,46.0709,431200
2010-03-30,73.75,73.86,72.59,72.91,45.639,386400
2010-03-31,72.71,73.39,72.25,72.81,45.5764,628600
2010-04-01,73.23,73.4,72.0,72.67,45.4887,363100
2010-04-05,72.85,74.59,72.66,74.59,46.6906,589100
2010-04-06,74.43,76.44,73.99,76.07,47.617,554700
2010-04-07,75.75,76.41,73.77,74.07,46.3651,711800
2010-04-08,73.75,74.16,73.39,74.06,46.3588,370800
2010-04-09,74.03,75.37,73.77,75.15,47.0411,505700
2010-04-12,75.12,75.29,74.33,74.53,46.653,461700
2010-04-13,74.29,76.19,74.29,75.87,47.4918,424300
2010-04-14,76.43,76.46,74.66,75.15,47.0411,569600
2010-04-15,74.82,75.26,73.29,73.62,46.0834,901800
2010-04-16,73.21,74.28,72.71,73.28,45.8706,1329600
2010-04-19,73.14,74.23,72.78,73.43,45.9645,549300
2010-04-20,73.77,74.58,72.92,74.56,46.6718,554400
2010-04-21,74.58,76.34,74.26,76.07,47.617,780300
2010-04-22,75.37,78.01,75.15,77.83,48.7187,492100
2010-04-23,77.68,78.93,77.11,78.55,49.1694,747200
2010-04-26,78.59,79.08,78.18,78.6,49.2007,639000
2010-04-27,78.08,78.79,75.96,76.07,47.617,545400
2010-04-28,76.68,77.03,75.86,76.17,47.6796,405900
2010-04-29,77.08,78.93,76.72,78.8,49.3259,537500
2010-04-30,78.78,79.79,77.1,77.39,48.4433,512400
2010-05-03,77.97,79.67,77.97,79.52,49.7766,499500
2010-05-04,78.09,79.42,77.43,77.96,48.8001,585700
2010-05-05,78.33,78.49,76.67,76.84,48.099,511200
2010-05-06,76.54,76.88,69.87,74.25,46.4777,827200
2010-05-07,74.3,75.75,72.09,73.53,46.0271,871300
2010-05-10,76.64,78.35,75.96,78.3,49.0129,883800
2010-05-11,77.12,78.79,76.41,78.24,48.9753,528100
2010-05-12,78.44,78.95,77.97,78.86,49.3634,516400
2010-05-13,78.66,78.85,77.24,77.43,48.4683,739400
2010-05-14,76.94,77.04,74.94,75.49,47.2539,548000
2010-05-17,75.85,76.66,72.81,74.87,46.8658,461500
2010-05-18,75.65,75.92,72.51,72.79,45.5638,570900
2010-05-19,72.39,73.45,70.67,71.89,45.0005,525200
2010-05-20,70.05,71.12,68.24,68.35,42.7846,1248000
2010-05-21,67.83,70.85,67.5,70.72,44.2681,1008400
2010-05-24,70.65,71.21,69.65,69.67,43.6108,628100
2010-05-25,67.95,70.79,67.44,70.57,44.1742,704100
2010-05-26,71.16,72.29,70.27,70.45,44.0991,828700
2010-05-27,71.91,74.36,71.17,74.23,46.4652,839600
2010-05-28,73.87,74.54,73.15,73.7,46.1335,639300
2010-06-01,73.29,74.16,72.41,72.53,45.4011,596000
2010-06-02,73.19,74.31,71.88,74.27,46.4903,698600
2010-06-03,74.63,74.65,73.38,73.58,46.0584,382700
2010-06-04,72.06,73.31,69.81,70.08,43.8675,812000
2010-06-07,70.51,71.59,69.97,70.32,44.0177,662200
2010-06-08,70.32,71.12,69.1,70.93,44.3995,874900
2010-06-09,71.66,73.31,71.15,71.47,44.7376,564600
2010-06-10,72.17,73.84,72.09,73.7,46.1335,549100
2010-06-11,73.07,74.56,72.7,74.5,46.6342,330200
2010-06-14,75.0,75.78,74.48,75.26,47.11,595100
2010-06-15,75.5,76.61,75.05,76.47,47.8674,499600
2010-06-16,76.2,76.63,75.56,75.99,47.5669,305400
2010-06-17,76.02,76.67,75.48,76.15,47.6671,239100
2010-06-18,76.21,76.71,75.19,75.31,47.1413,721600
2010-06-21,76.1,76.46,74.37,74.65,46.7281,377100
2010-06-22,74.03,74.77,72.06,72.09,45.5282,577400
2010-06-23,72.1,73.54,71.18,72.76,45.9513,397800
2010-06-24,72.38,73.04,71.3,71.39,45.0861,473100
2010-06-25,71.72,73.58,71.53,73.55,46.4503,926000
2010-06-28,73.65,73.96,72.54,72.9,46.0397,366900
2010-06-29,72.05,72.37,70.68,71.03,44.8588,695800
2010-06-30,71.06,72.15,70.27,70.27,44.3788,677400
2010-07-01,70.56,70.89,68.55,70.54,44.5493,457600
2010-07-02,70.88,71.01,69.19,69.89,44.1388,570000
2010-07-06,70.46,71.24,68.42,68.91,43.5199,1007400
2010-07-07,68.93,72.28,68.93,72.27,45.6419,1126600
2010-07-08,72.63,73.4,72.01,73.08,46.1534,1220400
2010-07-09,72.93,73.6,72.41,73.41,46.3618,385200
2010-07-12,73.05,73.82,72.61,73.43,46.3745,230800
2010-07-13,74.21,74.78,73.86,74.53,47.0692,415700
2010-07-14,73.98,74.51,73.11,73.9,46.6713,358900
2010-07-15,74.03,74.09,72.41,73.87,46.6523,286700
2010-07-16,73.39,73.46,71.92,72.35,45.6924,582300
