date,open,high,low,close,adjusted_close,volume
2010-01-04,17.88,18.2,17.63,18.0,1.8,3579600
2010-01-05,18.03,18.6,18.0,18.39,1.839,4113350
2010-01-06,18.88,19.85,18.8,19.41,1.941,9366740
2010-01-07,19.53,19.61,19.0,19.45,1.945,1375960
2010-01-08,19.55,20.59,19.22,20.11,2.011,4570570
2010-01-11,20.25,20.25,19.69,20.05,2.005,1878080
2010-01-12,19.89,20.24,19.69,19.79,1.979,4736170
2010-01-13,19.76,19.88,18.41,19.44,1.944,3908170
2010-01-14,19.46,20.07,19.25,19.9,1.99,3533300
2010-01-15,19.96,19.96,19.15,19.63,1.963,3254800
2010-01-19,19.65,20.48,19.62,19.8,1.98,3085700
2010-01-20,19.72,20.0,18.88,19.06,1.906,2315870
2010-01-21,19.15,19.15,18.25,18.39,1.839,3554490
2010-01-22,18.4,18.84,17.83,17.88,1.788,4645700
2010-01-25,18.13,18.13,17.7,18.01,1.801,2455780
2010-01-26,18.0,18.7,18.0,18.31,1.831,3385960
2010-01-27,18.39,18.81,17.9,18.65,1.865,3940060
2010-01-28,19.0,19.03,17.26,17.8,1.78,13544390
2010-01-29,17.88,18.43,16.12,17.23,1.723,8797830
2010-02-01,17.29,17.75,17.0,17.45,1.745,1809680
2010-02-02,17.5,17.73,17.01,17.13,1.713,6499110
2010-02-03,17.15,17.22,16.35,16.44,1.644,4567080
2010-02-04,16.38,16.55,15.52,15.7,1.57,6019780
2010-02-05,15.7,15.89,15.18,15.69,1.569,5303100
2010-02-08,15.75,16.08,15.36,15.9,1.59,1885160
2010-02-09,16.72,17.14,16.27,16.59,1.659,4389400
2010-02-10,16.55,17.0,16.37,16.86,1.686,2775900
2010-02-11,16.86,16.87,16.3,16.67,1.667,3222080
2010-02-12,16.45,16.97,16.42,16.52,1.652,2053830
2010-02-16,16.66,16.78,16.38,16.51,1.651,808690
2010-02-17,16.55,16.92,16.47,16.92,1.692,1846530
2010-02-18,16.95,17.36,16.858,17.33,1.733,1408320
2010-02-19,17.33,17.48,17.25,17.33,1.733,1662430
2010-02-22,17.33,17.36,16.9,16.97,1.697,1733630
2010-02-23,16.91,17.0,16.52,16.68,1.668,1277480
2010-02-24,16.83,17.07,16.51,16.57,1.657,2554470
2010-02-25,16.44,16.84,16.03,16.76,1.676,1932040
2010-02-26,16.81,17.3,16.5,17.18,1.718,2108870
2010-03-01,17.32,18.12,17.03,17.99,1.799,3469520
2010-03-02,18.0,18.25,17.27,17.46,1.746,2791550
2010-03-03,17.5,17.51,17.03,17.09,1.709,1563650
2010-03-04,17.19,17.39,16.7,16.87,1.687,2033720
2010-03-05,17.02,17.39,16.94,17.05,1.705,3856570
2010-03-08,17.1,17.3,17.1,17.24,1.724,3158990
2010-03-09,17.13,17.64,17.01,17.01,1.701,3532180
2010-03-10,17.07,17.13,16.47,16.66,1.666,2836020
2010-03-11,16.59,16.59,16.22,16.37,1.637,1948900
2010-03-12,16.5,16.5,16.2,16.34,1.634,1478540
2010-03-15,16.36,16.88,16.23,16.33,1.633,1643300
2010-03-16,16.33,16.8,16.0395,16.48,1.648,2363050
2010-03-17,16.55,17.02,16.44,16.94,1.694,4711260
2010-03-18,17.0,17.55,17.0,17.18,1.718,6275570
2010-03-19,17.18,17.25,16.72,17.1,1.71,4524000
2010-03-22,16.97,17.33,16.95,17.13,1.713,5655110
2010-03-23,17.1,17.4,17.05,17.34,1.734,2565200
2010-03-24,17.3,17.64,17.145,17.21,1.721,1863050
2010-03-25,17.28,17.58,17.17,17.2,1.72,1434880
2010-03-26,17.21,17.32,16.89,17.05,1.705,3374770
2010-03-29,17.04,17.4,16.97,17.4,1.74,2079850
2010-03-30,17.37,17.7,17.265,17.66,1.766,2359980
2010-03-31,17.63,17.9,17.52,17.58,1.758,2121720
2010-04-01,17.75,17.95,17.62,17.69,1.769,3133330
2010-04-05,17.79,17.81,17.145,17.31,1.731,2823510
2010-04-06,17.16,17.4,17.02,17.21,1.721,1173570
2010-04-07,17.25,17.45,16.89,17.32,1.732,2006530
2010-04-08,17.29,17.37,16.75,17.01,1.701,2443390
2010-04-09,17.01,17.17,16.32,16.86,1.686,2301100
2010-04-12,16.81,17.1,16.7,17.02,1.702,2075410
2010-04-13,16.93,17.0745,16.38,16.44,1.644,3420620
2010-04-14,16.64,17.2,16.19,17.05,1.705,5008980
2010-04-15,17.01,17.07,16.4,16.46,1.646,5673640
