date,open,high,low,close,adjusted_close,volume
2010-01-04,68.51,69.19,68.17,69.19,49.3921,1198500
2010-01-05,69.29,69.78,68.81,69.3,49.4706,1535400
2010-01-06,69.03,69.36,68.75,69.24,49.4278,1149700
2010-01-07,69.09,69.5,68.73,69.44,49.5706,1262300
2010-01-08,69.43,69.7,68.91,69.44,49.5706,1582000
2010-01-11,69.83,70.75,69.66,70.73,50.4915,1508400
2010-01-12,70.27,70.65,69.85,70.3,50.1845,1677200
2010-01-13,70.17,71.49,69.96,71.07,51.0099,1797800
2010-01-14,70.87,71.24,70.31,71.1,51.0314,2332600
2010-01-15,71.08,71.08,69.85,70.61,50.6797,1829400
2010-01-19,70.49,70.83,70.02,70.69,50.7372,1498700
2010-01-20,70.12,70.29,68.35,69.36,49.7826,2193500
2010-01-21,69.27,69.72,67.73,68.14,48.9069,1984500
2010-01-22,68.1,68.77,66.94,67.02,48.103,1868300
2010-01-25,68.68,69.04,67.85,67.86,48.7059,1781100
2010-01-26,67.57,69.4,67.43,68.72,49.3232,2618400
2010-01-27,68.75,68.75,65.92,67.23,48.2538,3839500
2010-01-28,67.61,68.25,67.04,67.6,48.5193,1839000
2010-01-29,67.41,67.73,66.72,66.85,47.981,2268400
2010-02-01,67.22,69.58,66.79,69.43,49.8328,3613300
2010-02-02,69.43,70.21,68.66,70.03,50.2634,3599700
2010-02-03,69.82,70.39,69.51,70.12,50.328,1902400
2010-02-04,69.64,69.98,68.06,68.16,48.9213,2995400
2010-02-05,68.07,68.38,65.3,66.66,47.8447,4387600
2010-02-08,66.72,67.53,65.91,66.35,47.6222,2017100
2010-02-09,66.95,68.56,66.55,68.04,48.8351,2008500
2010-02-10,68.05,68.34,67.42,67.64,48.548,2704100
2010-02-11,67.46,67.85,66.55,67.8,48.6629,2978000
2010-02-12,67.33,68.28,66.38,67.95,48.7705,2433400
2010-02-16,68.37,69.85,68.13,69.85,50.1343,2745100
2010-02-17,69.76,70.1,69.1,70.1,50.3137,2284400
2010-02-18,69.86,71.99,69.59,71.78,51.5195,2692800
2010-02-19,71.64,73.1,71.43,72.61,52.1152,2474900
2010-02-22,72.62,72.97,71.74,72.57,52.0865,1753900
2010-02-23,72.28,72.88,71.53,71.81,51.541,1747700
2010-02-24,71.83,72.74,71.71,72.6,52.108,1220500
2010-02-25,72.1,72.24,70.81,72.2,51.8209,1651400
2010-02-26,72.39,72.74,71.59,72.55,52.0722,1504200
2010-03-01,72.54,74.13,72.54,73.91,53.0483,2384900
2010-03-02,74.65,74.65,73.41,73.98,53.0985,2203000
2010-03-03,74.25,74.33,72.65,72.83,52.2731,3344600
2010-03-04,71.95,73.04,71.09,72.94,52.3521,3061300
