date,open,high,low,close,adjusted_close,volume
2024-03-04,159.37,161.77,158.58,161.01,161.01,6705700
2024-03-05,161.52,162.15,156.58,157.86,157.86,6387600
2024-03-06,159.1,160.98,158.47,159.5,159.5,6543300
2024-03-07,162.04,166.73,161.57,166.5,166.5,11487500
2024-03-08,169.51,175.81,167.35,167.96,167.96,16940300
2024-03-11,167.09,168.42,162.98,166.56,166.56,7453000
2024-03-12,167.45,167.8,163.93,167.46,167.46,5529600
2024-03-13,165.51,171.05,165.51,170.16,170.16,6754100
2024-03-14,170.25,170.75,165.63,166.75,166.75,7550500
2024-03-15,165.65,170.5,164.89,168.89,168.89,10584700
2024-03-18,168.96,170.75,168.58,169.91,169.91,4971100
2024-03-19,169.81,173.93,169.0,173.46,173.46,7470700
2024-03-20,172.61,174.78,172.01,173.93,173.93,5769700
2024-03-21,174.62,177.05,173.09,176.64,176.64,6297600
2024-03-22,176.3,177.5,175.08,175.15,175.15,5459000
2024-03-25,174.66,175.51,172.79,173.49,173.49,5018500
2024-03-26,173.49,175.05,172.4,173.55,173.55,4035900
2024-03-27,175.02,180.36,174.68,180.12,180.12,10061000
2024-03-28,143.6153,143.6313,139.1301,140.0878,140.0878,12122274
2024-04-01,140.1437,140.4868,138.1165,139.9521,139.9521,7399592
2024-04-02,140.53,144.505,133.998,136.47,136.47,17779534
