date,open,high,low,close,adjusted_close,volume
2010-01-04,18.04,18.53,18.01,18.4,6.8238,8322224
2010-01-05,18.4,18.44,18.14,18.3,6.7867,6621163
2010-01-06,18.22,18.46,18.14,18.36,6.809,6043685
2010-01-07,18.47,18.47,18.13,18.32,6.7942,8085206
2010-01-08,18.25,18.5,18.21,18.37,6.8127,6030834
2010-01-11,18.46,18.5,18.23,18.36,6.809,6345471
2010-01-12,18.33,18.62,18.25,18.47,6.8498,12956310
2010-01-13,18.74,18.86,18.53,18.69,6.9314,9715008
2010-01-14,18.79,18.89,18.61,18.78,6.9648,7248859
2010-01-15,18.99,19.14,18.565,18.85,6.9907,17047670
2010-01-19,18.79,19.16,18.79,19.14,7.0983,10053160
2010-01-20,19.08,19.08,18.36,18.71,6.9388,14625800
2010-01-21,18.9,19.04,18.4889,18.63,6.9091,17271400
2010-01-22,18.63,18.84,18.28,18.29,6.783,14709900
2010-01-25,18.36,18.63,18.24,18.47,6.8498,11209480
2010-01-26,18.3,18.63,18.28,18.46,6.8461,10200010
2010-01-27,18.39,18.66,18.23,18.61,6.9017,14282600
2010-01-28,18.04,18.1,17.15,17.41,6.4567,35322680
2010-01-29,17.51,17.56,16.9,16.95,6.2861,16539311
2010-02-01,17.11,17.37,16.99,17.33,6.427,13669970
2010-02-02,17.31,17.43,17.09,17.33,6.427,12981800
2010-02-03,17.18,17.39,17.14,17.26,6.4011,11434540
2010-02-04,17.15,17.19,16.85,16.93,6.2787,13880990
2010-02-05,16.87,17.2,16.83,17.14,6.3565,13726710
2010-02-08,16.95,17.13,16.87,17.01,6.3083,9241823
2010-02-09,17.21,17.21,16.8539,17.06,6.3269,13685270
2010-02-10,17.0,17.15,16.88,17.09,6.338,7281040
2010-02-11,17.07,17.4,16.92,17.23,6.3899,11168980
2010-02-12,16.79,16.86,16.6,16.83,6.2416,17203289
2010-02-16,16.6,17.12,16.58,17.09,6.338,7827769
2010-02-17,17.07,17.2,16.83,16.94,6.2824,9752540
2010-02-18,17.12,17.14,16.8,17.12,6.3491,7889436
2010-02-19,16.92,17.25,16.92,17.17,6.3677,6340573
2010-02-22,17.27,17.27,16.815,16.88,6.2601,18500859
2010-02-23,16.94,16.94,16.61,16.64,6.1711,15558280
2010-02-24,16.75,16.87,16.45,16.52,6.1266,23826760
2010-02-25,16.31,16.59,16.13,16.54,6.134,20631520
2010-02-26,16.6,16.66,16.34,16.55,6.1377,14737640
2010-03-01,16.55,16.76,16.48,16.68,6.186,13099910
2010-03-02,16.8,16.845,16.56,16.57,6.1452,12286580
2010-03-03,16.58,16.79,16.58,16.66,6.1785,9501041
2010-03-04,16.86,16.86,16.51,16.73,6.2045,9526515
2010-03-05,16.89,17.0,16.77,16.97,6.2935,10331990
2010-03-08,16.92,16.99,16.82,16.9,6.2675,6986291
2010-03-09,16.92,17.2967,16.76,17.2,6.3788,11990660
2010-03-10,17.05,17.49,17.0,17.45,6.4715,16531801
2010-03-11,17.36,17.45,17.24,17.38,6.4456,8798238
2010-03-12,17.37,17.52,17.27,17.47,6.4789,7423254
2010-03-15,17.48,17.5,17.2,17.38,6.4456,6733678
2010-03-16,17.37,17.48,17.17,17.28,6.4085,8323090
2010-03-17,17.34,17.34,17.02,17.12,6.3491,14226790
2010-03-18,17.16,17.5,17.12,17.46,6.4752,18478891
