date,open,high,low,close,adjusted_close,volume
2010-01-04,44.09,44.8001,43.79,44.76,17.4843,1734939
2010-01-05,44.64,45.8201,44.61,45.78,17.8827,1418884
2010-01-06,45.66,46.29,45.47,46.11,18.0116,888307
2010-01-07,45.87,46.32,45.45,46.1,18.0077,1296103
2010-01-08,45.99,46.2101,45.72,46.0901,18.0038,1071731
2010-01-11,46.52,46.76,45.99,46.16,18.0311,969455
2010-01-12,45.8201,46.73,45.8201,46.2701,18.0741,1168497
2010-01-13,46.5401,46.8401,46.0901,46.67,18.2304,1151284
2010-01-14,46.3901,46.7801,46.23,46.68,18.2343,1016314
2010-01-15,46.5701,46.5701,46.0001,46.2,18.0468,1131723
2010-01-19,46.1501,47.3501,46.1501,46.92,18.328,1055468
2010-01-20,46.4801,46.7501,46.1501,46.52,18.1718,1055968
2010-01-21,46.6301,46.88,45.32,45.54,17.789,1629362
2010-01-22,45.39,45.6101,43.86,44.24,17.2812,1940242
2010-01-25,44.72,45.6701,44.72,45.3,17.6952,1313437
2010-01-26,45.05,45.84,44.72,44.84,17.5155,1118808
2010-01-27,44.84,45.9,44.69,45.7901,17.8866,1153485
2010-01-28,45.78,46.0001,44.81,45.17,17.6444,841331
2010-01-29,45.3101,46.02,44.84,44.9,17.539,994250
2010-02-01,45.2801,46.11,45.14,45.44,17.7499,906853
2010-02-02,45.69,46.22,45.3101,46.2,18.0468,906637
2010-02-03,45.8201,46.11,45.2501,45.42,17.7421,842389
2010-02-04,45.0101,46.299,44.21,44.21,17.2694,2167306
2010-02-05,44.16,44.46,42.6701,44.09,17.2226,1950869
2010-02-08,44.72,45.23,43.86,44.04,17.203,2055631
2010-02-09,44.6,45.0401,43.4201,44.28,17.2968,1892578
2010-02-10,44.07,45.14,43.7201,44.37,17.3319,1346681
2010-02-11,44.48,44.7401,43.68,44.54,17.3983,2922048
2010-02-12,44.19,44.3801,43.44,44.3801,17.3358,1618085
2010-02-16,44.78,44.8001,43.6901,44.69,17.4569,1752671
2010-02-17,44.97,45.41,44.8601,45.4001,17.7343,1326708
2010-02-18,45.3,46.3601,45.15,46.1201,18.0155,1393135
2010-02-19,45.98,46.86,45.86,46.53,18.1757,1295710
2010-02-22,46.53,46.9901,46.2101,46.8701,18.3085,1279138
2010-02-23,46.5401,46.5401,45.1001,45.1301,17.6288,2943061
2010-02-24,45.15,46.02,45.1001,45.84,17.9062,1429011
2010-02-25,45.27,46.4351,44.94,46.31,18.0897,1686818
2010-02-26,46.5,46.6601,45.89,46.5,18.164,1343655
2010-03-01,46.7801,47.1596,46.67,47.0501,18.3788,882772
2010-03-02,47.34,47.3501,46.77,47.21,18.4413,1115237
2010-03-03,47.42,48.7301,47.21,48.47,18.9335,2731984
2010-03-04,48.68,49.14,48.38,48.96,19.1249,1927327
2010-03-05,49.32,50.09,49.07,49.9901,19.5272,1683594
2010-03-08,49.62,50.705,49.5401,50.5601,19.7499,1528776
2010-03-09,50.19,50.69,50.13,50.4401,19.703,1618146
2010-03-10,50.4401,51.21,50.21,50.9201,19.8905,1773200
2010-03-11,50.7401,51.27,50.63,51.27,20.0272,1247328
2010-03-12,51.36,51.62,50.84,51.15,19.9804,956104
2010-03-15,51.02,51.65,50.9501,51.5,20.1171,1665970
2010-03-16,51.57,52.61,51.45,52.59,20.5429,1678871
2010-03-17,52.67,54.42,52.67,53.73,20.9882,2313290
2010-03-18,53.5901,53.91,53.25,53.6801,20.9686,990637
2010-03-19,53.96,54.1901,53.15,53.18,20.7733,1600821
2010-03-22,53.15,53.6201,52.52,53.15,20.7616,1238618
