date,open,high,low,close,adjusted_close,volume
2010-01-04,19.47,19.75,19.31,19.56,13.8039,16539320
2010-01-05,19.85,20.06,19.47,19.63,13.8533,18060920
2010-01-06,19.57,19.78,19.31,19.38,13.6769,13449640
2010-01-07,19.33,19.6,19.25,19.57,13.811,9862170
2010-01-08,19.45,19.92,19.36,19.89,14.0368,11435230
2010-01-11,20.62,20.8479,20.22,20.49,14.4603,25617010
2010-01-12,20.35,20.49,20.02,20.17,14.2344,16162890
2010-01-13,20.34,20.59,20.16,20.31,14.3332,15961500
2010-01-14,20.26,20.37,20.06,20.2,14.2556,14060120
2010-01-15,20.24,20.24,19.49,19.66,13.8745,16449170
2010-01-19,19.39,19.79,19.25,19.79,13.9663,18926400
2010-01-20,19.64,19.83,19.34,19.77,13.9521,16125570
2010-01-21,19.85,20.24,19.51,19.61,13.8392,16869301
2010-01-22,19.54,19.54,18.5,18.56,13.0982,16470891
2010-01-25,18.72,18.99,18.53,18.72,13.2111,17693410
2010-01-26,18.67,18.71,18.03,18.65,13.1617,26840600
2010-01-27,18.65,19.21,18.53,19.14,13.5075,17645320
2010-01-28,19.22,19.47,18.31,18.61,13.1335,22238070
2010-01-29,18.61,18.83,18.01,18.08,12.7595,20519180
2010-02-01,18.16,18.31,17.97,18.16,12.8159,16375040
2010-02-02,18.22,18.78,18.03,18.71,13.2041,18325119
2010-02-03,18.65,19.05,18.6,18.95,13.3734,12932570
2010-02-04,18.76,18.775,18.2,18.25,12.8794,16539350
2010-02-05,18.1,18.24,16.96,18.05,12.7383,32322580
2010-02-08,18.04,18.17,17.75,17.84,12.5901,11449210
2010-02-09,18.0,18.18,17.48,17.76,12.5336,18104840
2010-02-10,17.75,17.76,17.35,17.52,12.3643,12915830
2010-02-11,17.55,17.95,17.31,17.95,12.6677,14992010
2010-02-12,17.78,17.91,17.42,17.89,12.6254,15591690
2010-02-16,18.07,18.19,17.87,18.15,12.8089,13418200
2010-02-17,18.23,18.24,17.79,18.01,12.7101,12560250
2010-02-18,17.95,18.04,17.78,17.99,12.696,10072880
2010-02-19,17.82,18.31,17.82,18.29,12.9077,13176860
