date,open,high,low,close,adjusted_close,volume
2010-01-04,626.95,629.51,624.24,626.75,15.6839,78242781
2010-01-05,627.18,627.84,621.54,623.99,15.6149,120197929
2010-01-06,625.86,625.86,606.36,608.26,15.2212,159071140
2010-01-07,609.4,610.0,592.65,594.1,14.8669,256472536
2010-01-08,592.0,603.25,589.11,602.02,15.0651,188806636
2010-01-11,604.46,604.46,594.04,601.11,15.0423,288392997
2010-01-12,598.08,598.16,588.0,590.48,14.7763,193942225
2010-01-13,576.49,588.38,573.9,587.09,14.6915,259711561
2010-01-14,583.9,594.2,582.81,589.85,14.7605,169498686
2010-01-15,591.59,593.56,578.04,580.0,14.514,217297577
2010-01-19,581.49,590.42,576.29,587.62,14.7047,172518723
2010-01-20,585.98,585.98,575.29,580.41,14.5243,130014067
2010-01-21,583.44,586.818,572.25,582.98,14.5886,252061326
2010-01-22,564.5,570.6,534.86,550.01,13.7636,272042784
2010-01-25,546.59,549.878,535.51,540.0,13.5131,176669465
2010-01-26,537.97,549.6,536.29,542.42,13.5736,174102190
2010-01-27,541.27,547.65,535.31,542.1,13.5656,158465287
2010-01-28,544.49,547.0,530.6,534.29,13.3702,129116656
2010-01-29,538.49,540.99,525.61,529.944,13.2614,165487649
2010-02-01,534.602,535.81,530.3,533.02,13.3384,90033688
2010-02-02,534.954,534.96,527.61,531.12,13.2909,163693745
2010-02-03,528.67,542.1,528.23,540.82,13.5336,119879557
2010-02-04,537.0,538.0,525.56,526.778,13.1822,135178428
2010-02-05,528.4,533.498,522.46,531.29,13.2951,126159798
2010-02-08,532.5,542.0,531.53,533.47,13.3497,107712215
2010-02-09,539.54,541.53,535.07,536.44,13.424,113037980
2010-02-10,534.07,537.79,527.69,534.444,13.3741,106928254
2010-02-11,532.25,540.49,529.5,536.4,13.423,96350333
2010-02-12,532.97,537.15,530.5,533.12,13.3409,91126630
2010-02-16,537.14,544.13,534.3,541.3,13.5456,146051583
2010-02-17,542.0,543.4,537.61,538.206,13.4682,81148649
2010-02-18,537.54,545.01,536.14,543.22,13.5936,93479512
2010-02-19,541.0,544.03,539.7,540.762,13.5322,102115073
2010-02-22,547.35,547.5,541.0,542.8,13.5831,85706676
2010-02-23,543.0,543.63,532.29,535.07,13.3897,114880396
2010-02-24,534.39,538.44,530.51,531.47,13.2996,92986030
2010-02-25,527.12,528.49,520.0,526.43,13.1735,132246906
2010-02-26,527.42,531.75,523.48,526.8,13.1827,81895606
2010-03-01,529.2,533.29,527.74,532.69,13.3301,89446776
2010-03-02,535.48,545.66,535.01,541.06,13.5396,174129883
2010-03-03,542.36,548.12,539.25,545.32,13.6462,123485427
2010-03-04,546.5,556.13,546.2,554.59,13.8782,127239913
2010-03-05,561.35,567.67,559.9,564.21,14.1189,156383182
2010-03-08,564.78,565.18,561.01,562.48,14.0756,95367924
2010-03-09,559.85,564.66,556.5,560.19,14.0183,126980604
2010-03-10,563.76,578.5,562.21,576.45,14.4252,226143774
2010-03-11,574.26,586.21,574.2,581.14,14.5426,169245212
2010-03-12,588.14,588.276,579.16,579.54,14.5025,110141983
2010-03-15,566.68,569.45,556.0,563.18,14.0931,186082673
2010-03-16,561.83,568.42,560.76,565.2,14.1437,137181329
2010-03-17,568.3,571.45,564.25,565.56,14.1527,132771358
2010-03-18,564.72,568.44,562.96,566.4,14.1737,71015937
2010-03-19,566.23,568.0,557.28,560.0,14.0136,191579672
2010-03-22,556.11,566.85,554.28,557.5,13.951,160063939
2010-03-23,557.04,558.312,542.0,549.0,13.7383,219838518
2010-03-24,545.51,559.85,539.7,557.33,13.9467,262520162
2010-03-25,559.014,572.0,558.66,562.88,14.0856,157114474
2010-03-26,565.27,567.39,560.02,562.69,14.0809,107754135
2010-03-29,563.0,564.72,560.57,562.45,14.0749,124087084
2010-03-30,562.83,567.63,560.28,566.71,14.1815,79425956
2010-03-31,565.05,569.74,562.81,567.12,14.1917,121117519
2010-04-01,571.35,573.45,565.55,568.8,14.2338,84024105
2010-04-05,570.9,574.88,569.0,571.01,14.2891,76008944
2010-04-06,569.46,570.89,565.4,568.22,14.2193,82320874
2010-04-07,567.3,568.75,561.86,563.54,14.1021,103140800
2010-04-08,563.32,569.852,560.05,567.49,14.201,77993902
2010-04-09,568.0,568.77,564.0,566.22,14.1692,82193837
2010-04-12,567.35,574.0,566.22,572.73,14.3321,94050999
2010-04-13,572.53,588.88,571.13,586.77,14.6834,156339145
2010-04-14,590.06,592.34,584.01,589.0,14.7393,136020333
2010-04-15,592.17,597.84,588.286,595.3,14.8969,270206761
2010-04-16,563.0,568.81,549.63,550.144,13.7669,489102951
2010-04-19,548.75,553.99,545.0,550.1,13.7658,155680183
2010-04-20,554.17,559.656,551.06,555.04,13.8894,119058073
2010-04-21,556.46,560.25,552.16,554.3,13.8709,95617363
2010-04-22,552.0,552.5,543.35,547.06,13.6897,131219021
2010-04-23,547.25,549.32,542.27,544.99,13.6379,83514439
2010-04-26,544.97,544.99,529.21,531.64,13.3039,174775378
2010-04-27,528.94,538.33,527.234,529.06,13.2393,153640357
2010-04-28,532.1,534.83,521.03,529.19,13.2426,136236004
2010-04-29,533.37,536.5,526.67,532.0,13.3129,122234278
2010-04-30,531.13,537.68,525.44,525.694,13.1551,97513887
2010-05-03,526.5,532.92,525.08,530.6,13.2778,74340719
2010-05-04,526.52,526.74,504.21,506.37,12.6715,242906068
2010-05-05,500.98,515.72,500.47,509.76,12.7563,183107553
2010-05-06,508.75,517.52,460.0,498.67,12.4788,199808307
2010-05-07,499.97,505.32,481.33,493.14,12.3404,203553042
2010-05-10,513.97,522.82,512.6,521.65,13.0539,164957442
2010-05-11,515.67,519.88,508.22,509.05,12.7386,132844088
2010-05-12,512.04,512.04,502.0,505.39,12.647,153937270
2010-05-13,516.5,522.0,510.37,510.88,12.7844,132997100
2010-05-14,509.77,510.99,496.25,507.53,12.7005,164797357
2010-05-17,506.78,508.36,498.35,507.97,12.7115,111753184
2010-05-18,510.0,510.97,497.07,498.37,12.4713,113101958
2010-05-19,496.26,499.44,487.74,494.43,12.3727,137721446
2010-05-20,485.07,485.58,473.802,475.01,11.8867,196528282
2010-05-21,469.06,485.0,464.4,472.05,11.8127,387366552
2010-05-24,480.73,489.79,476.8,477.16,11.9405,173844560
2010-05-25,468.154,477.45,464.01,477.07,11.9383,120759426
2010-05-26,482.07,489.76,475.0,475.47,11.8983,139226909
2010-05-27,484.86,492.31,481.05,490.46,12.2734,112293181
2010-05-28,492.74,493.45,483.0,485.63,12.1525,115678224
2010-06-01,480.43,491.06,480.12,482.37,12.0709,106576714
2010-06-02,486.68,493.87,481.46,493.37,12.3462,101530559
2010-06-03,495.11,508.0,494.7,505.6,12.6522,145934616
2010-06-04,499.72,509.25,496.7,498.72,12.4801,156804374
2010-06-07,499.06,500.91,483.15,485.52,12.1497,145340751
2010-06-08,487.85,488.84,477.54,484.78,12.1312,107298216
2010-06-09,487.22,488.88,472.0,474.02,11.862,109203532
2010-06-10,480.37,488.5,475.84,487.01,12.187,103337170
2010-06-11,482.5,488.71,481.62,488.5,12.2243,71303698
2010-06-14,494.48,494.5,483.19,483.19,12.0914,81558732
2010-06-15,483.08,500.4,482.18,497.99,12.4618,170297633
2010-06-16,496.17,504.0,496.11,501.27,12.5439,91590021
2010-06-17,503.45,505.87,496.69,500.08,12.5141,79039250
2010-06-18,502.51,503.47,498.13,500.03,12.5129,115038204
2010-06-21,499.9,500.966,484.89,488.56,12.2258,119458125
2010-06-22,489.9,496.6,485.73,486.25,12.168,88711328
2010-06-23,486.89,486.89,478.16,482.05,12.0629,81107488
2010-06-24,479.66,482.75,473.26,475.1,11.889,75677185
2010-06-25,477.06,477.646,470.56,472.68,11.8284,89724707
2010-06-28,472.59,477.55,469.01,472.08,11.8134,70435579
2010-06-29,463.44,464.55,451.12,454.26,11.3675,139948850
2010-06-30,454.96,457.83,444.72,444.95,11.1345,144008521
2010-07-01,445.29,448.4,433.63,439.49,10.9979,140419155
2010-07-02,441.62,442.284,436.0,436.55,10.9243,77375341
