date,open,high,low,close,adjusted_close,volume
2010-01-04,38.3,38.3895,38.03,38.13,25.0752,836873
2010-01-05,37.96,38.15,37.55,38.09,25.0489,942738
2010-01-06,38.1,38.25,37.93,38.02,25.0029,656502
2010-01-07,38.05,38.29,37.8875,38.23,25.141,753253
2010-01-08,38.0,38.29,37.93,38.24,25.1476,789641
2010-01-11,38.4,38.68,38.13,38.67,25.4304,514485
2010-01-12,38.53,38.79,38.38,38.51,25.3251,664244
2010-01-13,38.65,38.93,38.385,38.7,25.4501,949398
2010-01-14,38.66,38.99,38.425,38.96,25.6211,700206
2010-01-15,38.9,38.99,38.78,38.79,25.5093,1082115
2010-01-19,38.84,39.24,38.61,39.1,25.7131,1018527
2010-01-20,38.94,38.97,38.34,38.39,25.2462,988620
2010-01-21,38.48,38.86,38.1,38.15,25.0884,904508
2010-01-22,38.18,38.51,38.08,38.11,25.0621,904653
2010-01-25,38.0,38.82,38.0,38.3,25.187,873506
2010-01-26,38.27,38.46,38.11,38.27,25.1673,588079
2010-01-27,38.31,38.43,37.78,38.06,25.0292,764144
2010-01-28,38.14,38.14,37.75,37.96,24.9634,882702
2010-01-29,38.07,38.19,37.66,37.68,24.7793,1033498
2010-02-01,37.85,38.11,37.72,38.07,25.0358,682280
2010-02-02,38.2,39.15,38.07,39.14,25.7394,1003684
2010-02-03,39.03,39.35,38.79,38.81,25.5224,814485
2010-02-04,38.52,38.67,37.85,37.85,24.8911,813999
2010-02-05,37.78,38.03,37.091,37.7,24.7925,706906
2010-02-08,37.74,37.78,36.94,36.96,24.3058,702141
2010-02-09,37.09,37.76,37.09,37.57,24.707,614562
2010-02-10,37.57,37.77,37.22,37.51,24.6675,501756
2010-02-11,37.39,37.96,37.13,37.91,24.9306,547269
2010-02-12,37.53,38.24,37.35,38.19,25.1147,806891
2010-02-16,42.2,42.2,39.2,40.75,26.7982,2263998
2010-02-17,40.7,41.1,40.52,40.7,26.7653,1068478
2010-02-18,40.52,40.66,40.21,40.63,26.7193,750645
2010-02-19,40.44,41.07,40.33,41.03,26.9824,771606
2010-02-22,41.11,41.11,40.5,40.68,26.7522,523391
2010-02-23,40.66,40.85,39.83,39.89,26.2327,921466
2010-02-24,40.01,40.39,40.0,40.38,26.5549,656829
2010-02-25,40.05,40.385,39.75,40.3,26.5023,880745
2010-02-26,40.38,40.49,40.04,40.36,26.5417,507804
2010-03-01,40.48,40.97,40.16,40.81,26.8377,542874
2010-03-02,41.02,41.08,40.62,40.94,26.9232,772752
2010-03-03,40.77,40.84,40.26,40.31,26.777,602917
2010-03-04,40.43,40.61,39.94,40.21,26.7106,753939
2010-03-05,40.47,40.56,40.1075,40.4,26.8368,612805
2010-03-08,40.54,40.68,40.25,40.48,26.89,533247
2010-03-09,40.48,40.71,40.38,40.56,26.9431,424627
2010-03-10,40.5,40.75,40.42,40.58,26.9564,528163
2010-03-11,40.59,40.92,40.34,40.9,27.169,601292
2010-03-12,40.93,40.93,40.43,40.76,27.076,472708
2010-03-15,40.8,40.91,40.36,40.5,26.9032,607286
2010-03-16,40.48,40.97,40.43,40.96,27.2088,587217
2010-03-17,41.01,41.43,40.93,41.26,27.4081,523603
2010-03-18,41.38,41.64,41.12,41.42,27.5144,557188
2010-03-19,41.75,41.79,41.33,41.6,27.6339,1110980
2010-03-22,43.08,43.63,42.76,42.87,28.4776,1436982
2010-03-23,43.14,43.14,42.63,43.08,28.6171,784393
2010-03-24,42.96,42.98,42.25,42.38,28.1521,644209
2010-03-25,42.73,42.75,42.25,42.3,28.0989,667061
2010-03-26,42.47,42.5,41.78,41.88,27.8199,622966
2010-03-29,41.99,42.18,41.83,42.06,27.9395,529051
2010-03-30,42.05,42.62,42.03,42.57,28.2783,665382
2010-03-31,42.39,42.6,42.2,42.24,28.0591,682112
2010-04-01,42.36,42.86,42.28,42.66,28.3381,654745
2010-04-05,42.67,43.12,42.56,43.05,28.5971,502317
2010-04-06,42.78,42.99,42.64,42.89,28.4909,604620
2010-04-07,42.85,43.28,42.7,42.95,28.5307,695104
2010-04-08,42.92,43.05,42.6812,42.99,28.5573,553943
2010-04-09,43.0,43.41,42.85,43.25,28.73,617533
2010-04-12,43.39,43.49,43.115,43.22,28.7101,647394
2010-04-13,43.2,43.27,42.94,43.23,28.7167,983303
2010-04-14,43.41,44.78,43.27,44.63,29.6467,1798415
2010-04-15,44.54,45.42,44.12,45.42,30.1715,1989829
2010-04-16,45.27,45.32,42.6,42.68,28.3514,2559448
2010-04-19,42.57,43.03,42.21,42.92,28.5108,1103712
2010-04-20,43.15,43.26,42.84,43.06,28.6038,895374
2010-04-21,42.98,43.14,42.71,43.1,28.6304,738397
2010-04-22,42.85,43.06,42.33,42.98,28.5506,1399215
2010-04-23,42.98,43.28,42.63,43.27,28.7433,722471
2010-04-26,43.4,43.76,43.16,43.16,28.6702,681970
2010-04-27,42.89,43.03,42.07,42.15,27.9993,1002180
2010-04-28,42.35,42.84,42.07,42.62,28.3115,1210851
2010-04-29,43.22,43.45,42.83,43.24,28.7234,1108848
2010-04-30,43.3,43.43,42.8,42.8,28.4311,1156981
2010-05-03,43.18,43.7,42.88,43.54,28.9226,836366
2010-05-04,42.95,42.95,41.95,42.18,28.0192,903261
2010-05-05,41.94,42.3,41.45,41.75,27.7336,1153665
2010-05-06,41.63,41.96,38.0,40.32,26.7837,2043293
2010-05-07,40.27,40.49,39.14,39.69,26.3652,2201296
2010-05-10,41.09,42.57,41.09,42.54,28.2584,1509013
2010-05-11,42.03,43.04,42.03,42.52,28.2451,1423174
2010-05-12,42.75,42.85,42.25,42.81,28.4377,844362
2010-05-13,42.74,42.78,41.9,42.0,27.8997,637973
2010-05-14,41.67,41.99,40.86,41.25,27.4014,1169307
2010-05-17,41.27,41.49,40.51,41.31,27.4413,888267
2010-05-18,41.61,41.875,40.77,40.94,27.1955,857579
2010-05-19,40.79,40.98,40.08,40.78,27.0892,1089147
2010-05-20,39.85,40.296,39.39,39.45,26.2057,1407905
2010-05-21,38.64,39.83,38.53,39.34,26.1327,3300659
2010-05-24,39.2,39.57,39.02,39.16,26.0131,964595
2010-05-25,38.36,39.82,38.04,39.76,26.4117,1704263
2010-05-26,40.04,40.54,39.62,39.85,26.4715,1239637
2010-05-27,40.54,40.94,40.26,40.94,27.1955,707920
2010-05-28,40.94,41.04,40.37,40.61,26.9763,993143
2010-06-01,40.19,41.01,39.93,39.94,26.5312,911631
2010-06-02,40.2,41.05,39.77,41.05,27.2686,721883
2010-06-03,40.76,41.19,39.91,40.47,26.8833,1342137
2010-06-04,39.79,40.05,39.37,39.51,26.2456,1417632
2010-06-07,39.54,39.69,38.97,38.98,25.8935,1057507
2010-06-08,39.11,39.58,38.66,39.49,26.2323,1141893
2010-06-09,39.09,39.75,38.97,39.2,26.3129,947487
2010-06-10,39.75,40.4,39.74,40.35,27.0848,863551
2010-06-11,40.01,40.85,39.97,40.78,27.3734,772781
2010-06-14,41.25,41.44,40.74,40.8,27.3869,594822
2010-06-15,41.0,41.59,40.82,41.54,27.8836,812187
2010-06-16,41.3,41.61,40.94,41.4,27.7896,748738
2010-06-17,41.47,41.7,40.93,41.57,27.9037,591661
2010-06-18,41.67,41.9,41.56,41.68,27.9776,742369
2010-06-21,42.16,42.25,41.37,41.65,27.9574,519492
2010-06-22,41.69,42.0,40.62,40.69,27.313,596986
2010-06-23,40.66,41.05,40.19,40.8,27.3869,657059
2010-06-24,40.45,40.6,39.96,40.12,26.9304,583854
2010-06-25,40.12,40.55,39.9,40.36,27.0915,934594
2010-06-28,40.51,40.95,40.23,40.65,27.2862,644845
2010-06-29,40.13,40.2,39.43,39.89,26.776,1080643
2010-06-30,39.75,40.25,39.3,39.45,26.4807,944098
2010-07-01,39.97,39.97,38.81,39.86,26.7559,1507859
2010-07-02,39.94,40.15,39.42,39.55,26.5478,766889
2010-07-06,39.93,40.16,39.07,39.44,26.474,935076
2010-07-07,39.46,40.25,39.2976,40.19,26.9774,1081199
2010-07-08,40.42,40.92,40.38,40.88,27.4406,1147089
2010-07-09,40.94,41.28,40.78,41.12,27.6017,708455
2010-07-12,40.31,40.875,40.25,40.8,27.3869,733505
2010-07-13,41.08,42.3,41.02,41.78,28.0447,1126790
2010-07-14,41.74,42.07,41.42,41.89,28.1185,875731
2010-07-15,41.81,42.32,41.32,42.15,28.293,1163922
2010-07-16,42.53,43.44,42.075,43.23,29.018,2746187
2010-07-19,43.3,43.66,42.46,42.76,28.7025,1473586
2010-07-20,42.11,43.28,42.11,43.28,29.0516,885289
2010-07-21,43.52,43.55,42.26,42.47,28.5078,1197464
2010-07-22,42.77,43.51,42.415,42.65,28.6287,1739095
2010-07-23,42.55,43.17,42.25,43.1,28.9307,1331709
2010-07-26,43.2,43.83,43.08,43.59,29.2596,1170877
2010-07-27,43.71,43.98,43.03,43.09,28.924,875923
2010-07-28,43.08,43.38,42.8598,42.95,28.83,814515
2010-07-29,43.29,43.75,42.35,42.69,28.6555,1049388
2010-07-30,42.23,42.99,42.08,42.83,28.7495,809316
2010-08-02,43.32,43.96,43.1,43.76,29.3738,829572
2010-08-03,43.55,43.94,43.24,43.81,29.4073,1037371
2010-08-04,43.76,44.19,43.71,44.04,29.5617,1069558
2010-08-05,43.78,44.12,43.55,44.12,29.6154,802798
2010-08-06,43.78,44.05,43.25,43.96,29.508,751768
2010-08-09,44.26,44.52,44.2,44.48,29.8571,752521
