date,open,high,low,close,adjusted_close,volume
2010-01-04,54.22,54.5,52.46,52.67,25.291,2533360
2010-01-05,52.5,52.77,52.17,52.56,25.2382,1288556
2010-01-06,52.62,52.75,52.04,52.37,25.147,1628140
2010-01-07,52.37,52.4,51.78,52.04,24.9885,2470282
2010-01-08,49.2,49.74,48.24,48.97,23.5144,6436994
2010-01-11,48.93,48.97,47.39,47.82,22.9622,4421632
2010-01-12,47.7,47.85,47.2,47.77,22.9381,2311180
2010-01-13,47.74,47.99,47.29,47.81,22.9574,2179542
2010-01-14,47.56,47.92,46.95,46.98,22.5588,2981530
2010-01-15,47.0,47.2,46.4,46.48,22.3187,2340662
2010-01-19,46.57,46.82,46.3,46.76,22.4532,2058444
2010-01-20,46.4,46.75,45.96,46.69,22.4196,2187926
2010-01-21,46.77,47.02,45.76,45.87,22.0258,3046644
2010-01-22,45.88,46.1,45.38,45.4,21.8001,2421026
2010-01-25,45.81,45.81,44.9,45.3,21.7521,2003546
2010-01-26,45.12,45.59,44.9,45.24,21.7233,1947938
2010-01-27,45.01,45.55,44.95,45.51,21.8529,2506114
2010-01-28,46.87,46.89,45.24,45.28,21.7425,2522180
2010-01-29,45.31,45.31,44.5,44.5,21.368,2063118
2010-02-01,44.7,45.0,44.05,45.0,21.6081,1521862
2010-02-02,44.93,45.5,44.7506,45.32,21.7617,1491012
2010-02-03,45.02,45.55,45.02,45.26,21.7329,1595080
2010-02-04,46.39,46.39,45.1,45.22,21.7137,2590578
2010-02-05,45.16,45.55,44.76,45.13,21.6705,2548062
2010-02-08,45.05,45.36,44.66,44.98,21.5984,1417678
2010-02-09,45.46,45.7,45.05,45.48,21.8385,1079446
2010-02-10,45.3,45.49,45.0001,45.2,21.7136,740292
2010-02-11,45.24,45.71,44.79,45.59,21.901,696992
2010-02-12,45.32,45.33,44.24,44.49,21.3726,2654850
2010-02-16,44.73,44.82,44.32,44.59,21.4206,2835226
2010-02-17,44.59,44.79,43.55,43.7,20.9931,3589610
2010-02-18,43.54,44.09,43.494,43.84,21.0603,2534836
2010-02-19,43.67,43.84,43.33,43.59,20.9402,2135962
2010-02-22,43.67,43.74,42.98,43.02,20.6664,1924358
2010-02-23,42.86,43.13,42.5,42.72,20.5223,2872808
2010-02-24,42.82,43.19,42.63,43.09,20.7,1398600
2010-02-25,42.75,43.1,42.5,42.94,20.628,1430926
2010-02-26,43.02,43.04,42.57,42.81,20.5655,1969752
2010-03-01,42.97,43.82,42.97,43.77,21.0267,2412864
2010-03-02,43.75,43.89,43.07,43.51,20.9018,1794962
2010-03-03,43.43,43.45,42.8,42.82,20.5703,1580020
2010-03-04,42.79,43.0,42.54,42.75,20.5367,1299952
2010-03-05,42.91,43.78,42.79,43.65,20.969,1486338
2010-03-08,43.65,44.07,43.61,43.96,21.118,916666
2010-03-09,44.07,45.42,44.02,45.03,21.632,2740800
2010-03-10,46.15,46.15,45.2,45.41,21.8145,2272312
2010-03-11,45.36,45.36,44.77,45.26,21.7425,1323390
2010-03-12,45.33,45.47,44.8,45.2,21.7136,1298518
2010-03-15,45.03,45.18,44.35,44.62,21.435,1133288
2010-03-16,44.62,45.01,44.41,45.0,21.6176,781354
2010-03-17,45.07,46.31,45.07,46.06,22.1268,1786776
2010-03-18,46.02,46.61,46.02,46.44,22.3093,1018516
2010-03-19,46.6,46.93,45.74,46.02,22.1076,1746846
2010-03-22,45.89,46.76,45.76,46.74,22.4534,929988
2010-03-23,46.83,46.83,46.02,46.38,22.2805,972740
2010-03-24,46.17,46.17,44.98,45.11,21.6704,1634700
2010-03-25,45.43,45.69,44.99,45.45,21.8337,1335210
2010-03-26,45.38,45.65,45.37,45.6,21.9058,1681434
2010-03-29,45.61,45.89,45.47,45.87,22.0355,1008634
2010-03-30,45.96,46.62,45.96,46.32,22.2517,2114208
2010-03-31,46.32,46.67,45.36,45.55,21.8818,3136704
2010-04-01,48.24,48.96,45.51,45.64,21.925,7231448
2010-04-05,45.77,45.77,44.49,44.69,21.4686,4005060
2010-04-06,44.59,45.44,44.25,45.22,21.7232,2748260
2010-04-07,45.04,45.14,43.98,44.21,21.2381,3634636
