date,open,high,low,close,adjusted_close,volume
2010-01-04,30.72,31.34,30.66,31.25,25.0657,11571600
2010-01-05,31.28,31.83,30.99,31.65,25.3865,18989700
2010-01-06,31.74,32.59,31.64,32.4,25.9881,15720800
2010-01-07,32.31,32.52,31.92,32.48,26.0523,8993100
2010-01-08,32.95,34.14,32.49,34.12,27.3677,23014600
2010-01-11,34.71,34.87,33.38,33.78,27.095,15943400
2010-01-12,33.17,33.73,32.86,33.29,26.702,15739600
2010-01-13,33.35,34.21,33.17,34.05,27.3116,13885400
2010-01-14,34.08,34.64,33.7,34.31,27.5201,12008000
2010-01-15,34.19,34.29,33.47,34.03,27.2955,11967100
2010-01-19,33.85,34.72,33.85,34.6,27.7527,12018100
2010-01-20,34.1,34.24,33.01,33.27,26.6859,17463600
2010-01-21,33.25,33.52,32.5,32.53,26.0924,20825600
2010-01-22,32.27,32.47,31.05,31.15,24.9855,21577600
2010-01-25,29.69,31.5,29.52,31.07,24.9213,29815000
2010-01-26,30.83,31.5,30.31,30.88,24.7689,18930800
2010-01-27,30.73,30.87,29.4,30.41,24.3919,19410700
2010-01-28,30.83,30.83,29.36,29.65,23.7823,16881400
2010-01-29,29.98,30.66,29.01,29.21,23.4294,18196500
2010-02-01,29.57,30.7,29.53,30.65,24.5844,13821700
2010-02-02,30.8,31.5,30.43,30.76,24.6726,16414100
2010-02-03,30.71,31.21,30.16,30.36,24.3518,11090200
2010-02-04,29.97,29.97,28.71,28.86,23.1487,17959900
2010-02-05,28.81,29.26,27.71,28.29,22.6915,22097000
2010-02-08,28.33,29.02,28.05,28.1,22.5391,16336400
2010-02-09,28.56,29.68,28.56,29.08,23.3251,20175400
2010-02-10,29.01,29.51,28.5,29.23,23.4454,12150700
2010-02-11,29.25,30.23,28.87,30.16,24.1914,14493200
2010-02-12,29.59,30.08,29.42,30.02,24.0791,14981300
2010-02-16,30.68,31.14,30.43,31.05,24.9053,15028400
2010-02-17,31.15,31.24,30.73,31.08,24.9293,11394000
2010-02-18,30.93,31.66,30.93,31.54,25.2983,11485800
2010-02-19,31.42,32.08,31.19,31.79,25.4988,12130100
2010-02-22,31.91,32.15,30.87,31.02,24.8812,14988500
2010-02-23,30.82,30.99,30.06,30.2,24.2235,14472400
2010-02-24,30.3,30.54,29.69,30.01,24.0711,18173300
2010-02-25,29.38,30.09,29.0,30.0,24.063,13093300
2010-02-26,30.02,30.25,29.56,30.15,24.2561,12722900
2010-03-01,30.46,30.95,30.36,30.75,24.7388,11698800
2010-03-02,30.96,31.67,30.84,31.21,25.1089,12519400
2010-03-03,31.53,32.22,31.41,31.7,25.5031,10792800
2010-03-04,31.78,31.89,31.17,31.45,25.302,7605700
2010-03-05,31.79,32.11,31.65,31.88,25.6479,8737400
2010-03-08,31.9,32.39,31.26,31.41,25.2698,10685000
2010-03-09,31.15,31.25,30.59,30.91,24.8676,14949900
2010-03-10,30.85,31.13,30.15,30.64,24.6503,20693100
2010-03-11,30.51,30.79,30.17,30.74,24.7308,13677900
2010-03-12,31.16,31.55,30.78,31.5,25.3422,15641400
2010-03-15,31.27,31.52,30.66,31.03,24.9641,10154400
2010-03-16,31.27,31.93,31.17,31.71,25.5112,11203600
2010-03-17,31.91,32.83,31.81,32.52,26.1628,16965200
2010-03-18,32.47,32.55,31.39,31.58,25.4066,12179500
2010-03-19,30.5,31.9,30.21,30.5,24.5377,18790400
2010-03-22,30.15,30.9,29.89,30.64,24.6503,11853300
2010-03-23,30.72,31.18,30.53,30.71,24.7067,10179100
2010-03-24,30.39,30.82,30.15,30.21,24.3044,9982800
2010-03-25,30.5,30.65,29.54,29.57,23.7895,14175800
2010-03-26,29.8,29.87,29.25,29.36,23.6206,12483100
2010-03-29,29.65,30.09,29.48,29.87,24.0309,12255000
2010-03-30,29.96,30.26,29.85,30.0,24.1355,11792700
2010-03-31,30.25,30.33,29.94,30.13,24.24,10508700
2010-04-01,30.53,31.07,30.46,30.74,24.7308,13189700
2010-04-05,31.15,31.98,30.79,31.85,25.6238,16571600
2010-04-06,31.96,32.43,31.87,32.2,25.9054,9753700
2010-04-07,32.26,32.31,31.4,31.63,25.4468,12860100
2010-04-08,31.34,31.69,30.88,31.66,25.471,11112500
2010-04-09,31.83,32.0,31.19,31.57,25.3985,8299300
2010-04-12,31.49,31.95,31.42,31.5,25.3422,6770700
2010-04-13,31.48,31.58,31.07,31.42,25.2779,9046100
2010-04-14,31.72,32.5,31.55,32.43,26.0904,11950200
2010-04-15,32.36,32.68,32.14,32.52,26.1628,10454400
2010-04-16,32.29,32.45,31.04,31.64,25.4549,16701400
2010-04-19,31.46,32.47,31.17,31.57,25.3985,21178300
2010-04-20,31.94,33.6,31.9,33.31,26.7984,18422800
2010-04-21,33.38,33.97,32.94,33.29,26.7823,15546600
2010-04-22,32.92,33.88,32.69,33.73,27.1363,11774900
2010-04-23,34.04,35.22,33.93,34.96,28.1259,18852700
2010-04-26,34.98,35.02,34.29,34.47,27.7316,11508600
2010-04-27,34.15,34.2,32.66,32.81,26.3961,17140400
2010-04-28,32.95,33.43,32.44,33.35,26.8306,12947000
