date,open,high,low,close,adjusted_close,volume
2010-01-04,32.53,32.75,32.32,32.54,20.8887,1652600
2010-01-05,32.63,32.63,31.85,32.18,20.6576,1646900
2010-01-06,32.22,32.22,31.7,32.15,20.6384,1307500
2010-01-07,32.06,32.26,31.37,31.69,20.3431,3140300
2010-01-08,32.09,32.34,31.47,31.77,20.3944,2699600
2010-01-11,31.9,32.0,31.5,31.74,20.3752,1082500
2010-01-12,31.65,31.69,31.04,31.24,20.0542,3105500
2010-01-13,31.22,31.76,31.2,31.69,20.3431,1277300
2010-01-14,31.61,32.07,31.51,32.02,20.5549,1269000
2010-01-15,31.99,32.24,31.7,32.16,20.6448,2017200
2010-01-19,32.18,32.43,31.98,32.33,20.7539,998500
2010-01-20,32.08,32.31,31.8,32.26,20.709,1499100
2010-01-21,32.15,32.54,32.0,32.1,20.6063,2252400
2010-01-22,32.0,32.27,31.23,31.29,20.0863,1615100
2010-01-25,31.45,31.62,31.21,31.42,20.1698,1101000
2010-01-26,31.3,31.59,31.25,31.28,20.0799,1045500
2010-01-27,31.21,31.53,31.01,31.49,20.2147,1042300
2010-01-28,31.56,31.73,31.22,31.54,20.2468,971500
2010-01-29,31.62,31.62,30.53,30.55,19.7364,2446200
2010-02-01,30.72,31.38,30.55,31.19,20.1499,2397600
2010-02-02,31.27,32.01,31.07,31.96,20.6473,2635000
2010-02-03,31.85,32.23,31.69,32.07,20.7184,1631600
2010-02-04,31.84,32.03,31.22,31.26,20.1951,2043400
2010-02-05,31.2,31.35,30.2,30.8,19.8979,2782800
2010-02-08,33.65,35.19,33.53,34.71,22.4239,11443600
2010-02-09,34.76,35.28,34.47,35.06,22.65,4256100
2010-02-10,35.04,35.61,34.89,35.3,22.8051,3308300
2010-02-11,35.33,36.19,35.06,36.14,23.3478,2432600
2010-02-12,35.92,36.0,35.47,35.55,22.9666,4321800
2010-02-16,35.84,35.98,34.76,35.03,22.6307,3858100
2010-02-17,35.14,35.51,35.02,35.43,22.8891,1485800
2010-02-18,35.33,35.82,35.18,35.76,23.1023,1821500
2010-02-19,35.62,35.99,35.37,35.8,23.1281,1565200
2010-02-22,35.91,35.92,35.42,35.52,22.9472,1627800
2010-02-23,35.5,35.54,35.05,35.28,22.7922,1283800
2010-02-24,35.48,35.54,35.11,35.48,22.9214,1461100
2010-02-25,35.2,35.74,34.65,35.69,23.057,2058100
2010-02-26,35.53,35.99,35.41,35.78,23.1152,1570700
2010-03-01,35.8,36.19,35.5,36.06,23.2961,1668600
2010-03-02,36.16,36.68,36.05,36.61,23.6514,2394400
2010-03-03,36.59,36.67,36.3,36.33,23.4705,1665100
2010-03-04,36.31,36.73,36.31,36.73,23.7289,1514500
2010-03-05,36.94,37.52,36.61,37.47,24.207,1363900
2010-03-08,37.47,37.73,37.29,37.5,24.2264,1398500
2010-03-09,37.4,37.93,37.4,37.68,24.3427,1147600
2010-03-10,37.67,38.01,37.43,38.01,24.5558,1623000
2010-03-11,37.9,38.15,37.65,38.09,24.6075,897900
2010-03-12,38.82,38.82,37.75,38.2,24.6786,942300
2010-03-15,37.61,37.91,37.39,37.63,24.3104,1839200
2010-03-16,37.68,38.13,37.64,37.85,24.4525,1767000
2010-03-17,37.98,38.24,37.77,38.14,24.6398,1404400
