date,open,high,low,close,adjusted_close,volume
2010-01-04,3.71,3.74,3.65,3.68,2.3283,10466090
2010-01-05,3.68,3.77,3.65,3.76,2.379,21236391
2010-01-06,3.75,3.89,3.72,3.86,2.4422,18762480
2010-01-07,3.85,4.35,3.83,4.29,2.7143,66130555
2010-01-08,4.23,4.37,4.13,4.22,2.67,29869529
2010-01-11,4.31,4.44,4.21,4.33,2.7396,28307461
2010-01-12,4.26,4.42,4.15,4.21,2.6637,25239160
2010-01-13,4.21,4.34,4.08,4.31,2.7269,26872410
2010-01-14,4.31,4.45,4.27,4.41,2.7902,24299301
2010-01-15,4.4,4.41,4.22,4.28,2.708,17678150
2010-01-19,4.27,4.36,4.21,4.3,2.7206,15203150
2010-01-20,4.25,4.41,4.23,4.29,2.7143,20893631
2010-01-21,4.38,4.75,4.37,4.53,2.8661,63969887
2010-01-22,4.42,4.87,4.25,4.69,2.9674,61227527
2010-01-25,4.77,4.94,4.65,4.8,3.037,34705859
2010-01-26,4.86,4.99,4.6,4.6,2.9104,45439879
2010-01-27,4.67,4.9,4.65,4.88,3.0876,34008941
2010-01-28,5.08,5.09,4.92,4.99,3.1572,40498871
2010-01-29,5.05,5.05,4.74,4.79,3.0306,27569039
2010-02-01,4.85,4.94,4.78,4.9,3.1002,18652750
2010-02-02,4.88,4.94,4.82,4.93,3.1192,35142320
2010-02-03,4.88,4.9,4.625,4.71,2.98,41303090
2010-02-04,4.66,4.68,4.46,4.54,2.8725,35832281
2010-02-05,4.56,4.685,4.4,4.63,2.9294,25105490
2010-02-08,4.68,4.73,4.53,4.58,2.8978,17834551
2010-02-09,4.66,4.73,4.57,4.65,2.9421,17436971
2010-02-10,4.61,4.75,4.61,4.71,2.98,14030790
2010-02-11,4.75,4.81,4.68,4.79,3.0306,16134060
2010-02-12,4.71,4.77,4.62,4.68,2.961,13712810
2010-02-16,4.73,4.82,4.7,4.82,3.0496,14926640
2010-02-17,4.83,4.88,4.725,4.76,3.0117,12692760
2010-02-18,4.76,4.8,4.69,4.72,2.9864,11941570
2010-02-19,4.72,4.85,4.71,4.85,3.0686,11151160
2010-02-22,4.91,4.95,4.88,4.93,3.1192,16536359
2010-02-23,4.89,4.95,4.8,4.81,3.0433,13717580
2010-02-24,4.86,4.94,4.83,4.89,3.0939,12364260
2010-02-25,4.76,4.84,4.75,4.8,3.037,10031270
2010-02-26,4.8,4.835,4.76,4.81,3.0433,9187032
2010-03-01,4.86,4.875,4.75,4.8,3.037,7021587
2010-03-02,4.84,4.87,4.79,4.83,3.0559,11973770
2010-03-03,4.84,4.87,4.77,4.81,3.0433,10154150
2010-03-04,4.83,4.84,4.79,4.81,3.0433,5687910
2010-03-05,4.86,4.96,4.82,4.96,3.1382,14764670
2010-03-08,5.0,5.03,4.89,4.96,3.1382,12789890
2010-03-09,4.93,5.14,4.85,5.03,3.1825,21012631
2010-03-10,5.19,5.44,5.15,5.25,3.3217,39935461
2010-03-11,5.3,5.62,5.29,5.4,3.4166,54603059
2010-03-12,5.58,5.62,5.4,5.47,3.4609,26892490
2010-03-15,5.43,5.45,5.27,5.41,3.4229,22332289
2010-03-16,5.475,5.53,5.42,5.53,3.5053,18207250
2010-03-17,5.64,5.81,5.6,5.76,3.6511,32758359
2010-03-18,5.805,5.805,5.465,5.5,3.4863,32948621
2010-03-19,5.51,5.55,5.2878,5.32,3.3722,37237566
2010-03-22,5.19,5.52,5.14,5.4675,3.4657,22213490
2010-03-23,5.5,5.54,5.38,5.48,3.4736,24927189
2010-03-24,5.46,5.54,5.44,5.48,3.4736,20088750
2010-03-25,5.58,5.69,5.49,5.5,3.4863,25186199
2010-03-26,5.61,5.65,5.4,5.47,3.4673,23290529
2010-03-29,5.54,5.55,5.38,5.45,3.4546,14400600
2010-03-30,5.47,5.5,5.35,5.41,3.4293,11653120
2010-03-31,5.35,5.5,5.32,5.39,3.4166,16623689
2010-04-01,5.49,5.5,5.32,5.39,3.4166,11272490
2010-04-05,5.42,5.55,5.39,5.53,3.5053,17259240
2010-04-06,5.54,5.85,5.5,5.85,3.7082,37087520
2010-04-07,5.88,6.05,5.81,5.89,3.7335,35282969
2010-04-08,5.88,6.05,5.7,5.9,3.7399,29880000
2010-04-09,6.0,6.0,5.815,5.86,3.7145,21108240
2010-04-12,5.89,6.08,5.85,6.03,3.8223,24430721
2010-04-13,5.88,5.88,5.57,5.69,3.6067,51725449
2010-04-14,5.83,5.95,5.78,5.88,3.7272,31518689
2010-04-15,5.93,5.95,5.73,5.75,3.6448,24467721
2010-04-16,5.76,5.76,5.29,5.56,3.5243,45066422
2010-04-19,5.5,5.6199,5.26,5.49,3.48,33650152
2010-04-20,5.58,5.85,5.47,5.83,3.6955,37734879
2010-04-21,6.16,6.8,6.11,6.59,4.1772,118063797
2010-04-22,6.68,6.98,6.56,6.89,4.3674,54643961
2010-04-23,7.1,7.28,7.03,7.17,4.5449,55055512
2010-04-26,7.241,7.4,6.85,6.859,4.3477,40319793
2010-04-27,6.7,6.86,6.56,6.675,4.2311,35509246
2010-04-28,6.78,6.94,6.62,6.73,4.266,29138350
2010-04-29,6.85,6.96,6.75,6.87,4.3547,18829160
2010-04-30,6.85,7.04,6.73,6.76,4.285,28586221
2010-05-03,6.84,6.92,6.76,6.88,4.361,13053770
2010-05-04,6.8,6.84,6.63,6.67,4.2279,22622340
2010-05-05,6.53,6.87,6.46,6.545,4.1487,42628832
2010-05-06,6.52,6.72,5.66,6.23,3.949,50405039
2010-05-07,6.2,6.38,5.86,6.01,3.8096,38180129
2010-05-10,6.49,6.57,6.27,6.49,4.1138,33560320
2010-05-11,6.37,6.71,6.33,6.48,4.1075,32682131
2010-05-12,6.74,6.87,6.69,6.77,4.2913,37676391
2010-05-13,6.81,6.95,6.71,6.76,4.285,29912990
2010-05-14,6.66,6.69,6.44,6.53,4.1392,33074910
2010-05-17,6.54,6.62,6.28,6.5,4.1202,22875279
2010-05-18,6.6,6.6,6.08,6.155,3.9015,33016469
2010-05-19,6.1,6.37,6.01,6.15,3.8983,29418990
2010-05-20,5.92,6.02,5.76,5.85,3.7082,45452602
2010-05-21,5.69,6.24,5.62,6.24,3.9554,38619238
2010-05-24,6.27,6.27,5.98,6.0,3.8032,21195119
2010-05-25,5.67,5.99,5.66,5.96,3.7779,31690180
2010-05-26,6.11,6.17,5.98,6.01,3.8096,16251870
2010-05-27,6.18,6.25,6.07,6.24,3.9554,15183290
2010-05-28,6.28,6.32,6.1,6.16,3.9047,13165800
2010-06-01,6.09,6.26,5.92,5.925,3.7557,14128790
2010-06-02,6.05,6.17,5.98,6.17,3.911,13099670
