date,open,high,low,close,adjusted_close,volume
2011-03-10,31.2,31.5,30.7,31.02,23.1947,64600367
2011-03-11,30.5,31.29,30.5,31.12,23.2694,9531504
2011-03-14,30.96,31.05,30.57,30.91,23.1124,8663783
2011-03-15,30.39,31.5,30.36,31.34,23.4339,7126571
2011-03-16,31.25,31.95,31.12,31.25,23.3666,6157808
2011-03-17,31.54,31.93,31.4,31.91,23.8602,3332379
2011-03-18,32.11,33.08,31.9,33.06,24.72,5463348
2011-03-21,33.39,33.39,32.0,32.25,24.1144,3823474
2011-03-22,32.37,32.39,31.3904,31.87,23.8302,3943895
2011-03-23,31.7,32.68,31.5,32.68,24.4359,4216233
2011-03-24,32.53,32.95,32.5,32.69,24.4434,2125551
2011-03-25,32.71,33.1,32.58,32.95,24.6378,3026587
2011-03-28,32.87,33.11,32.75,33.04,24.7051,2112581
2011-03-29,33.44,34.01,33.05,33.89,25.3407,5137353
2011-03-30,34.57,34.57,33.93,34.24,25.6024,3049809
2011-03-31,34.0,34.11,33.665,33.87,25.3257,1960876
2011-04-01,33.89,34.1,33.66,33.74,25.2285,1822039
2011-04-04,33.87,33.87,33.31,33.67,25.1762,2647964
2011-04-05,33.7,34.05,33.25,34.02,25.4379,3607250
2011-04-06,33.75,34.2,33.24,33.3,24.8995,2718425
2011-04-07,33.28,33.85,32.85,33.66,25.1687,1947469
2011-04-08,33.52,33.99,32.99,33.17,24.8023,2340014
2011-04-11,33.34,33.34,30.79,32.12,24.0172,15028130
2011-04-12,32.11,32.59,31.33,31.53,23.576,3848784
2011-04-13,32.0,32.45,31.7,32.06,23.9723,3969785
2011-04-14,31.89,32.5,31.79,32.14,24.0321,1565889
2011-04-15,32.3,32.38,31.89,31.98,23.9125,3073284
2011-04-18,31.82,32.54,30.75,32.08,23.9873,2911031
2011-04-19,33.08,33.1,31.66,31.74,23.733,3838184
2011-04-20,32.0,32.1897,31.15,31.65,23.6657,3866027
2011-04-21,31.81,31.98,31.27,31.4,23.4788,1461936
2011-04-25,31.56,31.5999,31.1,31.4,23.4788,732637
2011-04-26,31.35,32.07,31.16,32.0,23.9274,1771522
2011-04-27,32.26,33.0,32.2503,32.65,24.4135,3354452
2011-04-28,32.51,32.99,32.25,32.57,24.3537,1571782
2011-04-29,32.5,32.86,32.03,32.8,24.5256,1233833
2011-05-02,32.8,33.79,32.8,33.44,25.0042,2786222
2011-05-03,33.59,33.882,31.94,32.61,24.3836,3429362
2011-05-04,33.1,33.96,32.79,33.55,25.0864,4518260
2011-05-05,33.45,34.74,33.15,34.34,25.6771,2612938
2011-05-06,34.06,34.5,33.89,34.25,25.6098,1601327
2011-05-09,34.35,34.75,34.14,34.49,25.7893,1996004
2011-05-10,34.03,34.86,34.0,34.59,25.8641,1475160
2011-05-11,34.2,34.79,34.06,34.54,25.8267,1431728
2011-05-12,34.3,34.59,34.12,34.51,25.8043,814706
2011-05-13,34.43,34.769,34.232,34.6,25.8716,1694184
2011-05-16,34.3,34.6,34.05,34.25,25.6098,1719853
2011-05-17,34.21,34.95,34.0,34.54,25.8267,3037305
2011-05-18,34.4,35.24,34.15,35.07,26.223,2070267
2011-05-19,35.02,35.23,34.5,35.05,26.208,1183894
2011-05-20,34.9,35.04,34.15,34.63,25.894,2012662
2011-05-23,34.4,34.55,34.0,34.41,25.7295,2180438
2011-05-24,34.53,34.64,34.07,34.49,25.7893,3046754
2011-05-25,34.57,35.0,34.24,34.68,25.9314,2539055
2011-05-26,34.9,34.91,34.05,34.83,26.0435,1798281
2011-05-27,34.92,35.1,34.41,34.74,25.9762,1474669
2011-05-31,34.99,35.31,34.56,34.89,26.0884,8113338
2011-06-01,35.0,35.27,34.42,34.77,25.9987,3049797
2011-06-02,34.84,35.05,34.25,34.36,25.6921,2160044
2011-06-03,34.0,34.15,33.72,34.14,25.5276,2519008
2011-06-06,33.98,34.28,33.06,33.74,25.2285,2360977
2011-06-07,33.79,34.9,33.73,34.52,25.8117,1896517
2011-06-08,34.57,34.99,34.25,34.76,25.9912,1458308
2011-06-09,35.03,35.37,34.58,35.24,26.3501,1634034
2011-06-10,35.0,35.0,33.86,33.9,25.3481,2222630
2011-06-13,34.15,34.15,33.25,33.65,25.1612,1671649
2011-06-14,33.8,34.07,33.26,33.54,25.079,1846285
2011-06-15,33.25,33.52,32.62,33.15,24.7873,2544669
2011-06-16,34.05,34.8,33.5,33.87,25.3257,5779259
2011-06-17,34.0,34.99,33.95,34.59,25.8641,3872503
2011-06-20,34.72,34.72,34.05,34.23,25.5949,1461612
2011-06-21,34.2,34.36,33.5,33.9,25.3481,2728101
2011-06-22,33.9,33.995,33.36,33.42,24.9892,2487424
2011-06-23,33.3,33.44,32.28,33.21,24.8322,3222017
