date,open,high,low,close,adjusted_close,volume
2010-01-04,61.84,63.43,61.77,63.16,51.8114,3729300
2010-01-05,63.6,64.22,63.14,63.55,52.1314,3195800
2010-01-06,63.31,64.51,63.31,63.72,52.2708,3545900
2010-01-07,63.56,65.27,63.08,64.94,53.2716,4994300
2010-01-08,64.62,65.9,64.08,65.83,54.0017,2164400
2010-01-11,66.48,66.49,64.6,65.14,53.4357,3038200
2010-01-12,64.48,64.48,62.37,62.53,51.2946,5338700
2010-01-13,62.7,63.1,61.0,62.94,51.631,4254900
2010-01-14,62.89,63.21,62.31,63.01,51.6884,1725600
2010-01-15,62.89,63.41,61.11,62.43,51.2126,3831200
2010-01-19,62.13,63.04,61.65,63.04,51.713,2006800
2010-01-20,62.25,62.38,60.86,62.04,50.8927,2369800
2010-01-21,62.3,62.77,59.91,60.19,49.3751,5539500
2010-01-22,59.75,61.5,58.69,58.69,48.1446,6095600
2010-01-25,59.46,60.58,59.46,59.99,49.211,3809900
2010-01-26,59.11,60.42,58.42,59.09,48.4727,4413900
2010-01-27,59.65,61.75,57.2,58.89,48.3087,7760000
2010-01-28,59.26,59.46,57.47,57.87,47.4719,3651200
2010-01-29,58.43,59.86,57.36,57.79,47.4063,5221900
2010-02-01,58.45,59.89,58.18,59.72,48.9895,3636000
2010-02-02,59.66,61.28,59.66,61.21,50.2118,3454400
2010-02-03,60.9,61.17,59.6,60.07,49.2766,2446100
2010-02-04,59.75,59.76,56.99,57.32,47.0208,5163900
2010-02-05,57.56,58.04,55.89,57.98,47.5622,6737000
2010-02-08,57.91,58.48,56.91,57.03,46.7829,3301600
2010-02-09,58.05,58.94,57.31,57.69,47.3243,4966400
2010-02-10,57.69,58.65,56.56,57.87,47.4719,4739300
2010-02-11,57.88,59.2,57.53,59.03,48.4235,2757300
2010-02-12,58.0,58.83,57.63,58.42,47.9231,3918300
2010-02-16,59.82,60.62,59.2,60.46,49.5966,3241500
2010-02-17,60.82,61.26,60.26,60.76,49.8427,3294800
2010-02-18,60.54,61.14,59.65,60.68,49.777,3206100
2010-02-19,60.51,61.09,60.0,60.84,49.9083,2453200
2010-02-22,61.31,61.31,59.93,60.13,49.3259,2135800
2010-02-23,59.78,59.94,58.37,58.73,48.1774,2750800
2010-02-24,58.97,59.52,58.34,59.0,48.3989,2211100
2010-02-25,57.99,58.71,57.01,58.66,48.12,2873300
2010-02-26,58.73,59.08,58.22,58.8,48.2348,2587200
2010-03-01,59.14,60.11,59.13,60.0,49.2192,2388100
2010-03-02,60.33,61.0,59.98,60.22,49.3997,3557000
2010-03-03,60.49,61.05,60.37,60.55,49.6704,2888300
2010-03-04,60.69,60.89,59.81,60.42,49.5638,2807800
2010-03-05,60.99,61.58,60.64,61.54,50.4825,3403600
2010-03-08,61.69,61.81,60.62,61.25,50.2446,2120900
2010-03-09,60.83,60.97,60.06,60.5,49.6294,3453800
2010-03-10,60.36,61.57,60.36,61.27,50.261,2898400
2010-03-11,60.91,61.17,60.5,60.95,50.0803,2358300
2010-03-12,61.32,61.66,61.0,61.26,50.335,1628900
2010-03-15,60.87,61.08,60.03,60.43,49.653,3022800
2010-03-16,60.78,61.76,60.34,61.65,50.6554,3079600
2010-03-17,62.02,63.11,61.99,62.65,51.4771,2901900
2010-03-18,62.45,62.54,60.8,61.66,50.6636,2830400
2010-03-19,61.19,62.13,60.46,61.19,50.2775,4025600
2010-03-22,60.49,61.63,60.28,61.38,50.4336,2495900
2010-03-23,61.23,61.63,60.79,61.43,50.4747,2575500
2010-03-24,60.92,61.89,60.65,61.44,50.4829,2614100
2010-03-25,62.02,62.02,60.17,60.25,49.5051,2397500
2010-03-26,60.64,60.81,59.33,59.67,49.0285,3241000
2010-03-29,60.1,61.44,59.73,61.08,50.1871,3434500
2010-03-30,61.25,62.39,60.82,62.12,51.0416,3512000
2010-03-31,62.23,63.15,61.8,62.55,51.3949,2894800
2010-04-01,63.08,64.24,63.06,63.7,52.3398,3504000
2010-04-05,64.27,64.61,64.0,64.28,52.8164,3479800
2010-04-06,64.01,64.52,63.85,64.29,52.8246,3332700
2010-04-07,64.13,64.23,62.77,63.07,51.8222,3658400
2010-04-08,62.59,64.49,61.97,64.19,52.7424,4151700
2010-04-09,64.77,65.15,64.31,64.75,53.2026,3072900
2010-04-12,65.21,65.58,64.77,65.28,53.6381,2136700
2010-04-13,65.25,65.6,63.93,65.07,53.4655,3057300
2010-04-14,65.61,66.15,64.44,65.56,53.8681,3735300
2010-04-15,65.5,65.5,64.34,64.91,53.334,3384400
2010-04-16,64.41,64.96,62.84,63.65,52.2987,3824400
2010-04-19,62.99,63.55,62.25,63.48,52.1591,2813700
2010-04-20,63.9,65.77,63.9,65.3,53.6545,3790400
2010-04-21,65.18,65.53,64.17,64.75,53.2026,2560300
2010-04-22,63.4,64.33,63.05,64.2,52.7507,2857400
2010-04-23,64.25,65.53,63.65,65.53,53.8435,3318800
2010-04-26,65.41,65.9,64.97,65.35,53.6956,2617600
2010-04-27,64.87,66.22,63.28,63.35,52.0522,3566300
2010-04-28,64.27,64.95,62.34,63.67,52.3152,5040100
2010-04-29,64.12,64.84,63.39,64.32,52.8493,3370000
2010-04-30,64.41,64.75,62.08,63.55,52.2166,4564800
2010-05-03,63.93,64.62,62.72,64.03,52.611,3108300
2010-05-04,63.22,63.29,61.01,62.38,51.2552,3679400
2010-05-05,61.14,62.39,60.06,61.41,50.4582,6901600
2010-05-06,60.8,61.2,55.05,58.21,47.8289,9138000
2010-05-07,58.31,58.59,56.0,56.74,46.6211,6259700
2010-05-10,59.47,60.46,58.21,59.95,49.2586,7148800
2010-05-11,58.97,60.19,58.27,58.61,48.1576,5100800
2010-05-12,58.97,59.36,57.82,58.84,48.3466,4588200
2010-05-13,58.78,58.94,57.71,58.0,47.6564,5771900
2010-05-14,57.34,57.43,55.23,56.06,46.0623,5002000
2010-05-17,56.37,56.63,53.92,55.5,45.6022,4410700
2010-05-18,56.44,57.02,54.81,55.2,45.3557,5298900
2010-05-19,54.76,55.46,53.56,55.0,45.1914,5325600
2010-05-20,53.59,53.59,51.43,51.52,42.332,6482000
2010-05-21,50.44,53.33,50.1,52.91,43.4741,6102600
2010-05-24,52.68,52.68,51.25,51.28,42.1348,4529100
2010-05-25,49.76,52.37,49.5,52.24,42.9236,5379100
2010-05-26,53.17,53.25,51.39,51.62,42.4142,3962200
2010-05-27,53.0,54.63,52.89,54.55,44.8216,3818700
2010-05-28,54.3,54.64,52.82,53.2,43.7124,3976600
2010-06-01,52.36,53.1,50.39,50.49,41.4857,4488800
2010-06-02,50.33,52.13,49.88,52.13,42.8332,4136800
2010-06-03,52.25,52.8,51.44,52.59,43.2112,3076500
2010-06-04,51.39,52.21,50.12,50.5,41.4939,3405500
2010-06-07,50.68,51.95,50.21,50.37,41.3871,3693100
2010-06-08,49.79,50.1,48.7,49.69,40.8284,6024100
2010-06-09,50.17,51.46,49.61,49.88,40.9845,4202100
2010-06-10,51.05,52.7,50.88,52.66,43.2687,4571200
2010-06-11,51.78,53.57,51.78,53.45,43.9178,3109600
2010-06-14,54.19,54.75,53.56,53.67,44.1812,4235800
2010-06-15,54.24,55.39,53.97,55.31,45.5313,2612700
2010-06-16,54.85,55.48,54.57,55.0,45.2761,2510200
2010-06-17,55.15,55.21,54.17,54.69,45.0209,3510100
2010-06-18,54.9,56.22,54.27,56.18,46.2475,4057200
2010-06-21,57.09,57.45,55.59,56.01,46.1075,3593600
2010-06-22,55.9,56.06,54.34,54.51,44.8727,4328000
2010-06-23,54.46,55.47,53.97,55.07,45.3337,3992200
2010-06-24,54.82,54.98,53.38,53.73,44.2306,4527700
2010-06-25,53.96,54.48,53.11,53.8,44.2882,3181800
2010-06-28,53.79,53.84,52.67,52.97,43.605,3179000
2010-06-29,52.18,52.21,50.78,50.95,41.9421,4094700
2010-06-30,51.03,51.86,50.21,50.34,41.44,4065400
2010-07-01,49.82,50.74,48.71,49.96,41.1271,5958100
2010-07-02,50.17,50.76,49.64,50.08,41.2259,2873500
2010-07-06,51.2,51.92,50.3,50.95,41.9421,4341000
2010-07-07,51.29,53.22,51.23,53.22,43.8108,3716800
2010-07-08,53.79,54.11,52.76,54.1,44.5352,2817200
2010-07-09,54.04,54.11,52.63,53.23,43.819,2932000
2010-07-12,53.05,53.69,52.7,53.69,44.1977,2288300
2010-07-13,54.39,54.74,53.99,54.35,44.741,2439900
2010-07-14,53.96,54.49,53.33,53.59,44.1154,2707900
2010-07-15,53.9,53.9,52.42,53.32,43.8931,3314600
2010-07-16,52.49,52.88,51.26,51.49,42.3866,3320600
2010-07-19,51.88,52.38,51.49,51.83,42.6665,2036600
2010-07-20,51.05,52.93,51.0,52.88,43.5309,3433400
2010-07-21,53.59,53.59,50.41,50.89,41.8927,5432200
2010-07-22,51.46,52.89,51.34,52.2,42.9711,5847900
2010-07-23,52.04,52.94,51.32,52.7,43.3827,4835700
2010-07-26,52.61,53.06,52.2,52.78,43.4486,5053200
2010-07-27,52.9,53.36,52.41,53.3,43.8766,6413500
2010-07-28,53.11,53.94,52.01,52.47,43.1934,7073800
2010-07-29,52.51,54.03,52.49,53.85,44.3294,6356100
2010-07-30,53.37,53.91,52.94,53.59,44.1154,4471300
2010-08-02,54.63,56.08,54.52,55.94,46.0499,4416700
2010-08-03,56.06,56.15,55.07,56.08,46.1651,3469400
2010-08-04,56.2,56.56,55.74,56.5,46.5109,2955600
2010-08-05,56.0,56.59,55.79,56.31,46.3545,2146900
2010-08-06,55.82,56.19,54.65,55.59,45.7618,2565400
2010-08-09,56.07,56.2,55.31,56.06,46.1487,2188600
2010-08-10,55.07,55.95,54.65,55.56,45.7371,2799900
2010-08-11,54.41,54.51,53.04,53.4,43.959,2922500
2010-08-12,52.37,53.48,52.28,53.16,43.7614,2148500
2010-08-13,52.88,53.74,52.73,52.77,43.4403,1974900
2010-08-16,52.49,52.76,52.05,52.62,43.3169,3097200
2010-08-17,53.4,53.62,52.78,53.44,43.9919,2891800
2010-08-18,53.37,53.37,52.2,52.9,43.5474,2821600
2010-08-19,52.51,52.74,51.89,51.99,42.7982,3815700
2010-08-20,51.44,52.0,50.96,51.24,42.1808,2753200
2010-08-23,51.18,51.72,51.02,51.23,42.1726,1827500
2010-08-24,50.55,50.99,50.12,50.21,41.3329,4278500
2010-08-25,49.99,50.66,49.79,50.41,41.4976,4447300
2010-08-26,50.76,51.02,49.8,49.88,41.0613,2484600
2010-08-27,50.2,51.56,49.6,51.46,42.3619,2583500
2010-08-30,51.18,51.49,50.49,50.52,41.5881,2078800
2010-08-31,50.27,50.9,49.81,50.25,41.3659,2130000
2010-09-01,51.32,53.19,51.18,53.11,43.7202,3480600
2010-09-02,53.42,54.91,53.25,54.89,45.1855,4279000
2010-09-03,55.14,55.44,54.49,55.29,45.5148,2439500
2010-09-07,54.82,54.82,53.0,53.38,43.9425,4560000
2010-09-08,53.36,54.8,53.25,54.3,44.6998,2892100
2010-09-09,54.98,55.16,53.86,54.12,44.5517,2417000
2010-09-10,54.54,55.08,54.3,54.42,44.7986,2631800
2010-09-13,55.32,55.32,54.37,54.49,44.8562,3728100
2010-09-14,54.28,55.07,53.84,54.8,45.1114,3363200
2010-09-15,54.39,55.23,54.0,55.0,45.2761,2960800
