date,open,high,low,close,adjusted_close,volume
2010-01-04,51.54,52.5001,51.32,52.4501,16.2587,27957473
2010-01-05,52.1401,52.7401,52.1,52.6701,16.3268,28830566
2010-01-06,52.53,52.73,52.05,52.1799,16.1749,25866013
2010-01-07,52.19,52.5899,52.0,52.2,16.1811,22507303
2010-01-08,52.1,52.6399,52.03,52.5899,16.302,22548260
2010-01-11,52.58,52.7201,51.9399,52.4301,16.2524,22335767
2010-01-12,52.03,52.56,51.7899,51.9701,16.1098,27153743
2010-01-13,52.2,52.41,51.6499,52.22,16.1873,25957837
2010-01-14,52.2299,52.94,52.1299,52.51,16.2772,35483689
2010-01-15,52.5899,52.85,52.0599,52.4699,16.2648,29408371
2010-01-19,52.1,52.7901,52.1,52.75,16.3516,25052594
2010-01-20,52.2601,52.4301,51.49,52.2101,16.1843,30609341
2010-01-21,52.41,52.4699,50.89,51.2901,15.8991,40706392
2010-01-22,51.01,51.2,49.2499,49.29,15.2791,44600189
2010-01-25,49.5501,50.4201,49.41,50.06,15.5178,29677235
2010-01-26,50.0999,50.5,49.58,49.7401,15.4186,34636139
2010-01-27,49.77,49.77,48.5101,49.4501,15.3287,39655818
2010-01-28,49.4001,49.4301,47.5099,47.79,14.8141,58488863
2010-01-29,48.37,48.4499,46.8,47.07,14.5909,51719475
2010-02-01,47.3701,47.9001,47.2001,47.8301,14.8265,34662122
2010-02-02,48.3,48.8201,47.98,48.59,15.0621,38453746
2010-02-03,48.47,48.8899,48.2599,48.73,15.1055,25012958
2010-02-04,48.1899,48.7199,46.9799,47.0301,14.5785,47682328
2010-02-05,46.9101,47.4901,46.46,47.3201,14.6684,43448323
2010-02-08,47.1501,48.13,47.0499,47.5901,14.7521,38791313
2010-02-09,48.1,48.8399,47.86,48.1201,14.9164,38803644
2010-02-10,48.5301,48.7199,47.7499,48.0199,14.8854,30548346
2010-02-11,48.0001,48.85,47.82,48.6199,15.0714,28307591
2010-02-12,48.3299,48.61,47.62,48.4601,15.0218,34720916
2010-02-16,48.9401,49.6001,48.7899,49.44,15.3256,32341435
2010-02-17,49.77,50.2501,49.7,50.1199,15.5363,51705823
2010-02-18,50.38,50.96,49.87,50.81,15.7503,51696134
2010-02-19,50.4201,51.0001,50.2001,50.79,15.7441,36685981
2010-02-22,50.7101,50.89,50.26,50.5599,15.6727,27387815
2010-02-23,50.3701,50.74,49.9799,50.1199,15.5363,26555019
2010-02-24,50.04,51.0001,50.02,50.79,15.7441,33065232
2010-02-25,50.2001,50.96,49.9299,50.9199,15.7843,28263110
2010-02-26,50.9199,50.99,50.6101,50.79,15.7441,24262076
2010-03-01,50.6799,51.66,50.6799,51.54,15.9765,31158961
2010-03-02,51.5601,51.74,50.9301,51.1201,15.8464,33058846
2010-03-03,51.11,51.35,51.0001,51.1001,15.8402,25219506
2010-03-04,51.13,51.57,51.0399,51.5101,15.9673,17791279
2010-03-05,51.7199,52.2499,51.66,52.03,16.1284,34019138
2010-03-08,51.6499,51.98,51.5801,51.73,16.0354,28370128
2010-03-09,51.5801,52.2299,51.47,51.88,16.0819,22527781
2010-03-10,51.86,52.0901,51.61,51.78,16.0509,25738077
2010-03-11,51.74,52.03,51.3799,52.02,16.1253,21071599
2010-03-12,52.07,52.4301,51.8201,52.36,16.2307,25892437
2010-03-15,52.1601,52.4301,51.9099,52.4199,16.2741,22631055
2010-03-16,52.2999,52.46,52.0901,52.3499,16.2524,24895812
2010-03-17,52.41,52.75,52.1799,52.2299,16.2151,31279630
2010-03-18,52.22,52.8299,52.1101,52.73,16.3704,31112939
2010-03-19,52.49,52.95,52.2101,52.49,16.2959,46066501
2010-03-22,52.1299,53.04,52.1299,52.95,16.4387,34552022
2010-03-23,53.0101,53.16,52.7099,53.1499,16.5008,21254805
2010-03-24,52.97,53.2199,52.7901,53.0601,16.4729,33297543
2010-03-25,53.3399,53.79,53.1699,53.5,16.6095,37032355
2010-03-26,53.5799,53.69,53.24,53.4201,16.5846,31326313
2010-03-29,53.4201,53.6299,52.9,52.97,16.4449,22537250
2010-03-30,52.9299,53.3701,52.9299,53.26,16.5349,22335326
2010-03-31,52.8901,53.3899,52.82,53.1499,16.5008,28308472
2010-04-01,53.3899,53.7499,52.9299,53.24,16.5287,23526168
2010-04-05,53.28,53.9501,53.19,53.8699,16.7243,21758623
2010-04-06,53.6799,53.9699,53.36,53.86,16.7212,21325269
2010-04-07,53.74,53.84,52.9601,53.2899,16.5442,26592893
2010-04-08,53.1699,53.7499,52.77,53.6299,16.6498,19832974
2010-04-09,53.6401,53.8699,53.4,53.8699,16.7243,16474483
2010-04-12,53.79,54.0001,53.77,53.8801,16.7275,18616369
2010-04-13,53.89,53.98,53.5599,53.7801,16.6964,17861963
2010-04-14,54.0199,54.64,53.9501,54.52,16.9261,26495785
2010-04-15,54.2,54.3099,53.55,54.23,16.8361,31134078
2010-04-16,54.0501,54.7501,53.53,53.7499,16.6871,34406911
2010-04-19,53.45,53.7299,53.04,53.6401,16.6529,23629882
2010-04-20,53.8499,53.99,53.36,53.5599,16.6281,26978684
2010-04-21,53.38,54.03,53.2501,53.7,16.6715,25513033
2010-04-22,53.3201,53.5201,52.51,53.31,16.5505,27285863
2010-04-23,53.36,53.91,53.0301,53.8999,16.7336,21544148
2010-04-26,53.9301,54.5999,53.82,54.2599,16.8454,26640236
2010-04-27,54.0199,54.25,53.11,53.2501,16.5319,32043724
2010-04-28,53.11,53.5401,53.0999,53.28,16.5412,35458366
2010-04-29,52.61,52.9999,52.5501,52.8799,16.417,42994050
2010-04-30,52.9999,53.38,51.9201,51.9701,16.1345,34641644
2010-05-03,52.0401,52.95,51.9901,52.7099,16.3642,25692936
2010-05-04,52.2,52.2499,50.3001,50.6401,15.7216,44013136
2010-05-05,50.3001,51.1201,50.0499,50.9301,15.8116,30896702
2010-05-06,50.53,51.9901,41.94,48.3299,15.0044,83531108
2010-05-07,48.1,48.3,45.61,46.73,14.5077,85063040
2010-05-10,49.02,50.33,48.8001,49.1,15.2434,51745018
2010-05-11,48.5801,49.4699,48.2201,48.42,15.0323,38132695
2010-05-12,48.69,49.8601,48.6199,49.56,15.3863,38938627
2010-05-13,49.5399,49.9999,48.61,48.7199,15.1254,34014074
2010-05-14,48.15,48.2,46.5899,47.43,14.725,57160617
2010-05-17,47.45,47.69,46.6399,47.52,14.7529,37365958
2010-05-18,48.25,48.28,46.6599,46.7901,14.5263,47203393
2010-05-19,47.91,48.15,46.34,46.9999,14.5915,71202991
2010-05-20,45.8399,46.7599,45.11,45.95,14.2655,73032413
2010-05-21,44.96,46.8099,44.7999,46.58,14.4611,61267567
2010-05-24,46.2801,46.9799,45.64,45.69,14.1848,39803792
2010-05-25,44.5401,45.9,44.1699,45.85,14.2345,50023495
2010-05-26,46.2601,46.75,45.59,45.7199,14.1941,47477762
2010-05-27,46.3699,47.09,46.3499,46.94,14.5729,39501678
2010-05-28,47.06,47.07,45.76,46.0099,14.2841,42136811
2010-06-01,45.85,46.5701,45.4999,45.5801,14.1507,39122934
2010-06-02,46.1601,47.3399,46.0,47.2699,14.6753,54484747
2010-06-03,47.45,47.72,47.07,47.48,14.7405,37078597
2010-06-04,46.6901,47.0999,45.7899,46.05,14.2966,41163968
2010-06-07,46.1799,46.4501,45.2099,45.2401,14.0451,34116026
2010-06-08,45.3401,45.9701,45.03,45.88,14.2438,43871987
2010-06-09,46.0599,46.4899,45.2099,45.4101,14.0979,42015922
2010-06-10,46.02,46.6201,45.9201,46.5001,14.4363,34997707
2010-06-11,46.2101,47.28,46.12,47.19,14.6505,25318156
2010-06-14,47.8699,48.2201,46.8299,46.8799,14.5789,31644281
2010-06-15,47.11,48.0701,47.02,47.98,14.921,34802610
2010-06-16,47.67,48.1701,47.1801,48.01,14.9303,39890992
2010-06-17,48.1899,48.42,47.19,48.2401,15.0019,35988607
2010-06-18,48.25,48.6199,47.94,47.98,14.921,41537867
2010-06-21,48.37,48.4999,47.21,47.5099,14.7748,27931489
2010-06-22,47.52,48.0001,46.7,46.77,14.5447,29172977
2010-06-23,46.85,47.4,46.5001,46.89,14.5821,28219731
2010-06-24,46.5501,46.7901,45.76,45.8899,14.271,33223115
2010-06-25,45.78,46.3801,45.35,45.9201,14.2804,52895783
2010-06-28,45.8899,46.46,45.61,46.07,14.327,28837172
2010-06-29,45.35,45.68,44.02,44.3001,13.7766,48785530
2010-06-30,44.23,44.23,43.1299,43.2801,13.4594,52202374
2010-07-01,43.15,43.5501,42.42,42.8899,13.3381,47108047
2010-07-02,42.9901,43.1601,42.3101,42.81,13.3132,36861040
2010-07-06,43.3699,44.0699,42.7899,43.17,13.4252,37853481
2010-07-07,43.2301,45.06,43.15,44.96,13.9818,40336456
2010-07-08,45.42,45.59,44.89,45.4801,14.1436,29114183
2010-07-09,45.44,45.4999,44.9899,45.25,14.072,28074619
2010-07-12,45.0199,45.78,45.0199,45.68,14.2058,23186399
2010-07-13,46.1299,47.02,45.9099,46.77,14.5447,31943533
2010-07-14,47.06,47.9699,47.02,47.3399,14.722,30349726
2010-07-15,47.2199,47.5299,46.65,47.4201,14.7469,26357940
2010-07-16,47.11,47.3899,46.1,46.1999,14.3674,29433253
2010-07-19,46.4001,46.9499,46.1299,46.68,14.5167,23366963
2010-07-20,45.8001,46.6701,45.5801,46.61,14.4949,34969742
2010-07-21,46.61,46.75,45.27,45.4801,14.1436,39016798
2010-07-22,45.83,46.1601,45.73,46.07,14.327,37770466
2010-07-23,45.98,46.44,45.7199,46.15,14.3519,41692888
2010-07-26,46.1,46.58,46.02,46.5701,14.4826,35687594
2010-07-27,47.11,47.8301,46.7799,47.57,14.7935,36299750
2010-07-28,47.33,47.6999,46.9299,47.1301,14.6567,24676713
2010-07-29,47.6101,47.67,46.32,46.41,14.4328,38419175
2010-07-30,45.98,46.6201,45.71,46.0401,14.3177,27760834
2010-08-02,46.5899,47.7999,46.4001,47.5599,14.7904,28197271
2010-08-03,47.4599,47.64,47.0801,47.36,14.7282,21255906
2010-08-04,47.4201,47.6999,46.65,46.77,14.5447,34668288
2010-08-05,46.6901,46.6901,46.02,46.3499,14.4141,29695952
2010-08-06,45.9701,46.32,45.4101,46.2999,14.3985,64481827
2010-08-09,43.4699,43.8401,42.4299,42.5999,13.2479,442012304
2010-08-10,42.85,42.98,42.1599,42.3299,13.1639,161481688
2010-08-11,42.08,42.15,40.6599,40.77,12.6788,127332632
2010-08-12,40.2301,40.4699,39.95,40.14,12.4829,115949393
2010-08-13,40.4501,40.9801,40.2499,40.4501,12.5793,64885233
2010-08-16,40.51,41.09,40.3501,40.5501,12.6104,50389027
2010-08-17,40.99,41.35,40.72,40.82,12.6944,52025113
2010-08-18,41.1501,41.6101,40.89,41.3599,12.8623,48828469
2010-08-19,41.62,41.6999,40.3301,40.7599,12.6757,55820039
2010-08-20,40.4899,40.5899,39.3299,39.85,12.3927,85548581
2010-08-23,39.9401,40.0,38.6101,39.0399,12.1408,82384747
2010-08-24,38.4901,38.86,38.3399,38.3901,11.9387,66596627
2010-08-25,38.14,38.57,38.0301,38.2399,11.892,57778498
2010-08-26,38.5401,38.6499,38.09,38.2199,11.8858,40355393
2010-08-27,38.3,38.55,37.3199,37.9999,11.8174,81852304
2010-08-30,38.8801,39.49,38.55,38.5601,11.9916,64720303
2010-08-31,38.3701,38.98,38.0301,38.45,11.9573,66500180
