date,open,high,low,close,adjusted_close,volume
2010-01-04,38.52,38.57,38.1,38.28,7.1886,2704980
2010-01-05,38.31,38.49,38.02,38.48,7.2261,1854364
2010-01-06,38.6,38.77,38.15,38.27,7.1867,2582812
2010-01-07,38.35,38.35,37.77,38.06,7.1473,2227084
2010-01-08,37.9,38.2184,37.79,38.09,7.1529,1298696
2010-01-11,38.06,38.31,38.0,38.16,7.166,1304536
2010-01-12,38.13,38.63,38.0,38.54,7.2374,1262496
2010-01-13,38.66,38.99,38.58,38.75,7.2768,1285264
2010-01-14,38.67,38.78,38.35,38.76,7.2787,1429752
2010-01-15,38.75,38.79,38.4,38.56,7.2412,1252512
2010-01-19,38.62,38.96,38.46,38.87,7.2994,1744816
2010-01-20,38.38,38.51,38.07,38.5,7.2692,1168848
2010-01-21,38.61,38.99,38.25,38.57,7.2824,2625328
2010-01-22,38.58,38.93,38.5,38.62,7.2918,1940508
2010-01-25,38.76,38.99,38.42,38.6,7.288,1884376
2010-01-26,38.6,38.75,38.25,38.65,7.2975,1164468
2010-01-27,38.79,38.99,38.59,38.92,7.3485,1581592
2010-01-28,38.82,38.88,38.4,38.67,7.3013,1794724
2010-01-29,38.83,38.98,38.54,38.7,7.3069,1996500
2010-02-01,38.86,39.18,38.63,39.12,7.3862,2498880
2010-02-02,39.07,39.66,39.06,39.64,7.4844,2017068
2010-02-03,39.45,39.6,39.25,39.44,7.4466,1518396
2010-02-04,39.24,39.36,38.78,38.82,7.3296,1851648
2010-02-05,38.9,39.06,38.6,39.0,7.3636,2098456
2010-02-08,39.1,39.15,38.84,38.86,7.3371,1729784
2010-02-09,39.02,39.46,38.8776,39.24,7.4089,1413708
2010-02-10,39.44,39.71,39.11,39.62,7.4806,1915824
2010-02-11,39.51,39.8,39.09,39.8,7.5146,1275656
2010-02-12,39.49,39.74,39.29,39.66,7.4882,2121656
2010-02-16,39.77,40.3,39.59,40.26,7.6015,2831172
2010-02-17,40.25,40.73,40.25,40.59,7.6638,2932984
2010-02-18,42.65,42.68,41.85,42.27,7.981,7537788
2010-02-19,41.66,41.98,40.83,41.54,7.8431,5826264
2010-02-22,41.76,41.88,41.39,41.61,7.8564,2711248
2010-02-23,41.6,41.83,41.14,41.19,7.7771,3058008
2010-02-24,41.2,41.62,41.18,41.43,7.8224,2747752
2010-02-25,41.04,41.29,40.85,41.18,7.7752,2754928
2010-02-26,41.33,41.44,40.95,41.11,7.762,2124180
2010-03-01,41.3,41.58,41.16,41.33,7.8035,1599388
2010-03-02,41.56,41.92,41.33,41.83,7.8979,2898676
2010-03-03,41.18,41.74,40.77,41.39,7.8148,2535108
2010-03-04,41.52,41.86,41.45,41.8,7.8922,1935080
2010-03-05,42.0,42.01,41.69,41.84,7.8998,2484428
2010-03-08,41.71,41.94,41.51,41.68,7.8696,2328044
2010-03-09,41.7,41.82,41.52,41.68,7.8696,2424632
2010-03-10,41.82,41.82,41.38,41.63,7.8601,2031456
2010-03-11,41.57,41.57,41.1,41.56,7.8469,1498196
2010-03-12,41.56,41.6,41.07,41.27,7.7922,2466272
2010-03-15,41.26,41.51,41.17,41.32,7.8016,1585324
2010-03-16,41.46,41.46,41.23,41.39,7.8148,1365664
2010-03-17,41.44,41.57,41.19,41.57,7.8488,1717472
2010-03-18,41.55,41.795,41.45,41.56,7.8469,1782696
2010-03-19,41.61,41.75,41.11,41.4,7.8167,2388472
2010-03-22,41.06,41.62,41.06,41.61,7.8564,1498172
2010-03-23,41.81,41.83,41.37,41.83,7.8979,1370796
2010-03-24,41.82,41.92,41.684,41.86,7.9036,1708696
2010-03-25,41.99,41.99,41.43,41.66,7.8658,2067228
2010-03-26,41.81,41.96,41.68,41.95,7.9206,2565432
2010-03-29,42.0,42.5,41.95,42.44,8.0131,2113356
2010-03-30,42.52,42.52,41.98,42.2,7.9678,1985848
2010-03-31,42.17,42.4,41.93,42.01,7.9319,1378540
2010-04-01,42.09,42.39,41.95,42.17,7.9621,1051484
2010-04-05,42.3,42.37,41.73,41.93,7.9168,1515556
2010-04-06,41.85,41.88,41.66,41.79,7.8903,1752996
2010-04-07,41.8,41.97,41.57,41.76,7.8847,1497960
2010-04-08,41.75,41.75,41.45,41.56,7.8469,1507952
2010-04-09,41.52,41.76,41.45,41.76,7.8847,1172872
2010-04-12,41.84,41.87,41.72,41.78,7.8885,1803984
2010-04-13,41.73,41.95,41.46,41.94,7.9187,1594988
2010-04-14,41.78,41.98,41.54,41.96,7.9623,1425968
2010-04-15,41.98,42.17,41.7,42.06,7.9813,1321928
2010-04-16,42.04,42.19,41.74,41.83,7.9376,3336040
2010-04-19,41.78,41.88,41.61,41.82,7.9357,2134976
2010-04-20,41.77,42.05,41.68,41.74,7.9206,3056996
2010-04-21,41.74,41.86,41.38,41.54,7.8826,3565688
2010-04-22,40.53,40.67,39.58,40.19,7.6264,5016456
2010-04-23,40.14,40.29,39.77,40.02,7.5942,3004752
2010-04-26,39.98,40.01,38.76,39.05,7.4101,5916820
2010-04-27,39.04,39.45,38.98,39.21,7.4405,4076364
2010-04-28,39.26,39.69,39.15,39.65,7.524,3114840
2010-04-29,39.75,40.67,39.75,40.61,7.7061,4012188
2010-04-30,40.55,41.35,40.51,40.76,7.7346,4193816
2010-05-03,40.92,40.98,40.49,40.92,7.765,3177052
2010-05-04,40.72,40.77,40.08,40.31,7.6492,3000004
2010-05-05,40.25,40.97,40.2,40.78,7.7384,3044144
2010-05-06,40.8,40.99,39.56,40.23,7.634,5146876
2010-05-07,40.3,40.71,40.07,40.22,7.6321,3926588
2010-05-10,41.06,41.43,40.82,41.2,7.8181,2565224
2010-05-11,41.04,41.47,40.81,41.04,7.7877,2284344
2010-05-12,41.05,41.3,40.89,41.27,7.8314,2544188
2010-05-13,41.27,41.55,41.17,41.23,7.8238,1917664
2010-05-14,41.19,41.275,40.75,40.98,7.7763,1891096
2010-05-17,40.98,41.55,40.98,41.51,7.8769,2484616
2010-05-18,41.66,42.18,41.66,41.78,7.9282,3332152
2010-05-19,40.45,41.36,40.41,40.68,7.7194,6141980
2010-05-20,40.36,40.71,39.86,40.21,7.6302,4730604
2010-05-21,39.7,40.07,39.347,39.95,7.5809,4328816
2010-05-24,39.88,40.32,39.56,39.94,7.579,2435212
2010-05-25,39.37,39.53,38.92,39.53,7.5012,3328216
2010-05-26,39.94,40.2,39.66,39.66,7.5259,3886408
2010-05-27,40.08,40.08,39.62,39.91,7.5733,3792348
2010-05-28,39.99,40.15,39.67,39.8,7.5524,3142580
2010-06-01,39.58,40.49,39.37,40.06,7.6018,2925984
2010-06-02,40.01,40.79,39.93,40.76,7.7346,2995760
2010-06-03,40.98,41.23,40.79,41.21,7.82,2476360
2010-06-04,40.77,40.94,40.37,40.5,7.6853,3387104
2010-06-07,40.5,40.86,40.19,40.37,7.6606,2628736
2010-06-08,40.35,40.9,40.28,40.85,7.7517,3163952
2010-06-09,40.91,41.12,40.6,40.86,7.7536,2269028
2010-06-10,41.27,41.69,41.21,41.6,7.894,1748012
2010-06-11,41.29,41.51,41.12,41.5,7.875,1735116
2010-06-14,41.71,41.84,41.41,41.8,7.932,2213544
2010-06-15,41.9,42.18,41.62,42.18,8.0041,1939216
2010-06-16,42.04,42.04,41.49,41.8,7.932,1863284
2010-06-17,41.8,42.67,41.78,42.62,8.0876,2248796
2010-06-18,42.79,42.79,42.09,42.15,7.9984,2014388
2010-06-21,42.47,42.48,41.75,41.89,7.949,1179280
2010-06-22,41.86,42.23,41.57,41.6,7.894,1222372
2010-06-23,41.44,42.32,41.44,42.19,8.006,2835512
2010-06-24,41.45,42.335,41.445,42.01,7.9718,2275380
2010-06-25,41.96,41.96,41.34,41.56,7.8864,2872804
2010-06-28,41.47,41.99,41.33,41.92,7.9547,1366028
2010-06-29,41.71,41.82,41.1,41.25,7.8276,2800400
2010-06-30,41.27,41.27,40.35,40.48,7.6815,3833104
2010-07-01,40.5,41.09,40.14,41.06,7.7915,3376728
2010-07-02,41.08,41.39,40.84,41.14,7.8067,2494648
2010-07-06,41.27,41.68,41.14,41.5,7.875,2424216
2010-07-07,41.4,41.84,41.26,41.84,7.9395,2453924
2010-07-08,42.0,42.06,41.76,42.02,7.9737,1898572
2010-07-09,42.0,42.27,41.9,42.19,8.006,1896732
2010-07-12,42.07,42.2,41.92,42.02,7.9737,1699540
2010-07-13,42.25,42.77,42.14,42.71,8.1046,2431648
2010-07-14,42.71,42.85,42.43,42.77,8.116,1743492
