date,open,high,low,close,adjusted_close,volume
2010-01-04,53.2427,53.9724,52.8805,53.4027,20.9422,1589518
2010-01-05,53.4127,53.7025,53.1978,53.2528,20.8834,1018874
2010-01-06,53.1128,53.7725,53.1029,53.4226,20.9501,1321768
2010-01-07,53.4127,53.9124,53.1628,53.6126,21.0245,854244
2010-01-08,53.4627,54.2922,53.4426,53.9324,21.15,1444306
2010-01-11,53.8225,55.8315,53.7625,55.7115,21.8476,2032492
2010-01-12,55.6115,55.8014,54.7321,54.9318,21.5419,1491676
2010-01-13,54.9919,56.5011,54.9919,56.3811,22.1103,1713152
2010-01-14,56.0414,56.2112,54.9719,56.1113,22.0044,785432
2010-01-15,56.3111,56.641,55.0718,55.5715,21.7928,1150468
2010-01-19,55.7415,56.631,55.4316,56.1013,22.0005,1132944
2010-01-20,55.8514,56.1913,55.0618,55.6815,21.8359,1171516
2010-01-21,55.6016,56.1213,54.8519,55.5616,21.7889,2415398
2010-01-22,55.6915,55.9114,54.5221,54.5421,21.3891,1471580
2010-01-25,54.602,55.1218,54.1723,54.8719,21.5184,934686
2010-01-26,54.6621,54.9719,54.3322,54.5022,21.3734,839694
2010-01-27,54.3122,54.4022,53.6126,53.8925,21.1343,2049980
2010-01-28,53.8724,54.2223,52.9629,53.3028,20.903,1639794
2010-01-29,53.7225,54.5421,53.7225,54.0224,21.1852,1900460
2010-02-01,54.3322,54.8519,53.5826,54.8319,21.5027,1860414
2010-02-02,54.762,55.9414,54.5621,55.8315,21.8947,1679980
2010-02-03,55.4717,55.9614,55.0518,55.2117,21.6517,1094364
2010-02-04,54.9719,55.0718,53.7625,53.7625,21.0833,1222722
2010-02-05,53.8425,54.2822,53.2627,54.0424,21.1931,1372830
2010-02-08,54.2822,54.4022,53.6725,53.8324,21.1108,1317104
2010-02-09,54.3822,55.1718,53.6525,54.8819,21.5223,2058640
2010-02-10,53.9724,55.0518,53.9724,54.9719,21.5576,1245858
2010-02-11,54.702,55.8914,54.6121,55.8414,21.8986,1581862
2010-02-12,55.5616,56.1413,55.1117,56.1413,22.0162,1619160
2010-02-16,56.2213,56.711,55.9513,56.701,22.2357,806282
2010-02-17,56.701,57.0208,56.5211,57.0208,22.3611,957784
2010-02-18,57.0608,57.2307,56.691,57.0708,22.3807,1997110
2010-02-19,56.9708,57.2632,56.831,57.1908,22.4277,2244330
2010-02-22,57.2307,57.4206,56.9208,57.1507,22.4121,3039188
2010-02-23,57.2007,57.8005,57.0408,57.0708,22.3807,2760326
2010-02-24,57.1007,57.4606,56.8109,57.0708,22.3807,1257392
2010-02-25,56.4111,56.9609,56.1513,56.831,22.2866,1225522
2010-02-26,56.8909,57.1208,56.5211,56.801,22.2749,1199288
2010-03-01,57.0809,57.0809,56.1713,56.8609,22.2984,3366660
2010-03-02,56.6011,57.2207,56.4012,56.9409,22.3298,3582018
2010-03-03,56.701,56.9409,56.4712,56.5311,22.1691,1711578
2010-03-04,56.5311,56.5311,56.1513,56.3212,22.0867,1559922
