date,open,high,low,close,adjusted_close,volume
2010-01-04,47.52,48.13,47.39,47.81,34.6029,225352
2010-01-05,47.63,47.87,46.99,47.75,34.5595,233510
2010-01-06,47.62,47.93,47.38,47.7,34.5233,282366
2010-01-07,47.49,48.17,47.36,48.02,34.7549,272155
2010-01-08,47.93,48.3,47.67,48.19,34.8779,108705
2010-01-11,48.16,48.26,47.56,47.7,34.5233,181638
2010-01-12,47.52,48.0,47.36,47.8,34.5957,241494
2010-01-13,47.79,48.57,47.6601,48.51,35.1095,193466
2010-01-14,48.52,48.94,48.48,48.67,35.2253,125029
2010-01-15,48.46,48.61,46.85,46.87,33.9226,274622
2010-01-19,47.04,47.93,47.03,47.79,34.5884,139214
2010-01-20,47.28,47.4,46.76,47.17,34.1397,205071
2010-01-21,47.08,47.43,45.48,45.56,32.9745,203831
2010-01-22,45.62,45.67,44.78,44.91,32.504,257804
2010-01-25,45.26,45.41,44.38,45.15,32.6777,257975
2010-01-26,45.22,45.69,44.75,44.85,32.4606,244595
2010-01-27,44.67,45.08,44.24,44.97,32.5474,199426
2010-01-28,45.14,45.14,43.82,44.42,32.1494,120304
2010-01-29,44.52,44.82,42.76,43.06,31.1651,245376
2010-02-01,44.27,45.4,43.01,45.38,32.8442,406223
2010-02-02,45.45,45.87,44.85,45.37,32.8369,191254
2010-02-03,45.23,45.81,45.04,45.49,32.9238,159828
2010-02-04,45.26,45.41,44.37,44.39,32.1277,172300
2010-02-05,44.39,45.48,43.86,45.05,32.6053,380910
2010-02-08,44.93,45.555,44.34,44.59,32.2724,386613
2010-02-09,45.15,45.16,44.31,44.73,32.3737,227436
2010-02-10,44.57,44.93,43.85,44.26,32.0336,168176
2010-02-11,44.15,44.86,43.83,44.86,32.4678,218117
2010-02-12,44.46,45.88,43.79,45.88,33.2061,329108
2010-02-16,46.2,46.7,45.94,46.67,33.7778,169991
2010-02-17,46.91,46.97,46.34,46.73,33.8213,135956
2010-02-18,46.93,47.515,46.58,47.49,34.3713,104852
2010-02-19,47.02,47.84,47.02,47.78,34.5812,138390
2010-02-22,48.05,48.05,47.3,47.52,34.393,90120
2010-02-23,47.54,47.54,46.52,46.53,33.6765,96837
2010-02-24,46.76,47.05,46.3,46.77,33.8502,100396
2010-02-25,46.33,47.69,45.97,47.69,34.5161,204921
2010-02-26,47.27,47.97,46.79,46.85,33.9081,486918
2010-03-01,47.23,47.88,47.2,47.78,34.5812,174253
2010-03-02,47.75,48.46,47.75,48.16,34.8562,193144
2010-03-03,48.17,48.94,48.16,48.62,35.1892,138253
2010-03-04,48.58,48.825,47.98,48.17,35.1235,125537
2010-03-05,48.54,48.95,48.34,48.94,35.685,117613
2010-03-08,48.94,49.21,48.68,49.11,35.8089,160535
2010-03-09,49.06,49.61,48.49,48.87,35.6339,291102
2010-03-10,48.71,49.42,48.16,49.4,36.0204,206660
2010-03-11,49.03,49.58,48.82,49.4,36.0204,115698
2010-03-12,49.43,50.18,49.21,50.15,36.5673,138092
2010-03-15,49.95,50.28,49.51,49.84,36.3412,147572
