date,open,high,low,close,adjusted_close,volume
2010-01-04,44.43,45.77,44.43,45.68,41.0006,2008489
2010-01-05,45.79,46.16,45.27,45.66,40.9826,1860665
2010-01-06,45.66,46.34,45.35,45.98,41.2699,1686745
2010-01-07,46.25,48.69,46.25,48.12,43.1906,3706552
2010-01-08,47.81,48.02,47.2,47.51,42.6431,2412394
2010-01-11,47.48,47.729,46.71,46.95,42.1405,2000839
2010-01-12,46.48,46.78,45.62,46.18,41.4494,2392048
2010-01-13,46.24,47.14,45.32,47.03,42.2123,2455775
2010-01-14,46.76,48.6,46.75,48.02,43.1009,3433313
2010-01-15,48.14,48.99,47.59,48.51,43.5407,2646512
2010-01-19,49.3,52.26,49.3,51.94,46.6193,9572568
2010-01-20,52.65,52.66,50.3,51.27,46.018,10926060
2010-01-21,51.13,52.18,51.01,51.77,46.4667,9071657
2010-01-22,51.7,52.58,50.82,51.0,45.7756,3884053
2010-01-25,50.89,51.41,49.4,49.56,44.4831,4585259
2010-01-26,49.6,49.69,48.1,48.27,43.3253,3760579
2010-01-27,48.25,50.11,47.811,49.02,43.9984,3232170
2010-01-28,49.26,50.21,48.43,48.79,43.792,3318395
2010-01-29,49.11,49.71,48.54,48.62,43.6394,2670997
2010-02-01,48.0,50.37,46.18,48.71,43.7202,8798707
2010-02-02,48.93,50.34,48.53,50.3,45.1473,2596258
2010-02-03,50.22,50.3275,48.53,48.98,43.9625,2256957
2010-02-04,48.9,48.9,47.16,47.17,42.338,2165794
2010-02-05,46.66,47.2,45.65,47.02,42.2033,3150412
2010-02-08,46.99,47.71,46.5,46.75,41.961,1383837
2010-02-09,47.35,48.34,46.26,47.92,43.0111,3131191
2010-02-10,48.01,48.01,45.8901,47.1,42.2751,2733182
2010-02-11,47.29,47.33,46.3,46.82,42.0238,2081788
2010-02-12,46.3,46.3,45.43,45.95,41.2429,2216900
2010-02-16,46.34,46.45,45.24,46.01,41.2968,1499535
2010-02-17,46.32,47.3,46.18,46.64,41.8622,1701410
2010-02-18,46.39,46.91,45.89,46.2,41.4673,2470225
2010-02-19,45.82,46.11,45.07,45.35,40.7044,3960193
2010-02-22,45.81,47.98,45.7,47.87,42.9662,5733536
2010-02-23,47.5,47.73,46.64,46.82,42.0238,2429582
2010-02-24,46.87,46.95,46.0,46.91,42.1046,2185996
2010-02-25,46.53,47.59,45.9,47.13,42.3021,2072690
2010-02-26,47.18,48.0,47.0,47.33,42.4816,1911207
2010-03-01,47.64,48.47,46.95,47.48,42.6162,2229534
2010-03-02,47.39,47.945,46.98,47.49,42.6252,1430781
2010-03-03,47.75,48.13,47.39,47.49,42.6252,1551268
2010-03-04,47.41,47.49,46.18,47.12,42.2931,2038037
2010-03-05,47.4,48.14,47.21,48.14,43.2086,1685688
2010-03-08,48.25,48.25,47.54,47.95,43.0381,1422174
2010-03-09,47.65,48.19,47.55,47.94,43.0291,1278070
2010-03-10,47.84,48.65,47.84,48.32,43.3702,1348793
2010-03-11,48.35,49.17,47.79,49.0,43.9805,1452994
2010-03-12,49.18,49.18,47.82,47.97,43.056,2195848
2010-03-15,48.03,48.05,46.87,47.5,42.6342,1632224
2010-03-16,47.46,47.75,46.83,47.7,42.8137,1187921
2010-03-17,47.81,48.35,47.26,48.23,43.2894,2080027
2010-03-18,48.22,50.25,47.43,50.09,44.9588,4850654
2010-03-19,49.33,50.84,49.26,50.0,44.8781,3678646
2010-03-22,49.56,50.63,48.45,49.32,44.2677,3930911
2010-03-23,49.21,49.5,48.44,49.02,43.9984,1329808
2010-03-24,48.97,48.98,47.79,47.9,42.9932,2109187
2010-03-25,48.38,48.42,47.551,47.87,42.9662,1740496
2010-03-26,48.09,48.09,47.02,47.2,42.3649,1612326
2010-03-29,47.35,47.71,47.22,47.43,42.5713,1925594
2010-03-30,47.13,47.41,46.86,47.34,42.4905,1994512
2010-03-31,47.16,47.32,46.54,46.77,41.9789,1819577
2010-04-01,47.11,47.25,46.52,46.92,42.1136,1256323
2010-04-05,47.03,47.27,46.72,47.11,42.2841,1168875
2010-04-06,47.44,48.44,47.21,47.83,42.9303,3804748
2010-04-07,47.75,47.75,46.275,46.49,41.7276,2360510
2010-04-08,46.47,46.48,45.67,46.31,41.5661,1795912
2010-04-09,46.32,46.36,44.58,45.13,40.5069,3478634
2010-04-12,44.99,45.155,44.14,44.51,39.9504,3070563
2010-04-13,44.43,44.62,43.33,44.08,39.5645,3796350
2010-04-14,44.1,44.42,43.05,44.0,39.4927,2750833
2010-04-15,43.97,44.31,43.38,44.0,39.4927,2593940
2010-04-16,43.94,44.6,43.31,43.93,39.4299,3001214
2010-04-19,43.67,45.45,43.66,44.66,40.0851,2825812
2010-04-20,45.48,45.64,44.27,45.17,40.5428,2795885
2010-04-21,45.04,45.47,44.19,44.45,39.8966,2066096
2010-04-22,44.38,44.5,43.65,44.48,39.9235,2266762
2010-04-23,44.38,45.83,44.07,45.53,40.866,4382975
2010-04-26,46.92,46.92,43.42,43.56,39.0978,5650783
2010-04-27,43.31,44.84,43.21,43.57,39.1067,4195090
2010-04-28,43.58,46.08,43.41,45.69,41.0096,4260788
2010-04-29,46.17,47.61,46.08,47.19,42.3559,3218706
2010-04-30,47.17,47.32,45.64,45.72,41.0365,3576634
2010-05-03,45.81,46.42,45.15,46.36,41.6109,2596393
2010-05-04,45.57,46.12,45.34,45.85,41.1532,3180876
2010-05-05,45.4,46.62,45.39,46.57,41.7994,2976364
2010-05-06,46.49,47.12,43.27,45.59,40.9198,3711502
2010-05-07,45.35,45.35,43.66,44.35,39.8068,2637898
2010-05-10,45.56,46.33,45.26,45.95,41.2429,2247069
2010-05-11,45.56,46.24,45.37,45.6,40.9288,2294366
2010-05-12,45.65,46.27,45.64,45.99,41.2788,3892717
2010-05-13,45.56,46.69,45.5,45.8,41.1083,2239012
2010-05-14,45.58,45.83,44.79,45.75,41.0634,1689225
2010-05-17,45.71,46.27,44.98,45.89,41.1891,2400042
2010-05-18,46.09,47.21,45.98,46.2,41.4673,2627257
2010-05-19,46.09,46.65,45.66,46.24,41.5032,1911038
2010-05-20,45.39,45.72,44.26,44.34,39.7979,1936485
2010-05-21,43.58,44.88,43.17,44.71,40.13,2425533
2010-05-24,44.44,45.42,44.0,44.81,40.2197,1671123
2010-05-25,43.77,44.22,43.3,44.21,39.6812,1974258
2010-05-26,44.4,45.53,44.2901,44.54,39.9774,1866807
2010-05-27,45.57,45.74,44.98,45.71,41.0275,1105110
2010-05-28,45.62,46.39,45.24,46.05,41.3327,1845525
2010-06-01,45.65,46.72,45.36,45.52,40.857,1248205
2010-06-02,45.65,47.43,45.53,47.43,42.5713,1731828
2010-06-03,47.52,48.4,47.32,48.23,43.2894,1387652
2010-06-04,47.38,49.27,47.22,47.39,42.5354,3447879
2010-06-07,47.65,48.2,45.74,46.59,41.8174,3473941
2010-06-08,46.64,47.14,45.91,46.63,41.8533,1783469
2010-06-09,46.9,47.47,46.6,46.84,42.0418,2154235
2010-06-10,47.26,47.4,46.52,47.27,42.4277,1687228
2010-06-11,46.9,47.95,46.3201,47.95,43.0381,1717518
2010-06-14,48.22,48.67,48.04,48.1,43.1727,1231343
2010-06-15,48.25,48.98,48.06,48.98,43.9625,1588456
2010-06-16,48.59,49.11,48.4901,48.83,43.8279,2534192
2010-06-17,49.01,49.49,48.83,49.49,44.4203,1873813
2010-06-18,49.29,49.57,48.83,49.25,44.2049,1559000
2010-06-21,49.79,50.16,49.03,49.26,44.2139,1373026
2010-06-22,49.22,49.59,48.34,48.41,43.4509,1580559
2010-06-23,48.15,49.0254,47.67,48.64,43.6574,1912855
2010-06-24,48.57,49.03,47.78,47.92,43.0111,1269361
2010-06-25,48.06,48.47,47.51,48.1,43.1727,2543343
2010-06-28,48.15,48.39,47.62,48.06,43.1368,1182401
2010-06-29,47.12,47.49,45.73,45.97,41.2609,1897801
2010-06-30,45.86,46.34,45.54,45.67,40.9916,1828920
2010-07-01,45.51,45.54,43.59,44.59,40.0222,2317900
2010-07-02,44.56,44.81,44.01,44.34,39.7979,1283608
2010-07-06,44.86,45.24,43.97,44.46,39.9056,1516622
2010-07-07,44.62,45.5,44.38,45.39,40.7403,1927017
2010-07-08,45.79,46.35,45.59,45.94,41.234,1398074
2010-07-09,46.22,46.28,45.65,46.2,41.4673,1266545
2010-07-12,46.05,46.14,45.5709,45.92,41.216,1707373
2010-07-13,46.27,46.61,45.86,46.36,41.6109,1460264
2010-07-14,46.14,46.93,45.81,46.88,42.0777,1239542
2010-07-15,46.81,47.47,46.52,46.85,42.0507,2093884
2010-07-16,46.5,47.09,45.55,45.66,40.9826,1689811
2010-07-19,45.86,46.87,45.76,46.52,41.7545,1527091
2010-07-20,46.47,46.94,45.5551,46.5,41.7366,1928386
2010-07-21,46.51,46.71,45.42,45.71,41.0275,1330048
2010-07-22,46.3,47.07,46.04,46.33,41.584,1283552
2010-07-23,46.23,46.49,45.48,46.02,41.3058,1460809
2010-07-26,46.05,46.92,46.05,46.91,42.1046,884446
2010-07-27,47.19,47.29,46.57,46.63,41.8533,984983
2010-07-28,46.5,46.69,45.56,45.74,41.0544,1569996
2010-07-29,46.08,46.61,45.36,46.17,41.4404,1962325
2010-07-30,45.87,47.87,45.66,47.02,42.2033,3353041
2010-08-02,48.41,48.83,47.31,48.73,43.7382,3084053
2010-08-03,48.6,49.4885,48.27,48.89,43.8818,1779229
2010-08-04,48.98,49.76,48.91,49.72,44.6267,1509981
2010-08-05,49.56,50.38,49.35,49.97,44.8511,2394516
2010-08-06,49.61,50.78,49.53,50.61,45.4256,1660970
2010-08-09,50.94,51.24,50.53,50.71,45.5153,1257759
2010-08-10,50.18,50.95,49.77,50.68,45.4884,1680046
2010-08-11,49.96,49.96,48.211,48.93,43.9177,2789029
2010-08-12,48.08,49.52,48.0,49.31,44.2587,2339292
2010-08-13,49.12,49.53,48.57,49.33,44.2767,1160043
2010-08-16,49.04,49.14,48.52,49.0,43.9805,1015307
2010-08-17,49.46,50.07,49.12,49.67,44.5819,1693944
2010-08-18,49.59,50.33,49.25,50.12,44.9858,1635605
2010-08-19,50.13,50.13,48.735,48.81,43.81,1432679
2010-08-20,48.42,48.73,47.92,48.51,43.5407,1908212
2010-08-23,48.65,48.91,48.32,48.5,43.5317,1332017
2010-08-24,48.01,48.19,47.21,47.69,42.8047,1452638
2010-08-25,47.53,48.79,47.43,48.67,43.6843,1966736
2010-08-26,48.91,49.34,48.18,48.32,43.3702,1255009
2010-08-27,48.6,49.01,47.62,48.94,43.9266,1214915
2010-08-30,48.94,48.98,47.98,47.98,43.065,918211
2010-08-31,47.71,48.3,47.21,47.79,42.8944,1607051
2010-09-01,48.34,49.62,48.13,49.55,44.4742,1891750
2010-09-02,49.69,49.81,49.01,49.81,44.7075,1078917
2010-09-03,50.23,51.08,50.04,51.08,45.8474,1327155
2010-09-07,50.76,51.07,50.32,50.88,45.6679,1292120
2010-09-08,50.92,51.11,50.46,50.85,45.641,1237829
2010-09-09,51.29,51.96,51.22,51.84,46.5296,963907
2010-09-10,51.98,52.925,51.84,52.78,47.3733,1287314
2010-09-13,52.94,53.548,52.43,52.6,47.2117,1582231
2010-09-14,52.31,52.98,52.03,52.06,46.727,1879301
2010-09-15,52.0,52.17,51.48,51.79,46.4847,2288327
2010-09-16,51.63,51.7076,51.14,51.44,46.1705,1900942
2010-09-17,51.49,51.81,50.29,50.37,45.2102,2517279
2010-09-20,50.77,51.29,50.76,50.98,45.7577,2161272
2010-09-21,51.0,51.47,50.77,51.0,45.7756,2554609
2010-09-22,50.63,50.69,49.48,50.24,45.0935,3280395
2010-09-23,49.96,50.55,49.65,49.98,44.8601,2209505
2010-09-24,50.4,50.58,49.9013,50.25,45.1024,1514552
2010-09-27,50.15,50.45,49.8501,50.03,44.905,1985518
2010-09-28,50.24,50.75,49.75,50.59,45.4076,2671991
2010-09-29,50.38,50.55,49.87,50.14,45.0037,2070898
2010-09-30,50.42,50.57,49.89,50.24,45.0935,1674584
2010-10-01,50.59,50.75,49.79,50.13,44.9947,1918766
2010-10-04,50.07,50.49,49.06,49.29,44.2408,1979128
2010-10-05,49.79,50.54,49.75,50.5,45.3268,1823404
2010-10-06,50.36,50.65,49.26,49.59,44.5101,1616621
2010-10-07,49.71,50.41,49.0,49.89,44.7793,1681237
2010-10-08,50.23,51.01,50.17,50.85,45.641,1820450
2010-10-11,51.12,51.74,50.85,51.29,46.0359,1197454
2010-10-12,51.29,52.298,50.9,52.2,46.8527,1975000
2010-10-13,52.6,54.27,52.26,53.8,48.2888,3487707
2010-10-14,53.63,55.31,53.48,54.31,48.7465,3328797
2010-10-15,54.77,55.18,53.8,54.84,49.2222,3078688
2010-10-18,54.96,55.53,54.55,55.43,49.7518,1834506
2010-10-19,54.57,54.98,53.77,54.12,48.576,2545913
2010-10-20,54.29,56.43,54.29,55.98,50.2455,2118445
2010-10-21,56.1,56.33,55.51,56.27,50.5058,2065226
2010-10-22,56.28,57.14,55.9,56.97,51.1341,1561247
2010-10-25,57.21,58.09,57.15,57.46,51.5739,1336481
2010-10-26,57.13,57.53,56.84,57.21,51.3495,1432781
2010-10-27,56.66,57.47,56.02,57.37,51.4931,1780171
2010-10-28,57.61,58.04,57.1,57.84,51.9149,1751764
2010-10-29,57.81,58.4,57.56,58.29,52.3188,2439206
2010-11-01,59.25,59.8,57.808,58.68,52.6689,2936844
2010-11-02,59.25,61.33,59.21,60.64,54.4281,3082947
2010-11-03,60.83,61.25,58.97,59.57,53.4677,2543984
2010-11-04,60.33,60.35,58.85,59.26,53.1895,2418272
2010-11-05,59.51,60.06,59.33,59.56,53.4587,1476294
2010-11-08,59.22,59.94,59.2,59.62,53.5126,968543
2010-11-09,59.54,59.78,58.91,59.12,53.0638,891675
2010-11-10,59.04,59.65,58.204,59.65,53.5395,1543996
2010-11-11,59.36,60.18,59.24,59.97,53.8267,1050990
2010-11-12,60.31,60.31,59.12,59.2,53.1356,1190775
2010-11-15,59.45,59.62,58.19,58.55,52.5522,1347882
2010-11-16,58.26,58.39,57.26,57.56,51.6636,1260809
2010-11-17,57.62,58.37,56.97,58.05,52.1034,1032127
2010-11-18,55.05,56.84,54.57,56.81,50.9904,5910181
2010-11-19,56.48,56.74,55.61,56.03,50.2903,3343985
2010-11-22,55.73,58.68,55.12,58.34,52.3637,4433642
2010-11-23,57.88,57.88,56.64,56.89,51.0622,2921789
2010-11-24,57.14,57.466,56.73,56.97,51.1341,1575755
2010-11-26,56.48,57.19,56.226,56.79,50.9725,750556
2010-11-29,56.21,56.44,54.94,56.4,50.6224,2326836
2010-11-30,56.09,56.25,55.43,56.04,50.2993,2318386
