date,open,high,low,close,adjusted_close,volume
2010-01-04,131.18,132.97,130.85,132.45,76.7938,6438444
2010-01-05,131.68,131.85,130.1,130.85,75.8661,7156104
2010-01-06,130.68,131.49,129.81,130.0,75.3733,5863144
2010-01-07,129.87,130.25,128.91,129.55,75.1124,6109268
2010-01-08,129.07,130.92,129.05,130.85,75.8661,4390271
2010-01-11,131.06,131.06,128.67,129.4801,75.0719,5993998
2010-01-12,129.03,131.33,129.0,130.51,75.669,8453249
2010-01-13,130.39,131.12,129.16,130.23,75.5067,6752348
2010-01-14,130.55,132.71,129.91,132.31,76.7126,7438943
2010-01-15,132.03,132.89,131.0901,131.78,76.4053,8885142
2010-01-19,131.63,134.25,131.56,134.14,77.7737,14556345
2010-01-20,130.46,131.15,128.95,130.25,75.5183,15896585
2010-01-21,130.47,130.69,128.06,129.0,74.7935,10050596
2010-01-22,128.67,128.89,125.37,125.5,72.7643,10552676
2010-01-25,126.33,126.8901,125.71,126.12,73.1237,6002471
2010-01-26,125.92,127.75,125.41,125.75,72.9092,7463524
2010-01-27,125.82,126.96,125.04,126.33,73.2455,9120283
2010-01-28,127.03,127.04,123.05,123.75,71.7496,10064821
2010-01-29,124.32,125.0,121.9,122.3899,70.961,12103475
2010-02-01,123.23,124.95,122.78,124.67,72.283,7576073
2010-02-02,124.79,125.81,123.95,125.53,72.7817,6171295
2010-02-03,125.16,126.07,125.07,125.66,72.857,4369247
2010-02-04,125.19,125.44,122.9,123.0,71.3147,9546737
2010-02-05,123.04,123.72,121.83,123.52,71.6163,9013382
2010-02-08,123.15,123.22,121.74,121.88,70.9811,5981551
2010-02-09,122.65,124.2001,122.46,123.21,71.7557,6322547
2010-02-10,122.94,123.65,122.21,122.81,71.5228,5459179
2010-02-11,122.58,124.2001,122.06,123.73,72.0585,5323094
2010-02-12,123.01,124.05,121.6099,124.0,72.2158,8386514
2010-02-16,124.91,125.23,124.11,125.23,72.9322,7089056
2010-02-17,125.5,126.53,125.21,126.33,73.5728,6095460
2010-02-18,126.13,128.0,126.0,127.81,74.4347,5780091
2010-02-19,127.35,128.06,126.87,127.19,74.0736,6593043
2010-02-22,127.3,127.43,126.31,126.85,73.8756,3983273
2010-02-23,126.48,127.66,126.0,126.46,73.6485,4803127
2010-02-24,127.02,128.27,126.81,127.59,74.3066,5001972
2010-02-25,126.05,127.24,125.57,127.07,74.0037,5919000
2010-02-26,127.01,128.0,126.7401,127.16,74.0561,5004273
2010-03-01,127.5,128.83,127.47,128.57,74.8773,4788274
2010-03-02,128.7,129.09,127.13,127.42,74.2075,6289912
2010-03-03,127.73,128.02,126.68,126.88,73.8931,6683940
2010-03-04,127.07,127.07,125.47,126.72,73.7999,6309786
2010-03-05,127.17,127.55,127.04,127.25,74.1085,6422649
2010-03-08,127.06,127.5,126.36,126.41,73.6194,6484468
2010-03-09,126.27,126.29,125.2,125.55,73.1185,7875125
2010-03-10,125.99,126.36,125.21,125.62,73.1593,7234345
2010-03-11,125.71,127.81,125.71,127.6,74.3124,8286621
2010-03-12,127.91,128.37,127.51,127.94,74.5104,5407297
2010-03-15,127.4,128.34,127.28,127.83,74.4463,4704594
2010-03-16,128.0,128.88,127.45,128.67,74.9355,6417105
2010-03-17,128.9,128.93,127.36,127.76,74.4056,6640426
2010-03-18,127.46,128.75,127.45,128.38,74.7666,5182302
2010-03-19,127.71,128.93,126.78,127.71,74.3764,11238538
2010-03-22,127.11,128.39,126.57,127.98,74.5337,5911887
2010-03-23,127.94,129.4301,127.64,129.37,75.3432,6253511
2010-03-24,128.63,129.95,128.47,128.53,74.854,6976088
2010-03-25,129.36,130.73,129.13,129.24,75.2675,7952947
2010-03-26,128.93,129.78,128.72,129.26,75.2791,5806137
2010-03-29,129.3,129.95,128.26,128.59,74.8889,4856578
2010-03-30,128.9,129.13,128.25,128.77,74.9938,3584224
2010-03-31,128.23,128.75,127.65,128.25,74.6909,5130421
2010-04-01,128.95,129.31,127.55,128.25,74.6909,5209603
2010-04-05,128.38,129.8,128.14,129.35,75.3316,4308160
2010-04-06,128.68,129.3,128.05,128.93,75.0869,4106910
2010-04-07,128.53,129.27,128.01,128.48,74.8249,5394222
2010-04-08,128.04,128.23,127.2,127.61,74.3182,6283217
2010-04-09,127.88,128.87,127.12,128.76,74.9879,5423615
2010-04-12,128.57,128.96,128.24,128.36,74.755,4175946
2010-04-13,128.26,129.4301,127.84,129.03,75.1452,7132779
2010-04-14,129.73,131.42,129.46,131.25,76.4381,8938907
2010-04-15,130.53,131.1399,130.19,130.89,76.2284,6720864
2010-04-16,130.68,132.17,130.25,130.63,76.077,9985325
2010-04-19,130.38,132.28,130.38,132.23,77.0088,11875970
2010-04-20,129.2,130.33,128.26,129.69,75.5296,15916459
2010-04-21,129.87,130.27,128.4999,128.99,75.1219,7906923
2010-04-22,128.64,129.36,127.7701,129.13,75.2034,6295351
2010-04-23,129.08,130.1,128.71,129.99,75.7043,6482376
2010-04-26,129.76,131.04,129.54,130.73,76.1353,5528528
2010-04-27,129.9,132.0,128.71,128.82,75.0229,11418868
2010-04-28,129.4,130.47,129.03,130.1,75.7684,7449926
2010-04-29,130.55,131.21,130.15,130.46,75.978,6053097
2010-04-30,130.43,130.64,128.84,129.0,75.1277,6554968
2010-05-03,129.39,130.14,128.8,129.6,75.4772,5221737
2010-05-04,128.89,128.93,126.57,128.12,74.6152,8666110
2010-05-05,127.12,128.23,126.87,127.46,74.2309,6352149
2010-05-06,126.29,127.93,116.0,123.92,72.5388,13774565
2010-05-07,123.36,124.39,120.0,122.1,71.4734,11071701
2010-05-10,126.27,126.67,125.06,126.27,73.9144,8853239
2010-05-11,125.21,128.42,125.15,126.8901,74.2774,6797849
2010-05-12,127.16,132.8499,127.01,132.68,77.6666,17391737
2010-05-13,130.93,133.1,130.85,131.48,76.9642,10980699
2010-05-14,131.06,131.67,129.41,131.1899,76.7944,10376425
2010-05-17,130.68,131.76,128.7,130.44,76.3554,9333876
2010-05-18,131.26,131.99,129.9,129.95,76.0686,9759180
2010-05-19,129.37,130.5,127.82,128.86,75.4305,9068088
2010-05-20,127.22,127.96,123.68,123.8,72.4685,13782619
2010-05-21,122.16,125.61,121.4,125.42,73.4169,13220917
2010-05-24,125.26,126.02,124.04,124.45,72.8491,7184556
2010-05-25,121.47,124.95,121.47,124.52,72.89,9931561
2010-05-26,124.89,125.94,123.0,123.23,72.1349,9501027
2010-05-27,125.05,126.39,124.77,126.39,73.9846,8081291
2010-05-28,125.9599,126.28,124.29,125.26,73.3232,7763307
2010-06-01,124.69,126.88,124.2001,124.34,72.7847,7463628
2010-06-02,124.85,127.5,124.35,127.41,74.5818,8059744
2010-06-03,127.75,128.22,126.46,127.96,74.9037,6950984
2010-06-04,126.37,127.1,124.67,125.28,73.3349,10113983
2010-06-07,125.57,125.8601,124.13,124.13,72.6617,7271164
2010-06-08,124.26,124.46,122.82,123.72,72.4218,8785563
2010-06-09,124.83,125.84,123.58,123.9,72.5271,8154093
2010-06-10,125.99,128.22,125.8,127.68,74.7398,7823766
2010-06-11,126.73,128.8,126.44,128.45,75.1905,6087929
2010-06-14,128.4999,129.97,128.49,128.4999,75.2198,7063638
2010-06-15,128.93,129.95,128.37,129.79,75.9749,6958515
2010-06-16,128.34,130.68,128.34,130.35,76.3027,6695446
2010-06-17,130.07,131.03,129.86,130.98,76.6715,5827266
2010-06-18,131.02,131.25,130.13,130.15,76.1857,10022144
2010-06-21,131.42,131.94,130.22,130.65,76.4783,7173259
2010-06-22,130.37,131.47,129.07,129.3,75.6881,6307589
2010-06-23,129.25,131.47,129.09,130.11,76.1622,7171167
2010-06-24,129.57,129.73,127.7,128.19,75.0383,5821513
2010-06-25,128.34,129.1,127.12,127.12,74.412,10899738
2010-06-28,127.65,129.47,127.22,128.98,75.5008,6626515
2010-06-29,127.35,128.4,124.12,125.09,73.2237,9807505
2010-06-30,124.83,125.22,123.0,123.48,72.2812,8386828
2010-07-01,123.55,124.21,121.6099,122.57,71.7485,10190237
2010-07-02,123.29,123.29,120.61,121.86,71.333,6751407
2010-07-06,123.58,124.63,122.17,123.46,72.2695,6640740
2010-07-07,123.47,127.12,123.47,127.0,74.3417,7416454
2010-07-08,127.37,128.15,126.7401,127.97,74.9096,5689508
2010-07-09,127.9,128.2,127.29,127.96,74.9037,4077308
2010-07-12,127.37,128.83,127.16,128.67,75.3193,4400417
2010-07-13,128.97,130.98,128.69,130.48,76.3788,6995334
2010-07-14,129.32,131.6,129.14,130.72,76.5193,6911131
2010-07-15,129.87,130.92,129.55,130.72,76.5193,6471393
2010-07-16,129.96,130.15,127.85,128.03,74.9447,7325033
2010-07-19,128.67,130.38,128.37,129.79,75.9749,8774476
2010-07-20,122.97,126.56,122.93,126.55,74.0783,17088920
2010-07-21,126.44,126.5,124.62,125.27,73.3291,9011813
2010-07-22,126.32,127.78,126.05,127.47,74.6168,7226814
2010-07-23,127.3,128.8,127.0,128.38,75.1495,5311588
2010-07-26,128.18,128.43,127.14,128.41,75.1671,5412945
2010-07-27,128.78,129.17,127.89,128.63,75.2959,4862017
2010-07-28,128.67,129.35,127.88,128.43,75.1788,4444245
2010-07-29,129.06,129.5,127.14,128.02,74.9389,9407933
2010-07-30,127.43,128.98,127.04,128.4,75.1612,6297966
2010-08-02,129.25,131.2,129.25,130.76,76.5428,6733625
2010-08-03,130.03,131.04,129.33,130.37,76.3144,5326023
2010-08-04,130.46,131.5,129.85,131.27,76.8413,4777605
2010-08-05,130.73,131.98,130.53,131.83,77.1691,4728548
2010-08-06,130.4099,130.48,128.76,130.14,76.5569,6418465
2010-08-09,130.79,132.34,130.4,132.0,77.6511,6413758
2010-08-10,131.18,132.49,130.77,131.84,77.557,5723398
2010-08-11,130.69,130.69,129.46,129.83,76.3746,6606641
2010-08-12,127.69,128.78,127.52,128.3,75.4745,5368281
2010-08-13,127.96,128.46,127.33,127.87,75.2216,4884192
2010-08-16,127.47,128.23,126.96,127.7701,75.1628,4193623
2010-08-17,128.83,129.85,127.9,128.45,75.5628,4496022
2010-08-18,128.87,130.2,127.8,129.39,76.1158,5107827
