date,open,high,low,close,adjusted_close,volume
2010-01-04,20.79,21.03,20.73,20.88,13.6625,47800898
2010-01-05,20.94,20.99,20.6,20.87,13.656,52360770
2010-01-06,20.81,20.93,20.67,20.8,13.6102,40037359
2010-01-07,20.73,20.76,20.34,20.6,13.4793,54041449
2010-01-08,20.54,20.89,20.4,20.83,13.6298,48234680
2010-01-11,21.11,21.15,20.82,20.95,13.7083,51086391
2010-01-12,20.87,20.9,20.38,20.608,13.4845,69958352
2010-01-13,20.72,21.08,20.44,20.96,13.7149,71446633
2010-01-14,21.11,21.55,21.05,21.48,14.0551,151893203
2010-01-15,21.39,21.4,20.77,20.8,13.6102,198104891
2010-01-19,20.9,21.17,20.85,21.05,13.7738,82573508
2010-01-20,20.99,21.14,20.85,21.08,13.7934,65670023
2010-01-21,21.15,21.31,20.68,20.84,13.6363,73633289
2010-01-22,20.77,20.79,19.81,19.91,13.0278,116302398
2010-01-25,20.24,20.5769,20.14,20.32,13.2961,73785539
2010-01-26,20.18,20.38,19.95,20.0,13.0867,65298840
2010-01-27,20.0,20.33,19.82,20.24,13.2437,74926148
2010-01-28,20.3,20.39,19.68,19.92,13.0344,76974578
2010-01-29,20.13,20.2307,19.3,19.4,12.6941,96053883
2010-02-01,19.47,19.75,19.44,19.61,12.8315,50338219
2010-02-02,19.68,20.04,19.56,19.91,13.0278,63332473
2010-02-03,19.78,19.88,19.47,19.68,12.98,45582301
2010-02-04,19.57,19.58,18.95,19.02,12.5447,90931047
2010-02-05,19.1,19.58,19.0,19.47,12.8415,88711664
2010-02-08,19.48,19.79,19.3,19.35,12.7623,62563141
2010-02-09,19.64,19.89,19.44,19.65,12.9602,69454078
2010-02-10,19.59,19.87,19.45,19.69,12.9866,56250602
2010-02-11,19.63,20.2,19.55,20.06,13.2306,58837219
2010-02-12,19.96,20.675,19.785,20.43,13.4747,91108883
2010-02-16,20.62,20.85,20.55,20.72,13.6659,69083320
2010-02-17,20.86,20.86,20.53,20.66,13.6264,47296648
2010-02-18,20.64,20.85,20.545,20.84,13.7451,42613578
2010-02-19,20.72,20.97,20.58,20.82,13.7319,40768207
2010-02-22,20.95,20.96,20.65,20.87,13.7649,38730602
2010-02-23,20.84,20.95,20.29,20.388,13.447,62245207
2010-02-24,20.52,20.81,20.5,20.7,13.6527,51070070
2010-02-25,20.37,20.66,20.22,20.63,13.6066,48789320
2010-02-26,20.6,20.68,20.43,20.53,13.5406,47795246
2010-03-01,20.68,20.94,20.62,20.87,13.7649,51203281
2010-03-02,20.99,21.09,20.58,20.6975,13.6511,59398969
2010-03-03,20.76,20.82,20.44,20.52,13.534,49917391
2010-03-04,20.6,20.61,20.26,20.53,13.5406,62756922
2010-03-05,20.66,20.84,20.45,20.79,13.7121,45886762
2010-03-08,20.81,20.88,20.7,20.77,13.6989,35742000
2010-03-09,20.68,21.2,20.66,20.94,13.811,83168641
2010-03-10,20.95,21.29,20.91,21.19,13.9759,58443398
2010-03-11,21.14,21.27,20.99,21.25,14.0155,53786520
2010-03-12,21.31,21.37,21.18,21.27,14.0287,39590352
2010-03-15,21.16,21.32,21.05,21.17,13.9627,34377941
2010-03-16,21.23,22.04,21.2,22.01,14.5168,123060797
2010-03-17,22.06,22.35,21.91,22.2425,14.6701,77805859
2010-03-18,22.19,22.35,22.01,22.2,14.6421,54458406
2010-03-19,22.25,22.39,21.81,21.9925,14.5052,77998438
2010-03-22,21.87,22.3,21.84,22.24,14.6685,47405633
2010-03-23,22.39,22.75,22.36,22.6725,14.9537,64740832
2010-03-24,22.53,22.67,22.32,22.43,14.7938,54742719
2010-03-25,22.69,22.73,22.31,22.35,14.741,52458922
2010-03-26,22.43,22.59,22.07,22.24,14.6685,45700422
2010-03-29,22.415,22.49,22.26,22.33,14.7278,34467887
2010-03-30,22.4,22.54,22.18,22.34,14.7344,37886246
2010-03-31,22.32,22.5,22.203,22.29,14.7014,45991992
2010-04-01,22.4,22.64,22.2,22.39,14.7674,45499230
2010-04-05,22.48,22.65,22.34,22.59,14.8993,34948129
2010-04-06,22.43,22.48,22.26,22.4,14.774,47063180
2010-04-07,22.43,22.6801,22.25,22.45,14.807,62544152
2010-04-08,22.375,22.41,22.16,22.31,14.7146,40824434
2010-04-09,22.4,22.57,22.36,22.55,14.8729,45528641
2010-04-12,22.69,22.73,22.44,22.539,14.8657,49352910
2010-04-13,22.65,22.82,22.47,22.7699,15.018,122395508
2010-04-14,23.57,23.6901,23.27,23.52,15.5127,159980609
2010-04-15,23.83,24.3667,23.8,24.221,15.975,110819508
2010-04-16,24.06,24.16,23.77,23.92,15.7765,102974797
2010-04-19,23.91,24.04,23.54,24.0,15.8293,71310711
2010-04-20,24.2,24.25,23.9,24.12,15.9084,65991398
2010-04-21,24.1,24.13,23.54,23.8,15.6974,73899250
2010-04-22,23.55,24.06,23.315,23.99,15.8227,73666031
2010-04-23,23.95,24.06,23.73,24.04,15.8556,56972152
2010-04-26,24.08,24.13,23.81,23.82,15.7105,57727602
2010-04-27,23.73,23.875,23.3,23.35,15.4006,78937523
2010-04-28,23.41,23.46,22.91,23.26,15.3412,109052000
2010-04-29,23.33,23.51,23.3,23.49,15.4929,59059391
2010-04-30,23.45,23.46,22.81,22.84,15.0642,81863930
2010-05-03,22.98,23.442,22.9,23.26,15.3412,55455539
