date,open,high,low,close,adjusted_close,volume
2010-01-04,31.09,31.15,30.77,30.81,27.5455,2353000
2010-01-05,30.76,30.9,30.41,30.81,27.5455,3142100
2010-01-06,30.66,30.85,30.32,30.38,27.161,2884400
2010-01-07,30.29,30.6,30.12,30.28,27.0716,3100300
2010-01-08,30.33,31.12,30.12,31.08,27.7869,4249700
2010-01-11,30.93,31.41,30.93,31.22,27.912,4011700
2010-01-12,30.99,31.41,30.88,31.22,27.912,2969100
2010-01-13,31.35,31.69,31.2,31.58,28.2339,2618300
2010-01-14,31.69,31.88,31.42,31.78,28.4127,2617000
2010-01-15,31.72,31.97,31.09,31.46,28.1266,3835100
2010-01-19,31.38,31.92,31.3,31.73,28.368,2161500
2010-01-20,31.53,31.63,30.75,31.22,27.912,2720100
2010-01-21,31.21,31.41,30.66,30.84,27.5723,3110400
2010-01-22,30.8,30.98,30.06,30.1,26.9107,2590200
2010-01-25,30.2,30.55,30.06,30.36,27.1432,2774200
2010-01-26,30.28,30.49,29.98,30.03,26.8481,4020100
2010-01-27,29.89,30.08,29.62,30.01,26.8302,4070400
2010-01-28,29.81,30.07,29.4,29.66,26.5173,3816100
2010-01-29,29.89,30.0,29.53,29.61,26.4726,3805600
2010-02-01,29.51,30.1,29.51,29.91,26.7408,2725100
2010-02-02,29.88,30.03,29.64,29.96,26.7855,3239300
2010-02-03,29.78,30.15,29.72,29.99,26.8124,2128300
2010-02-04,29.9,29.95,29.26,29.26,26.1597,3174200
2010-02-05,29.38,29.7,29.03,29.44,26.3206,4337100
2010-02-08,29.4,29.55,29.11,29.36,26.2491,2227700
2010-02-09,29.54,29.71,29.02,29.31,26.2044,3877000
2010-02-10,29.2,29.45,29.07,29.39,26.2759,2102700
2010-02-11,29.3,29.68,29.0,29.6,26.4637,2460700
2010-02-12,29.06,29.45,29.04,29.39,26.2759,2794600
2010-02-16,29.47,29.8,29.26,29.79,26.6335,2013900
2010-02-17,29.84,29.99,29.57,29.91,26.7408,2483500
2010-02-18,29.96,30.35,29.88,30.32,27.1074,2737500
2010-02-19,32.25,33.15,32.2,32.72,29.2531,9866000
2010-02-22,32.6,32.83,32.19,32.36,28.9312,4738500
2010-02-23,32.24,32.48,31.58,31.87,28.4932,5932500
2010-02-24,31.94,32.39,31.92,32.27,28.8508,4724600
2010-02-25,31.8,32.62,31.71,32.46,29.0206,5224800
2010-02-26,32.49,32.49,32.16,32.36,28.9312,3049700
2010-03-01,32.33,32.95,32.29,32.9,29.414,2811000
2010-03-02,32.77,33.29,32.75,33.13,29.6197,4445000
2010-03-03,33.07,33.46,33.03,33.21,29.6912,3484000
2010-03-04,33.28,33.49,32.96,33.43,29.8879,3097000
2010-03-05,33.36,33.93,33.36,33.91,30.317,3588200
2010-03-08,33.79,34.0,33.74,33.98,30.3796,2938800
2010-03-09,33.75,34.01,33.75,33.95,30.3528,3283200
2010-03-10,33.95,34.55,33.86,34.47,30.8177,4693900
2010-03-11,34.25,34.55,34.25,34.54,30.8803,2652700
2010-03-12,34.38,34.67,34.32,34.61,30.9428,2660700
2010-03-15,34.44,34.67,34.44,34.64,30.9697,1812400
2010-03-16,34.65,34.75,34.48,34.64,30.9697,2495800
2010-03-17,34.51,34.84,34.28,34.53,30.8713,3349800
2010-03-18,34.41,34.81,34.4,34.65,30.9786,2769500
2010-03-19,34.75,34.97,34.35,34.61,30.9428,4131100
2010-03-22,34.34,34.93,34.34,34.9,31.2021,2891400
2010-03-23,34.77,34.84,34.42,34.6,30.9339,2440300
2010-03-24,34.56,34.86,34.56,34.74,31.0591,3436200
2010-03-25,34.8,34.89,34.4,34.4,30.7551,3036900
2010-03-26,34.41,34.63,34.06,34.24,30.612,2977400
2010-03-29,34.23,34.49,34.11,34.32,30.6836,2821200
2010-03-30,34.41,34.51,34.19,34.36,30.7193,2092900
2010-03-31,34.22,34.57,34.17,34.32,30.6836,2393700
2010-04-01,34.37,34.9,34.15,34.51,30.8534,2344700
2010-04-05,34.55,34.92,34.43,34.88,31.1842,1537200
2010-04-06,34.86,35.0,34.78,34.97,31.2647,2368600
2010-04-07,34.89,34.89,34.42,34.58,30.916,2212600
2010-04-08,34.58,34.58,34.14,34.51,30.8534,2332100
2010-04-09,34.46,34.53,34.27,34.53,30.8713,2233000
2010-04-12,34.49,34.65,34.38,34.53,30.8713,2696200
2010-04-13,34.25,35.09,34.25,35.05,31.3362,3396700
2010-04-14,34.95,35.19,34.87,35.17,31.4435,2817100
