date,open,high,low,close,adjusted_close,volume
2010-01-04,7.45,7.62,7.4,7.53,4.967,4444232
2010-01-05,7.54,7.54,7.41,7.45,4.9142,6134654
2010-01-06,7.4,7.46,7.32,7.45,4.9142,5586007
2010-01-07,7.37,7.45,7.19,7.26,4.7889,6202337
2010-01-08,7.27,7.3,7.08,7.27,4.7955,6480727
2010-01-11,7.25,7.47,7.22,7.47,4.9274,5290476
2010-01-12,7.41,7.41,7.23,7.29,4.8087,4630685
2010-01-13,7.31,7.45,7.19,7.38,4.868,3504453
2010-01-14,7.4,7.46,7.14,7.22,4.7625,11506504
2010-01-15,7.17,7.24,6.98,7.16,4.7229,8729031
2010-01-19,7.18,7.21,7.07,7.12,4.6965,3647852
2010-01-20,7.03,7.16,6.95,7.15,4.7163,5044721
2010-01-21,7.24,7.33,6.98,7.01,4.624,6134538
2010-01-22,6.99,7.02,6.81,6.85,4.5184,5633972
2010-01-25,6.94,6.94,6.76,6.78,4.4723,3630045
2010-01-26,6.73,6.82,6.6299,6.66,4.3931,4701294
2010-01-27,6.61,6.63,6.38,6.47,4.2678,9868993
2010-01-28,6.5,6.665,6.455,6.52,4.3008,5832012
2010-01-29,6.56,6.61,6.41,6.46,4.2612,6768753
2010-02-01,6.52,6.65,6.47,6.6,4.3535,7130544
2010-02-02,6.63,6.76,6.52,6.72,4.4327,6027513
2010-02-03,6.73,6.88,6.59,6.69,4.4129,5254943
2010-02-04,6.63,6.67,6.37,6.41,4.2282,6372154
2010-02-05,6.57,6.57,6.21,6.39,4.215,10450479
2010-02-08,6.44,6.51,6.2875,6.35,4.1886,7221591
2010-02-09,6.44,6.5,6.31,6.4,4.2216,8394284
2010-02-10,6.36,6.66,6.33,6.5,4.2876,7901942
2010-02-11,6.49,6.76,6.4,6.73,4.4393,6257640
2010-02-12,6.7,6.74,6.6,6.72,4.4327,5480530
2010-02-16,6.82,6.9,6.77,6.87,4.5316,4281510
2010-02-17,6.84,7.02,6.84,6.98,4.6042,5921900
2010-02-18,6.98,7.12,6.92,7.09,4.6767,4649223
2010-02-19,7.05,7.19,7.02,7.11,4.6899,3164014
2010-02-22,7.15,7.18,6.96,7.06,4.657,3209586
2010-02-23,7.07,7.07,6.76,6.85,4.5184,6859603
2010-02-24,6.86,6.96,6.76,6.82,4.4986,8647682
2010-02-25,6.68,6.77,6.59,6.75,4.4525,13394235
2010-02-26,6.89,7.71,6.77,7.5,4.9472,32287628
2010-03-01,7.52,8.39,7.52,8.26,5.4485,25938362
2010-03-02,8.18,8.37,8.1,8.17,5.3891,10363362
2010-03-03,8.2,8.39,8.1,8.18,5.3957,8881373
2010-03-04,8.22,8.33,8.12,8.29,5.4683,6049589
2010-03-05,8.33,8.555,8.32,8.45,5.5738,10231298
2010-03-08,8.45,8.66,8.37,8.51,5.6134,7680710
2010-03-09,8.41,8.555,8.37,8.52,5.62,5570040
2010-03-10,8.47,8.65,8.35,8.58,5.6596,3646819
2010-03-11,8.56,8.6,8.18,8.53,5.6266,3331256
2010-03-12,8.49,8.56,8.325,8.42,5.554,8964638
2010-03-15,8.44,8.5,8.22,8.34,5.5013,6408788
2010-03-16,8.36,8.43,8.29,8.43,5.5606,2755790
2010-03-17,8.45,8.58,8.4197,8.54,5.6332,5708528
2010-03-18,8.51,8.69,8.48,8.64,5.6992,6078324
2010-03-19,8.68,8.75,8.53,8.61,5.6794,5120220
2010-03-22,8.53,8.79,8.43,8.73,5.7585,5040712
2010-03-23,8.74,8.87,8.46,8.79,5.7981,5494560
2010-03-24,8.73,8.73,8.39,8.53,5.6266,9068696
2010-03-25,8.65,8.65,8.36,8.39,5.5343,4007784
2010-03-26,8.4,8.565,8.33,8.33,5.4947,5181452
2010-03-29,8.38,8.55,8.3,8.49,5.6002,5036969
2010-03-30,8.49,8.58,8.34,8.5,5.6068,4349188
2010-03-31,8.49,8.59,8.31,8.32,5.4881,4942686
2010-04-01,8.4,8.5,8.3,8.49,5.6002,4105694
2010-04-05,8.5,8.67,8.45,8.67,5.7189,3438212
2010-04-06,8.62,8.67,8.52,8.52,5.62,4502666
2010-04-07,8.53,8.62,8.48,8.54,5.6332,3770904
2010-04-08,8.51,8.52,8.34,8.47,5.587,3943698
2010-04-09,8.49,8.82,8.41,8.72,5.7519,6470133
2010-04-12,8.77,8.82,8.65,8.77,5.7849,4747955
2010-04-13,8.77,8.84,8.6225,8.64,5.6992,2656126
2010-04-14,8.64,9.29,8.64,9.05,5.9696,11565066
2010-04-15,9.05,9.3,8.96,9.22,6.0817,5203666
2010-04-16,9.17,9.235,8.9,8.96,5.9102,4969032
2010-04-19,8.93,9.09,8.72,9.06,5.9762,5215209
2010-04-20,9.44,9.93,9.43,9.74,6.4247,16510301
2010-04-21,9.77,9.8,9.48,9.64,6.3588,9948970
2010-04-22,9.6,9.86,9.5,9.85,6.4973,6213023
2010-04-23,9.86,9.89,9.66,9.73,6.4182,6346675
2010-04-26,9.78,9.89,9.74,9.87,6.5105,6090145
2010-04-27,9.77,9.83,9.36,9.42,6.2137,8140582
2010-04-28,9.52,9.62,9.17,9.27,6.1147,10484951
2010-04-29,9.06,9.7,9.06,9.5,6.2664,12984808
2010-04-30,9.53,9.56,8.86,8.91,5.8773,11853476
2010-05-03,8.98,9.08,8.9,8.99,5.93,7390135
2010-05-04,8.88,8.89,8.25,8.45,5.5738,10894931
2010-05-05,8.37,8.55,8.16,8.4,5.5408,10946134
2010-05-06,8.34,12.25,7.43,8.05,5.31,11073446
2010-05-07,8.35,8.35,7.5,7.72,5.0923,9367079
2010-05-10,8.14,8.505,7.8375,8.36,5.5145,12121035
2010-05-11,8.2,8.35,8.09,8.17,5.3891,6541662
2010-05-12,8.21,8.48,8.18,8.42,5.554,6080814
2010-05-13,8.37,8.6,8.26,8.38,5.5277,7677392
2010-05-14,8.29,8.34,7.92,8.05,5.31,5864686
2010-05-17,8.06,8.2,7.84,8.09,5.3364,4850232
2010-05-18,8.19,8.275,7.94,8.04,5.3034,7525068
2010-05-19,7.98,8.03,7.77,7.9,5.211,8149932
2010-05-20,7.65,7.88,7.53,7.58,5.0,10432745
2010-05-21,7.44,7.83,7.28,7.77,5.1253,11009192
2010-05-24,8.2,8.2,7.68,7.87,5.1912,11450799
2010-05-25,7.62,7.83,7.32,7.8,5.1451,13723389
2010-05-26,7.83,8.27,7.82,7.92,5.2242,12867737
2010-05-27,8.05,8.61,8.05,8.58,5.6596,10759130
2010-05-28,8.56,8.61,8.31,8.35,5.5079,8118655
2010-06-01,8.22,8.41,7.92,7.92,5.2242,7126888
2010-06-02,7.99,8.3,7.95,8.12,5.3562,9497218
2010-06-03,8.13,8.49,8.06,8.31,5.4815,8005881
2010-06-04,8.06,8.29,7.78,7.84,5.1715,6170146
2010-06-07,7.84,7.96,7.52,7.52,4.9604,6428279
2010-06-08,7.55,7.66,7.34,7.64,5.0395,8641811
2010-06-09,7.69,7.93,7.53,7.66,5.0527,6019590
2010-06-10,7.85,8.08,7.81,8.07,5.3232,5146818
2010-06-11,7.95,8.06,7.88,7.98,5.2638,3686475
2010-06-14,8.08,8.17,7.95,7.97,5.2572,4240272
2010-06-15,8.1,8.14,7.98,8.09,5.3364,6539143
2010-06-16,8.0,8.11,7.89,8.06,5.3166,6980527
2010-06-17,8.04,8.28,7.99,8.27,5.4551,4797924
2010-06-18,8.27,8.4,8.24,8.32,5.4881,5628747
2010-06-21,8.43,8.58,8.29,8.31,5.4815,5894575
2010-06-22,8.29,8.39,8.16,8.16,5.3825,5429240
2010-06-23,8.16,8.32,8.08,8.25,5.4419,5063498
2010-06-24,8.19,8.29,7.95,7.96,5.2506,5122353
2010-06-25,8.01,8.05,7.71,7.71,5.0857,16574894
2010-06-28,7.73,7.87,7.46,7.53,4.967,9861617
2010-06-29,7.35,7.44,7.19,7.27,4.7955,7402590
2010-06-30,7.27,7.39,7.1,7.13,4.7031,7472964
2010-07-01,7.19,7.2,6.95,7.0,4.6174,11000731
2010-07-02,7.18,7.2,6.86,6.93,4.5712,4645740
2010-07-06,7.01,7.24,6.99,7.1,4.6833,7853732
2010-07-07,7.14,7.35,7.06,7.31,4.8219,5148929
2010-07-08,7.49,7.67,7.38,7.63,5.0329,7724874
2010-07-09,7.67,7.75,7.58,7.72,5.0923,3482919
2010-07-12,7.66,7.8,7.57,7.68,5.0659,3390194
2010-07-13,7.78,7.9,7.65,7.9,5.211,9755950
2010-07-14,7.84,7.89,7.71,7.85,5.1781,4401078
2010-07-15,7.86,7.92,7.66,7.83,5.1649,3180597
2010-07-16,7.73,7.78,7.31,7.32,4.8285,6811604
2010-07-19,7.35,7.5625,7.33,7.54,4.9736,5518468
2010-07-20,7.5,7.98,7.5,7.88,5.1978,7684700
2010-07-21,7.88,7.9,7.62,7.64,5.0395,5159361
2010-07-22,7.77,8.07,7.77,8.03,5.2968,2988388
2010-07-23,8.0,8.25,7.98,8.18,5.3957,5396762
2010-07-26,8.19,8.38,8.11,8.38,5.5277,5173692
2010-07-27,8.4,8.44,8.26,8.32,5.4881,5072070
2010-07-28,8.26,8.36,8.2,8.25,5.4419,3592444
2010-07-29,9.1,9.14,8.54,8.98,5.9234,19311698
2010-07-30,8.8,9.25,8.31,9.14,6.029,8017513
2010-08-02,9.34,9.4,9.16,9.21,6.0751,8751988
2010-08-03,9.1,9.17,8.87,8.94,5.897,8144572
2010-08-04,9.02,9.19,8.99,9.16,6.0422,5169981
2010-08-05,9.07,9.55,9.03,9.39,6.1939,7728486
2010-08-06,9.27,9.38,9.06,9.29,6.1279,9322431
2010-08-09,9.38,9.59,9.24,9.59,6.3258,6042323
2010-08-10,9.46,9.55,9.295,9.32,6.1477,7721607
2010-08-11,9.03,9.18,8.85,8.89,5.8641,6187644
2010-08-12,8.69,8.81,8.57,8.69,5.7321,6905289
2010-08-13,8.63,8.75,8.6,8.64,5.6992,2697869
2010-08-16,8.54,8.67,8.49,8.57,5.653,4498584
2010-08-17,8.62,8.75,8.555,8.66,5.7124,3949522
2010-08-18,8.65,8.85,8.5,8.65,5.7058,4655423
2010-08-19,8.6,8.68,8.46,8.53,5.6266,6288278
2010-08-20,8.44,8.66,8.37,8.57,5.653,4458866
2010-08-23,8.64,8.67,8.35,8.41,5.5474,4310971
2010-08-24,8.23,8.57,8.19,8.43,5.5606,7644771
2010-08-25,8.33,8.59,8.28,8.55,5.6398,4535841
2010-08-26,8.56,8.65,8.42,8.6,5.6728,7639359
2010-08-27,8.7,8.802,8.55,8.69,5.7321,10252201
2010-08-30,8.66,8.71,8.425,8.48,5.5936,8007507
2010-08-31,8.44,8.6,8.4,8.53,5.6266,8310671
2010-09-01,8.68,8.89,8.58,8.81,5.8113,4799664
2010-09-02,8.88,9.11,8.75,9.03,5.9564,5642636
2010-09-03,9.18,9.24,9.0,9.2,6.0685,4041003
2010-09-07,9.05,9.2,8.99,9.0,5.9366,4969099
2010-09-08,9.09,9.24,9.02,9.18,6.0554,4144982
2010-09-09,9.36,9.36,9.165,9.21,6.0751,4550701
2010-09-10,9.23,9.565,9.23,9.54,6.2928,6638319
2010-09-13,9.62,9.8,9.52,9.61,6.339,6544856
2010-09-14,9.6,9.77,9.56,9.57,6.3126,5139259
2010-09-15,9.53,9.59,9.32,9.43,6.2203,6760616
2010-09-16,9.34,9.3809,9.12,9.21,6.0751,6570581
2010-09-17,9.3,9.69,9.28,9.65,6.3654,10203277
2010-09-20,9.67,9.96,9.6,9.89,6.5237,6178389
2010-09-21,9.93,9.99,9.65,9.76,6.4379,3809527
2010-09-22,9.74,9.84,9.51,9.65,6.3654,4434036
2010-09-23,9.56,10.08,9.43,9.64,6.3588,6707020
2010-09-24,9.82,10.11,9.72,10.07,6.6424,8829031
2010-09-27,10.02,10.3,9.98,10.17,6.7084,5286452
2010-09-28,10.19,10.19,9.93,10.13,6.682,5378612
2010-09-29,10.02,10.2,9.93,10.04,6.6226,5477972
2010-09-30,10.12,10.235,9.96,10.03,6.616,3585691
2010-10-01,10.18,10.19,9.97,10.15,6.6952,4234853
2010-10-04,10.09,10.16,9.86,9.98,6.5831,5246742
2010-10-05,10.1,10.54,10.1,10.49,6.9195,7302293
2010-10-06,10.49,10.5,10.17,10.25,6.7612,5513284
2010-10-07,10.28,10.34,10.16,10.25,6.7612,5316315
2010-10-08,10.26,10.51,10.17,10.47,6.9063,5814348
2010-10-11,10.48,10.83,10.44,10.71,7.0646,4578369
2010-10-12,10.6,10.9,10.4,10.65,7.025,5748079
2010-10-13,10.77,10.93,10.59,10.73,7.0778,5628861
2010-10-14,10.76,10.82,10.52,10.56,6.9656,6144516
2010-10-15,10.72,10.84,10.6,10.81,7.1305,5244697
2010-10-18,10.71,10.71,10.48,10.62,7.0052,6727819
2010-10-19,10.43,10.49,10.15,10.24,6.7546,12261349
2010-10-20,10.29,10.61,10.28,10.58,6.9788,6929204
2010-10-21,10.63,10.88,10.52,10.57,6.9722,6384574
2010-10-22,10.6,10.66,10.36,10.43,6.8799,8080314
2010-10-25,10.49,10.7,10.42,10.62,7.0052,8998893
2010-10-26,10.56,10.69,10.49,10.6,6.992,4873845
2010-10-27,10.49,10.5903,10.38,10.52,6.9393,4479153
2010-10-28,10.61,10.64,10.22,10.42,6.8733,10310233
2010-10-29,10.52,11.01,10.24,10.35,6.8271,12462559
