date,open,high,low,close,adjusted_close,volume
2017-05-12,21.25,21.3,20.27,21.1,16.6115,10933720
2017-05-15,21.01,22.3,21.01,22.02,17.3358,3487278
2017-05-16,22.19,22.41,22.05,22.1,17.3988,1289339
2017-05-17,22.15,22.51,21.67,22.1,17.3988,1583699
2017-05-18,22.19,23.63,21.98,22.5,17.7137,4075173
2017-05-19,22.56,23.49,22.32,22.72,17.8869,1248618
2017-05-22,22.8,23.09,22.52,22.89,18.0208,383071
2017-05-23,22.99,23.61,22.65,23.45,18.4616,703985
2017-05-24,23.54,23.593,23.01,23.35,18.3829,408791
2017-05-25,23.42,23.82,22.31,22.51,17.7216,1080743
2017-05-26,22.55,23.24,22.355,23.03,18.131,721073
2017-05-30,23.0,23.29,22.59,22.95,18.068,843125
2017-05-31,22.97,23.18,22.67,22.93,18.0523,484429
2017-06-01,22.91,23.4345,22.81,22.93,18.0523,486400
2017-06-02,22.89,23.1,22.6,22.65,17.8318,546591
2017-06-05,22.61,22.91,21.92,22.63,17.8161,422153
2017-06-06,21.83,22.71,21.83,22.29,17.5484,1089496
2017-06-07,22.4,22.79,21.57,21.76,17.4442,733543
2017-06-08,21.75,21.93,21.61,21.65,17.356,432553
2017-06-09,21.68,22.82,21.68,22.49,18.0294,565863
2017-06-12,22.46,23.58,21.89,23.03,18.4623,826169
2017-06-13,22.99,24.24,22.8,23.49,18.8311,927265
2017-06-14,23.57,23.71,22.55,23.25,18.6387,1988480
2017-06-15,23.08,24.55,22.77,22.99,18.4302,1510315
2017-06-16,23.0,24.0,23.0,23.92,19.1758,2465627
2017-06-19,24.06,24.21,23.54,23.92,19.1758,460198
2017-06-20,23.72,23.72,22.21,22.62,18.1336,1043702
2017-06-21,22.54,22.745,20.63,20.72,16.6105,1275376
2017-06-22,20.72,21.07,19.91,21.06,16.883,1321878
2017-06-23,21.03,21.105,20.2401,20.47,16.41,3690385
2017-06-26,20.42,21.05,20.08,20.5,16.4341,790772
2017-06-27,20.56,21.63,20.42,21.29,17.0674,1029076
2017-06-28,21.28,21.64,21.14,21.27,17.0514,737567
2017-06-29,21.33,21.54,21.04,21.43,17.1796,796188
2017-06-30,21.54,21.74,21.24,21.61,17.3239,250831
2017-07-03,21.75,22.4,21.39,22.34,17.9092,396507
2017-07-05,22.38,22.41,21.76,21.82,17.4923,765815
2017-07-06,21.61,21.61,20.895,20.97,16.8109,1184427
2017-07-07,20.99,21.22,20.58,20.67,16.5704,953857
2017-07-10,20.63,21.48,20.55,21.34,17.1075,826888
2017-07-11,21.23,21.8,21.02,21.73,17.4201,656134
2017-07-12,21.78,22.34,21.73,22.13,17.7408,1091807
2017-07-13,22.11,22.26,21.86,22.06,17.6847,1577730
2017-07-14,22.13,22.29,21.99,22.08,17.7007,211254
2017-07-17,22.06,23.12,21.9225,22.97,18.4142,1357054
2017-07-18,22.83,23.21,22.81,23.04,18.4703,962684
