date,open,high,low,close,adjusted_close,volume
2010-01-04,307.1652,309.0903,305.8002,308.7702,34.3078,3033411
2010-01-05,308.0103,309.9204,304.0002,307.3803,34.1534,3690879
2010-01-06,305.4504,312.7902,305.4504,311.8404,34.6489,4998334
2010-01-07,310.7202,314.0004,309.4203,310.6704,34.5189,2651424
2010-01-08,310.6704,312.6954,308.4903,308.9604,34.3289,2657157
2010-01-11,308.9604,312.5004,307.4004,311.2902,34.5878,2854671
2010-01-12,309.3702,309.6624,302.7804,304.3905,33.8212,3990732
2010-01-13,305.6004,308.1702,301.2903,306.0402,34.0045,3921558
2010-01-14,305.7603,309.7503,305.4603,308.0004,34.2223,2759739
2010-01-15,308.9004,310.0002,305.2902,308.5803,34.2867,4927658
2010-01-19,307.0002,317.2002,307.0002,310.8102,34.5345,6248262
2010-01-20,312.1002,312.5403,302.8905,308.9904,34.3323,7793101
2010-01-21,308.8002,311.9904,301.6503,304.4904,33.8323,10902780
2010-01-22,328.7502,346.2903,328.5132,340.3503,37.8167,24001318
2010-01-25,340.7103,342.6303,337.0005,338.5104,37.6123,5922138
2010-01-26,334.6602,340.0002,333.1104,335.4504,37.2723,6327606
2010-01-27,333.6204,339.9405,333.5202,339.2103,37.69,4946377
2010-01-28,337.4205,340.9503,333.3414,335.0103,37.2234,4943182
2010-01-29,335.4105,337.0023,326.8704,328.0602,36.4511,5799576
2010-02-01,328.3605,331.2105,323.7303,328.6503,36.5167,4320906
2010-02-02,328.4604,337.8804,326.6304,335.5902,37.2878,4312293
2010-02-03,334.0002,337.0905,331.1112,332.2404,36.9156,4551044
2010-02-04,332.2404,333.7104,321.2004,321.2004,35.6889,5106136
2010-02-05,321.7503,326.4504,315.5205,325.4103,36.1567,6954869
2010-02-08,325.5003,328.6905,321.9603,323.9502,35.9945,3356259
2010-02-09,328.0005,329.7402,324.1404,326.8404,36.3156,2967927
2010-02-10,326.8404,327.4104,318.1104,321.9504,35.7723,3372234
2010-02-11,320.7903,330.0003,320.6604,329.7705,36.6412,3802371
2010-02-12,326.0103,332.9502,324.5004,331.8204,36.8689,3793065
2010-02-16,333.4803,335.2905,330.4002,334.3005,37.1445,3379686
2010-02-17,336.7704,341.1804,335.5104,341.1504,37.9056,5588445
2010-02-18,340.9503,344.9004,339.1605,344.7504,38.3056,3914150
2010-02-19,342.1803,349.5003,342.1803,346.5204,38.5023,5452797
2010-02-22,348.9903,349.2405,344.0205,346.9905,38.5545,3452955
2010-02-23,347.4903,349.0005,341.6604,342.6804,38.0756,3436620
2010-02-24,343.2903,345.2703,341.0103,344.2104,38.2456,2982399
2010-02-25,339.7002,344.1405,335.4735,343.8105,38.2012,3362181
2010-02-26,345.1803,349.0005,341.6784,347.1405,38.5712,3120711
2010-03-01,349.9803,359.1504,349.0803,358.6305,39.8478,4939816
2010-03-02,357.8004,366.5004,355.7703,361.3005,40.1445,5891727
2010-03-03,363.3705,367.0005,361.0203,362.8005,40.3112,4085421
2010-03-04,358.3605,359.4804,350.5005,354.4905,39.3878,5228761
2010-03-05,353.1003,359.6403,352.5105,358.4004,39.8223,3069186
2010-03-08,356.6205,359.2503,355.6203,355.9704,39.5523,1987972
2010-03-09,353.6604,358.8804,352.2504,355.6605,39.5178,2294961
2010-03-10,356.0004,360.0003,354.5805,357.4404,39.7156,2724630
2010-03-11,357.0003,358.6803,354.0003,357.8004,39.7556,2151943
2010-03-12,357.9204,362.3004,355.7604,358.9005,39.8778,3589701
2010-03-15,357.5004,361.9899,353.7405,356.0004,39.5556,2836490
2010-03-16,357.6903,358.5504,354.1503,355.5105,39.5012,2598738
2010-03-17,356.5005,359.0004,354.2304,356.1804,39.5756,3621381
2010-03-18,356.6805,357.4905,352.6905,353.5905,39.2878,2692913
2010-03-19,356.7003,360.0003,347.1903,349.1805,38.7978,7874766
2010-03-22,346.0005,349.9803,340.6803,347.8005,38.6445,5224693
2010-03-23,348.5304,349.7703,344.2203,348.9705,38.7745,3994232
2010-03-24,349.1103,349.3104,343.4304,346.1205,38.4578,4114149
2010-03-25,347.3703,347.6904,341.4804,342.0603,38.0067,4653221
2010-03-26,342.0603,345.2004,338.5203,342.0003,38.0,4177409
2010-03-29,342.1005,348.5004,340.2003,347.7903,38.6434,3993404
2010-03-30,349.4304,351.0003,341.9004,348.9105,38.7678,3324066
2010-03-31,348.8004,350.0004,345.0504,348.1305,38.6812,2432517
2010-04-01,351.7905,352.3404,345.9705,349.6005,38.8445,2499027
2010-04-05,352.5003,353.9904,344.5005,345.8004,38.4223,4354152
2010-04-06,344.8404,346.0005,342.9003,343.3005,38.1445,4121267
2010-04-07,344.0004,344.5005,331.8003,333.3705,37.0412,7611491
2010-04-08,331.2603,340.6602,330.0504,340.1004,37.7889,6026286
2010-04-09,342.0003,351.1404,340.2603,350.6205,38.9578,6122821
2010-04-12,352.7505,354.5004,350.5905,354.2103,39.3567,4947403
2010-04-13,354.3804,369.8004,354.0105,367.4304,40.8256,14187393
2010-04-14,370.0005,384.5505,369.0255,383.9505,42.6612,11238678
2010-04-15,385.0905,393.9204,378.8103,388.0104,43.1123,14505012
2010-04-16,379.0005,392.9904,359.8704,360.3903,40.0434,22202425
2010-04-19,360.5904,369.6903,355.2003,361.9803,40.22,9259785
2010-04-20,363.9804,368.7405,362.7105,366.6804,40.7423,5375865
2010-04-21,364.7805,370.7094,362.0025,365.9805,40.6645,7219883
2010-04-22,364.0005,373.6605,360.5004,368.7303,40.97,6190365
2010-04-23,369.3303,370.8903,363.7605,364.9803,40.5534,4334766
2010-04-26,364.8903,366.9405,358.4805,362.1705,40.2412,3800841
2010-04-27,360.0003,367.2504,356.2005,357.8004,39.7556,4256043
2010-04-28,360.0204,362.7105,359.0004,360.0903,40.01,3212394
2010-04-29,361.5105,371.6604,361.0005,368.3805,40.9312,3492042
2010-04-30,368.0205,371.5305,360.5604,360.5604,40.0623,3271074
2010-05-03,363.0003,373.0605,362.3004,372.2205,41.3578,4786402
2010-05-04,368.9103,369.5004,359.0103,361.7205,40.1912,4145343
2010-05-05,351.7005,353.9805,341.1003,346.9404,38.5489,7994574
2010-05-06,345.9705,349.6584,314.1552,337.2903,37.4767,8984260
2010-05-07,336.0105,337.9905,311.3904,324.3204,36.0356,11583477
2010-05-10,341.0004,345.9603,338.0604,344.4405,38.2712,6632426
2010-05-11,341.1903,347.5005,338.0004,344.7903,38.31,3252030
2010-05-12,348.0003,356.3103,347.0103,354.5004,39.3889,3856650
2010-05-13,355.9005,358.8804,350.0004,350.8104,38.9789,2398173
2010-05-14,348.5205,349.7103,336.1602,340.1205,37.7912,3675669
2010-05-17,342.9804,343.8903,334.3704,341.1003,37.9,3587190
2010-05-18,344.5803,345.8103,331.8003,332.4804,36.9423,3572754
2010-05-19,330.3504,335.8002,322.3905,328.7703,36.53,5113669
2010-05-20,321.1905,322.8504,310.6404,311.9052,34.6561,6078001
2010-05-21,305.0103,321.8004,301.0503,321.0804,35.6756,9921258
2010-05-24,323.5503,325.0503,315.2703,316.3602,35.1511,4883143
2010-05-25,310.9002,320.2503,304.6083,319.1604,35.4623,7788196
2010-05-26,322.0602,333.8271,306.6003,317.4702,35.2745,11544480
2010-05-27,324.6303,330.7605,321.0003,330.4503,36.7167,4786924
2010-05-28,330.6003,331.1103,320.6004,322.7703,35.8634,3939576
