date,open,high,low,close,adjusted_close,volume
2010-01-04,32.56,33.11,32.24,33.06,28.7303,1875977
2010-01-05,33.05,33.15,32.46,33.15,28.8085,2186899
2010-01-06,32.97,33.3,32.85,32.95,28.6347,1147197
2010-01-07,32.88,33.26,32.62,33.08,28.7477,1272341
2010-01-08,33.12,34.14,33.12,34.04,29.582,2068188
2010-01-11,34.04,34.9,33.98,34.54,30.0165,1897091
2010-01-12,34.4,34.46,33.51,33.71,29.2952,1326425
2010-01-13,34.21,34.21,33.54,33.86,29.4256,1371382
2010-01-14,33.67,34.82,33.67,34.7,30.1555,1723362
2010-01-15,34.44,34.83,33.69,34.02,29.5646,1241172
2010-01-19,34.09,34.29,33.76,33.9,29.4603,1381153
2010-01-20,33.69,33.92,32.92,33.82,29.3908,1200390
2010-01-21,33.74,34.11,32.69,32.92,28.6087,1668751
2010-01-22,32.95,33.08,32.12,32.23,28.009,1032539
2010-01-25,32.36,32.65,32.18,32.4,28.1568,687638
2010-01-26,32.24,32.76,31.9825,32.39,28.1481,688379
2010-01-27,32.23,32.99,32.14,32.83,28.5304,1073093
2010-01-28,32.82,32.82,30.02,30.96,26.9054,4540953
2010-01-29,31.08,31.3,30.48,30.66,26.6446,2245971
2010-02-01,30.83,31.09,30.46,30.87,26.8271,1397977
2010-02-02,30.86,30.94,30.32,30.66,26.6446,1413578
2010-02-03,30.4,31.2,30.2,31.17,27.0878,1100917
2010-02-04,30.9,31.1,30.26,30.29,26.3231,1618032
2010-02-05,30.41,30.71,29.45,30.49,26.4969,2318157
2010-02-08,30.48,30.775,30.01,30.43,26.4448,880302
2010-02-09,30.79,31.1,30.39,30.68,26.662,1107226
2010-02-10,30.49,31.45,30.3,31.45,27.4385,2193800
2010-02-11,31.47,31.81,31.165,31.57,27.5432,2739501
2010-02-12,31.29,31.69,31.0,31.68,27.6392,1325690
2010-02-16,31.88,32.09,31.6,32.09,27.9969,708383
2010-02-17,32.29,32.66,32.26,32.66,28.4942,1508249
2010-02-18,32.68,32.68,32.1,32.35,28.2237,1103018
2010-02-19,32.2,32.98,32.2,32.95,28.7472,1412915
2010-02-22,33.19,33.78,33.15,33.4,29.1398,1626802
2010-02-23,33.4,33.74,32.95,33.45,29.1834,2247330
2010-02-24,33.68,34.35,33.4,34.21,29.8465,1579009
2010-02-25,33.83,34.81,33.435,34.72,30.2914,2026400
2010-02-26,34.75,35.5,34.73,35.48,30.9545,1861813
2010-03-01,35.46,35.82,34.82,34.93,30.4746,2163682
2010-03-02,34.96,35.34,34.88,35.1,30.6229,1786102
2010-03-03,34.0625,34.85,34.0625,34.6,30.1867,2380991
2010-03-04,34.52,34.67,33.96,34.3,29.925,1760942
2010-03-05,34.41,35.12,34.38,34.98,30.5182,1023265
2010-03-08,35.02,35.55,34.79,35.27,30.7713,1399881
2010-03-09,35.21,36.21,35.17,36.15,31.539,2095373
2010-03-10,36.24,36.71,35.63,35.78,31.2162,1904245
2010-03-11,35.64,35.82,35.21,35.62,31.0766,1779832
2010-03-12,35.63,35.76,35.11,35.41,30.8934,1407714
2010-03-15,35.46,35.74,35.25,35.69,31.1377,824047
2010-03-16,35.75,36.55,35.7,36.54,31.8793,1193820
2010-03-17,36.57,36.93,35.9,36.02,31.4256,1388670
2010-03-18,35.93,36.42,35.73,36.35,31.7135,1304649
2010-03-19,36.49,36.72,35.825,35.91,31.3296,2153874
2010-03-22,35.85,36.3,35.52,36.26,31.635,1480813
2010-03-23,36.42,36.56,36.02,36.54,31.8793,1295792
2010-03-24,36.52,36.685,36.21,36.38,31.7397,1623215
2010-03-25,36.78,36.94,35.73,35.76,31.1988,1408505
2010-03-26,35.975,36.21,35.35,35.64,31.0941,1544828
2010-03-29,35.7,36.09,35.53,35.64,31.0941,1760564
2010-03-30,35.82,35.88,35.31,35.69,31.1377,2066206
2010-03-31,35.67,36.17,35.48,35.88,31.3034,1448173
2010-04-01,36.14,36.53,35.22,35.61,31.0679,1237050
