date,open,high,low,close,adjusted_close,volume
2010-01-04,31.753,32.256,31.6471,32.0089,10.446,4143027
2010-01-05,31.9559,32.1236,31.6559,31.85,10.3941,2338396
2010-01-06,31.8324,31.9559,31.6912,31.7441,10.3596,2532751
2010-01-07,31.7883,32.0442,31.5853,31.9736,10.4345,3329498
2010-01-08,31.85,32.1854,31.6294,32.0795,10.469,3071049
2010-01-11,32.256,32.9797,32.2472,32.9091,10.7398,3516024
2010-01-12,32.662,33.0326,32.5031,32.865,10.7254,2426085
2010-01-13,32.865,33.0856,32.5119,32.5649,10.6274,2605294
2010-01-14,32.5296,33.0415,32.5296,32.9002,10.7369,1796816
2010-01-15,32.9443,33.2356,32.4326,33.1297,10.8118,3217897
2010-01-19,33.9769,34.3123,33.1033,33.7034,10.999,13109685
2010-01-20,33.6063,33.8269,33.3151,33.6593,10.9846,6804629
2010-01-21,33.7827,33.9151,33.0944,33.2974,10.8665,4367158
2010-01-22,33.2797,33.4121,32.6267,32.6973,10.6706,5378130
2010-01-25,33.0326,33.1562,32.4943,32.5384,10.6188,2869573
2010-01-26,32.2383,32.5737,32.1854,32.2737,10.5324,3959529
2010-01-27,32.1766,32.309,31.8148,32.2119,10.5778,3585263
2010-01-28,32.2119,32.4149,31.603,31.8589,10.4619,3704055
2010-01-29,31.9825,32.0177,31.1087,31.2676,10.2677,4098765
2010-02-01,31.497,31.5676,31.047,31.3647,10.2996,3625792
2010-02-02,31.5058,32.2737,31.5058,32.2031,10.5749,4533664
2010-02-03,32.2383,32.556,32.1501,32.2295,10.5836,3284020
2010-02-04,31.9118,31.9559,30.9323,30.9323,10.1576,3434690
2010-02-05,31.1617,31.2941,30.0144,30.4468,9.9982,5486191
2010-02-08,30.5527,30.6233,29.9615,29.9615,9.8388,3071658
2010-02-09,30.4116,30.9058,30.3057,30.7117,10.0851,3954334
2010-02-10,30.6763,30.8969,30.4468,30.5175,10.0214,2663984
2010-02-11,30.4557,30.7469,30.2545,30.5969,10.0474,2998223
2010-02-12,30.2527,30.4557,29.8644,30.4557,10.0011,2242041
2010-02-16,30.5086,30.8881,30.3586,30.8087,10.117,2789475
2010-02-17,31.0205,31.4441,30.9675,31.1617,10.2329,2718536
2010-02-18,31.0382,31.3293,30.9587,31.2588,10.2648,2278970
2010-02-19,31.2147,31.6735,31.0558,31.4265,10.3199,2246246
2010-02-22,31.4,31.8059,31.3029,31.3117,10.2822,2433398
2010-02-23,31.1793,31.4794,30.8528,31.0382,10.1923,3246288
2010-02-24,31.1617,31.2941,30.972,31.1264,10.2213,2123175
2010-02-25,30.9323,31.55,30.2791,31.5058,10.3459,4206340
2010-02-26,31.4088,31.9471,31.25,31.8236,10.4503,3473457
2010-03-01,31.9295,32.6973,31.9295,32.4237,10.6473,3593382
2010-03-02,32.5914,32.9443,32.5208,32.6355,10.7169,3859639
2010-03-03,32.662,32.7855,32.3354,32.4326,10.6502,4640384
2010-03-04,32.3708,32.3972,31.9913,32.3001,10.6068,4075140
2010-03-05,32.6532,33.2356,32.5914,33.1033,10.8705,3355067
2010-03-08,33.2356,33.2621,32.7061,32.9179,10.8096,3245212
2010-03-09,32.9091,33.3062,32.8032,33.2533,10.9198,2689224
2010-03-10,33.165,33.5357,32.6443,33.2621,10.9226,2667097
2010-03-11,33.3062,33.5534,33.1033,33.4916,10.998,3399238
2010-03-12,33.5798,33.8445,33.1033,33.2356,10.914,3542897
2010-03-15,33.2267,33.2267,32.6532,32.9709,10.827,3626885
2010-03-16,33.1297,33.2356,32.6532,32.8738,10.7951,4413039
2010-03-17,32.9356,33.2267,32.3619,32.4767,10.6647,4672414
2010-03-18,32.5384,32.7767,32.1677,32.7325,10.7488,4979420
2010-03-19,32.7767,32.865,32.1325,32.4678,10.6618,4263133
2010-03-22,32.3442,32.9179,32.1501,32.8473,10.7864,3728863
2010-03-23,32.7943,33.0061,32.6796,32.9532,10.8212,2372880
2010-03-24,32.8384,32.9002,32.5031,32.7767,10.7633,2953337
2010-03-25,33.0767,33.0944,32.4237,32.4501,10.656,3195796
2010-03-26,32.5914,32.7855,32.256,32.5296,10.6821,2129051
2010-03-29,32.7502,33.165,32.7237,33.0061,10.8386,3349897
2010-03-30,33.015,33.8887,32.962,33.7298,11.0762,6523965
2010-03-31,33.8093,33.871,33.5092,33.7563,11.0849,3629218
2010-04-01,33.774,34.2417,33.774,34.2064,11.2327,4613543
2010-04-05,34.2064,34.9653,34.0828,34.6211,11.3689,4625421
2010-04-06,34.4711,34.8904,34.4711,34.7712,11.4182,3695515
2010-04-07,34.6211,34.727,34.4447,34.6124,11.366,4206266
2010-04-08,34.4711,34.8683,34.2593,34.7976,11.4269,2699375
2010-04-09,34.8594,35.1154,34.7094,35.0712,11.5167,2433685
2010-04-12,35.0889,35.1595,34.8065,34.8065,11.4298,2282154
2010-04-13,34.6829,35.1595,34.5418,34.9035,11.4617,3566189
2010-04-14,35.186,35.7067,34.9389,35.2389,11.5718,5753600
2010-04-15,35.0271,35.6184,35.0271,35.3184,11.5979,3926484
2010-04-16,35.186,35.4066,34.7359,35.2301,11.5689,4439941
2010-04-19,35.0448,35.1507,34.727,35.133,11.537,4694533
2010-04-20,35.283,35.3184,34.8683,35.1595,11.5457,4496699
2010-04-21,35.0712,35.4066,35.0271,35.3801,11.6182,3285280
2010-04-22,35.1066,35.6449,34.9565,35.6184,11.6964,4191524
2010-04-23,35.5743,35.786,35.389,35.7773,11.7486,3758452
2010-04-26,35.839,35.839,35.4507,35.6537,11.708,7052209
2010-04-27,34.9035,35.5125,34.8594,34.9035,11.4617,7855320
2010-04-28,34.9477,35.3361,34.8153,34.9124,11.4646,7002299
2010-04-29,35.1154,35.1595,34.4182,34.5506,11.3458,8705950
2010-04-30,34.48,34.7624,34.0476,34.2328,11.2414,4903907
2010-05-03,34.4623,34.6476,34.074,34.48,11.3226,5427996
2010-05-04,34.1358,34.5506,33.8004,34.2328,11.2414,6459534
2010-05-05,33.9504,34.5418,33.721,33.9592,11.1516,7472596
2010-05-06,33.7827,34.4005,30.0056,32.962,10.8241,8616224
2010-05-07,33.0061,33.0856,31.6425,32.3531,10.6242,9777290
2010-05-10,33.7475,33.8269,33.0519,33.3327,10.9458,7216401
2010-05-11,32.962,34.1976,32.962,33.8181,11.1052,8877216
2010-05-12,34.1005,35.3007,33.9592,35.2918,11.5892,8762761
