date,open,high,low,close,adjusted_close,volume
2010-01-04,23.4,23.86,23.24,23.85,19.8574,493749
2010-01-05,23.8,23.88,23.34,23.47,19.541,344207
2010-01-06,23.52,23.54,23.33,23.43,19.5077,287941
2010-01-07,23.37,23.43,23.15,23.41,19.4911,279295
2010-01-08,23.41,23.41,23.05,23.2,19.3162,245474
2010-01-11,23.18,23.22,22.88,23.02,19.1664,224964
2010-01-12,22.89,23.05,22.69,22.92,19.0831,325454
2010-01-13,23.05,23.35,22.93,23.25,19.3579,316182
2010-01-14,23.12,23.465,23.12,23.43,19.5077,172925
2010-01-15,23.54,23.54,23.01,23.2,19.3162,517778
2010-01-19,23.15,23.55,23.12,23.52,19.5827,334962
2010-01-20,23.32,23.35,22.81,23.17,19.2912,311620
2010-01-21,23.25,23.36,22.65,22.89,19.0581,402284
2010-01-22,22.92,23.05,22.39,22.44,18.6835,376468
2010-01-25,22.57,22.61,22.25,22.38,18.6335,273206
2010-01-26,22.32,22.43,22.14,22.17,18.4587,424739
2010-01-27,22.03,22.37,22.03,22.26,18.5336,569068
2010-01-28,22.23,22.23,21.65,21.85,18.1922,528123
2010-01-29,21.91,22.14,21.88,21.96,18.2838,749541
2010-02-01,22.02,22.54,21.95,22.5,18.7334,733564
2010-02-02,22.47,23.06,22.28,22.76,18.9499,854396
2010-02-03,22.77,23.74,22.32,22.61,18.825,833123
2010-02-04,22.51,22.51,21.96,22.05,18.3587,651993
2010-02-05,22.01,22.08,21.36,21.75,18.109,675422
2010-02-08,21.73,21.73,21.4,21.44,17.8509,495450
2010-02-09,21.71,21.82,21.4,21.48,17.8842,606136
2010-02-10,21.37,21.52,21.03,21.31,17.7426,534198
2010-02-11,21.21,21.63,21.01,21.59,17.9757,379999
2010-02-12,21.38,21.59,21.32,21.58,17.9674,397985
2010-02-16,22.98,22.98,21.95,22.19,18.4753,765182
2010-02-17,22.18,22.52,22.13,22.52,18.7501,483804
2010-02-18,22.58,22.71,22.41,22.71,18.9083,356623
2010-02-19,22.74,22.86,22.49,22.67,18.8749,551582
2010-02-22,22.67,22.77,22.39,22.6,18.8959,991454
2010-02-23,22.47,22.64,22.26,22.45,18.7704,623338
2010-02-24,22.58,22.68,22.37,22.67,18.9544,447675
2010-02-25,22.33,22.6,22.19,22.58,18.8791,469106
2010-02-26,22.65,22.71,22.37,22.58,18.8791,561054
2010-03-01,22.7,23.15,22.69,23.04,19.2637,640154
2010-03-02,22.99,23.25,22.99,23.2,19.3975,520913
2010-03-03,23.25,23.35,23.05,23.13,19.339,394597
2010-03-04,23.23,23.47,23.02,23.42,19.5815,502085
2010-03-05,23.46,23.7,23.424,23.7,19.8156,525261
2010-03-08,23.61,23.7,23.5,23.59,19.7236,483896
2010-03-09,23.55,23.75,23.46,23.55,19.6901,418960
2010-03-10,23.47,23.725,23.39,23.57,19.7069,432754
2010-03-11,23.37,23.67,23.3515,23.67,19.7905,570657
2010-03-12,23.66,23.83,23.49,23.83,19.9243,655227
2010-03-15,23.53,23.95,23.51,23.95,20.0246,848842
2010-03-16,23.9,24.56,23.82,24.55,20.5262,1182283
2010-03-17,24.65,24.79,24.45,24.76,20.7018,865918
2010-03-18,24.62,24.77,24.45,24.58,20.5513,763343
2010-03-19,24.76,24.88,24.4,24.49,20.4761,847093
2010-03-22,24.41,24.79,24.3,24.72,20.6684,520417
2010-03-23,24.8,24.82,24.55,24.8,20.7353,541291
2010-03-24,24.75,24.83,24.3,24.3,20.3172,451392
2010-03-25,24.55,24.72,24.22,24.24,20.2671,417795
2010-03-26,24.28,24.43,24.09,24.18,20.2169,442123
2010-03-29,24.18,24.36,24.07,24.29,20.3089,412651
2010-03-30,24.37,24.47,24.11,24.21,20.242,352146
2010-03-31,24.08,24.25,24.02,24.06,20.1166,462220
2010-04-01,24.23,24.36,24.13,24.35,20.359,425717
2010-04-05,24.48,24.74,24.325,24.74,20.6851,416085
2010-04-06,24.56,24.79,24.53,24.74,20.6851,666677
2010-04-07,24.72,24.73,24.37,24.53,20.5095,532110
2010-04-08,24.4,24.61,24.311,24.5,20.4844,427657
2010-04-09,24.48,24.71,24.36,24.71,20.66,351754
2010-04-12,24.66,24.73,24.48,24.65,20.6099,356690
2010-04-13,24.64,24.64,24.44,24.58,20.5513,157890
2010-04-14,24.62,24.8,24.54,24.8,20.7353,269947
2010-04-15,24.73,25.04,24.71,25.01,20.9109,353712
2010-04-16,25.02,25.18,24.81,24.95,20.8607,335931
2010-04-19,24.81,24.97,24.51,24.72,20.6684,336514
2010-04-20,24.86,25.13,24.66,25.13,21.0112,211893
2010-04-21,25.13,25.29,24.9,25.21,21.0781,415140
2010-04-22,24.91,25.32,24.83,25.31,21.1617,278454
2010-04-23,25.39,25.49,25.1,25.48,21.3038,286549
2010-04-26,25.42,25.71,25.3305,25.59,21.3958,343840
2010-04-27,25.53,25.8,25.41,25.5,21.3205,662908
2010-04-28,25.56,25.78,25.39,25.61,21.4125,479173
2010-04-29,25.8,25.85,25.53,25.79,21.563,314903
2010-04-30,25.79,25.9,25.52,25.52,21.3373,766537
2010-05-03,25.69,26.05,25.52,26.03,21.7637,484323
2010-05-04,25.66,25.93,25.3,25.46,21.2871,604809
2010-05-05,25.4,25.47,24.591,25.31,21.1617,447719
2010-05-06,25.24,26.5,25.14,25.51,21.3289,1823294
2010-05-07,25.53,25.69,24.37,24.46,20.451,1665156
2010-05-10,25.26,25.5,24.8,25.16,21.0363,683409
2010-05-11,24.89,25.17,24.5,25.0,20.9025,552639
2010-05-12,25.15,25.57,25.07,25.52,21.3373,730510
2010-05-13,25.36,25.56,25.21,25.3,21.2324,542769
2010-05-14,25.25,25.48,24.83,25.07,21.0393,413166
2010-05-17,25.23,25.52,24.58,25.09,21.0561,509555
2010-05-18,25.25,25.51,24.65,24.74,20.7624,493962
2010-05-19,24.7,24.95,24.37,24.67,20.7036,452118
2010-05-20,24.36,24.4,23.4,23.45,19.6798,676765
2010-05-21,23.25,23.68,22.86,23.62,19.8225,688356
2010-05-24,23.49,23.61,23.24,23.3,19.5539,345994
2010-05-25,22.85,23.36,22.65,23.28,19.5371,580137
2010-05-26,23.37,23.99,23.3,23.56,19.7721,666339
2010-05-27,24.02,24.5,23.94,24.23,20.3344,375648
2010-05-28,24.25,24.4495,23.8221,24.04,20.1749,482022
2010-06-01,24.0,24.11,23.55,23.55,19.7637,460668
2010-06-02,23.73,24.131,23.26,24.13,20.2505,399305
2010-06-03,24.02,24.34,23.97,24.27,20.368,390194
2010-06-04,23.77,24.31,23.28,23.32,19.5707,593283
2010-06-07,23.32,23.49,22.91,22.94,19.2518,399722
2010-06-08,22.9,23.03,22.55,23.01,19.3105,444219
2010-06-09,23.21,23.41,22.99,23.06,19.3525,372222
2010-06-10,23.43,23.72,23.15,23.71,19.898,335209
2010-06-11,23.38,24.06,23.38,24.06,20.1917,335326
2010-06-14,24.35,24.5481,24.2,24.32,20.4099,481214
2010-06-15,24.55,25.0,24.37,24.97,20.9554,496148
2010-06-16,24.8,25.17,24.77,24.98,20.9638,373431
2010-06-17,25.0,25.2,24.9,25.17,21.1233,324589
2010-06-18,25.22,25.44,25.17,25.28,21.2156,670896
2010-06-21,25.47,25.5,24.7,24.79,20.8044,554095
2010-06-22,24.9,25.31,24.64,24.66,20.6953,586856
2010-06-23,24.59,24.76,24.39,24.52,20.5778,442224
2010-06-24,24.32,24.59,24.18,24.38,20.4603,388860
2010-06-25,24.51,24.93,24.28,24.73,20.754,913295
2010-06-28,24.84,25.34,24.57,25.11,21.0729,511198
2010-06-29,24.83,25.02,24.13,24.25,20.3512,742067
2010-06-30,24.28,24.49,23.875,23.88,20.0407,607543
2010-07-01,24.0,24.16,23.19,23.57,19.7805,733591
2010-07-02,23.75,23.75,23.34,23.54,19.7553,310532
2010-07-06,23.88,23.99,23.29,23.48,19.705,607550
2010-07-07,23.61,24.18,23.55,24.16,20.2756,435142
2010-07-08,24.44,24.51,24.09,24.35,20.4351,343489
2010-07-09,24.39,24.452,24.15,24.4,20.4771,324452
2010-07-12,24.28,24.59,24.21,24.52,20.5778,331660
2010-07-13,24.83,25.14,24.64,25.06,21.0309,367183
2010-07-14,24.95,25.14,24.82,25.01,20.989,274344
2010-07-15,24.96,24.98,24.5,24.87,20.8715,410625
2010-07-16,24.68,24.84,24.01,24.03,20.1665,463581
2010-07-19,24.15,24.42,24.02,24.28,20.3764,291245
2010-07-20,23.98,24.84,23.93,24.81,20.8211,468278
2010-07-21,25.03,25.03,24.4,24.43,20.5022,436937
2010-07-22,24.76,25.36,24.73,25.28,21.2156,619094
2010-07-23,25.14,25.79,25.03,25.71,21.5764,466270
2010-07-26,25.84,26.2,25.68,26.05,21.8618,431026
2010-07-27,26.15,26.3,25.8301,25.9,21.7359,444727
2010-07-28,25.8,26.01,25.31,25.36,21.2827,484463
2010-07-29,25.6,25.6,24.964,25.39,21.3079,402652
2010-07-30,25.12,25.52,24.89,25.4,21.3163,406246
2010-08-02,25.83,25.89,25.38,25.66,21.5345,482631
2010-08-03,25.5,25.89,25.313,25.72,21.5848,465972
2010-08-04,25.75,26.0,25.68,25.99,21.8114,323673
2010-08-05,25.78,25.96,25.68,25.73,21.5932,193249
2010-08-06,25.51,25.7101,25.0,25.69,21.5597,272354
2010-08-09,25.88,25.91,25.73,25.83,21.6771,365651
2010-08-10,25.49,25.71,25.15,25.42,21.3331,277635
2010-08-11,24.98,25.29,24.48,24.62,20.6617,414052
2010-08-12,24.18,24.51,24.0,24.23,20.3344,500662
2010-08-13,24.09,24.38,23.98,24.18,20.2924,361657
2010-08-16,24.01,24.35,23.785,24.08,20.2085,331341
2010-08-17,24.24,24.79,24.01,24.47,20.5358,341592
2010-08-18,24.37,25.26,23.64,24.63,20.6701,593428
2010-08-19,24.42,24.93,23.91,24.1,20.2253,533937
2010-08-20,23.97,24.34,23.55,24.05,20.1833,440126
2010-08-23,24.25,24.25,23.86,23.875,20.0365,398258
2010-08-24,23.65,23.87,23.34,23.66,19.856,378788
2010-08-25,23.48,24.03,23.34,23.99,20.133,489097
2010-08-26,24.0,24.19,23.75,23.8,19.9735,281927
2010-08-27,24.09,24.39,23.54,24.37,20.4519,407719
2010-08-30,24.21,24.35,23.78,23.78,19.9567,378054
2010-08-31,23.73,23.82,23.46,23.53,19.7469,730116
2010-09-01,23.93,24.35,23.87,24.32,20.4099,458707
2010-09-02,24.19,24.27,23.96,24.22,20.4057,370190
2010-09-03,24.48,24.86,24.26,24.64,20.7596,316162
2010-09-07,24.61,24.69,24.14,24.17,20.3636,389262
2010-09-08,24.19,24.47,24.08,24.34,20.5068,304891
2010-09-09,24.68,24.68,24.17,24.37,20.5321,259484
2010-09-10,24.49,24.645,24.23,24.48,20.6248,377213
2010-09-13,24.65,25.24,24.49,25.19,21.2229,584257
2010-09-14,25.18,25.2301,24.94,25.06,21.1134,325925
2010-09-15,24.91,25.44,24.87,25.3,21.3156,320894
2010-09-16,25.18,25.44,25.14,25.3725,21.3767,387439
2010-09-17,25.56,25.61,25.17,25.5,21.4841,628144
2010-09-20,25.51,26.08,25.424,26.05,21.9475,500685
2010-09-21,25.95,26.04,25.7115,25.88,21.8043,528374
2010-09-22,25.86,25.97,25.45,25.64,21.6021,417449
2010-09-23,25.45,25.81,25.28,25.3,21.3156,383554
2010-09-24,25.66,25.9155,25.57,25.86,21.7874,565896
2010-09-27,25.8,25.8,25.22,25.33,21.3409,595947
2010-09-28,25.36,25.5406,24.88,25.49,21.4757,483319
2010-09-29,25.32,25.579,25.16,25.41,21.4083,474384
2010-09-30,25.67,25.91,25.34,25.5,21.4841,677096
2010-10-01,25.7,25.74,25.35,25.66,21.6189,339728
2010-10-04,25.53,25.9,25.42,25.53,21.5094,515056
