date,open,high,low,close,adjusted_close,volume
2010-01-04,64.71,64.99,64.41,64.68,42.9745,9506200
2010-01-05,64.58,64.62,63.82,63.93,42.4761,10673100
2010-01-06,63.9,64.54,63.83,64.45,42.8216,13171500
2010-01-07,64.25,64.35,63.74,63.99,42.516,10901600
2010-01-08,63.92,64.26,63.63,64.21,42.6622,7898000
2010-01-11,64.75,64.75,64.01,64.22,42.6688,7975700
2010-01-12,64.13,64.72,64.02,64.56,42.8947,10820700
2010-01-13,64.54,65.23,64.54,64.97,43.1671,13023800
2010-01-14,65.2,65.27,64.75,65.1,43.2535,7899000
2010-01-15,65.14,65.2,63.98,64.56,42.8947,20995000
2010-01-19,64.14,65.75,64.11,65.35,43.4196,15181800
2010-01-20,65.47,65.95,64.47,65.15,43.2867,13033000
2010-01-21,65.07,65.47,63.8,63.97,42.5027,14473900
2010-01-22,63.91,64.19,63.09,63.2,41.9911,14017200
2010-01-25,63.67,63.7,63.05,63.22,42.0044,10001700
2010-01-26,62.64,63.01,62.22,62.79,41.7187,15630300
2010-01-27,62.78,63.72,62.7,63.44,42.1506,14982400
2010-01-28,63.57,64.07,63.04,63.8,42.3898,17096000
2010-01-29,63.95,64.27,62.82,62.86,41.7652,17844400
2010-02-01,63.26,63.26,62.77,63.09,41.918,10153400
2010-02-02,63.2,64.2,62.63,63.99,42.516,13609300
2010-02-03,63.87,63.87,63.29,63.63,42.2768,9255900
2010-02-04,63.49,63.62,62.62,62.64,41.6191,18397000
2010-02-05,62.69,63.6,61.89,62.64,41.6191,16775200
2010-02-08,62.5,62.98,62.26,62.37,41.4397,10081200
2010-02-09,62.55,63.47,62.47,62.76,41.6988,11356400
2010-02-10,62.79,63.07,62.21,62.73,41.6788,10115800
2010-02-11,62.62,63.21,62.26,62.91,41.7984,8353600
2010-02-12,62.61,63.0,62.11,62.72,41.6722,12335800
2010-02-16,63.25,63.71,62.82,63.61,42.2635,10212400
2010-02-17,63.63,64.36,63.61,63.98,42.5094,9485500
2010-02-18,63.98,64.7,63.95,64.53,42.8748,8260600
2010-02-19,64.15,64.46,63.62,63.81,42.7208,14222300
2010-02-22,63.81,64.1,63.39,63.49,42.5066,9839700
2010-02-23,63.56,63.85,63.23,63.31,42.3861,12481400
2010-02-24,63.55,63.85,63.25,63.45,42.4798,8519300
2010-02-25,62.79,63.35,62.52,63.28,42.366,10528900
2010-02-26,63.46,63.59,63.0,63.0,42.1785,9357800
2010-03-01,63.27,63.46,63.17,63.39,42.4396,9219400
2010-03-02,63.31,63.64,63.02,63.44,42.4731,9014000
2010-03-03,63.59,63.75,63.22,63.4,42.4463,9360400
2010-03-04,63.53,63.7,63.37,63.57,42.5601,8067200
2010-03-05,63.66,64.07,63.55,64.04,42.8748,10633600
2010-03-08,64.08,64.41,64.02,64.2,42.9819,33380500
2010-03-09,64.55,64.55,64.09,64.27,43.0288,8827100
2010-03-10,64.49,64.56,64.15,64.29,43.0422,8436600
2010-03-11,64.15,64.22,63.6,64.22,42.9953,9957800
2010-03-12,64.26,64.26,63.85,64.18,42.9685,8223000
2010-03-15,64.14,64.57,64.07,64.57,43.2296,7444700
2010-03-16,64.7,64.72,64.23,64.53,43.2029,8882000
2010-03-17,64.72,64.74,64.48,64.65,43.2832,8060700
2010-03-18,64.58,65.15,64.37,65.06,43.5577,11742100
2010-03-19,65.11,65.49,64.81,65.11,43.5912,23117600
2010-03-22,65.07,65.44,64.98,65.1,43.5845,8803800
2010-03-23,65.18,65.39,64.87,65.36,43.7585,9453900
2010-03-24,65.31,65.31,64.75,64.75,43.3501,9312500
2010-03-25,65.04,65.25,64.53,64.57,43.2296,10496600
2010-03-26,64.68,64.72,64.33,64.38,43.1024,9450400
2010-03-29,64.46,64.93,64.4,64.82,43.397,7812900
2010-03-30,64.95,64.98,64.56,64.9,43.4506,8311600
2010-03-31,64.84,65.31,64.7,65.2,43.6514,11939100
2010-04-01,65.37,65.77,65.24,65.77,44.033,10600600
2010-04-05,65.77,65.89,65.38,65.4,43.7853,8617600
2010-04-06,65.13,65.45,65.0,65.31,43.7251,8260100
2010-04-07,65.24,65.49,65.08,65.22,43.6648,9409400
2010-04-08,65.19,65.19,64.77,64.93,43.4707,8962600
2010-04-09,64.88,65.17,64.78,65.14,43.6112,6972700
2010-04-12,65.11,65.21,64.93,65.11,43.5912,8692200
2010-04-13,65.06,65.85,64.91,65.68,43.9728,12481600
2010-04-14,65.43,65.6,65.18,65.49,43.8456,10501900
2010-04-15,65.29,65.54,65.13,65.51,43.859,8656900
2010-04-16,65.34,65.65,64.89,65.02,43.5309,15742500
2010-04-19,65.06,66.1,65.06,66.03,44.2071,14626300
2010-04-20,66.03,66.2,65.73,65.99,44.1803,11916400
2010-04-21,65.98,65.98,65.07,65.39,43.7786,13355700
2010-04-22,65.18,65.24,64.33,64.78,43.3702,19583000
2010-04-23,64.71,65.04,64.33,65.04,43.5443,11674900
2010-04-26,64.99,65.2,64.72,64.76,43.3568,9281500
2010-04-27,64.57,64.88,64.21,64.28,43.0355,11862200
2010-04-28,64.43,64.86,64.25,64.62,43.2631,12476600
2010-04-29,64.85,65.34,64.85,65.01,43.5242,7930100
2010-04-30,65.13,65.34,64.3,64.3,43.0489,14255900
2010-05-03,65.16,65.62,64.54,65.33,43.7385,15310500
2010-05-04,65.07,65.28,64.41,64.7,43.3167,14895700
2010-05-05,64.58,65.29,64.44,65.14,43.6112,13143700
2010-05-06,65.04,65.1,60.03,63.4,42.4463,24410000
2010-05-07,63.26,63.6,62.09,63.31,42.3861,20467100
2010-05-10,64.91,65.36,64.0,64.75,43.3501,18445400
2010-05-11,64.23,65.09,64.18,64.67,43.2966,10879000
2010-05-12,64.85,65.05,64.49,64.9,43.4506,11036800
2010-05-13,64.84,65.16,64.51,64.67,43.2966,12337000
2010-05-14,64.71,64.79,63.41,63.97,42.8279,12505100
2010-05-17,64.06,64.24,63.2,63.88,42.7677,10260800
2010-05-18,63.44,63.56,62.85,62.97,42.1584,18480900
2010-05-19,62.69,62.96,62.05,62.22,41.6563,18863200
2010-05-20,61.82,61.84,60.55,60.55,40.5382,24098700
2010-05-21,59.78,60.96,59.51,60.88,40.7592,21813000
2010-05-24,60.62,61.45,60.21,60.57,40.5516,13993300
2010-05-25,59.71,60.41,59.15,60.35,40.4043,21179000
2010-05-26,60.83,60.83,59.65,59.66,39.9424,18914100
2010-05-27,59.74,59.89,58.71,59.03,39.8816,29926600
2010-05-28,58.72,59.12,58.19,58.3,39.3884,26815900
2010-06-01,58.21,59.41,57.55,58.76,39.6992,19508400
2010-06-02,59.07,59.73,58.69,59.73,40.3545,15581800
2010-06-03,59.89,60.15,59.55,59.77,40.3815,14254200
2010-06-04,58.96,59.03,57.76,58.01,39.1925,21785400
