date,open,high,low,close,adjusted_close,volume
2010-01-04,41.79,42.99,41.67,42.85,29.6697,35463340
2010-01-05,42.79,43.84,42.78,43.68,30.2444,41214102
2010-01-06,43.45,44.09,43.31,43.92,30.4106,27731250
2010-01-07,43.79,45.12,43.61,44.79,31.013,44864660
2010-01-08,44.37,44.7,44.08,44.68,30.9368,33110031
2010-01-11,45.12,45.19,44.31,44.53,30.833,31878680
2010-01-12,43.99,44.15,42.94,43.49,30.1129,47115059
2010-01-13,43.55,44.53,42.87,44.25,30.6391,39622000
2010-01-14,44.2,44.79,44.1,44.69,30.9438,38002379
2010-01-15,44.3,44.43,43.34,43.68,30.2444,69741562
2010-01-19,43.4,43.75,42.9,43.28,29.9675,41740207
2010-01-20,43.01,43.68,42.71,43.4,30.0506,39938500
2010-01-21,43.04,43.15,40.32,40.54,28.0703,137547703
2010-01-22,40.65,41.195,38.82,39.16,27.1147,106634898
2010-01-25,39.76,39.89,38.8405,39.21,27.1494,56576848
2010-01-26,39.0,39.835,38.28,38.44,26.6162,52975238
2010-01-27,38.35,39.49,38.07,39.33,27.2325,66324086
2010-01-28,39.68,40.04,38.72,39.48,27.3363,65073527
2010-01-29,39.65,39.85,38.8,38.94,26.9624,53655199
2010-02-01,39.1,39.93,38.95,39.63,27.4402,37408102
2010-02-02,39.8,40.68,39.7,40.55,28.0772,46019129
2010-02-03,40.58,41.1,40.17,40.29,27.8972,37377633
2010-02-04,39.79,39.92,38.35,38.35,26.5539,57211781
2010-02-05,38.64,38.88,37.025,38.3,26.5193,75224094
2010-02-08,38.29,38.29,37.32,37.7,26.1038,58320910
2010-02-09,38.19,38.7,37.8399,38.39,26.5816,45179633
2010-02-10,38.64,39.5,38.52,38.87,26.9139,39331727
2010-02-11,38.84,39.37,38.36,39.02,27.0178,33839391
2010-02-12,38.67,39.18,38.36,38.95,26.9693,38055699
2010-02-16,39.33,40.14,38.75,40.07,27.7448,46425238
2010-02-17,40.26,40.45,39.76,40.04,27.7241,34650609
2010-02-18,39.94,40.51,39.77,40.41,27.9803,31809500
2010-02-19,40.11,40.7,39.9,40.03,27.7171,40295879
2010-02-22,40.4,41.3,40.25,40.85,28.2849,43898840
2010-02-23,40.9,41.25,39.76,39.88,27.6133,52233020
2010-02-24,40.05,40.97,40.0,40.85,28.2849,44653539
2010-02-25,40.16,40.69,39.7,40.64,28.1395,46723711
2010-02-26,40.69,42.305,40.6,41.97,29.0604,67703273
2010-03-01,42.03,42.18,41.41,41.83,28.9635,34615969
2010-03-02,41.98,42.4,41.3615,41.62,28.8181,33898020
2010-03-03,41.65,42.06,41.34,41.53,28.7558,27564971
2010-03-04,41.91,42.08,41.66,41.92,29.0258,25459141
2010-03-05,42.32,42.87,42.19,42.81,29.642,34794219
2010-03-08,42.85,43.03,42.47,42.59,29.4897,28530180
2010-03-09,42.39,42.82,42.05,42.42,29.372,37107039
2010-03-10,42.87,43.49,42.81,42.93,29.7251,40903641
2010-03-11,42.91,43.2,42.8,43.18,29.8982,30128570
2010-03-12,43.34,43.54,42.85,43.15,29.8775,31371961
2010-03-15,42.92,43.21,42.6,43.07,29.8221,29148180
2010-03-16,43.35,43.38,42.69,43.24,29.9398,28553789
2010-03-17,43.31,44.11,43.265,43.79,30.3206,32920480
2010-03-18,43.75,43.79,43.15,43.64,30.2167,26012000
2010-03-19,43.72,43.89,43.13,43.45,30.0852,37014312
2010-03-22,43.07,43.79,43.04,43.74,30.286,23257199
2010-03-23,43.85,44.74,43.78,44.58,30.8676,33740090
2010-03-24,44.44,44.97,44.2,44.94,31.1169,36058922
2010-03-25,44.98,46.05,44.89,44.94,31.1169,45023887
2010-03-26,45.04,45.89,44.795,45.02,31.1723,39731910
2010-03-29,45.25,45.38,44.46,44.86,31.0615,30634311
2010-03-30,44.9,45.05,44.3575,44.58,30.8676,30297920
2010-03-31,44.31,45.0,44.25,44.75,30.9853,39047961
2010-04-01,45.03,45.31,44.99,45.18,31.318,23901930
2010-04-05,45.28,45.4,44.79,45.34,31.429,21347910
2010-04-06,45.23,45.94,45.15,45.84,31.7755,28197600
2010-04-07,45.83,46.0467,45.02,45.32,31.4151,28895471
2010-04-08,45.16,45.97,44.81,45.76,31.7201,28875020
2010-04-09,45.88,46.22,45.45,45.98,31.8726,22889920
2010-04-12,46.03,46.47,45.9,46.14,31.9835,24645850
2010-04-13,46.04,46.38,45.85,45.87,31.7963,27988830
2010-04-14,47.4,47.93,46.78,47.73,33.0857,72533039
2010-04-15,47.65,48.2,47.49,47.81,33.1411,45420969
2010-04-16,47.67,47.75,45.14,45.55,31.5745,121206602
2010-04-19,45.23,45.7,44.59,45.39,31.4636,72141906
2010-04-20,45.77,46.15,45.56,45.88,31.8033,39314078
2010-04-21,46.04,46.39,45.0,45.35,31.4359,46327727
2010-04-22,44.91,45.1225,44.03,44.74,31.013,63176887
2010-04-23,44.73,45.07,44.25,44.94,31.1517,32489170
2010-04-26,44.78,44.81,43.73,43.89,30.4238,42889273
2010-04-27,43.48,44.37,42.3,42.41,29.3979,66296078
2010-04-28,42.84,43.7099,42.78,43.46,30.1258,48583711
2010-04-29,43.89,44.33,43.595,44.0,30.5001,36520238
2010-04-30,44.02,44.05,42.23,42.58,29.5158,54121059
2010-05-03,42.97,43.73,42.89,43.53,30.1743,31230801
2010-05-04,42.97,43.36,42.25,42.47,29.4395,48990391
2010-05-05,42.11,43.37,41.62,42.63,29.5504,43062031
2010-05-06,42.63,42.78,39.29,40.81,28.2888,78226203
2010-05-07,41.03,41.84,39.78,40.76,28.2542,72976273
