date,open,high,low,close,adjusted_close,volume
2010-01-04,4.5935,4.6917,4.5404,4.6853,0.9847,1199699
2010-01-05,4.6627,4.6966,4.6128,4.6305,0.9731,957019
2010-01-06,4.6531,4.74,4.6338,4.7336,0.9948,2014598
2010-01-07,4.6853,4.6949,4.6321,4.6821,0.984,2051249
2010-01-08,4.5967,4.6515,4.5871,4.6482,0.9769,1168269
2010-01-11,4.6402,4.6676,4.5404,4.6177,0.9704,1281603
2010-01-12,4.6032,4.6305,4.5372,4.542,0.9545,1352455
2010-01-13,4.5645,4.6032,4.5549,4.5822,0.963,727328
2010-01-14,4.5677,4.6108,4.5452,4.5887,0.9644,1044632
2010-01-15,4.5919,4.6032,4.5307,4.579,0.9623,2627110
2010-01-19,4.5484,4.5919,4.5404,4.5726,0.961,1356375
2010-01-20,4.5323,4.5774,4.4856,4.5629,0.9589,1451805
2010-01-21,4.5758,4.5838,4.4534,4.4679,0.939,2202087
2010-01-22,4.4357,4.4583,4.389,4.4051,0.9258,1273132
2010-01-25,4.4422,4.4422,4.3794,4.4051,0.9258,914725
2010-01-26,4.3874,4.4365,4.3552,4.4164,0.9281,855673
2010-01-27,4.4003,4.4389,4.3456,4.4277,0.9305,1216450
2010-01-28,4.4824,4.4921,4.414,4.4454,0.9342,1199960
2010-01-29,4.4422,4.5082,4.4196,4.4534,0.9359,1397803
2010-02-01,4.4824,4.4937,4.4406,4.476,0.9407,826769
2010-02-02,4.4728,4.5291,4.4679,4.5178,0.9495,993019
2010-02-03,4.5066,4.5484,4.4789,4.5178,0.9495,1106643
2010-02-04,4.484,4.4969,4.3117,4.3214,0.9082,1713739
2010-02-05,4.3037,4.3697,4.2473,4.3633,0.917,2351067
2010-02-08,4.3439,4.3906,4.3182,4.3214,0.9082,1045144
2010-02-09,4.3536,4.3673,4.2884,4.3246,0.9088,1518030
2010-02-10,4.3166,4.3326,4.2634,4.3214,0.9082,1727777
2010-02-11,4.3166,4.3947,4.2763,4.3745,0.9193,1522273
2010-02-12,4.3375,4.3697,4.3005,4.36,0.9163,1553083
2010-02-16,4.3842,4.4341,4.3488,4.418,0.9285,1673776
2010-02-17,4.4148,4.6225,4.41,4.6032,0.9674,3933331
2010-02-18,4.5903,4.6982,4.5903,4.6917,0.986,1555049
2010-02-19,4.6676,4.7054,4.6515,4.6579,0.9789,1825369
2010-02-22,4.6515,4.6772,4.5855,4.6128,0.9694,1286746
2010-02-23,4.6016,4.6193,4.542,4.5758,0.9616,1226228
2010-02-24,4.6032,4.6193,4.5581,4.6128,0.9694,1810996
2010-02-25,5.025,5.1554,4.8914,5.1248,1.077,12704353
2010-02-26,5.0411,5.157,4.9831,5.1119,1.0743,3313482
2010-03-01,5.1361,5.1812,5.0153,5.0202,1.055,2578537
2010-03-02,5.0395,5.1087,5.0379,5.0717,1.0659,2563568
2010-03-03,5.083,5.1522,5.0701,5.0958,1.0709,2333605
2010-03-04,5.1087,5.1747,5.0926,5.1441,1.0811,3293350
2010-03-05,5.1651,5.2246,5.145,5.2085,1.0946,2495326
2010-03-08,5.2166,5.3213,5.178,5.2891,1.1115,3385382
2010-03-09,5.2665,5.4629,5.2552,5.3889,1.1325,3405136
2010-03-10,5.3953,5.4501,5.3535,5.4179,1.1386,3696013
2010-03-11,5.5451,5.6739,5.5241,5.64,1.1853,6037186
2010-03-12,5.669,5.6883,5.6215,5.6304,1.1833,1689731
2010-03-15,5.6996,5.7479,5.593,5.6272,1.1826,3033994
2010-03-16,5.7077,5.8896,5.6835,5.8719,1.234,4579494
2010-03-17,5.925,5.925,5.8477,5.9057,1.2411,2607240
2010-03-18,5.9057,5.9669,5.8526,5.9041,1.2731,3296459
2010-03-19,5.9073,5.9331,5.8043,5.8252,1.2561,3731343
2010-03-22,5.8268,5.946,5.8155,5.925,1.2776,2465050
2010-03-23,5.9073,5.9524,5.8381,5.888,1.2697,2099141
2010-03-24,5.896,5.896,5.7978,5.8494,1.2613,2308903
2010-03-25,5.9121,5.917,5.8091,5.8172,1.2544,2282978
2010-03-26,5.8461,5.859,5.7012,5.764,1.2429,2726011
2010-03-29,5.7914,5.7946,5.7254,5.7383,1.2374,1904249
2010-03-30,5.7576,5.7978,5.6916,5.7366,1.237,1647303
2010-03-31,5.7447,5.7447,5.6545,5.6626,1.2211,1651822
2010-04-01,5.6739,5.7222,5.661,5.7125,1.2318,2631925
2010-04-05,5.7463,5.785,5.6972,5.7109,1.2315,2168491
2010-04-06,5.6819,5.7302,5.6658,5.7077,1.2308,1820345
2010-04-07,5.7189,5.7189,5.6272,5.6272,1.2134,2277329
2010-04-08,5.6175,5.7125,5.5805,5.6706,1.2228,1994707
2010-04-09,5.6722,5.6722,5.6175,5.6594,1.2204,1775557
2010-04-12,5.6739,5.6803,5.6159,5.6384,1.2158,1434075
2010-04-13,5.6497,5.6528,5.5982,5.6143,1.2106,1454579
2010-04-14,5.6191,5.6545,5.5837,5.595,1.2065,2084409
