date,open,high,low,close,adjusted_close,volume
2010-01-04,13.62,13.88,13.56,13.66,7.149,6263728
2010-01-05,13.58,13.72,13.41,13.59,7.1123,5996162
2010-01-06,13.59,13.76,13.51,13.65,7.1437,6165591
2010-01-07,13.58,14.14,13.58,14.11,7.3845,6926148
2010-01-08,14.05,14.18,13.78,13.93,7.2903,5636970
2010-01-11,14.06,14.17,13.88,14.13,7.3949,5671368
2010-01-12,13.75,14.06,13.67,13.74,7.1908,9849361
2010-01-13,13.72,14.39,13.68,14.19,7.4263,7826270
2010-01-14,14.11,14.19,13.795,13.97,7.3112,5803021
2010-01-15,13.88,13.99,13.54,13.62,7.128,7875047
2010-01-19,13.37,13.86,13.33,13.81,7.2275,8136858
2010-01-20,13.65,13.67,13.4,13.61,7.1228,7683417
2010-01-21,13.67,13.75,13.25,13.27,6.9449,9368318
2010-01-22,13.28,13.53,12.96,13.04,6.8245,9154054
2010-01-25,13.28,13.28,12.8,13.05,6.8297,6171286
2010-01-26,12.98,13.1,12.79,12.84,6.7198,6221918
2010-01-27,12.85,12.9,12.52,12.83,6.7146,7591468
2010-01-28,12.99,12.99,12.4,12.59,6.589,6152797
2010-01-29,12.69,12.84,12.46,12.62,6.6047,7352993
2010-02-01,12.72,12.93,12.655,12.93,6.7669,4493865
2010-02-02,12.95,13.09,12.76,13.01,6.8088,5560257
2010-02-03,12.97,13.07,12.54,12.66,6.6256,5976813
2010-02-04,12.57,12.91,12.49,12.66,6.6256,13464870
2010-02-05,12.66,13.19,12.63,12.97,6.7879,12127810
2010-02-08,12.95,13.11,12.58,12.6,6.5942,6487090
2010-02-09,12.75,12.89,12.555,12.8,6.6989,10004940
2010-02-10,12.83,13.0,12.5,12.76,6.678,3429027
2010-02-11,12.78,12.85,12.54,12.73,6.6623,5017652
2010-02-12,12.63,12.84,12.5,12.82,6.7094,4772837
2010-02-16,12.95,13.26,12.88,13.23,6.9239,4421910
2010-02-17,13.33,13.57,13.23,13.42,7.0234,4424423
2010-02-18,13.34,13.86,13.34,13.74,7.1908,5190970
2010-02-19,13.7,13.79,13.49,13.71,7.1751,4500364
2010-02-22,13.7,13.8,13.59,13.64,7.1385,3401087
2010-02-23,13.57,13.68,13.38,13.44,7.0338,4255509
2010-02-24,13.51,13.8,13.44,13.8,7.2222,4363715
2010-02-25,13.61,14.01,13.48,13.95,7.3007,4946272
2010-02-26,13.98,14.09,13.88,13.89,7.2693,8049831
2010-03-01,13.95,14.1,13.87,14.0,7.3269,5629913
2010-03-02,14.07,14.12,13.94,14.02,7.3374,6764327
2010-03-03,14.0,14.14,13.89,14.0,7.3269,5604520
2010-03-04,14.05,14.09,13.935,14.04,7.3478,4368258
2010-03-05,14.13,14.66,14.01,14.61,7.6462,5533636
2010-03-08,14.61,14.85,14.6,14.75,7.7194,3082554
2010-03-09,14.69,14.93,14.54,14.68,7.6828,4133589
2010-03-10,14.75,14.87,14.57,14.75,7.7194,3404704
2010-03-11,14.69,14.95,14.56,14.93,7.8136,3014597
2010-03-12,15.01,15.2,14.96,15.12,7.9131,2874399
2010-03-15,15.02,15.19,14.86,15.09,7.8974,3570151
2010-03-16,15.17,15.625,15.11,15.57,8.1486,5046082
2010-03-17,15.63,16.05,15.55,15.9,8.3213,4893092
2010-03-18,15.91,15.91,15.6,15.64,8.1852,5784836
2010-03-19,15.61,15.76,15.45,15.57,8.1486,5360945
2010-03-22,15.48,15.85,15.36,15.79,8.2637,3762986
2010-03-23,15.84,15.9,15.54,15.69,8.2114,5477495
2010-03-24,15.64,15.99,15.62,15.88,8.3108,4129490
2010-03-25,15.99,16.44,15.98,16.06,8.405,4768642
2010-03-26,16.1,16.23,15.88,16.1,8.4259,5636186
2010-03-29,16.19,16.21,15.94,16.16,8.4573,4428723
2010-03-30,16.17,16.21,15.965,16.04,8.3945,5245829
2010-03-31,15.89,15.935,15.63,15.64,8.2673,6897983
2010-04-01,15.79,15.88,15.58,15.74,8.3202,5960635
2010-04-05,15.75,16.13,15.74,16.06,8.4893,6218495
2010-04-06,16.0,16.55,15.94,16.53,8.7378,5386725
2010-04-07,16.47,16.55,15.92,15.99,8.4523,6464856
2010-04-08,15.96,16.22,15.87,16.09,8.5052,5031531
2010-04-09,16.15,16.47,16.09,16.4,8.669,5508770
2010-04-12,16.42,16.51,16.16,16.16,8.5422,4679182
2010-04-13,16.15,16.59,16.15,16.5,8.7219,5268728
2010-04-14,16.66,16.72,16.23,16.29,8.6109,6227514
2010-04-15,16.28,16.3,15.58,15.65,8.2726,7215640
2010-04-16,15.59,15.77,15.11,15.13,7.9977,11120900
2010-04-19,15.01,15.31,14.81,15.15,8.0083,10497770
2010-04-20,15.34,15.34,14.92,15.12,7.9924,9806706
2010-04-21,15.11,15.51,15.06,15.31,8.0929,7471695
2010-04-22,15.18,15.77,15.05,15.7,8.299,5520506
2010-04-23,15.75,15.91,15.57,15.75,8.3255,4559453
2010-04-26,15.75,16.14,15.75,15.91,8.41,4692749
2010-04-27,15.76,16.0,15.34,15.36,8.1193,5839120
2010-04-28,15.54,15.7,15.32,15.49,8.188,5330829
2010-04-29,15.64,16.3,15.64,16.29,8.6109,5965124
2010-04-30,16.21,16.48,15.57,15.59,8.2409,6446720
2010-05-03,15.76,16.18,15.74,16.11,8.5157,5866674
2010-05-04,15.88,16.01,15.47,15.7,8.299,7613763
2010-05-05,15.4,15.67,15.14,15.3,8.0876,5199514
2010-05-06,15.21,15.66,13.71,15.05,7.9554,12436700
2010-05-07,15.11,15.66,14.65,15.01,7.9343,9778622
2010-05-10,15.86,16.39,15.81,16.35,8.6426,10292570
2010-05-11,16.08,16.59,15.87,16.4,8.669,8575032
2010-05-12,16.49,16.71,16.36,16.6,8.7748,5662966
2010-05-13,16.55,16.65,16.17,16.2,8.5633,6268285
2010-05-14,15.92,16.06,15.57,15.73,8.3149,7947144
2010-05-17,15.74,16.13,15.2,15.6,8.2462,7714398
2010-05-18,15.83,15.99,14.97,15.03,7.9449,6703315
2010-05-19,14.94,15.37,14.33,14.69,7.7651,7038442
2010-05-20,14.35,14.44,13.78,13.8,7.2947,9101182
