date,open,high,low,close,adjusted_close,volume
2010-01-04,20.53,20.65,20.44,20.48,7.8572,12718800
2010-01-05,20.5,20.55,20.17,20.24,7.7652,19904000
2010-01-06,20.24,20.34,20.01,20.25,7.769,25134000
2010-01-07,20.25,20.47,20.07,20.45,7.8457,21133400
2010-01-08,20.46,20.46,20.12,20.26,7.7728,20974200
2010-01-11,20.22,20.38,20.14,20.34,7.8035,14955600
2010-01-12,20.46,20.93,20.4,20.71,7.9455,21871200
2010-01-13,20.81,20.9,20.22,20.63,7.9148,17547800
2010-01-14,20.56,20.7,20.45,20.63,7.9148,13050000
2010-01-15,20.65,20.72,20.49,20.72,7.9493,16530400
2010-01-19,20.67,21.11,20.65,21.09,8.0913,17032000
2010-01-20,21.03,21.64,20.88,21.59,8.2831,24235600
2010-01-21,21.49,21.83,21.41,21.52,8.2562,29565400
2010-01-22,21.45,21.96,21.35,21.77,8.3521,28954000
2010-01-25,21.81,21.91,21.66,21.82,8.3713,19007800
2010-01-26,21.64,21.84,21.53,21.6,8.2869,14440800
2010-01-27,21.61,21.75,21.27,21.53,8.2601,15561000
2010-01-28,21.31,21.69,21.24,21.34,8.1872,11232400
2010-01-29,21.35,21.61,21.32,21.43,8.2217,14122200
2010-02-01,21.53,21.7,21.4,21.49,8.2447,12513800
2010-02-02,21.55,21.75,21.31,21.63,8.2984,14047400
2010-02-03,21.55,21.68,21.44,21.52,8.2562,13558600
2010-02-04,21.41,21.64,21.13,21.16,8.1181,21101000
2010-02-05,21.15,21.36,21.0,21.18,8.1258,15802000
2010-02-08,21.17,21.31,20.95,21.13,8.1066,12450600
2010-02-09,21.4,21.41,21.21,21.37,8.1987,10143600
2010-02-10,21.28,21.4,21.18,21.23,8.1813,9254800
2010-02-11,21.16,21.5,21.12,21.44,8.2623,11000000
2010-02-12,21.33,21.47,21.26,21.36,8.2314,9158200
2010-02-16,21.49,21.61,21.34,21.58,8.3162,8427600
2010-02-17,21.71,21.96,21.63,21.73,8.374,13549800
2010-02-18,21.61,22.06,21.56,22.0,8.4781,12215600
2010-02-19,21.9,22.15,21.87,22.09,8.5128,10295800
2010-02-22,22.08,22.27,22.0,22.1,8.5166,9430400
2010-02-23,22.04,22.12,21.63,21.69,8.3586,13706600
2010-02-24,21.71,21.92,21.56,21.89,8.4357,9683800
2010-02-25,21.58,22.42,21.3,22.31,8.5975,26174800
2010-02-26,22.25,22.39,22.1,22.1,8.5166,17161800
2010-03-01,22.18,22.47,22.02,22.41,8.6361,13523400
2010-03-02,22.47,22.82,22.44,22.68,8.7401,18667000
2010-03-03,22.11,22.62,22.04,22.53,8.6823,23363000
2010-03-04,22.56,22.72,22.46,22.69,8.744,8489800
2010-03-05,22.7,22.84,22.44,22.74,8.7632,11277000
2010-03-08,22.77,23.18,22.67,22.9,8.8249,25473800
2010-03-09,22.4,23.07,22.2,22.35,8.613,42406000
2010-03-10,22.37,22.52,22.05,22.15,8.5359,18987600
2010-03-11,22.14,22.24,21.69,21.78,8.3933,22206400
2010-03-12,21.83,22.33,21.8,22.27,8.5821,21034800
2010-03-15,22.3,22.34,22.07,22.3,8.5937,9080600
2010-03-16,22.27,22.45,22.21,22.29,8.5898,9968400
2010-03-17,22.39,22.52,22.27,22.44,8.6476,11505400
2010-03-18,22.4,22.47,22.23,22.24,8.5706,13277000
2010-03-19,21.64,22.24,21.49,21.64,8.3393,29720200
2010-03-22,21.7,21.7,21.25,21.33,8.2199,23742600
2010-03-23,21.29,21.53,21.29,21.39,8.243,15575800
2010-03-24,21.34,21.37,21.11,21.25,8.1891,17574600
2010-03-25,21.29,21.43,21.21,21.24,8.1852,12291600
2010-03-26,21.29,21.36,21.1,21.21,8.1736,10534400
2010-03-29,21.21,21.43,21.2,21.34,8.2237,9823400
2010-03-30,21.35,21.52,21.29,21.44,8.2623,12289000
2010-03-31,21.42,21.76,21.35,21.66,8.3471,14883000
2010-04-01,21.76,21.98,21.74,21.88,8.4318,15016800
2010-04-05,21.89,22.05,21.78,22.03,8.4896,10793400
2010-04-06,21.94,21.99,21.86,21.94,8.455,11033400
2010-04-07,21.95,22.38,21.94,22.25,8.5744,18735400
2010-04-08,22.15,22.46,21.98,22.38,8.6245,16610600
2010-04-09,22.32,22.54,22.2,22.54,8.6862,11292200
2010-04-12,22.6,22.66,22.36,22.53,8.6823,13937600
2010-04-13,22.44,22.72,22.42,22.67,8.7363,11088000
2010-04-14,22.58,23.15,22.56,23.14,8.9174,18410800
2010-04-15,23.05,23.44,22.92,23.4,9.0176,20191800
2010-04-16,23.26,23.76,23.26,23.64,9.1101,32814000
2010-04-19,23.61,23.71,23.28,23.5,9.0561,14851800
2010-04-20,23.5,23.65,23.31,23.41,9.0214,14302200
2010-04-21,23.4,23.56,23.36,23.5,9.0561,9097000
2010-04-22,23.43,23.75,23.17,23.68,9.1255,15794000
2010-04-23,23.7,23.73,23.45,23.7,9.1332,12156200
2010-04-26,23.65,23.75,23.42,23.59,9.0908,12406000
2010-04-27,23.46,23.53,22.9,22.91,8.8288,16521000
2010-04-28,23.0,23.19,22.91,23.09,8.8981,10020400
2010-04-29,23.17,23.25,22.46,22.5,8.6708,22914800
2010-04-30,22.57,22.66,22.21,22.23,8.5667,21303600
2010-05-03,22.28,22.86,22.28,22.74,8.7632,15496800
2010-05-04,22.59,22.83,22.54,22.6,8.7093,19637400
2010-05-05,22.52,22.78,22.44,22.55,8.69,20042400
2010-05-06,22.48,22.54,21.4,22.01,8.4819,20886800
2010-05-07,22.2,22.56,21.52,21.55,8.3047,31845600
2010-05-10,22.11,22.38,21.96,22.21,8.559,15047600
2010-05-11,22.1,22.47,22.07,22.16,8.5397,12728200
2010-05-12,22.14,22.32,21.96,22.12,8.561,16701400
2010-05-13,22.14,22.85,22.14,22.53,8.7197,20089400
2010-05-14,22.47,22.6,22.18,22.24,8.6075,16569800
2010-05-17,22.3,22.47,21.97,22.08,8.5455,22330600
2010-05-18,22.19,22.74,22.15,22.39,8.6655,18811800
2010-05-19,22.32,22.66,22.27,22.48,8.7004,15160400
2010-05-20,22.16,22.25,21.51,21.51,8.3249,19668800
2010-05-21,21.35,21.51,20.99,21.26,8.2282,25712200
2010-05-24,21.17,21.2,20.67,20.67,7.9998,24052400
2010-05-25,20.29,20.43,20.05,20.21,7.8218,34862800
2010-05-26,20.32,20.46,19.77,19.82,7.6709,42261200
2010-05-27,20.16,20.16,19.7,19.85,7.6825,32122200
2010-05-28,19.91,20.46,19.85,20.13,7.7908,28117600
2010-06-01,20.06,20.29,19.78,19.87,7.6902,15638800
2010-06-02,20.04,20.25,19.9,20.06,7.7637,13742000
2010-06-03,20.12,20.26,19.79,19.99,7.7367,14333600
2010-06-04,19.75,19.88,19.26,19.32,7.4773,16951800
2010-06-07,19.31,19.44,19.15,19.16,7.4154,10124400
2010-06-08,19.21,19.65,19.08,19.64,7.6012,25429200
2010-06-09,19.82,19.91,19.41,19.52,7.5548,20980200
2010-06-10,19.73,19.95,19.56,19.77,7.6515,14964600
2010-06-11,19.58,20.13,19.58,19.99,7.7367,16544600
2010-06-14,19.96,20.08,19.7,19.72,7.6322,12479800
2010-06-15,19.76,20.39,19.72,20.38,7.8876,21834200
2010-06-16,20.29,20.37,19.9,20.08,7.7715,17633200
2010-06-17,21.25,21.44,20.59,20.75,8.0308,38285200
2010-06-18,20.33,20.68,19.98,20.06,7.7637,25155000
2010-06-21,20.26,20.26,19.82,19.91,7.7057,18130000
2010-06-22,19.85,20.32,19.85,20.18,7.8102,23179400
2010-06-23,20.15,20.45,19.94,20.26,7.8412,16152000
2010-06-24,20.12,20.46,20.06,20.16,7.8025,19347600
2010-06-25,20.14,20.31,20.0,20.23,7.8295,27163400
2010-06-28,20.13,20.38,19.93,20.27,7.845,14428800
2010-06-29,20.05,20.15,19.67,19.81,7.667,23995000
2010-06-30,19.76,19.91,19.6,19.69,7.6205,20382200
2010-07-01,19.83,20.15,19.57,20.01,7.7444,26348200
2010-07-02,20.03,20.04,19.7,19.86,7.6863,12946600
2010-07-06,20.05,20.3,19.79,20.02,7.7483,21992000
2010-07-07,20.08,20.51,19.91,20.45,7.9147,18497400
2010-07-08,20.47,20.6,20.27,20.52,7.9418,10789200
2010-07-09,20.56,20.62,20.27,20.46,7.9186,9844000
2010-07-12,20.46,20.52,20.29,20.47,7.9224,10669200
2010-07-13,20.6,20.82,20.43,20.77,8.0385,20162800
2010-07-14,20.9,20.9,20.51,20.73,8.0231,13852200
2010-07-15,20.75,20.87,20.55,20.79,8.0463,16595200
2010-07-16,20.77,20.8,20.32,20.37,7.8837,14136600
2010-07-19,20.41,20.48,20.06,20.1,7.7792,15563600
2010-07-20,19.96,20.52,19.96,20.49,7.9302,21216600
2010-07-21,20.5,20.89,20.39,20.62,7.9805,21317000
2010-07-22,20.56,20.73,20.18,20.43,7.9069,29499200
2010-07-23,20.31,20.84,20.3,20.8,8.0501,20906400
2010-07-26,20.9,21.14,20.71,21.13,8.1779,14438400
2010-07-27,21.17,21.38,21.0,21.28,8.2359,12701800
2010-07-28,21.22,21.3,20.94,21.02,8.1353,10375600
2010-07-29,21.06,21.28,20.97,21.15,8.1856,12692200
2010-07-30,21.0,21.27,21.0,21.18,8.1972,8429600
2010-08-02,21.38,21.55,21.29,21.38,8.2746,21101800
2010-08-03,21.27,21.72,21.2,21.58,8.352,12109000
2010-08-04,21.68,21.84,21.51,21.77,8.4256,11447800
2010-08-05,21.7,22.13,21.58,21.99,8.5107,13125600
2010-08-06,21.84,22.22,21.75,22.2,8.592,19683200
2010-08-09,22.23,22.39,22.12,22.19,8.5881,10217600
2010-08-10,22.07,22.5,21.95,22.43,8.681,13816000
2010-08-11,22.11,22.21,21.98,22.01,8.5185,9815400
2010-08-12,21.76,22.05,21.61,21.94,8.5282,9889800
2010-08-13,21.85,22.02,21.65,22.0,8.5515,9444800
2010-08-16,21.99,22.04,21.86,21.92,8.5204,8775600
2010-08-17,21.99,22.13,21.87,22.03,8.5632,7532000
2010-08-18,21.84,21.84,21.18,21.4,8.3183,18369000
2010-08-19,21.34,21.37,20.98,21.09,8.1978,13039800
2010-08-20,20.92,21.18,20.91,21.13,8.2133,7882400
2010-08-23,21.28,21.39,20.91,20.91,8.1278,12025200
2010-08-24,20.71,20.85,20.47,20.54,7.984,10781000
2010-08-25,20.45,20.77,20.37,20.69,8.0423,6946800
2010-08-26,20.7,20.75,20.33,20.36,7.914,8300400
2010-08-27,20.47,20.49,20.18,20.33,7.9024,10725600
2010-08-30,20.3,20.35,19.92,19.92,7.743,9734200
2010-08-31,20.0,20.0,19.67,19.73,7.6691,10325000
2010-09-01,19.91,20.24,19.84,20.06,7.7974,11108400
2010-09-02,20.07,20.4,20.06,20.38,7.9218,7221400
2010-09-03,20.44,20.69,20.3,20.69,8.0423,8867600
2010-09-07,20.68,20.84,20.6,20.7,8.0462,10046800
2010-09-08,20.69,20.87,20.57,20.7,8.0462,11324200
2010-09-09,20.96,21.15,20.85,21.01,8.1667,11644400
2010-09-10,21.0,21.38,21.0,21.25,8.26,14243400
2010-09-13,21.4,21.4,20.93,21.04,8.1783,11989400
2010-09-14,21.62,21.93,21.26,21.26,8.2638,20311400
2010-09-15,21.19,21.57,21.17,21.49,8.3533,9586200
2010-09-16,21.48,21.97,21.42,21.88,8.5048,16643600
2010-09-17,22.0,22.14,21.61,21.79,8.4699,16692000
2010-09-20,21.79,21.9,21.49,21.88,8.5048,13397200
2010-09-21,21.87,21.87,21.54,21.6,8.396,9280400
2010-09-22,21.61,21.75,21.45,21.62,8.4038,10154400
2010-09-23,21.44,22.0,21.42,21.87,8.501,12030400
2010-09-24,22.01,22.29,21.95,22.09,8.5865,8724000
2010-09-27,22.01,22.07,21.89,21.92,8.5204,10280000
2010-09-28,21.98,22.0,21.59,21.88,8.5048,12804200
2010-09-29,21.83,21.84,21.53,21.63,8.4077,11561400
2010-09-30,21.8,21.93,21.52,21.66,8.4193,11982800
2010-10-01,21.86,21.86,21.53,21.72,8.4427,10960200
2010-10-04,21.72,21.72,21.3,21.36,8.3027,11807000
2010-10-05,21.44,21.77,21.36,21.37,8.3066,19230000
2010-10-06,21.35,21.46,21.22,21.22,8.2483,14023200
2010-10-07,21.3,21.37,21.18,21.32,8.2872,16400400
2010-10-08,21.3,21.4,21.1,21.29,8.2755,13852600
2010-10-11,21.25,21.64,21.21,21.59,8.3921,11113200
2010-10-12,21.54,21.71,21.43,21.69,8.431,9584200
2010-10-13,21.74,22.11,21.7,22.01,8.5554,13812000
2010-10-14,21.96,22.37,21.88,22.15,8.6098,17462600
2010-10-15,22.21,22.3,22.0,22.01,8.5554,12814200
2010-10-18,22.01,22.31,21.93,22.19,8.6253,12335600
2010-10-19,21.88,21.94,21.37,21.42,8.326,18631400
2010-10-20,21.47,21.87,21.41,21.76,8.4582,9957600
2010-10-21,21.77,21.86,21.56,21.75,8.4543,8722200
2010-10-22,21.73,21.92,21.65,21.8,8.4737,8005800
2010-10-25,21.83,21.97,21.75,21.76,8.4582,7496600
2010-10-26,21.74,22.19,21.67,22.07,8.5787,12726800
2010-10-27,21.87,22.22,21.73,22.2,8.6292,11595800
2010-10-28,22.21,22.25,21.94,22.17,8.6176,12074200
2010-10-29,22.15,22.18,21.96,22.0,8.5515,10965200
2010-11-01,22.05,22.26,21.85,22.01,8.5554,6458200
2010-11-02,22.21,22.64,22.07,22.54,8.7614,13170000
2010-11-03,22.61,22.82,22.48,22.75,8.843,10550800
2010-11-04,23.06,23.47,23.0,23.21,9.0218,14492000
2010-11-05,23.24,23.25,22.85,23.11,8.983,9535600
2010-11-08,22.99,23.07,22.66,22.71,8.8275,10252400
2010-11-09,22.8,22.97,22.55,22.72,8.8314,11691800
2010-11-10,22.6,22.88,22.54,22.66,8.8489,9651200
2010-11-11,22.52,22.65,22.4,22.65,8.845,6341800
