date,open,high,low,close,adjusted_close,volume
2023-05-04,25.53,26.98,25.25,26.9,26.1274,77004200
2023-05-05,26.66,27.03,26.21,26.5,25.7389,11289900
2023-05-08,26.33,26.85,25.91,26.51,25.7486,6308300
2023-05-09,26.51,26.84,26.07,26.28,25.5252,4684000
2023-05-10,26.28,26.77,26.01,26.25,25.4961,9602400
2023-05-11,26.03,26.33,26.0,26.0,25.2533,5687300
2023-05-12,26.02,26.62,25.9,26.5,25.7389,5433500
2023-05-15,26.5,27.795,26.5,27.5,26.7102,7083200
2023-05-16,27.54,27.77,26.99,27.03,26.2537,3818400
2023-05-17,27.3,27.7,26.6,27.22,26.4382,3392200
2023-05-18,27.22,27.35,26.7,27.04,26.2634,2648100
2023-05-19,27.04,27.259,26.69,27.23,26.448,1794300
2023-05-22,27.33,27.43,25.96,26.07,25.3213,7509400
2023-05-23,26.01,26.26,25.81,26.0,25.2533,2485000
2023-05-24,26.01,26.55,25.86,26.45,25.6904,1953600
2023-05-25,26.5,26.64,25.9,26.33,25.5738,2139400
2023-05-26,26.43,26.43,26.2,26.3,25.5447,844100
2023-05-30,26.28,26.5,25.13,25.73,24.991,6340200
2023-05-31,25.62,25.62,24.99,25.09,24.3694,6347800
2023-06-01,25.3,25.64,24.75,25.28,24.554,6072700
2023-06-02,25.26,25.7,24.97,25.55,24.8162,2329400
2023-06-05,25.58,25.77,24.83,25.15,24.4277,4737300
2023-06-06,25.0,25.39,24.9,25.17,24.4471,1315000
2023-06-07,25.1,25.255,24.91,25.08,24.3597,1626600
2023-06-08,24.99,25.16,24.81,25.11,24.3888,2711800
2023-06-09,25.05,25.16,24.85,25.1,24.3791,1874000
2023-06-12,25.01,25.2,24.75,25.02,24.3014,2619800
2023-06-13,24.99,25.22,24.96,25.13,24.4083,2039800
2023-06-14,25.13,25.49,25.12,25.34,24.6122,2412000
2023-06-15,25.4,25.95,25.18,25.75,25.0105,1442900
2023-06-16,25.85,26.26,25.7,26.25,25.4961,2333000
2023-06-20,25.95,26.38,25.94,26.06,25.3116,1487500
