date,open,high,low,close,adjusted_close,volume
2010-01-04,36.8,37.29,36.59,37.18,34.3631,2210829
2010-01-05,37.22,37.42,36.77,37.38,34.548,1975523
2010-01-06,37.39,37.7,37.11,37.64,34.7883,1324273
2010-01-07,37.53,38.01,37.28,37.92,35.0471,1979344
2010-01-08,37.73,37.9481,37.62,37.89,35.0194,1159309
2010-01-11,38.18,38.18,37.7,37.92,35.0471,1390526
2010-01-12,37.66,37.94,37.5,37.62,34.7698,1565391
2010-01-13,37.73,38.01,37.51,37.92,35.0471,1566061
2010-01-14,37.75,38.02,37.57,37.91,35.0378,1279528
2010-01-15,37.73,37.87,37.03,37.21,34.3909,1678523
2010-01-19,37.08,38.18,37.07,38.16,35.2689,2078245
2010-01-20,37.96,38.04,37.31,37.6,34.7513,2015802
2010-01-21,38.41,38.41,36.81,37.19,34.3724,2503429
2010-01-22,36.92,37.28,35.68,35.73,33.023,2884338
2010-01-25,36.16,36.44,35.91,36.09,33.3557,1754824
2010-01-26,35.96,36.68,35.95,36.04,33.3095,1808678
2010-01-27,35.93,36.44,35.82,36.38,33.6238,2365411
2010-01-28,36.54,36.6595,35.46,35.93,33.2078,1755065
2010-01-29,36.1,36.52,35.66,35.77,33.06,2594767
2010-02-01,35.89,36.47,35.86,36.41,33.6515,1740012
2010-02-02,36.4,37.08,36.24,37.06,34.2522,1625719
2010-02-03,36.83,36.95,36.54,36.63,33.8548,982473
2010-02-04,36.42,36.5,35.32,35.33,32.6533,2979114
2010-02-05,35.32,35.47,34.59,35.37,32.6903,3097419
2010-02-08,35.01,35.52,34.24,34.76,32.1265,2513070
2010-02-09,35.13,35.44,34.85,35.22,32.5516,2060884
2010-02-10,35.14,35.34,34.81,35.03,32.376,2185501
2010-02-11,35.04,35.23,34.6,35.21,32.5424,2099304
2010-02-12,34.9,35.25,34.24,35.17,32.5054,3247129
2010-02-16,35.54,36.13,35.39,36.12,33.3835,2151758
2010-02-17,36.23,36.49,35.89,36.17,33.4297,1523971
2010-02-18,35.98,36.54,35.98,36.44,33.6792,1291911
2010-02-19,36.32,36.71,36.11,36.55,33.7809,1423895
2010-02-22,36.7,36.77,36.55,36.7,33.9195,1160678
2010-02-23,36.58,36.64,35.99,36.06,33.328,2003203
2010-02-24,36.1,36.65,36.09,36.62,33.8456,1755952
2010-02-25,36.06,36.69,35.75,36.66,33.9405,1871392
2010-02-26,36.62,36.71,36.26,36.46,33.7553,1961399
2010-03-01,36.61,37.1,36.55,37.02,34.2738,1600699
2010-03-02,37.14,37.33,36.94,37.19,34.4312,1260017
2010-03-03,37.24,37.4,37.0,37.05,34.3015,1562936
2010-03-04,37.09,37.26,36.84,37.14,34.3849,2347923
2010-03-05,37.36,37.66,37.16,37.5,34.7182,2278220
2010-03-08,37.57,37.7,37.41,37.54,34.7552,1510715
2010-03-09,37.46,37.6,37.26,37.44,34.6626,1645219
2010-03-10,37.46,37.68,37.4,37.53,34.7459,2600606
2010-03-11,37.36,37.71,37.32,37.7,34.9033,1366616
2010-03-12,37.82,38.1,37.445,37.56,34.7737,1765561
2010-03-15,37.38,37.57,37.08,37.4,34.6256,2110451
2010-03-16,37.44,37.62,37.33,37.62,34.8293,1606832
2010-03-17,37.8,37.85,37.5,37.6,34.8107,2163787
2010-03-18,37.6,37.62,37.35,37.45,34.6719,2299523
2010-03-19,37.5,37.55,37.04,37.17,34.4126,3368994
2010-03-22,37.01,37.29,36.845,37.14,34.3849,1676174
2010-03-23,37.13,37.47,37.06,37.47,34.6904,1250726
2010-03-24,37.26,37.52,37.12,37.25,34.4867,1636199
2010-03-25,37.44,37.58,37.1,37.1,34.3478,1638443
2010-03-26,37.11,37.35,37.0,37.24,34.4774,2075520
2010-03-29,37.36,37.46,37.25,37.36,34.5885,2194917
2010-03-30,37.3,37.4,37.115,37.23,34.4682,1729702
2010-03-31,37.05,37.5,37.05,37.28,34.5145,2989476
2010-04-01,37.48,37.89,37.4,37.87,35.0607,1904208
2010-04-05,37.96,38.46,37.83,38.44,35.5884,1806431
2010-04-06,38.19,38.4,38.06,38.28,35.4403,1520988
2010-04-07,38.14,38.3001,37.84,38.06,35.2366,2236715
2010-04-08,37.98,38.07,37.76,38.04,35.2181,1848503
2010-04-09,38.07,38.48,38.0,38.44,35.5884,2032627
2010-04-12,38.37,38.66,38.32,38.46,35.6069,1086524
2010-04-13,38.45,38.55,38.22,38.5,35.644,1323051
2010-04-14,38.8,38.93,38.5,38.93,36.0421,1678627
2010-04-15,38.8,38.94,38.67,38.81,35.931,1340465
2010-04-16,38.48,38.71,37.75,37.8,34.9959,3519907
2010-04-19,37.56,38.2,37.49,38.2,35.3662,1979419
2010-04-20,38.47,38.68,38.36,38.67,35.8014,1305013
2010-04-21,38.63,38.7,38.19,38.57,35.7088,1738365
2010-04-22,38.26,38.41,37.65,38.03,35.2088,2654671
2010-04-23,37.93,38.37,37.81,38.37,35.5236,1902898
2010-04-26,38.26,38.56,38.26,38.5,35.644,2308208
2010-04-27,38.21,38.24,37.31,37.38,34.6071,3184010
2010-04-28,37.68,37.76,37.1,37.26,34.496,4462572
2010-04-29,37.63,38.01,37.42,37.82,35.0144,2616388
2010-04-30,37.74,37.87,37.0,37.24,34.4774,2763469
2010-05-03,39.0,39.47,37.07,37.44,34.6626,2674795
2010-05-04,37.05,37.06,35.87,36.06,33.385,3107512
2010-05-05,35.63,36.16,35.48,35.83,33.172,2644980
2010-05-06,35.66,36.07,32.71,33.92,31.4037,6027691
2010-05-07,33.98,34.62,33.3,33.6,31.1075,5822854
2010-05-10,35.17,35.23,34.14,34.98,32.3851,4126246
2010-05-11,34.56,35.37,34.51,34.92,32.3295,2645174
2010-05-12,34.98,35.42,34.9,35.36,32.7369,2060766
2010-05-13,35.19,35.35,34.85,34.89,32.3018,1944139
2010-05-14,34.72,34.73,33.9,34.1,31.5704,3338546
2010-05-17,34.1,34.55,33.34,33.94,31.4222,4256046
2010-05-18,34.29,34.44,33.145,33.19,30.7279,3996512
2010-05-19,33.04,33.5,32.54,33.12,30.6631,3299086
2010-05-20,32.3,32.53,31.31,31.31,28.9873,5297767
2010-05-21,30.84,31.99,30.52,31.97,29.5984,5209044
2010-05-24,31.83,32.12,31.36,31.39,29.0614,2775233
2010-05-25,30.51,31.54,30.22,31.49,29.154,4214242
2010-05-26,31.83,31.97,31.38,31.48,29.1447,4753077
2010-05-27,31.98,33.01,31.98,32.97,30.5849,3497025
2010-05-28,32.89,32.9,32.27,32.51,30.1582,4443525
2010-06-01,32.23,32.51,31.85,31.87,29.5645,5320446
2010-06-02,31.99,32.63,31.96,32.63,30.2695,3865638
2010-06-03,32.7,32.72,32.2,32.55,30.1953,3026518
2010-06-04,31.86,32.3,31.49,31.6,29.314,4459885
2010-06-07,31.77,31.83,31.2725,31.34,29.0728,4437251
2010-06-08,31.52,31.52,30.54,31.3,29.0357,5850151
2010-06-09,31.57,31.94,31.0,31.12,28.8688,3815844
2010-06-10,31.61,32.47,31.61,32.43,30.084,2953734
2010-06-11,32.09,32.58,31.91,32.55,30.1953,2733167
2010-06-14,32.76,33.27,32.57,32.74,30.3716,3657750
2010-06-15,33.15,33.68,32.81,33.65,31.2157,2309484
2010-06-16,33.44,33.78,33.32,33.69,31.2528,2727894
2010-06-17,33.86,33.88,33.42,33.87,31.4198,2652415
2010-06-18,33.93,34.03,33.79,33.9,31.4476,2149584
2010-06-21,34.24,34.61,33.57,33.77,31.3271,1679758
2010-06-22,33.84,34.155,33.72,33.76,31.3178,4646026
2010-06-23,33.73,33.84,33.34,33.68,31.2436,3047994
2010-06-24,33.45,33.685,33.27,33.35,30.9374,3823505
2010-06-25,33.54,33.93,33.2,33.88,31.4291,4324981
2010-06-28,34.01,34.03,33.59,33.69,31.2528,2656616
2010-06-29,33.29,33.3324,32.92,33.26,30.8539,6489825
2010-06-30,33.18,33.59,33.14,33.31,30.9003,5297283
2010-07-01,33.37,33.68,32.95,33.65,31.2157,6612086
2010-07-02,33.82,33.98,33.21,33.57,31.1415,4788517
2010-07-06,33.91,34.15,33.525,33.86,31.4105,4911133
2010-07-07,33.96,35.01,33.85,34.98,32.4495,4355058
2010-07-08,35.44,35.49,34.9,35.46,32.8948,2555155
2010-07-09,35.61,35.78,35.42,35.7,33.1174,2054111
2010-07-12,35.55,35.61,35.1,35.53,32.9597,3259766
2010-07-13,35.8,36.21,35.66,36.07,33.4607,2573170
2010-07-14,35.88,36.285,35.72,36.18,33.5627,2368314
2010-07-15,36.2,36.515,35.65,36.44,33.8039,2687295
2010-07-16,36.09,36.35,35.4,35.56,32.9876,3775326
2010-07-19,35.71,35.78,35.14,35.63,33.0525,2376750
2010-07-20,35.1,36.36,35.1,36.34,33.7111,2933313
2010-07-21,36.79,36.83,35.83,35.99,33.3865,3430164
2010-07-22,36.47,36.92,36.2798,36.88,34.2121,3199270
2010-07-23,36.86,37.21,36.58,37.17,34.4811,2263093
2010-07-26,37.28,37.38,36.91,37.13,34.444,2604616
2010-07-27,37.42,37.53,36.98,37.17,34.4811,2522852
2010-07-28,36.99,37.18,36.76,36.98,34.3048,2201846
2010-07-29,37.27,37.41,36.76,37.19,34.4996,2919539
2010-07-30,36.76,37.39,36.59,37.15,34.4625,2451496
2010-08-02,37.71,37.94,37.15,37.58,34.8614,3563328
2010-08-03,37.33,37.87,37.19,37.53,34.815,2389273
2010-08-04,37.53,38.185,37.53,38.05,35.2974,2564631
2010-08-05,37.79,38.37,37.61,38.2,35.4366,1961454
2010-08-06,37.76,38.12,37.45,37.98,35.2325,2224588
2010-08-09,38.19,38.55,37.99,38.55,35.7613,1566362
2010-08-10,38.13,38.3,37.72,37.95,35.2047,3010912
2010-08-11,37.4,37.58,36.99,37.0,34.3234,2548490
2010-08-12,36.58,37.145,36.4,36.9,34.2306,2100339
2010-08-13,36.84,37.36,36.84,37.05,34.3698,1616899
2010-08-16,36.83,36.94,36.68,36.88,34.2121,1657289
2010-08-17,37.27,37.83,37.14,37.49,34.7779,1931364
2010-08-18,37.43,37.44,37.06,37.09,34.4069,1932332
2010-08-19,36.9,36.9,36.48,36.54,33.8967,2610810
2010-08-20,36.27,36.44,36.05,36.29,33.6648,2088196
2010-08-23,36.36,36.51,35.86,35.86,33.2659,2036377
2010-08-24,35.44,35.66,35.32,35.35,32.7928,3177632
2010-08-25,35.28,35.345,34.86,35.25,32.7,3185784
2010-08-26,35.33,35.4,34.8,34.93,32.4031,2975927
2010-08-27,35.1,35.96,34.87,35.96,33.3586,2777758
