date,open,high,low,close,adjusted_close,volume
2010-01-04,21.1329,21.2996,20.9885,21.2329,27.2747,875117
2010-01-05,21.1996,21.3107,20.944,21.144,27.1605,984654
2010-01-06,21.3662,21.4329,21.1107,21.1996,27.2319,691447
2010-01-07,21.1662,21.2218,21.0551,21.2107,27.2462,506552
2010-01-08,21.1218,21.2107,21.0662,21.1773,27.2033,546910
2010-01-11,21.0885,21.1885,21.0662,21.1218,27.132,444974
2010-01-12,21.0662,21.1996,21.0218,21.144,27.1605,570012
2010-01-13,21.1662,21.1662,20.8329,21.0551,27.0464,1167754
2010-01-14,21.0662,21.1773,20.9773,21.1107,27.1177,1107399
2010-01-15,21.1107,21.2107,20.9773,20.9996,26.975,1431614
2010-01-19,20.9996,21.2329,20.9218,21.2329,27.2747,539351
2010-01-20,21.144,21.1662,20.944,20.9885,26.9607,601961
2010-01-21,20.9662,21.1885,20.7329,20.7773,26.6895,701823
2010-01-22,20.7773,20.944,20.4107,20.4551,26.2756,692796
2010-01-25,20.6329,20.744,20.4662,20.6885,26.5754,520045
2010-01-26,20.644,20.7329,20.2662,20.3885,26.19,635540
2010-01-27,20.3107,20.3774,20.2107,20.2996,26.0758,804543
2010-01-28,20.3107,20.4774,20.1774,20.3218,26.1044,688447
2010-01-29,20.3662,20.5551,20.2551,20.3662,26.1615,862748
2010-02-01,20.2774,20.6885,20.1218,20.6662,26.5468,878226
2010-02-02,20.6551,20.7107,20.4329,20.7107,26.6039,1067462
2010-02-03,20.6329,20.7662,20.5551,20.5885,26.4469,875985
2010-02-04,20.4218,20.6885,20.4218,20.5329,26.3755,1341219
2010-02-05,20.5218,20.7551,20.4107,20.7551,26.661,1548760
2010-02-08,20.7218,20.744,20.3774,20.3885,26.19,650169
2010-02-09,20.6329,20.6329,20.2885,20.5662,26.4184,633014
2010-02-10,20.4885,20.6329,20.4218,20.6218,26.4897,797654
2010-02-11,20.6551,20.744,20.3996,20.7329,26.6325,588423
2010-02-12,20.6218,20.8551,20.4885,20.8329,26.7609,657303
