date,open,high,low,close,adjusted_close,volume
2010-01-04,12.8057,13.0156,12.6458,13.0056,11.519,4494127
2010-01-05,12.9457,13.5954,12.7157,13.5455,11.9971,6205424
2010-01-06,13.5055,13.7454,13.2456,13.6954,12.1299,6365823
2010-01-07,14.925,15.9946,14.6151,15.4548,13.6882,28709381
2010-01-08,15.3948,16.0646,15.1849,15.9446,14.1221,8641973
2010-01-11,16.0646,16.3445,15.9746,16.2545,14.3965,6410372
2010-01-12,16.1446,16.5224,15.9446,16.1246,14.2814,7382471
2010-01-13,16.2845,16.4345,15.8447,16.2445,14.3877,5184111
2010-01-14,16.5145,16.8343,16.2745,16.3445,14.4762,4990722
2010-01-15,16.2645,16.3745,15.8447,15.9546,14.1309,5639969
2010-01-19,15.7547,16.3345,15.7547,16.2046,14.3523,4799118
2010-01-20,16.0546,16.1346,15.7047,15.7347,13.9361,5534612
2010-01-21,15.7647,15.8747,15.2749,15.3049,13.5554,4561314
2010-01-22,15.3049,15.5648,14.7051,14.775,13.1204,6357460
2010-01-25,15.045,15.0949,14.4152,14.6951,13.0494,4982323
2010-01-26,14.6151,14.9449,14.5051,14.5551,12.9251,4113366
2010-01-27,14.5451,15.1549,14.2952,15.1049,13.4134,6272818
2010-01-28,15.3249,15.8647,15.015,15.3848,13.6619,8282140
2010-01-29,15.4848,15.9546,15.2649,15.3548,13.6353,7065145
2010-02-01,15.4648,15.4848,15.0549,15.3149,13.5998,4641099
2010-02-02,15.6348,16.6244,15.6348,16.5444,14.6917,10419450
2010-02-03,16.3645,16.5145,15.9047,16.2545,14.4342,4311725
2010-02-04,15.8847,15.9846,15.2349,15.3349,13.6175,5813759
2010-02-05,15.2949,15.4448,14.2152,14.7051,13.0583,8638799
2010-02-08,14.7451,15.8397,14.5151,15.3848,13.6619,8991045
2010-02-09,15.3948,15.6647,15.025,15.5948,13.8483,5324815
2010-02-10,15.6647,15.6947,15.1749,15.6048,13.8572,4027240
2010-02-11,15.9546,16.9943,15.7947,16.9843,15.0823,12714190
2010-02-12,16.7744,17.1842,16.5394,16.9543,15.0556,10487040
2010-02-16,17.1742,17.3642,17.1442,17.3342,15.393,5447968
2010-02-17,17.5141,17.874,17.0843,17.3342,15.393,5749077
2010-02-18,17.2242,17.2842,16.7444,17.0343,15.1266,5284981
2010-02-19,16.9143,17.4341,16.9143,17.3042,15.3663,6152780
2010-02-22,17.4242,17.5341,16.9643,17.1642,15.242,5789201
2010-02-23,17.0743,17.2392,16.0846,16.2745,14.452,8342075
2010-02-24,16.4445,16.5544,15.2549,16.2645,14.4431,13126960
2010-02-25,15.9047,16.3145,15.5848,16.2645,14.4431,7172365
2010-02-26,16.2046,16.4645,15.7847,16.4045,14.5674,5790423
2010-03-01,16.4745,16.6944,16.4045,16.6344,14.7716,3895534
2010-03-02,16.7944,16.9443,16.4945,16.5944,14.736,3402465
2010-03-03,16.6344,16.9668,16.5544,16.7844,14.9047,3879557
2010-03-04,16.6744,16.9243,16.3345,16.5444,14.6917,4159928
2010-03-05,16.7044,17.0343,16.6069,17.0043,15.1,4041165
