date,open,high,low,close,adjusted_close,volume
2010-01-04,75.87,76.95,75.52,76.85,49.0504,2408300
2010-01-05,76.62,77.79,76.55,77.65,49.561,2356500
2010-01-06,76.1,77.19,75.85,76.51,48.8334,5208100
2010-01-07,76.17,76.2,73.61,74.41,47.493,7038300
2010-01-08,74.35,75.94,74.32,75.61,48.2589,3629400
2010-01-11,75.76,76.19,75.19,75.97,48.4887,1973500
2010-01-12,75.75,76.47,75.31,75.96,48.4823,2119000
2010-01-13,76.16,77.02,75.71,76.88,49.0695,2245100
2010-01-14,76.79,77.03,76.15,76.84,49.044,1954500
2010-01-15,76.96,77.19,76.33,76.76,48.9929,2041900
2010-01-19,76.8,78.7,76.55,78.31,49.9822,3765500
2010-01-20,77.81,78.3,76.82,78.11,49.8546,3128200
2010-01-21,78.05,78.58,76.47,76.98,49.1333,2304400
2010-01-22,76.75,77.31,75.5,75.58,48.2398,2072100
2010-01-25,76.25,77.48,75.82,76.76,48.9929,2559200
2010-01-26,76.42,77.35,75.85,76.78,49.0057,2835100
2010-01-27,76.69,77.34,76.0,77.13,49.2291,3054500
2010-01-28,78.43,78.47,75.25,76.15,48.6036,3542400
2010-01-29,76.16,76.45,74.37,74.52,47.5632,3249800
2010-02-01,75.34,75.34,74.28,74.89,47.7994,2781100
2010-02-02,75.0,76.76,74.89,76.55,48.8589,2995600
2010-02-03,76.18,76.95,75.84,76.69,48.9483,2647600
2010-02-04,76.25,77.12,75.95,76.0,48.5079,4992800
2010-02-05,75.85,76.62,74.04,75.72,48.3291,5029700
2010-02-08,75.68,75.86,74.47,74.53,47.5696,4308100
2010-02-09,75.17,75.99,74.7,75.45,48.1568,3697800
2010-02-10,75.35,75.59,74.7,75.11,47.9398,2798600
2010-02-11,74.9,76.42,74.51,76.35,48.7312,3432500
2010-02-12,75.73,75.96,75.02,75.58,48.2398,2478500
2010-02-16,75.92,76.33,75.48,76.03,48.527,2531400
2010-02-17,76.15,76.77,75.52,76.37,48.744,2060100
2010-02-18,76.17,77.44,76.15,77.33,49.3567,2687400
2010-02-19,77.19,77.46,76.64,77.21,49.2801,2801000
2010-02-22,77.19,77.73,76.55,76.94,49.1078,3029100
2010-02-23,76.84,78.05,76.74,76.9,49.0823,2900000
2010-02-24,77.17,77.69,76.93,77.56,49.5035,2379300
2010-02-25,76.0,77.04,75.62,76.99,49.5421,2047900
2010-02-26,76.89,77.94,76.7,77.76,50.0376,2636000
2010-03-01,77.75,79.42,77.69,78.86,50.7455,2436600
2010-03-02,79.22,80.09,78.97,79.21,50.9707,2727900
2010-03-03,79.73,80.05,78.72,78.85,50.739,1958900
2010-03-04,79.19,79.83,78.61,79.27,51.0093,1850000
2010-03-05,79.42,81.33,79.42,81.27,52.2963,3194500
2010-03-08,81.19,81.97,81.07,81.09,52.1804,2440100
2010-03-09,81.01,82.45,80.84,82.22,52.9076,2553800
2010-03-10,82.49,82.96,82.23,82.58,53.1392,2308000
2010-03-11,82.2,83.24,80.32,83.03,53.4288,3114300
2010-03-12,83.09,83.35,82.58,83.09,53.4674,2008600
2010-03-15,83.14,84.26,83.06,84.12,54.1302,2630900
2010-03-16,84.3,84.99,84.14,84.62,54.452,4087500
2010-03-17,84.77,85.2,84.5,84.86,54.6064,2587500
2010-03-18,84.74,86.13,84.34,85.94,55.3014,2923100
2010-03-19,86.9,87.18,86.1,86.9,55.9191,4031700
2010-03-22,85.39,86.35,85.12,85.71,55.1534,3012700
2010-03-23,85.5,85.75,84.42,84.78,54.5549,3327800
2010-03-24,84.68,84.71,83.46,83.88,53.9758,2092500
