date,open,high,low,close,adjusted_close,volume
2010-01-04,30.49,30.7,30.24,30.35,9.2485,1332752
2010-01-05,30.37,31.11,30.31,31.06,9.4649,3684590
2010-01-06,30.95,31.51,30.95,31.3,9.538,2092296
2010-01-07,31.22,31.56,31.05,31.47,9.5898,1404372
2010-01-08,32.24,33.25,31.62,32.08,9.7757,2466076
2010-01-11,32.34,32.415,31.87,32.01,9.7544,1471046
2010-01-12,31.86,32.33,31.86,32.02,9.7574,1424352
2010-01-13,32.19,32.45,32.02,32.32,9.8489,1657248
2010-01-14,32.25,32.72,32.15,32.68,9.9586,2864098
2010-01-15,32.65,32.82,32.52,32.71,9.9677,1978006
2010-01-19,32.8,33.31,32.67,33.16,10.1048,1636328
2010-01-20,32.92,33.05,32.58,32.94,10.0378,1662068
2010-01-21,32.89,33.32,32.561,32.79,9.9921,2531912
2010-01-22,32.8,32.97,31.88,31.96,9.7392,2004684
2010-01-25,32.24,32.27,31.64,31.82,9.6965,2595292
2010-01-26,31.84,31.9,31.39,31.74,9.6721,3660844
2010-01-27,31.29,31.29,30.64,31.09,9.5934,2056314
2010-01-28,31.13,31.46,30.88,31.25,9.6428,1860258
2010-01-29,31.29,31.55,31.09,31.2,9.6274,2796036
2010-02-01,31.36,31.36,30.87,31.31,9.6613,1603800
2010-02-02,31.41,31.65,30.91,31.6,9.7508,2437558
2010-02-03,31.58,31.73,31.25,31.44,9.7014,1962662
2010-02-04,31.62,31.89,30.51,30.6,9.4422,1778254
2010-02-05,30.57,30.75,30.1201,30.7,9.4731,2423074
2010-02-08,30.82,30.985,30.59,30.62,9.4484,1695962
2010-02-09,30.74,31.12,30.59,30.79,9.5009,816530
2010-02-10,30.67,30.86,30.35,30.63,9.4515,1008796
2010-02-11,30.6,30.92,30.32,30.91,9.5379,1110840
2010-02-12,30.75,30.99,30.48,30.97,9.5564,2468728
2010-02-16,31.23,31.69,31.22,31.66,9.7693,1185452
2010-02-17,31.67,31.87,31.33,31.6,9.7508,1070040
2010-02-18,31.63,31.97,31.54,31.91,9.8465,921994
2010-02-19,31.78,32.49,31.74,32.42,10.0038,1004652
2010-02-22,32.5,32.82,32.29,32.43,10.0069,839172
2010-02-23,32.28,32.45,32.02,32.08,9.8989,1144582
2010-02-24,32.09,32.19,31.7,32.02,9.8804,982690
2010-02-25,31.71,31.75,31.28,31.73,9.7909,1317264
2010-02-26,31.82,31.82,31.48,31.63,9.7601,904956
2010-03-01,31.78,32.21,31.78,32.21,9.939,1084292
2010-03-02,32.27,32.7,32.24,32.69,10.0872,1168402
2010-03-03,32.66,32.84,32.39,32.47,10.0193,900246
2010-03-04,32.6,32.6,32.14,32.51,10.0316,1084434
2010-03-05,32.73,32.9,32.52,32.85,10.1365,948614
2010-03-08,32.73,33.17,32.73,33.08,10.2075,1316386
2010-03-09,33.08,33.2,32.83,33.08,10.2075,992758
2010-03-10,33.05,33.21,32.86,33.18,10.2383,924486
2010-03-11,32.97,33.53,32.91,33.53,10.3463,1072300
2010-03-12,33.69,33.77,33.49,33.77,10.4204,2193942
2010-03-15,33.66,33.87,33.49,33.61,10.371,960970
2010-03-16,33.61,33.75,33.4025,33.49,10.334,2727132
2010-03-17,33.63,33.8201,33.5,33.79,10.4266,900768
2010-03-18,33.54,33.6,32.21,32.48,10.0224,4559224
2010-03-19,32.45,32.71,32.34,32.7,10.0902,3366204
2010-03-22,32.6,32.93,32.46,32.83,10.1304,1554530
2010-03-23,32.82,33.6,32.78,33.46,10.3247,2358118
2010-03-24,33.48,33.48,33.2,33.22,10.2507,1512032
2010-03-25,33.48,33.53,33.11,33.19,10.2414,1204774
2010-03-26,33.24,33.45,33.073,33.16,10.2322,2643716
2010-03-29,33.23,33.5,33.2,33.45,10.3217,1221234
2010-03-30,33.55,33.57,33.3,33.38,10.3001,1207544
2010-03-31,33.36,33.61,33.21,33.26,10.263,1866618
2010-04-01,33.38,33.79,33.31,33.79,10.4266,1189894
2010-04-05,33.82,34.15,33.75,33.93,10.4698,1043022
2010-04-06,33.67,34.2,33.38,34.16,10.5407,1028178
2010-04-07,34.01,34.12,33.62,33.87,10.4513,877502
2010-04-08,33.79,33.8,33.41,33.63,10.3772,872408
2010-04-09,33.71,33.71,33.08,33.61,10.371,1108890
2010-04-12,33.55,33.78,33.52,33.77,10.4204,606282
2010-04-13,33.69,33.76,33.51,33.76,10.4173,1203376
2010-04-14,33.82,34.45,33.76,34.3,10.5839,1792946
2010-04-15,34.2,34.99,34.2,34.56,10.6642,1874676
2010-04-16,34.45,34.7,34.33,34.49,10.6426,2421494
2010-04-19,34.49,34.5499,34.21,34.48,10.6395,857098
2010-04-20,34.66,34.99,34.46,34.95,10.7845,1256322
2010-04-21,34.94,35.46,34.94,35.34,10.9049,1548710
2010-04-22,35.23,35.74,35.0235,35.73,11.0252,1409990
2010-04-23,35.77,35.77,35.41,35.63,10.9943,1265764
2010-04-26,35.48,35.71,35.32,35.36,10.911,1193228
2010-04-27,35.14,35.17,34.15,34.2,10.5531,2494228
2010-04-28,34.11,34.24,33.66,33.82,10.5578,4027474
2010-04-29,33.92,34.32,33.67,34.14,10.6577,2077686
2010-04-30,34.21,34.67,34.13,34.2,10.6764,1632644
2010-05-03,34.28,34.59,34.08,34.53,10.7794,1569652
2010-05-04,32.55,34.33,31.91,33.66,10.5078,1909860
2010-05-05,33.51,33.68,33.08,33.5,10.4579,1788596
2010-05-06,33.25,34.11,29.2,32.19,10.0489,3029480
2010-05-07,32.14,32.54,31.48,31.77,9.9178,3250696
2010-05-10,32.91,33.3,32.63,33.27,10.3861,1886446
2010-05-11,32.92,33.99,32.88,33.7,10.5203,2135732
2010-05-12,33.89,34.25,33.62,34.15,10.6608,2058874
2010-05-13,34.02,34.5,34.02,34.24,10.6889,2820220
2010-05-14,34.08,34.21,33.8,34.12,10.6514,1742520
2010-05-17,34.33,34.585,33.9,34.52,10.7763,2713408
2010-05-18,34.7,35.12,34.26,34.29,10.7045,3157800
2010-05-19,34.22,34.25,33.27,33.54,10.4704,1575202
2010-05-20,32.88,32.88,32.06,32.12,10.0271,2439376
2010-05-21,31.71,31.81,31.37,31.79,9.9241,4623580
2010-05-24,31.61,31.96,31.51,31.58,9.8585,2956244
2010-05-25,30.9,31.23,30.3975,31.14,9.7211,3035194
2010-05-26,31.33,31.69,31.12,31.22,9.7461,1578458
2010-05-27,31.79,32.1,31.57,32.06,10.0083,1670196
2010-05-28,32.0,32.53,32.0,32.14,10.0333,2262372
2010-06-01,31.96,32.21,31.52,31.55,9.8491,2386460
2010-06-02,31.61,32.24,31.4915,32.2,10.052,1167564
2010-06-03,32.36,32.81,32.2,32.71,10.2113,1749290
2010-06-04,32.18,32.36,31.34,31.4,9.8023,2033600
2010-06-07,31.45,32.14,31.41,31.56,9.8523,1301242
2010-06-08,31.53,31.77,31.24,31.7,9.896,1435514
2010-06-09,31.95,32.18,31.57,31.69,9.8928,1208150
2010-06-10,32.05,32.49,31.98,32.35,10.0989,1566916
2010-06-11,32.01,32.46,31.92,32.39,10.1114,1432602
2010-06-14,32.63,32.88,32.34,32.45,10.1301,1314158
2010-06-15,32.61,33.12,32.61,33.09,10.3299,1626526
2010-06-16,32.94,33.64,32.92,33.56,10.4766,1180348
2010-06-17,33.7,33.89,33.46,33.87,10.5734,1035488
2010-06-18,33.12,33.83,33.09,33.54,10.4704,1056202
2010-06-21,33.79,33.91,32.985,33.13,10.3424,1738084
2010-06-22,33.14,33.35,32.29,32.34,10.0958,1708728
2010-06-23,32.34,32.34,31.73,31.82,9.9334,1176522
2010-06-24,31.58,32.1,31.5701,31.81,9.9303,1569226
2010-06-25,31.9,32.36,31.54,32.16,10.0396,1912550
2010-06-28,32.12,32.69,32.1,32.51,10.1488,622540
2010-06-29,32.08,32.11,31.56,31.71,9.8991,1020360
2010-06-30,31.71,32.33,31.51,31.74,9.9084,1327466
2010-07-01,31.68,31.68,31.12,31.36,9.7898,1547280
2010-07-02,31.49,31.645,31.15,31.47,9.8242,1199526
2010-07-06,31.74,32.34,31.46,31.83,9.9365,1657758
2010-07-07,31.8,32.9,31.8,32.9,10.2706,1535186
2010-07-08,33.06,33.24,32.78,33.18,10.358,1189192
2010-07-09,33.11,33.59,33.09,33.53,10.4672,1527578
2010-07-12,33.31,34.05,33.23,33.97,10.6046,2029104
2010-07-13,34.23,34.47,34.03,34.36,10.7263,1118158
2010-07-14,34.33,34.49,34.02,34.43,10.7482,1113678
2010-07-15,34.5,34.76,34.18,34.71,10.8356,1183284
2010-07-16,34.44,34.45,33.49,33.57,10.4797,1803846
2010-07-19,33.74,33.94,33.4545,33.9,10.5827,1235582
2010-07-20,33.46,34.43,33.46,34.41,10.742,1026972
2010-07-21,34.5,34.55,33.75,33.92,10.589,869674
2010-07-22,34.38,34.9,34.26,34.57,10.7919,1323740
2010-07-23,34.37,35.02,34.31,34.96,10.9137,838908
2010-07-26,34.87,35.5,34.84,35.37,11.0416,1071894
2010-07-27,35.6,36.08,35.51,36.04,11.2508,1227420
2010-07-28,35.41,35.6,35.26,35.41,11.1766,611366
2010-07-29,35.74,35.74,34.73,35.1,11.0788,871864
2010-07-30,34.74,34.85,34.4,34.56,10.9083,1102598
