date,open,high,low,close,adjusted_close,volume
2010-01-04,23.51,23.59,23.14,23.16,17.8827,9616841
2010-01-05,23.12,23.13,22.7385,22.92,17.6974,14428367
2010-01-06,22.84,23.17,22.75,22.98,17.7437,12448192
2010-01-07,23.24,23.81,23.07,23.64,18.2534,16572231
2010-01-08,23.51,23.64,23.25,23.59,18.2148,8669328
2010-01-11,23.6,23.61,23.2,23.39,18.0603,7975566
2010-01-12,23.22,23.465,23.01,23.33,18.014,10248518
2010-01-13,23.46,23.5,23.11,23.22,17.9291,10519998
2010-01-14,23.39,23.42,23.17,23.19,17.9059,10643441
2010-01-15,23.06,23.33,23.0,23.13,17.9292,12862500
2010-01-19,23.07,23.25,22.99,23.11,17.9136,9619882
2010-01-20,22.94,23.32,22.71,22.8,17.6734,15221252
2010-01-21,22.78,23.04,22.55,22.89,17.7431,13639832
2010-01-22,22.77,23.39,22.26,22.31,17.2935,12237124
2010-01-25,22.46,22.5,21.98,22.12,17.1463,13266275
2010-01-26,22.01,22.39,21.94,21.96,17.0222,13760636
2010-01-27,22.0,22.5,21.93,22.12,17.1463,14136146
2010-01-28,22.22,22.26,21.78,21.98,17.0377,15261711
2010-01-29,22.19,22.25,21.61,21.65,16.7819,21935220
2010-02-01,21.72,21.99,21.67,21.99,17.0455,12454280
2010-02-02,21.97,22.64,21.57,22.58,17.5028,16244349
2010-02-03,22.34,22.48,21.66,22.11,17.1385,38815694
2010-02-04,21.89,22.09,21.57,21.6,16.7432,18435521
2010-02-05,21.59,21.815,21.29,21.59,16.7354,15147153
2010-02-08,21.76,22.26,21.72,21.76,16.8672,12353049
2010-02-09,22.02,22.07,21.66,21.84,16.9292,16562882
2010-02-10,21.84,21.89,21.47,21.8,16.8982,9638599
2010-02-11,21.9,22.23,21.62,22.17,17.185,12708234
2010-02-12,22.04,22.19,21.78,22.16,17.1773,11256865
2010-02-16,22.29,22.75,22.22,22.74,17.6268,8992915
2010-02-17,22.96,23.18,22.87,23.05,17.8671,11773478
2010-02-18,22.98,23.2,22.81,23.15,17.9447,8571053
2010-02-19,23.08,23.22,22.785,23.13,17.9292,18888964
2010-02-22,23.43,23.47,22.88,23.07,17.8826,25812052
2010-02-23,23.09,23.2,22.7,22.81,17.6811,16679413
2010-02-24,22.83,23.65,22.83,23.64,18.3245,16584315
2010-02-25,23.11,23.87,23.11,23.82,18.464,16796950
2010-02-26,23.81,23.97,23.7,23.71,18.3787,13102230
2010-03-01,23.79,24.0,23.6,23.98,18.588,9701853
2010-03-02,23.98,24.0,23.61,23.69,18.3632,9887540
2010-03-03,23.69,23.98,23.53,23.62,18.309,9627068
2010-03-04,23.53,23.82,23.53,23.79,18.4407,10692656
2010-03-05,23.87,24.15,23.84,24.05,18.6423,10758888
2010-03-08,24.08,24.13,23.92,23.95,18.5648,9528135
2010-03-09,23.89,24.23,23.85,24.01,18.6113,11146240
2010-03-10,23.98,24.33,23.915,24.29,18.8283,9675803
2010-03-11,24.25,24.62,24.15,24.59,19.0609,8536249
2010-03-12,24.77,25.0,24.62,24.95,19.3399,16217834
2010-03-15,25.0,25.08,24.77,25.04,19.4097,8989278
2010-03-16,25.03,25.25,24.86,25.05,19.4174,12994914
2010-03-17,25.14,25.31,25.05,25.16,19.5027,12615698
2010-03-18,25.2,25.27,24.82,24.9,19.3012,10390148
2010-03-19,24.97,25.01,24.65,24.78,19.2081,16328714
2010-03-22,24.65,25.03,24.63,24.91,19.3089,12325459
2010-03-23,24.75,24.83,24.46,24.83,19.2469,12291575
2010-03-24,24.75,24.75,24.35,24.38,18.8981,9808483
2010-03-25,24.51,24.62,24.34,24.34,18.8671,12777512
2010-03-26,24.44,24.59,24.31,24.48,18.9756,12185474
2010-03-29,24.51,24.62,24.26,24.31,18.8438,7946430
2010-03-30,24.39,24.55,24.31,24.34,18.8671,6960400
2010-03-31,24.26,24.34,24.16,24.24,18.7896,9008546
2010-04-01,24.37,24.62,24.35,24.54,19.0221,10097446
2010-04-05,24.6,24.87,24.53,24.87,19.2779,7054355
2010-04-06,24.88,25.06,24.73,24.98,19.3632,9998149
2010-04-07,24.93,25.41,24.87,25.25,19.5725,15400746
2010-04-08,25.18,25.69,25.13,25.59,19.836,13680278
2010-04-09,25.63,25.67,25.28,25.63,19.867,8599515
2010-04-12,25.59,25.6,25.37,25.6,19.8438,7762486
2010-04-13,25.43,26.31,25.43,26.22,20.3244,17079504
2010-04-14,26.36,26.63,26.13,26.59,20.6112,18419007
2010-04-15,26.54,26.8,26.46,26.66,20.6654,12021551
2010-04-16,26.56,26.72,26.12,26.29,20.3786,13036754
2010-04-19,26.2,26.458,25.92,26.45,20.5731,10543739
2010-04-20,26.54,26.98,26.54,26.62,20.7053,13457608
2010-04-21,26.7,26.79,26.43,26.66,20.7364,9195814
2010-04-22,26.61,27.7,26.45,27.53,21.4131,16084916
2010-04-23,27.56,28.25,27.31,28.22,21.9498,18839189
2010-04-26,28.14,28.54,28.12,28.16,21.9031,18536432
2010-04-27,28.08,28.08,26.92,27.0,21.0009,23812775
2010-04-28,27.28,27.55,26.75,27.03,21.0242,14723928
2010-04-29,27.24,27.59,27.2,27.4,21.312,12925420
2010-04-30,27.46,27.74,27.1,27.12,21.0942,17271137
2010-05-03,27.29,27.925,27.1,27.74,21.5764,10810879
2010-05-04,27.5,27.63,26.9,26.97,20.9775,17534318
2010-05-05,26.74,27.17,25.75,26.65,20.7286,19311295
2010-05-06,26.49,26.76,24.14,25.52,19.8497,19164327
2010-05-07,25.53,25.9599,24.78,25.31,19.6864,22869863
2010-05-10,26.64,26.93,26.34,26.7,20.7675,17308760
2010-05-11,26.57,27.26,26.43,27.1,21.0786,18227719
2010-05-12,27.22,27.41,26.74,27.06,21.0475,16967485
2010-05-13,27.08,27.11,26.16,26.25,20.4175,15106508
2010-05-14,26.06,26.328,25.78,26.07,20.2775,16936045
