date,open,high,low,close,adjusted_close,volume
2010-01-04,30.88,31.54,30.58,30.92,15.46,1660000
2010-01-05,30.98,31.86,30.9,31.82,15.91,1270000
2010-01-06,31.86,32.64,31.7,32.5,16.25,1910000
2010-01-07,32.5,32.96,31.78,32.32,16.16,954220
2010-01-08,32.24,32.64,31.78,32.28,16.14,634450
2010-01-11,32.4,32.4,31.5,31.8,15.9,1050000
2010-01-12,31.5,31.8,31.06,31.36,15.68,947090
2010-01-13,31.64,32.4,31.38,32.32,16.16,1500000
2010-01-14,32.32,32.54,31.82,31.86,15.93,898560
2010-01-15,31.96,32.14,30.72,31.14,15.57,1490000
2010-01-19,31.06,31.68,30.52,31.68,15.84,1200000
2010-01-20,31.1,31.62,30.64,31.54,15.77,1270000
2010-01-21,31.54,31.92,31.18,31.48,15.74,2800000
2010-01-22,31.1,31.14,29.72,30.04,15.02,2520000
2010-01-25,30.26,30.6,28.6,29.06,14.53,1820000
2010-01-26,29.04,29.28,28.76,29.02,14.51,1040000
2010-01-27,28.82,29.28,28.62,29.08,14.54,948010
2010-01-28,29.28,29.46,28.04,28.36,14.18,1750000
2010-01-29,28.42,29.12,27.98,28.24,14.12,1490000
2010-02-01,28.3,28.64,28.2,28.36,14.18,826000
2010-02-02,28.3,29.26,28.24,29.2,14.6,1690000
2010-02-03,28.9,29.18,28.52,28.96,14.48,852830
2010-02-04,28.62,28.7,27.2,27.24,13.62,1720000
2010-02-05,27.2,27.24,25.76,26.26,13.13,4180000
2010-02-08,26.22,26.9,26.22,26.58,13.29,1700000
2010-02-09,26.98,27.68,26.9,27.48,13.74,1400000
2010-02-10,27.42,27.66,27.0,27.22,13.61,774600
2010-02-11,27.04,28.12,26.92,27.92,13.96,743670
2010-02-12,27.6,28.52,27.36,28.36,14.18,736990
2010-02-16,28.56,28.92,28.38,28.84,14.42,768370
2010-02-17,28.92,29.08,28.44,28.74,14.37,1040000
2010-02-18,28.64,29.3,28.36,29.2,14.6,1030000
2010-02-19,29.2,29.24,28.94,29.08,14.54,789540
2010-02-22,29.12,29.24,28.32,28.32,14.16,1920000
2010-02-23,28.2,28.52,27.8,27.92,13.96,1530000
2010-02-24,27.94,28.42,27.68,28.4,14.2,1500000
2010-02-25,27.8,29.18,27.8,29.12,14.56,1400000
2010-02-26,29.14,29.9,28.62,28.64,14.32,1420000
2010-03-01,29.02,30.44,28.82,30.22,15.11,1860000
2010-03-02,30.42,31.14,30.1,31.04,15.52,1460000
2010-03-03,31.1,31.42,30.84,31.24,15.62,1070000
2010-03-04,31.18,31.9,31.04,31.82,15.91,884830
2010-03-05,31.98,33.22,31.88,32.88,16.44,1250000
2010-03-08,33.02,33.28,32.54,33.06,16.53,1020000
2010-03-09,33.04,33.98,32.96,33.7,16.85,1370000
2010-03-10,33.5,33.78,33.18,33.72,16.86,1210000
2010-03-11,33.44,34.18,33.24,34.18,17.09,785520
2010-03-12,34.6,36.1,34.4,35.16,17.58,2560000
2010-03-15,35.22,36.0,35.0,35.68,17.84,1480000
2010-03-16,35.96,36.3,35.2,35.54,17.77,1410000
2010-03-17,35.64,35.86,35.08,35.24,17.62,978430
2010-03-18,35.32,35.5,34.3,34.82,17.41,1220000
2010-03-19,34.84,35.08,33.36,33.5,16.75,1670000
2010-03-22,33.36,35.08,32.8,35.04,17.52,1150000
2010-03-23,35.24,36.58,35.18,36.22,18.11,1500000
2010-03-24,36.14,36.9,35.52,36.04,18.02,2400000
2010-03-25,39.96,40.96,38.86,39.4,19.7,10990000
2010-03-26,39.02,40.8,38.68,40.58,20.29,5050000
2010-03-29,40.9,41.34,39.7,41.22,20.61,3020000
2010-03-30,41.22,42.4,40.7,41.9,20.95,2440000
2010-03-31,41.74,41.96,41.14,41.48,20.74,1330000
2010-04-01,41.64,42.08,41.14,41.68,20.84,1410000
2010-04-05,42.04,42.68,41.76,42.58,21.29,1970000
2010-04-06,42.66,43.28,42.32,43.08,21.54,1890000
2010-04-07,43.1,43.36,42.24,42.58,21.29,1450000
2010-04-08,42.5,43.32,42.22,42.86,21.43,2290000
2010-04-09,43.08,43.66,42.5,43.66,21.83,1450000
2010-04-12,43.76,44.54,43.6,44.36,22.18,1360000
2010-04-13,44.36,44.46,43.0,43.04,21.52,1980000
2010-04-14,43.7,44.04,41.66,43.82,21.91,3750000
2010-04-15,43.36,45.6,43.36,45.08,22.54,3010000
2010-04-16,44.94,45.24,44.06,44.62,22.31,2490000
2010-04-19,44.46,44.66,41.68,42.32,21.16,3490000
2010-04-20,42.6,43.54,41.88,41.92,20.96,2070000
2010-04-21,42.18,42.54,40.66,41.4,20.7,3110000
2010-04-22,40.82,42.58,40.8,42.22,21.11,2780000
2010-04-23,42.34,43.82,42.22,43.64,21.82,2020000
2010-04-26,44.04,44.42,42.9,43.02,21.51,1640000
2010-04-27,42.8,43.86,42.18,42.26,21.13,1650000
2010-04-28,42.66,42.96,39.58,39.68,19.84,3960000
2010-04-29,39.9,40.36,39.1,39.84,19.92,2630000
2010-04-30,40.14,40.26,37.62,37.62,18.81,2360000
2010-05-03,38.14,41.6,38.06,41.54,20.77,4070000
2010-05-04,40.4,40.4,38.14,38.54,19.27,4720000
2010-05-05,37.74,39.72,35.66,38.18,19.09,4020000
2010-05-06,37.74,38.68,35.34,37.18,18.59,4540000
2010-05-07,36.96,37.86,35.16,35.82,17.91,3710000
2010-05-10,38.72,39.2,38.28,39.1,19.55,3080000
2010-05-11,38.5,40.36,38.04,39.56,19.78,1470000
2010-05-12,39.9,43.46,39.84,43.14,21.57,4320000
2010-05-13,43.42,43.86,41.6,41.92,20.96,3470000
2010-05-14,41.26,41.26,38.82,39.36,19.68,3160000
2010-05-17,39.46,39.96,37.1,38.54,19.27,2280000
2010-05-18,39.32,39.92,38.22,39.04,19.52,2310000
2010-05-19,38.76,39.4,37.76,38.6,19.3,2080000
2010-05-20,37.14,38.28,36.38,36.72,18.36,2280000
2010-05-21,35.64,39.82,35.42,38.5,19.25,3250000
2010-05-24,38.38,39.68,38.18,38.46,19.23,1230000
2010-05-25,37.02,38.16,35.54,37.9,18.95,4100000
2010-05-26,38.42,39.6,37.98,38.4,19.2,2880000
2010-05-27,39.6,40.94,39.58,40.92,20.46,1790000
2010-05-28,41.0,42.22,40.14,40.86,20.43,2080000
2010-06-01,40.5,41.72,39.82,39.82,19.91,1980000
2010-06-02,40.42,41.46,39.64,41.46,20.73,1610000
2010-06-03,42.0,43.92,41.92,43.7,21.85,4170000
2010-06-04,42.3,43.48,39.9,40.34,20.17,4150000
2010-06-07,41.08,41.14,38.22,38.32,19.16,2960000
2010-06-08,38.38,39.4,36.88,39.04,19.52,2700000
2010-06-09,39.72,40.96,38.58,39.1,19.55,2770000
2010-06-10,40.22,42.16,40.04,40.82,20.41,7670000
2010-06-11,40.5,41.96,39.86,41.76,20.88,3180000
2010-06-14,42.42,43.28,42.22,42.42,21.21,2680000
2010-06-15,43.04,44.76,42.74,44.36,22.18,3480000
2010-06-16,43.96,46.26,43.42,45.58,22.79,4960000
2010-06-17,46.32,46.5,43.72,44.26,22.13,4490000
2010-06-18,44.6,45.32,44.1,44.18,22.09,3040000
2010-06-21,45.8,45.8,43.1,43.46,21.73,3420000
2010-06-22,43.82,44.68,41.26,41.46,20.73,4480000
2010-06-23,41.46,42.5,40.04,41.98,20.99,3620000
2010-06-24,41.76,42.7,40.54,41.86,20.93,4080000
2010-06-25,41.94,42.3,40.8,41.06,20.53,15330000
2010-06-28,40.92,41.5,39.6,39.68,19.84,3810000
2010-06-29,38.72,39.42,37.2,37.54,18.77,5260000
2010-06-30,37.58,39.4,37.14,37.22,18.61,3880000
2010-07-01,38.58,38.58,35.76,37.8,18.9,4280000
2010-07-02,38.04,38.04,36.1,36.32,18.16,2860000
2010-07-06,36.78,38.24,35.66,36.04,18.02,3260000
2010-07-07,36.32,37.78,35.64,37.58,18.79,3120000
2010-07-08,38.04,39.0,37.68,38.72,19.36,2610000
2010-07-09,38.5,39.18,38.24,38.9,19.45,1310000
2010-07-12,38.66,39.18,37.9,38.86,19.43,2370000
2010-07-13,39.32,39.64,38.36,39.14,19.57,3020000
2010-07-14,38.82,39.68,38.5,39.32,19.66,2060000
2010-07-15,39.4,39.7,38.54,39.6,19.8,1950000
2010-07-16,39.54,39.84,37.76,38.0,19.0,2820000
2010-07-19,37.96,38.46,37.32,37.9,18.95,1640000
2010-07-20,36.92,38.32,36.64,38.28,19.14,1830000
2010-07-21,38.44,39.26,38.04,38.32,19.16,1480000
2010-07-22,38.78,40.58,38.22,40.5,20.25,1680000
2010-07-23,40.46,42.0,39.68,41.96,20.98,1830000
