date,open,high,low,close,adjusted_close,volume
2010-01-04,15.6,16.62,15.5191,16.62,10.9571,36415688
2010-01-05,17.01,18.29,16.96,18.27,12.0449,66116578
2010-01-06,18.03,18.35,17.8,18.1,11.9329,31210631
2010-01-07,17.85,18.56,17.66,18.5,12.1966,29376070
2010-01-08,18.35,18.4,18.01,18.1,11.9329,18760420
2010-01-11,18.4,18.68,18.2,18.36,12.1043,22027910
2010-01-12,18.37,18.85,18.18,18.34,12.0911,34472527
2010-01-13,18.5,18.65,17.61,18.29,12.0581,25562199
2010-01-14,18.32,19.12,18.18,18.65,12.2955,32141971
2010-01-15,18.62,18.92,18.2,18.4,12.1306,19678270
2010-01-19,18.32,18.64,17.91,18.62,12.2757,18572080
2010-01-20,18.35,18.4997,17.65,17.88,11.7878,25001990
2010-01-21,17.86,18.295,16.98,17.02,11.2208,29746180
2010-01-22,16.95,17.29,16.15,16.28,10.733,36811039
2010-01-25,16.73,16.75,15.56,16.19,10.6736,28101240
2010-01-26,15.97,16.55,15.85,16.21,10.6868,28934490
2010-01-27,16.18,16.29,15.77,16.24,10.7066,18163160
2010-01-28,16.4,16.78,15.77,15.86,10.4561,22583730
2010-01-29,16.12,16.5,15.37,15.5,10.2187,30207029
2010-02-01,15.67,17.12,15.67,17.11,11.2802,36443461
2010-02-02,17.02,17.15,16.31,16.95,11.1747,31694650
2010-02-03,16.94,17.02,16.49,16.52,10.8912,15660620
2010-02-04,16.22,16.24,15.33,15.37,10.133,32569859
2010-02-05,15.55,15.77,14.88,15.71,10.3572,29592221
2010-02-08,15.81,16.2,15.4009,15.54,10.2451,21102369
2010-02-09,15.93,16.08,15.5,15.89,10.4759,20936359
2010-02-10,15.99,16.2,15.71,15.84,10.4429,15132120
2010-02-11,15.98,16.93,15.75,16.87,11.1219,27331961
2010-02-12,16.55,16.82,16.25,16.81,11.0824,23036600
2010-02-16,17.18,17.65,17.1,17.56,11.5768,21864580
2010-02-17,17.85,17.95,17.31,17.46,11.5109,23050811
2010-02-18,16.39,16.5,15.8,15.91,10.489,53185898
2010-02-19,15.87,16.44,15.87,16.24,10.7066,28514340
2010-02-22,16.5,16.74,16.41,16.52,10.8912,19226311
2010-02-23,16.44,16.47,15.95,16.09,10.6077,23120641
2010-02-24,16.25,16.34,16.01,16.09,10.6077,17605131
2010-02-25,15.85,16.24,15.5,16.2,10.6802,20630631
2010-02-26,16.3,16.78,16.05,16.63,10.9637,24109561
2010-03-01,16.87,17.3,16.8,17.09,11.267,22198600
2010-03-02,17.34,17.47,17.05,17.11,11.2802,20442029
2010-03-03,17.11,17.41,16.9,17.17,11.3197,19656010
2010-03-04,17.19,17.25,16.78,17.18,11.3263,18190330
2010-03-05,17.39,17.98,17.339,17.87,11.7812,25173660
2010-03-08,17.99,18.6,17.9,18.44,12.157,28276301
2010-03-09,18.36,19.3,18.25,18.85,12.4273,41037680
2010-03-10,19.25,19.84,18.96,19.73,13.0075,42071289
2010-03-11,19.59,19.62,19.1,19.34,12.7504,25795891
2010-03-12,19.67,19.89,19.4,19.59,12.9152,25328250
2010-03-15,19.25,19.45,18.3,18.69,12.3218,34019141
2010-03-16,18.9,20.11,18.75,20.06,13.225,42332152
2010-03-17,20.35,20.55,19.63,19.84,13.08,36219738
2010-03-18,19.75,19.84,19.28,19.28,12.7108,22973090
2010-03-19,19.31,19.58,19.25,19.5,12.8558,23020221
2010-03-22,19.15,21.59,18.88,21.43,14.1282,74327938
2010-03-23,21.78,22.1,20.9,21.45,14.1414,46784527
2010-03-24,21.33,22.39,21.23,21.9,14.4381,55189367
2010-03-25,22.29,22.49,20.82,20.93,13.7986,43210727
2010-03-26,21.15,22.22,21.12,21.89,14.4315,53852379
2010-03-29,22.1,22.14,21.43,21.86,14.4117,29358020
2010-03-30,21.875,21.94,21.0,21.21,13.9832,36316359
2010-03-31,20.98,21.62,20.6,21.15,13.9436,40794129
2010-04-01,21.18,21.48,20.7,21.3,14.0425,34437969
2010-04-05,21.67,23.41,21.56,23.36,15.4006,58182820
2010-04-06,23.4,23.96,23.08,23.43,15.4468,46346090
2010-04-07,22.89,23.35,22.6,22.93,15.1171,38598281
2010-04-08,22.81,24.66,22.6,24.23,15.9742,64044273
2010-04-09,24.38,24.42,23.93,24.12,15.9017,35189512
2010-04-12,24.44,24.95,24.1,24.22,15.9676,38662539
2010-04-13,24.37,24.8,24.18,24.39,16.0797,28419189
2010-04-14,24.77,24.83,23.93,24.0,15.8226,41133969
2010-04-15,23.34,24.24,23.27,23.72,15.638,33483879
2010-04-16,23.78,23.95,22.32,22.9,15.0974,43909020
2010-04-19,22.6,23.44,22.07,22.77,15.0117,33587449
2010-04-20,23.43,24.23,23.35,24.05,15.8555,31848490
2010-04-21,24.16,24.19,23.38,23.71,15.6314,23531779
2010-04-22,23.41,24.49,23.26,24.43,16.1061,26882750
2010-04-23,24.65,25.92,24.61,25.12,16.561,41221480
2010-04-26,26.18,26.57,25.81,26.2,17.273,40524281
2010-04-27,25.96,26.03,24.58,24.69,16.2775,44972551
2010-04-28,25.27,25.48,24.23,25.15,16.5807,33757559
2010-04-29,25.56,26.23,25.43,26.05,17.1741,28378990
2010-04-30,26.0,26.44,24.75,24.86,16.3895,35608367
2010-05-03,25.39,25.83,24.43,25.65,16.9104,32499160
2010-05-04,25.17,25.21,23.55,23.87,15.7369,50612840
2010-05-05,22.87,24.4895,22.08,23.31,15.3677,49651379
2010-05-06,22.64,23.88,18.08,21.65,14.2733,74235969
2010-05-07,22.26,22.38,19.59,21.19,13.97,74402875
2010-05-10,23.42,23.75,22.8301,23.25,15.3281,43415621
2010-05-11,22.76,24.3,22.58,23.61,15.5655,42743754
2010-05-12,24.16,24.2,23.71,24.02,15.8358,30875520
2010-05-13,24.24,24.88,23.77,24.4,16.0863,39485273
2010-05-14,24.03,24.13,23.05,23.43,15.4468,33809039
2010-05-17,23.15,23.67,21.81,22.5,14.8337,44443090
2010-05-18,23.22,23.47,22.17,22.23,14.6557,42397000
2010-05-19,22.09,22.63,20.82,21.75,14.3392,47116961
2010-05-20,20.68,21.05,19.75,19.85,13.0866,48870090
2010-05-21,19.21,21.45,19.06,21.0,13.8447,59260859
2010-05-24,21.11,22.05,20.88,20.89,13.7722,36029160
2010-05-25,19.93,21.45,19.51,21.37,14.0887,48648441
2010-05-26,21.93,22.49,21.52,21.65,14.2733,45458059
2010-05-27,22.76,23.83,22.61,23.83,15.7105,43608449
2010-05-28,23.96,24.49,22.87,23.48,15.4797,49927379
2010-06-01,23.17,23.77,22.91,23.02,15.1765,35562488
2010-06-02,23.57,24.27,23.25,24.25,15.9874,33284520
2010-06-03,24.63,25.17,24.16,24.93,16.4357,43436047
2010-06-04,24.37,25.46,23.75,24.25,15.9874,58223141
2010-06-07,24.47,24.63,22.71,22.72,14.9787,45624273
2010-06-08,23.09,24.01,22.25,23.96,15.7962,51287770
2010-06-09,24.31,24.97,23.67,24.13,15.9083,56960281
2010-06-10,24.74,25.06,24.41,24.94,16.4423,35301152
2010-06-11,24.46,25.78,24.22,25.72,16.9565,36451930
2010-06-14,26.25,26.94,25.85,25.99,17.1345,52471594
2010-06-15,26.28,26.94,25.63,26.74,17.629,40914801
2010-06-16,26.39,27.2,26.25,26.59,17.5301,39907602
2010-06-17,26.85,27.0,26.25,26.72,17.6158,32548801
2010-06-18,26.71,27.13,26.4,26.76,17.6422,25876619
2010-06-21,27.49,27.84,26.76,27.03,17.8202,34998207
2010-06-22,27.02,27.24,26.03,26.04,17.1675,33704602
2010-06-23,26.34,27.1,26.09,27.04,17.8268,33022840
2010-06-24,26.79,27.39,25.81,25.99,17.1345,43851207
2010-06-25,26.27,26.63,25.44,26.5,17.4708,35838340
2010-06-28,26.49,26.5525,25.34,25.35,16.7126,31074420
2010-06-29,24.41,24.5,22.64,22.84,15.0578,73016648
2010-06-30,23.11,23.59,22.02,22.14,14.5963,38492551
2010-07-01,22.14,22.6999,20.73,21.87,14.4183,53288922
