date,open,high,low,close,adjusted_close,volume
2016-11-01,32.0,34.0,32.0,34.0,30.9083,1100
2016-11-03,34.0,34.0,34.0,34.0,30.9083,1070
2016-11-04,33.0,34.0,32.99,33.5,30.4538,33778
2016-11-07,33.5,33.51,32.75,33.02,30.0174,28979
2016-11-08,33.25,34.0,32.57,34.0,30.9083,214072
2016-11-09,35.0,35.0,31.81,31.84,28.9447,653083
2016-11-10,32.04,32.35,29.82,30.33,27.572,35019078
2016-11-11,29.8,30.09,28.85,29.89,27.172,6020148
2016-11-14,29.34,30.43,28.75,30.19,27.4447,4481917
2016-11-15,29.64,30.6995,29.62,30.43,27.6629,3667256
2016-11-16,30.77,32.04,30.61,31.7,28.8174,4342310
2016-11-17,31.4,33.065,30.635,32.51,29.5538,5252133
2016-11-18,32.14,33.1,31.79,32.68,29.7083,4253380
2016-11-21,32.26,32.5,31.29,31.74,28.8538,5036677
2016-11-22,31.52,33.15,30.43,32.7,29.7265,5601830
2016-11-23,32.7,33.47,32.5,33.02,30.0174,3620409
2016-11-25,32.76,32.78,32.27,32.59,29.6265,827809
2016-11-28,32.27,33.5,32.17,32.74,29.7629,1929250
2016-11-29,33.05,33.36,32.72,33.19,30.1719,2139479
2016-11-30,33.26,34.3,33.0,33.48,30.4356,2764920
2016-12-01,33.04,33.26,32.185,32.51,29.5538,2914939
2016-12-02,32.16,33.21,32.01,32.99,29.9901,1213120
2016-12-05,32.87,33.7595,32.7501,33.65,30.5901,2004735
2016-12-06,33.45,33.86,33.21,33.82,30.7447,1622915
2016-12-07,34.07,34.98,34.0,34.75,31.5901,3809431
2016-12-08,34.91,36.0,34.61,35.93,32.6628,2602986
2016-12-09,35.82,36.51,35.6,36.38,33.0719,1993074
2016-12-12,36.38,37.215,36.31,36.73,33.39,1258339
2016-12-13,36.97,37.09,35.67,36.58,33.2537,1814756
2016-12-14,36.62,37.0,34.97,35.15,31.9537,3886277
2016-12-15,35.06,35.264,34.15,34.38,31.2537,1555074
2016-12-16,34.34,35.47,34.28,35.26,32.0537,3783968
2016-12-19,35.31,35.84,34.27,34.48,31.3446,1983266
2016-12-20,34.22,35.11,34.2,34.95,31.7719,944998
2016-12-21,34.64,35.22,34.46,35.02,31.8355,703934
2016-12-22,35.0,36.62,34.8,36.33,33.0264,1438479
2016-12-23,36.41,37.07,35.97,36.85,33.4991,888289
2016-12-27,36.65,37.49,36.61,37.34,33.9446,822236
2016-12-28,37.25,37.66,37.01,37.23,33.8446,534220
2016-12-29,37.37,37.96,37.143,37.77,34.3355,658516
2016-12-30,37.74,38.52,37.675,37.85,34.4082,773230
2017-01-03,37.71,38.6,37.36,37.49,34.0809,2006963
2017-01-04,37.67,38.41,36.4248,36.98,33.6173,1712669
2017-01-05,36.98,37.71,36.48,36.62,33.2901,1099841
2017-01-06,36.42,36.96,36.06,36.83,33.481,1367990
2017-01-09,36.81,37.09,36.1,36.89,33.5355,1333756
2017-01-10,38.79,38.96,36.19,36.84,33.49,3712586
2017-01-11,36.7,37.2,36.02,36.89,33.5355,2185874
2017-01-12,36.69,37.01,36.1201,36.96,33.5991,1235201
2017-01-13,36.89,37.3,36.55,37.22,33.8355,1010164
2017-01-17,37.14,37.22,36.75,36.89,33.5355,1907181
2017-01-18,36.75,36.88,36.41,36.64,33.3082,1214200
2017-01-19,36.79,37.0,36.33,36.96,33.5991,890406
2017-01-20,36.95,37.56,36.77,37.11,33.7355,1337042
2017-01-23,36.98,37.42,36.466,36.77,33.4264,2035285
2017-01-24,36.66,37.67,36.59,37.49,34.0809,1199629
2017-01-25,37.45,37.7999,36.44,36.67,33.3355,1183305
2017-01-26,36.39,36.87,36.25,36.33,33.1962,1015269
2017-01-27,36.4,36.54,35.81,36.44,33.2967,1088390
2017-01-30,36.2,36.93,36.2,36.78,33.6073,912896
2017-01-31,36.68,37.55,36.68,37.36,34.1373,1625296
2017-02-01,37.58,37.97,37.16,37.77,34.5119,2212174
2017-02-02,37.7,38.81,37.61,38.42,35.1059,2496332
2017-02-03,38.49,39.47,38.4601,38.9,35.5445,1495201
2017-02-06,39.13,39.35,38.721,39.24,35.8551,1097753
2017-02-07,39.25,39.8,38.98,39.41,36.0105,1362245
2017-02-08,39.28,39.69,38.58,39.16,35.782,1575213
2017-02-09,39.06,39.52,38.69,39.08,35.7089,1138886
2017-02-10,39.0,39.57,38.6,39.27,35.8826,868909
2017-02-13,39.24,39.71,38.83,39.43,36.0288,1128260
2017-02-14,39.33,39.74,39.25,39.65,36.2298,1098381
2017-02-15,39.5,39.75,39.2,39.63,36.2115,1387718
2017-02-16,39.57,40.16,39.5599,39.9,36.4582,1034842
2017-02-17,39.77,39.95,39.3,39.62,36.2024,1487957
2017-02-21,39.56,40.13,39.3,39.62,36.2024,1295408
2017-02-22,39.41,40.0,39.41,39.85,36.4125,800763
2017-02-23,39.95,39.95,39.27,39.5,36.0927,564214
2017-02-24,39.5,39.66,39.3215,39.58,36.1658,374979
2017-02-27,39.7,39.7,39.08,39.48,36.0744,603491
2017-02-28,39.44,39.79,39.19,39.19,35.8095,653900
2017-03-01,39.1,40.04,39.07,39.95,36.5039,734412
2017-03-02,39.7,40.39,39.557,40.22,36.7506,818892
2017-03-03,40.08,40.467,39.53,40.4,36.9151,1254144
2017-03-06,40.37,40.61,40.06,40.42,36.9334,1784398
2017-03-07,40.26,41.05,40.045,40.74,37.2258,1684017
2017-03-08,40.65,41.08,40.42,40.72,37.2075,1926522
2017-03-09,40.79,41.1,40.54,40.98,37.445,1533904
2017-03-10,41.02,41.6,40.8644,41.4,37.8288,1544140
2017-03-13,41.39,41.61,41.31,41.53,37.9476,1383880
2017-03-14,41.5,42.25,41.3232,42.21,38.5689,992609
2017-03-15,42.44,43.47,42.28,42.36,38.706,2309856
2017-03-16,42.28,42.5,41.75,41.99,38.3679,1065257
2017-03-17,41.94,42.39,41.6695,42.25,38.6055,1608966
2017-03-20,42.31,42.63,42.091,42.48,38.8157,1693155
2017-03-21,42.59,43.125,42.54,42.87,39.172,1640736
2017-03-22,43.02,43.48,42.43,42.44,38.7791,1391719
2017-03-23,42.4,43.28,42.22,43.01,39.2999,1135576
2017-03-24,43.0,43.235,42.67,42.67,38.9893,1338311
2017-03-27,42.53,43.02,42.22,42.96,39.2543,812738
2017-03-28,42.86,43.2,42.66,42.92,39.2177,901945
2017-03-29,42.88,42.95,42.52,42.64,38.9619,704039
2017-03-30,42.7,42.7,42.06,42.09,38.4593,641004
