date,open,high,low,close,adjusted_close,volume
2010-01-04,48.92,49.06,47.94,48.19,28.4161,385711
2010-01-05,48.1,48.37,47.7,48.15,28.3925,369873
2010-01-06,48.2,48.48,47.95,48.31,28.4868,369099
2010-01-07,48.09,48.72,47.6,48.54,28.6225,647541
2010-01-08,48.3,48.74,48.05,48.22,28.4338,366372
2010-01-11,48.48,48.82,48.23,48.47,28.5812,461338
2010-01-12,48.16,48.55,47.83,48.09,28.3571,501054
2010-01-13,47.56,48.4,47.47,48.23,28.8081,301885
2010-01-14,47.94,48.36,47.77,48.12,28.7424,222333
2010-01-15,48.04,48.33,47.36,47.48,28.3601,400433
2010-01-19,47.46,48.13,47.43,48.1,28.7304,413620
2010-01-20,47.75,48.0,47.4,47.85,28.5811,314343
2010-01-21,47.9,48.2,46.56,46.56,27.8106,289622
2010-01-22,46.56,47.15,45.41,45.58,27.2252,300854
2010-01-25,46.22,46.3,45.39,45.74,27.3208,312443
2010-01-26,45.43,46.645,45.4,46.17,27.5776,275933
2010-01-27,46.01,46.72,45.48,46.52,27.7867,402508
2010-01-28,46.76,46.82,45.58,46.52,27.7867,340771
2010-01-29,46.82,47.255,46.32,46.92,28.0256,500465
2010-02-01,47.16,47.51,46.93,47.39,28.3063,375811
2010-02-02,47.3,48.07,46.97,47.91,28.6169,352135
2010-02-03,47.8,47.95,47.15,47.36,28.2884,249011
2010-02-04,47.13,47.45,46.19,46.75,27.9241,481291
2010-02-05,45.3,47.27,45.3,46.76,27.93,534618
2010-02-08,46.93,47.06,46.15,46.2,27.5955,300343
2010-02-09,46.74,47.02,45.76,45.98,27.4641,297072
2010-02-10,45.85,46.41,45.14,45.97,27.4582,151806
2010-02-11,45.82,46.48,45.46,46.35,27.6851,169433
2010-02-12,45.91,46.56,45.47,46.48,27.7628,289987
2010-02-16,46.87,47.76,46.58,47.75,28.5214,206660
2010-02-17,48.07,49.09,48.01,48.74,29.1127,271843
2010-02-18,48.61,49.97,48.34,49.79,29.7399,281222
2010-02-19,49.71,50.0,49.36,49.53,29.5846,423211
2010-02-22,49.55,50.49,49.45,50.33,30.0624,214016
2010-02-23,50.29,51.13,50.08,51.05,30.4925,647882
2010-02-24,51.12,51.77,50.85,51.7,30.8807,372335
2010-02-25,51.09,52.66,50.95,52.61,31.4243,573694
2010-02-26,52.72,52.92,51.86,51.94,31.0241,619835
2010-03-01,52.37,52.63,51.85,52.21,31.1854,246627
2010-03-02,52.02,52.38,51.51,52.01,31.0659,333221
2010-03-03,52.27,52.35,50.83,50.98,30.4507,457322
2010-03-04,51.28,51.5,50.84,51.42,30.7135,222097
2010-03-05,51.89,53.17,51.61,53.07,31.699,409587
2010-03-08,52.91,53.6,52.78,53.38,31.8842,243891
2010-03-09,53.08,54.41,52.83,53.78,32.1231,273331
2010-03-10,53.86,54.41,53.22,53.42,31.9081,230319
2010-03-11,53.16,53.5399,53.1,53.37,31.8782,233544
2010-03-12,53.37,53.83,53.0,53.66,32.0515,177593
2010-03-15,53.66,53.94,53.09,53.52,31.9678,225555
2010-03-16,53.84,54.51,53.45,54.44,32.5173,230417
2010-03-17,54.74,54.99,54.12,54.85,32.7622,318195
2010-03-18,54.58,55.0,54.53,54.62,32.6249,172856
2010-03-19,54.93,54.93,53.9,54.41,32.4994,453619
2010-03-22,54.03,55.0,53.9,54.9,32.7921,167320
2010-03-23,55.03,55.03,54.1,54.38,32.4815,414818
2010-03-24,54.24,54.5,53.82,54.12,32.3262,531206
2010-03-25,54.4,54.48,53.73,53.82,32.147,624089
2010-03-26,54.04,54.22,53.26,53.64,32.0395,212381
2010-03-29,53.65,54.27,53.65,54.04,32.2784,270510
