date,open,high,low,close,adjusted_close,volume
2010-01-04,27.6072,27.9361,27.204,27.6284,22.4775,2700000
2010-01-05,27.5754,27.9255,27.3738,27.7876,22.607,2480000
2010-01-06,27.7452,28.021,27.533,27.8725,22.6761,2630000
2010-01-07,27.7558,28.1696,27.7027,27.9786,22.7624,2410000
2010-01-08,27.7876,28.1696,27.7664,28.0422,22.8142,3730000
2010-01-11,28.1377,28.3393,27.8088,27.9786,22.7624,2560000
2010-01-12,27.7876,27.8513,27.2253,27.7452,22.5725,2840000
2010-01-13,27.8088,28.2226,27.7133,28.1377,22.8918,2480000
2010-01-14,28.0635,29.8778,27.968,29.6974,24.1607,6730000
2010-01-15,29.6868,29.6868,29.0396,29.3048,23.8414,4590000
2010-01-19,29.4109,29.5276,29.1457,29.5064,24.0054,2460000
2010-01-20,29.326,29.3791,28.6682,28.7955,23.427,3350000
2010-01-21,28.9335,29.3685,28.1271,28.1377,22.8918,4130000
2010-01-22,28.1271,28.2544,27.4056,27.4481,22.3308,3130000
2010-01-25,27.7345,27.8937,27.3208,27.5117,22.3826,1870000
2010-01-26,27.395,27.7452,27.1192,27.1404,22.0804,3850000
2010-01-27,27.1192,27.2253,26.3022,26.8857,21.8733,3670000
2010-01-28,27.0555,27.2359,26.3234,26.6735,21.7006,2680000
2010-01-29,26.7796,27.1298,26.143,26.2279,21.3381,4770000
2010-02-01,26.3871,26.6311,26.334,26.5674,21.6143,2630000
2010-02-02,26.6948,27.0025,26.5887,26.8009,21.8042,3690000
2010-02-03,26.6948,26.716,26.3871,26.5144,21.5712,3790000
2010-02-04,26.7054,27.204,25.7399,25.7399,20.941,6070000
2010-02-05,25.7823,26.2173,25.6338,26.2067,21.3208,7430000
2010-02-08,26.2279,26.4401,25.8354,25.9521,21.1137,3010000
2010-02-09,26.3765,26.4507,25.9945,26.1218,21.2518,4290000
2010-02-10,26.281,26.7796,26.2279,26.3977,21.4762,5500000
2010-02-11,26.3871,26.7478,25.9202,26.6629,21.692,4960000
2010-02-12,26.8115,26.9918,26.2598,26.8433,21.8388,4120000
2010-02-16,27.1298,27.2677,26.7054,27.1192,22.0632,5580000
2010-02-17,27.0767,27.3208,26.9282,27.0873,22.0698,4330000
2010-02-18,26.8221,27.0979,26.7478,27.0555,22.0439,2900000
2010-02-19,26.8751,27.3314,26.8645,27.2571,22.2082,3080000
2010-02-22,27.2677,27.5011,27.1722,27.3632,22.2946,4150000
2010-02-23,27.3208,27.4269,26.8221,27.0767,22.0612,3130000
2010-02-24,27.204,27.2783,26.9706,27.2571,22.2082,2960000
2010-02-25,27.0237,27.0343,26.6417,27.0025,22.0007,3570000
2010-02-26,27.0025,27.2465,26.7266,27.1086,22.0871,2710000
2010-03-01,27.2359,27.4905,27.0661,27.2253,22.1822,2550000
2010-03-02,27.4587,27.5011,26.8115,26.8751,21.8969,3910000
2010-03-03,27.0131,27.0661,26.525,26.7266,21.7759,4170000
2010-03-04,26.7054,27.0237,26.5674,26.9918,21.992,3820000
2010-03-05,27.0979,28.021,27.0449,27.8725,22.7095,5560000
2010-03-08,27.9574,27.9574,27.5754,27.9043,22.7355,2820000
2010-03-09,27.8513,28.3393,27.4905,28.1059,22.8997,4820000
2010-03-10,28.0847,28.1908,27.6921,28.1059,22.8997,3420000
2010-03-11,27.9467,28.3499,27.7558,28.3287,23.0813,3670000
2010-03-12,28.3924,28.8062,28.2863,28.7001,23.3838,4610000
2010-03-15,28.6576,28.6894,28.2438,28.6258,23.3233,2470000
2010-03-16,28.6258,28.8062,28.4242,28.8062,23.4703,2870000
2010-03-17,28.7637,28.891,28.5091,28.7213,23.4011,2860000
2010-03-18,28.7637,28.8804,28.4772,28.7425,23.4184,2730000
2010-03-19,29.1245,29.464,28.9441,29.0608,23.6777,3620000
2010-03-22,28.7107,29.7504,28.7107,29.5489,24.0754,3930000
2010-03-23,29.6231,29.8565,29.4321,29.7504,24.2397,4710000
2010-03-24,29.6125,29.7717,29.4109,29.6762,24.1791,3830000
2010-03-25,30.3552,30.8327,30.1006,30.1536,24.5682,17340000
2010-03-26,30.2809,31.2358,30.2067,31.0979,25.3375,8000000
2010-03-29,31.1404,31.4587,31.0343,31.2783,25.4845,5520000
2010-03-30,31.2783,31.9785,31.2252,31.7876,25.8994,5630000
2010-03-31,31.6178,31.9255,31.448,31.5223,25.6833,3920000
2010-04-01,31.6709,32.0953,31.6284,31.9361,26.0205,3710000
2010-04-05,32.1059,32.7637,32.1059,32.4454,26.4354,3620000
2010-04-06,32.2332,32.8061,32.1801,32.7,26.6429,3390000
2010-04-07,32.7106,32.9122,32.1377,32.3499,26.3576,11140000
2010-04-08,32.2968,32.9759,32.0528,32.8592,26.7725,10010000
2010-04-09,32.9334,33.1032,32.5833,33.1032,26.9714,3180000
2010-04-12,33.0926,33.273,32.7212,32.9865,26.8763,2880000
2010-04-13,32.9759,33.517,32.8273,33.3578,27.1788,3670000
2010-04-14,33.5382,33.9626,33.3897,33.9096,27.6284,3610000
2010-04-15,33.7716,34.3764,33.7398,34.0369,27.7321,4200000
2010-04-16,33.899,34.2066,33.5064,33.8777,27.6024,6910000
2010-04-19,33.6655,34.0475,33.1987,33.8777,27.6024,4560000
2010-04-20,34.0581,34.4295,33.9096,34.1854,27.8531,5210000
2010-04-21,34.1642,34.7265,34.0687,34.6735,28.2508,5140000
2010-04-22,34.7478,37.0289,34.3976,36.8273,30.0056,10500000
2010-04-23,36.9971,37.5912,36.6151,37.57,30.6108,7110000
2010-04-26,37.4851,38.0793,37.3684,37.379,30.4552,6470000
2010-04-27,37.2517,37.3684,35.9997,36.0528,29.3746,9020000
2010-04-28,36.2119,36.3286,35.3101,35.8936,29.2449,6850000
2010-04-29,36.3605,38.1536,36.3074,37.6761,30.6972,5910000
2010-04-30,37.7398,37.7716,36.6788,36.7637,29.9538,5090000
2010-05-03,37.0183,37.7186,36.8485,37.6867,30.7059,3000000
2010-05-04,37.1881,37.1881,35.9997,36.1589,29.461,4520000
2010-05-05,35.6602,36.2968,34.9493,35.2676,28.7349,4830000
2010-05-06,35.1191,35.883,32.0528,34.3021,27.9482,7060000
2010-05-07,34.0369,34.334,32.4772,33.3472,27.1702,6970000
2010-05-10,34.9918,35.9891,34.96,35.7981,29.1671,5760000
2010-05-11,35.0661,36.1483,34.6417,35.6072,29.0115,4230000
2010-05-12,35.6814,36.7318,35.6072,36.7106,29.9106,3440000
2010-05-13,36.5727,37.1244,35.9042,36.0316,29.3573,3710000
2010-05-14,35.7345,35.7663,34.2385,34.6098,28.1989,4400000
2010-05-17,34.6841,35.3101,33.9308,34.9281,28.4583,4610000
2010-05-18,35.3737,35.8936,34.1748,34.3021,27.9482,3800000
2010-05-19,34.0581,34.5143,32.6576,33.6974,27.4875,5400000
2010-05-20,32.6788,33.3366,32.1907,32.2438,26.3018,7950000
2010-05-21,31.6072,33.0395,31.2783,32.9441,26.873,5560000
2010-05-24,32.6258,33.1563,32.2438,32.2756,26.3278,3240000
2010-05-25,31.2358,32.3393,30.8857,32.2544,26.3105,9030000
2010-05-26,32.6682,33.3578,32.1589,32.2862,26.3364,5450000
2010-05-27,33.0077,34.0475,32.838,34.0263,27.7558,3000000
2010-05-28,34.0051,34.2279,33.0714,33.4533,27.2885,3300000
2010-06-01,32.9971,33.6231,32.8061,32.8804,26.8211,3640000
2010-06-02,32.9334,33.5064,32.456,33.5064,27.3317,3860000
2010-06-03,33.57,34.4613,33.5276,34.3764,28.0414,4740000
2010-06-04,33.273,33.4852,31.8618,32.1801,26.2499,5050000
2010-06-07,32.2226,32.5303,31.0236,31.0979,25.3671,5440000
2010-06-08,31.0767,32.2332,30.4401,32.1377,26.2153,6450000
2010-06-09,32.3393,33.6761,32.2862,32.509,26.5182,5980000
2010-06-10,32.7425,33.6019,32.7319,33.4109,27.2538,4500000
2010-06-11,32.9228,33.3472,32.5939,33.326,27.1846,2710000
2010-06-14,33.5913,34.5249,33.517,33.9732,27.7125,5760000
2010-06-15,34.3976,35.204,34.2173,35.1509,28.6732,4270000
2010-06-16,34.8857,35.6178,34.8857,35.3207,28.8117,5010000
2010-06-17,35.3207,35.4586,34.7371,35.2464,28.7511,4830000
2010-06-18,35.3844,35.83,35.0979,35.2995,28.7944,5050000
2010-06-21,35.8936,36.3923,34.9493,35.257,28.7598,4290000
2010-06-22,35.1297,35.3737,33.9202,34.0687,27.7904,5080000
2010-06-23,34.1112,34.3446,33.2836,33.7186,27.5048,4610000
2010-06-24,33.6125,33.9096,32.5409,32.6576,26.6394,5310000
2010-06-25,32.6788,32.8592,31.8618,32.7106,26.6826,10440000
2010-06-28,32.9122,33.1563,32.1801,32.2226,26.2845,3080000
2010-06-29,31.5117,31.7451,30.4295,30.6417,24.995,5300000
2010-06-30,30.6417,31.2358,29.8778,29.9414,24.4237,4730000
2010-07-01,29.9096,30.3552,29.1032,30.1218,24.5709,6560000
2010-07-02,30.334,30.5462,29.3367,29.5489,24.1035,4100000
2010-07-06,29.9733,30.3446,28.9441,29.2518,23.8612,4690000
2010-07-07,29.2836,30.769,29.2836,30.7478,25.0815,4340000
2010-07-08,31.0979,31.1404,30.1961,30.6841,25.0296,4520000
2010-07-09,30.7478,31.2995,30.6841,31.1404,25.4017,2640000
2010-07-12,30.5674,31.3419,30.5674,30.9706,25.2632,4790000
2010-07-13,31.3419,32.2226,31.3101,31.8724,25.9989,4600000
2010-07-14,31.7876,32.4242,31.586,32.1589,26.2326,6580000
2010-07-15,32.0316,32.1907,31.0873,31.6602,25.8258,7150000
2010-07-16,31.4056,31.6072,30.2279,30.3128,24.7267,5570000
2010-07-19,30.4295,30.96,30.0475,30.9388,25.2373,4770000
2010-07-20,30.3128,31.6178,30.3128,31.5541,25.7393,4080000
2010-07-21,31.777,31.777,30.525,30.7584,25.0902,3740000
2010-07-22,31.2252,32.2756,31.2252,32.0422,26.1374,3760000
2010-07-23,32.0316,33.1563,31.7239,33.1456,27.0375,4710000
2010-07-26,33.1987,34.0581,32.9122,33.8777,27.6347,4250000
2010-07-27,34.0051,34.0051,33.2411,33.5807,27.3923,4080000
2010-07-28,33.6125,34.1324,33.3578,33.6761,27.4702,3930000
2010-07-29,33.8671,34.2066,33.3578,33.761,27.5395,3900000
2010-07-30,33.2624,34.0369,33.0608,33.9096,27.6606,4310000
2010-08-02,34.5462,35.4162,34.334,35.3207,28.8117,4660000
2010-08-03,35.2783,35.4586,34.4825,34.9493,28.5088,4830000
2010-08-04,35.1191,35.7239,34.8751,35.639,29.0713,3010000
2010-08-05,35.2676,35.7027,35.1297,35.3525,28.8377,2730000
2010-08-06,34.9387,35.1934,34.3976,35.1828,28.6992,3140000
2010-08-09,35.395,35.7027,35.257,35.639,29.0713,1800000
2010-08-10,35.0024,35.1828,34.4507,34.8326,28.4136,3060000
2010-08-11,34.1005,34.1324,33.3578,33.5594,27.375,3310000
2010-08-12,32.9016,33.9308,32.7955,33.6125,27.4183,3810000
2010-08-13,33.4003,33.9308,33.2836,33.4852,27.3144,2620000
2010-08-16,33.1669,33.899,33.0502,33.7929,27.5654,2290000
2010-08-17,34.1748,35.1934,33.9626,34.6841,28.3259,3360000
2010-08-18,34.5992,35.0767,34.2066,34.7053,28.3433,2520000
2010-08-19,34.4825,34.6417,33.1881,33.57,27.4161,3680000
2010-08-20,33.2836,33.6549,32.7849,33.57,27.4161,3150000
2010-08-23,33.8459,33.8777,33.082,33.1456,27.0695,1980000
2010-08-24,32.5303,32.6258,31.639,32.0104,26.1424,4510000
2010-08-25,31.8406,32.2862,31.4587,32.1589,26.2637,4260000
2010-08-26,32.265,33.0077,31.7876,31.9255,26.073,3670000
2010-08-27,32.1165,32.9441,31.2571,32.7,26.7056,4720000
2010-08-30,32.6576,32.6576,31.6602,31.6602,25.8564,2450000
2010-08-31,31.5329,32.3181,31.3313,31.9785,26.1164,3920000
2010-09-01,32.509,33.6549,32.3923,33.6019,27.4421,3690000
2010-09-02,33.4958,34.7584,33.4958,34.7159,28.3519,3880000
2010-09-03,35.1191,35.5859,34.8326,35.3525,28.8718,3270000
2010-09-07,35.0767,35.1509,34.6523,34.7796,28.4039,2960000
2010-09-08,34.7478,35.4162,34.7478,35.2783,28.8112,2950000
2010-09-09,35.7557,36.021,35.3631,35.5117,29.0018,2970000
2010-09-10,35.5966,35.9891,35.3631,35.5117,29.0018,2380000
2010-09-13,35.9361,36.2544,35.7875,36.1801,29.5477,2760000
2010-09-14,36.0634,36.6894,35.7769,36.2013,29.565,3970000
2010-09-15,35.9679,36.074,35.5859,35.9467,29.3571,3220000
2010-09-16,35.7663,35.9679,35.2676,35.2995,28.8285,3940000
2010-09-17,35.4374,36.0103,35.2146,35.6178,29.0885,7710000
2010-09-20,35.7981,36.7318,35.7027,36.4029,29.7297,3610000
2010-09-21,36.4029,36.5408,35.9042,36.0634,29.4524,3790000
2010-09-22,35.9997,36.2968,35.204,35.257,28.7939,4820000
2010-09-23,34.8857,35.3419,34.5143,34.578,28.2393,3160000
2010-09-24,35.2783,36.4135,35.2358,36.2225,29.5824,4080000
2010-09-27,36.2968,36.2968,35.8406,35.9255,29.3398,2930000
2010-09-28,35.9785,36.4135,35.1085,36.318,29.6604,3630000
2010-09-29,36.1377,36.318,35.692,35.8724,29.2964,2170000
2010-09-30,36.0952,36.6682,35.5011,35.83,29.2618,2760000
2010-10-01,36.1483,36.3286,35.7133,36.2862,29.6344,3070000
2010-10-04,36.1271,36.7,35.9785,36.7,29.9723,4400000
2010-10-05,36.9334,37.8777,36.8167,37.814,30.8821,5750000
2010-10-06,37.8989,37.9095,37.2199,37.8671,30.9255,6170000
2010-10-07,36.1483,37.0183,35.1297,35.6708,29.1318,12500000
2010-10-08,35.7027,36.4029,35.6178,36.1695,29.539,5390000
2010-10-11,36.1483,36.2119,35.4056,35.6708,29.1318,3240000
2010-10-12,35.4374,35.9467,35.1191,35.7663,29.2098,3350000
2010-10-13,36.1377,36.2119,35.6814,35.9997,29.4004,5660000
2010-10-14,35.8618,36.2225,35.6284,35.9361,29.3484,5190000
2010-10-15,36.2332,36.2544,35.448,35.6072,29.0798,5530000
2010-10-18,35.5966,35.7133,35.2783,35.4905,28.9845,3170000
2010-10-19,35.1191,35.6814,34.8008,35.0342,28.6119,3800000
2010-10-20,35.1297,36.4984,35.0767,36.0316,29.4264,4090000
2010-10-21,36.1483,36.6045,35.8406,36.2332,29.591,4580000
2010-10-22,36.5408,37.6125,36.3074,37.2942,30.4575,3610000
2010-10-25,37.5382,38.0581,37.4109,37.57,30.6828,2790000
2010-10-26,37.9201,38.2384,37.7079,37.7716,30.8475,3780000
2010-10-27,37.4427,37.7504,37.2623,37.7079,30.7955,3660000
2010-10-28,38.0581,38.0581,36.9652,37.5276,30.6482,3840000
2010-10-29,37.3154,37.7079,36.6045,37.0501,30.2582,7190000
2010-11-01,37.3684,37.761,37.1562,37.4321,30.5702,4250000
2010-11-02,37.761,37.952,37.3472,37.9414,30.9861,3320000
2010-11-03,38.0369,38.1005,37.4215,38.0262,31.0554,3570000
2010-11-04,38.1217,39.5541,38.1217,39.1509,31.9739,5730000
2010-11-05,39.1827,39.9997,38.9493,39.5541,32.3032,5360000
2010-11-08,39.4268,39.5965,38.9599,39.4692,32.2339,2990000
2010-11-09,39.3843,39.5859,38.2703,38.5567,31.4887,4060000
2010-11-10,38.4719,39.3313,38.2915,39.1933,32.0086,2840000
2010-11-11,38.7583,39.4586,38.2597,39.1297,31.9566,2740000
2010-11-12,38.7796,39.5329,38.3021,38.5461,31.48,3040000
2010-11-15,38.7689,38.9705,38.2597,38.3021,31.2807,2130000
2010-11-16,37.9944,38.2597,37.379,37.5912,30.7705,3530000
2010-11-17,37.5594,38.0475,37.1032,37.7928,30.9355,2300000
