date,open,high,low,close,adjusted_close,volume
2010-01-04,62.63,63.07,62.31,62.78,42.269,5839300
2010-01-05,62.66,62.75,62.19,62.3,41.9458,7099000
2010-01-06,62.2,62.41,61.06,61.45,41.3735,10551300
2010-01-07,61.25,62.34,61.11,61.9,41.6765,7517700
2010-01-08,62.27,62.41,61.6,61.84,41.6361,6107300
2010-01-11,62.02,62.43,61.85,62.32,41.9593,6081300
2010-01-12,62.03,62.66,62.0,62.66,42.1882,7199400
2010-01-13,62.86,63.29,62.56,62.59,42.1411,8623000
2010-01-14,62.56,62.73,62.09,62.65,42.1815,7095600
2010-01-15,62.67,62.98,62.05,62.28,41.9323,9429100
2010-01-19,62.9,63.82,62.77,63.48,42.7403,8551500
2010-01-20,63.49,63.6,62.75,63.01,42.4238,6996800
2010-01-21,62.97,63.6,62.8,63.2,42.5518,11724100
2010-01-22,63.23,64.78,62.81,63.39,42.6797,15645900
2010-01-25,63.34,63.6,62.92,63.09,42.4777,6382200
2010-01-26,62.75,64.0,62.75,63.81,42.9625,9292700
2010-01-27,63.67,64.0,63.3,63.73,42.9086,8080800
2010-01-28,63.85,63.87,62.75,62.83,42.3027,8560100
2010-01-29,62.82,63.22,62.39,62.43,42.0333,7589600
2010-02-01,62.83,63.97,62.83,63.89,43.0163,8062700
2010-02-02,63.87,64.05,63.35,64.03,43.1106,7271400
2010-02-03,64.63,65.75,64.61,65.21,43.9051,13695300
2010-02-04,65.19,65.27,64.02,64.06,43.1308,10868400
2010-02-05,64.07,64.34,62.63,63.37,42.6662,14007600
2010-02-08,63.48,63.8,62.92,62.92,42.3632,6975100
2010-02-09,63.15,63.85,62.77,63.57,42.8009,10131500
2010-02-10,63.54,63.83,62.97,63.25,42.5854,6161300
2010-02-11,63.25,63.84,62.54,63.79,42.949,7478900
2010-02-12,63.21,63.89,63.19,63.59,42.8143,6749800
2010-02-16,63.5,64.18,63.28,64.01,43.0971,7090200
2010-02-17,64.21,64.35,63.77,64.26,43.2655,5424600
2010-02-18,64.11,64.62,64.0,64.48,43.4136,4975800
2010-02-19,64.46,64.89,64.3,64.74,43.5886,5622600
2010-02-22,64.93,64.93,64.63,64.77,43.6088,4274900
2010-02-23,64.78,65.05,64.7,64.87,43.6762,7485700
2010-02-24,64.96,65.55,64.77,65.26,43.9387,7579700
2010-02-25,64.29,64.64,63.76,64.38,43.7147,8500000
2010-02-26,64.46,64.73,63.85,63.85,43.3548,8288400
2010-03-01,63.98,64.14,63.67,63.98,43.4431,6320300
2010-03-02,64.42,64.42,63.91,64.07,43.5042,6271700
2010-03-03,64.25,64.34,63.45,63.63,43.2054,6396100
2010-03-04,63.79,63.79,63.3,63.43,43.0696,5958200
2010-03-05,63.72,63.76,63.25,63.67,43.2326,8154600
2010-03-08,64.41,65.54,64.23,65.12,44.2171,11825600
2010-03-09,64.99,65.5,64.84,65.1,44.2036,7126900
2010-03-10,65.02,65.24,64.73,64.94,44.0949,6900200
2010-03-11,64.8,65.21,64.67,65.21,44.2782,4350400
2010-03-12,65.46,65.98,65.36,65.53,44.4955,6601700
2010-03-15,65.7,66.19,65.69,65.93,44.7671,5715100
2010-03-16,66.22,66.24,65.8,66.07,44.8622,5705600
2010-03-17,66.23,66.44,65.87,66.38,45.0727,4818800
2010-03-18,66.47,66.74,66.36,66.68,45.2764,6206700
2010-03-19,66.53,66.91,66.0,66.53,45.1745,10230100
2010-03-22,66.07,67.25,65.9,67.01,45.5005,7386400
2010-03-23,67.14,67.35,66.83,67.35,45.7313,8057700
2010-03-24,66.99,67.19,66.58,66.8,45.3579,6363700
2010-03-25,67.13,67.44,66.84,66.9,45.4258,5705600
2010-03-26,67.09,67.45,66.93,67.26,45.6702,5984100
2010-03-29,67.46,67.48,66.59,67.07,45.5412,6522600
2010-03-30,67.11,67.49,66.92,67.24,45.6566,5093500
2010-03-31,67.15,67.39,66.63,66.72,45.3035,5765600
2010-04-01,67.06,67.71,67.06,67.58,45.8875,5474200
2010-04-05,67.76,68.2,67.76,68.03,46.1931,4875200
2010-04-06,67.77,67.96,67.65,67.81,46.0437,3318300
2010-04-07,67.8,68.13,67.26,67.7,45.969,6623700
2010-04-08,67.9,69.03,67.87,68.76,46.6887,7141000
2010-04-09,68.66,68.77,68.14,68.68,46.6344,5622100
2010-04-12,68.77,68.85,68.37,68.53,46.5326,4025000
2010-04-13,68.68,69.05,68.31,68.92,46.7974,5652600
2010-04-14,69.18,69.53,69.05,69.42,47.1369,6193000
2010-04-15,69.31,69.49,68.97,69.16,46.9603,4767200
2010-04-16,69.11,69.28,68.33,69.03,46.8721,7876100
2010-04-19,69.0,69.97,68.99,69.92,47.4764,7157900
2010-04-20,69.98,70.59,69.95,70.34,47.7616,7340300
2010-04-21,70.62,71.19,70.05,70.36,47.7751,10738100
2010-04-22,70.25,71.47,70.12,71.03,48.2301,7139600
2010-04-23,71.22,71.35,70.75,71.15,48.3116,5923700
2010-04-26,71.3,71.42,70.73,71.02,48.2233,6035600
2010-04-27,70.71,71.33,70.4,70.53,47.8906,8154400
2010-04-28,70.48,70.73,69.76,70.34,47.7616,7589400
