date,open,high,low,close,adjusted_close,volume
2010-01-04,29.46,29.48,29.1,29.18,10.0622,3037304
2010-01-05,29.22,29.31,28.63,28.72,9.9036,15590954
2010-01-06,28.7,28.92,28.43,28.48,9.8208,5567604
2010-01-07,28.69,28.69,28.12,28.33,9.7691,3576728
2010-01-08,28.3,28.61,28.08,28.5,9.8277,4100172
2010-01-11,28.49,28.57,28.18,28.46,9.8139,4489474
2010-01-12,28.35,28.54,27.74,27.99,9.6519,4669772
2010-01-13,28.12,28.28,27.62,28.23,9.7346,4033558
2010-01-14,28.11,28.16,27.71,28.03,9.6657,4517378
2010-01-15,27.79,28.11,27.2725,27.39,9.445,4669250
2010-01-19,27.43,27.85,27.43,27.76,9.5726,3039266
2010-01-20,27.49,27.76,27.07,27.5,9.4829,8036540
2010-01-21,27.53,27.94,27.09,27.23,9.3898,7321548
2010-01-22,27.23,27.23,26.17,26.21,9.0381,8878586
2010-01-25,26.29,26.62,26.27,26.44,9.1174,7806250
2010-01-26,26.35,26.74,26.18,26.43,9.1139,6810782
2010-01-27,26.3,26.72,26.16,26.64,9.1864,6090366
2010-01-28,26.6,26.7,25.79,26.39,9.1001,10336682
2010-01-29,26.4,26.95,25.77,25.81,8.9001,7683302
2010-02-01,26.0,26.58,25.8,26.51,9.1415,6397306
2010-02-02,26.6,26.69,26.23,26.56,9.1588,6929356
2010-02-03,26.445,26.98,26.07,26.92,9.2829,8873010
2010-02-04,26.6,26.61,25.54,25.95,8.9484,11151860
2010-02-05,25.92,26.37,25.7,26.28,9.0622,7527154
2010-02-08,26.43,26.72,26.0,26.28,9.0622,4732074
2010-02-09,26.63,26.68,26.01,26.41,9.107,7003658
2010-02-10,26.4,26.76,26.21,26.66,9.1933,4906122
2010-02-11,26.59,27.25,26.37,27.19,9.376,6176270
2010-02-12,26.94,27.48,26.62,27.23,9.3898,5386144
2010-02-16,27.11,27.245,26.97,27.2,9.4984,5623226
2010-02-17,27.34,27.36,26.67,27.06,9.4495,7716014
2010-02-18,27.07,27.31,26.88,27.27,9.5229,5353894
2010-02-19,27.37,27.54,27.08,27.41,9.5717,3394390
2010-02-22,27.59,27.59,27.04,27.08,9.4565,4593738
2010-02-23,27.02,27.18,26.7,26.88,9.3867,6541372
2010-02-24,27.09,27.52,27.09,27.29,9.5298,3485866
2010-02-25,26.98,27.16,26.57,27.12,9.4705,4543034
2010-02-26,27.05,27.27,26.75,27.06,9.4495,3695498
2010-03-01,27.28,27.53,27.09,27.49,9.5997,3405508
2010-03-02,27.27,27.61,27.165,27.29,9.5298,5809386
2010-03-03,27.45,27.5,26.92,27.01,9.4321,3652346
2010-03-04,27.15,27.2,26.68,27.0,9.4286,6102952
2010-03-05,27.14,27.43,26.86,27.26,9.5194,4047744
2010-03-08,27.21,27.25,27.02,27.09,9.46,2131532
2010-03-09,26.97,27.05,26.77,26.92,9.4006,3557730
2010-03-10,26.9,27.33,26.87,27.28,9.5263,5024964
2010-03-11,27.2,27.59,26.84,27.51,9.6067,8108248
2010-03-12,27.5,28.26,27.4,28.23,9.8581,10705970
2010-03-15,28.0,28.25,27.73,27.84,9.7219,7171378
2010-03-16,28.35,28.63,27.81,28.35,9.9,9134124
2010-03-17,28.33,28.75,28.33,28.61,9.9908,6348126
2010-03-18,28.55,28.58,28.19,28.47,9.9419,4313310
2010-03-19,28.69,28.69,28.1,28.25,9.8651,7190932
2010-03-22,28.21,28.89,28.2,28.79,10.0536,5138968
2010-03-23,28.9,29.12,28.76,29.07,10.1514,5123198
2010-03-24,28.8,28.922,28.5,28.56,9.9733,4435930
2010-03-25,28.77,28.93,28.5,28.5,9.9524,4237690
2010-03-26,28.63,28.82,28.25,28.43,9.9279,3395358
2010-03-29,28.5,28.76,28.47,28.56,9.9733,2744660
2010-03-30,28.5,28.74,28.265,28.43,9.9279,5313306
2010-03-31,28.21,28.51,28.08,28.16,9.8336,9270174
2010-04-01,28.36,28.71,28.12,28.39,9.914,3778704
2010-04-05,28.49,28.85,28.47,28.67,10.0117,4303594
2010-04-06,28.65,28.73,28.45,28.69,10.0187,4361554
2010-04-07,28.56,28.97,28.42,28.71,10.0257,3756878
2010-04-08,28.51,28.52,28.18,28.46,9.9384,6165506
2010-04-09,28.53,28.68,28.36,28.64,10.0013,4810480
2010-04-12,28.76,28.91,28.62,28.73,10.0327,3935348
2010-04-13,28.76,29.15,28.69,29.1,10.1619,3682384
2010-04-14,29.17,30.43,29.17,30.4,10.6159,10623144
2010-04-15,30.31,30.62,30.01,30.27,10.5705,8097692
2010-04-16,30.24,30.24,29.78,30.14,10.5251,8864672
2010-04-19,30.18,30.25,29.35,29.88,10.4343,7058076
2010-04-20,30.79,30.99,30.5,30.55,10.6682,9966700
2010-04-21,30.6,30.67,29.76,30.14,10.5251,7331182
2010-04-22,29.73,30.51,29.38,30.48,10.6438,7171766
2010-04-23,30.57,30.625,29.99,30.6,10.6857,5022074
2010-04-26,30.67,30.9,30.48,30.62,10.6927,5573348
2010-04-27,30.53,30.62,29.66,29.71,10.3749,5547280
2010-04-28,30.04,30.25,29.62,29.99,10.4727,8052554
2010-04-29,30.26,30.37,29.9,30.34,10.5949,4758982
2010-04-30,30.43,30.43,29.17,29.21,10.2003,5751522
2010-05-03,29.27,29.7,29.18,29.67,10.3609,4917824
2010-05-04,29.43,29.53,28.59,28.83,10.0676,11599456
2010-05-05,28.86,29.24,28.5,28.99,10.1235,7388548
2010-05-06,29.55,29.55,26.13,27.91,9.7463,15999956
2010-05-07,27.73,28.31,26.86,27.8,9.7079,12457050
2010-05-10,28.8,28.89,28.4,28.87,10.0816,6401272
2010-05-11,28.7,29.11,28.49,28.71,10.0257,6092568
2010-05-12,28.71,29.24,28.6,29.21,10.2003,5776656
2010-05-13,29.06,29.32,28.61,28.69,10.0187,6427454
2010-05-14,28.56,28.69,27.75,28.08,9.8057,5567566
2010-05-17,27.62,28.285,27.57,28.27,9.9938,6180508
2010-05-18,28.41,28.49,27.32,27.55,9.7392,6768198
2010-05-19,27.44,27.88,27.05,27.69,9.7887,5845332
2010-05-20,27.07,27.41,26.6,26.84,9.4883,7207298
2010-05-21,26.37,27.7076,26.35,27.36,9.6721,7956346
2010-05-24,27.25,27.38,26.79,26.79,9.4706,4819166
2010-05-25,26.19,26.88,25.68,26.85,9.4918,8954184
2010-05-26,26.95,27.375,26.61,26.7,9.4388,6337140
2010-05-27,27.3,28.13,27.08,28.08,9.9266,8257448
2010-05-28,28.01,28.1,27.5501,27.85,9.8453,9531144
2010-06-01,27.57,28.045,27.32,27.35,9.6685,5622900
2010-06-02,27.58,27.961,27.3,27.96,9.8842,4597386
