date,open,high,low,close,adjusted_close,volume
2010-01-04,62.99,63.48,62.5,63.36,56.3813,2035109
2010-01-05,63.31,63.64,63.24,63.59,56.586,2133111
2010-01-06,62.75,62.75,60.77,61.0,54.2813,4229931
2010-01-07,62.13,62.13,60.4,61.13,54.397,3789283
2010-01-08,61.21,61.38,60.25,60.77,54.0766,2608453
2010-01-11,60.73,61.59,60.73,61.46,54.6906,1276093
2010-01-12,61.42,62.45,60.95,62.32,55.4559,3581943
2010-01-13,62.33,62.89,61.92,62.51,55.625,2064249
2010-01-14,62.58,62.63,61.93,61.99,55.1622,1846813
2010-01-15,61.89,62.18,61.47,61.92,55.1,2651980
2010-01-19,62.24,63.47,61.79,63.16,56.2034,2766599
2010-01-20,63.19,63.47,62.06,62.4,55.5271,1331281
2010-01-21,62.41,62.73,60.93,61.33,54.5749,2065099
2010-01-22,61.02,61.49,60.54,60.57,53.8986,1683298
2010-01-25,61.15,61.57,60.39,61.44,54.6728,2246703
2010-01-26,61.53,62.62,60.91,62.35,55.4826,2978641
2010-01-27,60.16,61.5,58.3,59.52,52.9643,8194195
2010-01-28,59.61,61.27,59.61,60.31,53.6673,2918463
2010-01-29,60.52,60.64,58.71,58.82,52.3414,3149856
2010-02-01,58.99,59.8,58.16,59.53,52.9732,1974104
2010-02-02,59.57,60.49,59.34,60.46,53.8008,1962901
2010-02-03,60.35,60.35,59.92,60.2,53.5694,2029279
2010-02-04,59.88,60.11,58.49,58.6,52.1456,2596967
2010-02-05,58.51,58.56,57.23,58.28,51.8609,3209735
2010-02-08,58.41,58.7,57.56,58.31,51.8876,2296240
2010-02-09,58.37,59.24,58.37,58.75,52.2791,1693127
2010-02-10,58.81,58.93,57.8,58.61,52.1545,1863333
2010-02-11,58.62,59.29,58.06,58.99,52.4927,2398903
2010-02-12,58.54,59.04,58.0,58.99,52.4927,1959326
2010-02-16,59.09,60.0,59.04,59.88,53.2846,1782475
2010-02-17,59.95,60.5,59.3,60.27,53.6317,2029511
2010-02-18,60.28,60.72,60.04,60.71,54.0232,1467488
2010-02-19,60.37,60.84,59.95,60.75,54.0588,1758219
