date,open,high,low,close,adjusted_close,volume
2010-01-04,26.94,27.275,26.82,27.27,22.8833,1859680
2010-01-05,27.16,27.3,26.68,26.99,22.6483,1982315
2010-01-06,26.6,26.9,26.41,26.42,22.17,2019047
2010-01-07,26.32,26.52,26.25,26.34,22.1029,3805558
2010-01-08,26.2,26.85,26.12,26.84,22.5225,2144173
2010-01-11,26.88,26.95,26.5,26.68,22.3882,1459587
2010-01-12,26.53,26.92,26.31,26.82,22.5057,2884276
2010-01-13,26.92,27.76,26.65,27.68,23.2273,3141876
2010-01-14,27.66,27.8,27.09,27.78,23.3113,2353620
2010-01-15,27.67,27.77,27.24,27.42,23.0092,2439361
2010-01-19,27.56,27.76,27.29,27.7,23.2441,1712203
2010-01-20,27.58,27.97,27.39,27.63,23.1854,2323402
2010-01-21,27.77,27.95,27.32,27.32,22.9253,2525247
2010-01-22,27.24,27.78,26.91,26.97,22.6316,3456445
2010-01-25,27.08,27.29,26.285,26.33,22.0945,3612847
2010-01-26,26.21,26.69,26.2,26.63,22.3463,4660484
2010-01-27,27.3,29.18,27.16,28.83,24.1924,6819796
2010-01-28,29.01,29.01,28.15,28.32,23.7644,3915202
2010-01-29,28.44,28.6,27.58,27.59,23.1518,3795432
2010-02-01,27.84,28.15,27.74,27.92,23.4287,2757835
2010-02-02,27.88,28.54,27.8,28.37,23.8064,3617964
2010-02-03,28.24,28.45,28.01,28.1,23.5798,2824702
2010-02-04,27.68,27.68,26.35,26.39,22.1449,5817416
2010-02-05,26.52,27.36,26.41,27.34,22.942,5023149
2010-02-08,27.28,27.4,26.47,26.48,22.2204,3593228
2010-02-09,26.75,27.02,26.53,26.76,22.4553,3464467
2010-02-10,26.71,27.06,26.235,26.66,22.3714,2910535
2010-02-11,26.63,27.21,26.45,27.12,22.7574,2867195
2010-02-12,26.86,27.095,26.42,26.98,22.64,3033194
2010-02-16,27.19,27.27,26.91,27.24,22.8581,2389457
2010-02-17,27.37,27.4,27.025,27.07,22.8034,2529044
2010-02-18,27.0,27.13,26.81,26.9,22.6602,2146927
2010-02-19,26.72,27.13,26.58,27.09,22.8202,2362366
2010-02-22,27.18,27.18,26.7,26.8,22.5759,2118880
2010-02-23,26.79,26.91,26.39,26.72,22.5085,2923206
2010-02-24,26.81,27.07,26.62,27.02,22.7613,1887344
2010-02-25,26.67,26.93,26.35,26.86,22.6265,2177578
2010-02-26,26.96,26.99,26.56,26.62,22.4243,1355792
2010-03-01,26.71,27.38,26.58,27.17,22.8876,2193722
2010-03-02,27.24,27.35,26.95,27.21,22.9213,1432273
2010-03-03,27.19,27.36,27.1,27.18,22.896,1539034
2010-03-04,27.18,27.34,26.98,27.28,22.9803,954354
2010-03-05,27.42,28.23,27.3,28.11,23.6795,2756043
2010-03-08,28.08,28.42,27.85,28.21,23.7637,1302344
2010-03-09,28.19,28.27,27.91,28.04,23.6205,2235404
2010-03-10,28.04,28.04,27.34,27.75,23.3762,2345311
2010-03-11,27.67,28.28,27.54,28.26,23.8058,1737182
2010-03-12,28.3,28.75,28.15,28.26,23.8058,1567135
2010-03-15,28.1,28.68,28.03,28.6,24.0922,1480916
2010-03-16,28.61,28.74,28.43,28.73,24.2017,1307229
2010-03-17,28.75,28.82,28.61,28.74,24.2102,1189518
2010-03-18,28.75,30.37,28.55,29.66,24.9852,6083026
2010-03-19,29.78,30.86,29.46,29.66,24.9852,3333811
2010-03-22,29.48,30.09,29.3406,30.02,25.2884,2048395
2010-03-23,29.98,30.39,29.72,30.32,25.5411,1961258
2010-03-24,30.2,30.43,30.04,30.33,25.5495,1907663
2010-03-25,30.5,31.04,30.27,30.51,25.7012,2526179
2010-03-26,30.5,30.81,30.1,30.26,25.4906,2157741
2010-03-29,30.37,30.86,30.28,30.54,25.7264,1263217
2010-03-30,30.49,30.6,30.17,30.23,25.4653,1370833
2010-03-31,30.05,30.27,29.72,29.75,25.061,2170804
2010-04-01,29.93,30.31,29.18,29.37,24.7409,5092321
2010-04-05,29.5,29.63,29.43,29.53,24.8756,2226674
2010-04-06,29.45,29.63,29.27,29.44,24.7998,2369617
2010-04-07,29.44,29.99,29.19,29.34,24.7156,2542362
2010-04-08,29.31,29.31,28.9,29.0,24.4292,1804684
2010-04-09,28.98,29.09,28.72,28.87,24.3197,2288859
2010-04-12,28.93,29.01,28.62,28.63,24.1175,2330142
2010-04-13,28.55,28.87,28.52,28.63,24.1175,1784905
2010-04-14,28.8,28.96,28.7,28.9,24.3449,2353316
2010-04-15,28.89,29.68,28.77,29.65,24.9767,2797817
2010-04-16,29.53,29.53,27.18,27.41,23.0898,12272450
2010-04-19,27.25,27.81,25.79,27.04,22.7781,12948870
2010-04-20,27.29,27.64,26.45,27.12,22.8455,5441763
2010-04-21,26.81,26.99,25.47,25.69,21.6409,11091940
2010-04-22,25.8,26.24,25.58,26.06,21.9526,3507829
2010-04-23,26.0,26.28,25.3,26.24,22.1042,3232379
2010-04-26,26.27,26.33,25.8501,26.06,21.9526,4444470
2010-04-27,25.9,25.99,24.79,24.85,20.9333,6952718
2010-04-28,25.06,25.71,25.0,25.61,21.5735,4351523
2010-04-29,25.75,25.75,24.98,25.22,21.245,4611490
2010-04-30,25.25,25.25,24.69,24.72,20.8238,5257241
2010-05-03,24.92,25.28,24.83,25.23,21.2534,2458932
2010-05-04,24.94,24.94,24.11,24.46,20.6047,4438372
2010-05-05,24.1,24.96,24.05,24.58,20.7058,3451221
2010-05-06,24.35,25.05,22.25,23.54,19.8298,8570438
2010-05-07,23.46,23.89,22.84,23.36,19.6781,6215895
2010-05-10,22.42,22.5,20.52,21.77,18.3387,19432551
2010-05-11,21.41,22.33,21.37,21.76,18.3303,6977186
2010-05-12,21.83,22.67,21.83,22.29,18.7768,4373323
2010-05-13,22.2,22.68,20.77,21.7,18.2798,14757660
2010-05-14,21.51,21.74,21.34,21.57,18.1703,4970155
2010-05-17,21.53,21.89,21.04,21.56,18.1618,3031022
2010-05-18,21.72,21.95,21.02,21.03,17.8021,4869590
2010-05-19,20.83,21.78,20.83,21.51,18.2084,5459325
2010-05-20,20.94,21.59,20.85,21.21,17.9544,8049444
2010-05-21,20.66,22.04,20.66,22.02,18.6401,6260080
2010-05-24,21.97,22.12,21.15,21.15,17.9036,3167505
2010-05-25,20.71,21.29,20.56,21.24,17.9798,4098714
2010-05-26,21.44,21.75,20.759,20.88,17.6751,4571100
2010-05-27,20.38,21.48,20.38,20.88,17.6751,6264534
2010-05-28,20.74,20.86,20.39,20.5,17.3534,3495142
2010-06-01,20.4,20.4,19.27,19.3,16.3376,6444760
2010-06-02,19.46,19.96,19.23,19.9,16.8455,6256968
2010-06-03,19.84,20.29,19.56,19.69,16.6677,5751664
2010-06-04,19.44,19.62,18.86,18.89,15.9905,5591176
2010-06-07,18.9,19.06,18.55,18.75,15.872,5137651
2010-06-08,18.86,19.3,18.5,18.96,16.0498,3529270
2010-06-09,19.2,19.335,18.69,18.79,15.9059,3878184
2010-06-10,19.22,19.5,18.86,19.48,16.49,3161153
2010-06-11,19.3,19.7,19.16,19.68,16.6593,2787723
2010-06-14,19.91,20.19,19.63,19.91,16.854,4234006
2010-06-15,20.16,21.27,20.11,21.23,17.9714,6121871
2010-06-16,20.88,21.86,20.77,21.76,18.42,7705974
2010-06-17,21.94,21.99,20.55,20.82,17.6243,5251516
2010-06-18,20.84,21.28,20.8,21.1,17.8613,3203322
2010-06-21,21.28,21.57,21.1,21.21,17.9544,2168194
2010-06-22,21.35,21.39,20.7,20.73,17.5481,2924438
2010-06-23,20.76,21.375,20.71,21.13,17.8867,2979054
2010-06-24,21.08,21.12,20.56,20.6,17.4381,2272740
2010-06-25,20.77,22.22,20.7,22.01,18.6316,6447193
2010-06-28,22.01,22.13,21.2,21.25,17.9883,3750234
2010-06-29,21.0,21.05,19.99,20.01,16.9386,5321213
2010-06-30,20.0,20.34,19.5,19.92,16.8624,5661259
2010-07-01,19.9,20.09,19.46,19.8,16.7609,2237369
2010-07-02,19.85,20.25,19.72,20.0,16.9302,2382298
2010-07-06,20.33,20.43,19.57,19.74,16.7101,2416578
2010-07-07,19.73,20.4,19.66,20.37,17.2434,2829047
2010-07-08,20.6,21.34,20.54,21.3,18.0306,3268005
2010-07-09,21.36,22.08,21.31,22.04,18.657,2849562
2010-07-12,21.97,22.17,21.83,22.01,18.6316,2332566
2010-07-13,22.2,22.77,22.2,22.67,19.1903,2229417
2010-07-14,22.59,22.63,22.19,22.39,18.9533,1893003
2010-07-15,22.4,22.53,21.84,22.47,19.021,2047957
2010-07-16,22.35,22.59,21.83,21.94,18.5724,2793303
2010-07-19,22.02,22.1499,21.66,21.84,18.4877,1721137
2010-07-20,21.53,22.33,21.31,22.32,18.8941,1920550
2010-07-21,22.32,22.64,21.87,22.18,18.7755,2978230
2010-07-22,22.43,22.66,22.31,22.45,19.0041,4082019
2010-07-23,22.46,22.745,22.26,22.62,19.148,2049688
2010-07-26,22.54,23.09,22.41,23.09,19.5459,1461170
